name, rating, reviews, cuisine, address, safety measures,
Empyrean Indian Kitchen & Bar,4.4,306, Indian restaurant,20 Hudson Pl Hoboken NJ 07030,Mask required · Staff wear masks · 2 more,
Pilsener Haus & Biergarten,4.5,2134, Beer garden,1422 Grand St Hoboken NJ 07030,  Staff wear masks · Staff required to disinfect surfaces between visits,
Barbès,4.6,386, French restaurant,1300 Park Ave Hoboken NJ 07030,Staff wear masks · Staff get temperature checks · 1 more,
Onieal's,4.4,386, Bar,343 Park Ave Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Grand Vin,4.4,478, Italian restaurant,500 Grand St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Carpe Diem,4.5,450, Irish restaurant,1405 Grand St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Finnegan's Pub,4.6,314, Bar & grill,734 Willow Ave Hoboken NJ 07030,Mask required · Staff wear masks · 2 more,
Amanda's,4.6,562, New American restaurant,908 Washington St A Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
One12,4.9,35, Restaurant,112 Willow Ave Hoboken NJ 07030,,
Il Tavolo di Palmisano,4.7,155, Italian restaurant,700 Clinton St Hoboken NJ 07030,Mask required · Staff wear masks · 2 more,
Apulia,4.6,197, Pizza restaurant,1319 Washington St Hoboken NJ 07030,Mask required · Staff wear masks · 2 more,
Piccolos Cheesesteaks,4.9,20, Restaurant,92 Clinton St Hoboken NJ 07030,,
Augustino's,4.4,222, Italian restaurant,1104 Washington St Hoboken NJ 07030,  Reservations required · Staff required to disinfect surfaces between visits,
Court Street,4.6,397, Continental restaurant,61 6th St Hoboken NJ 07030,Mask required · Staff wear masks · 1 more,
City Bistro,4.2,592, American restaurant,56 14th St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Elysian Cafe,4.4,806, French restaurant,1001 Washington St Hoboken NJ 07030,  Staff wear masks · Staff required to disinfect surfaces between visits,
Chango Kitchen,4.8,97, Restaurant,301 Willow Ave Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Zack's,4.4,597, American restaurant,232 Willow Ave Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
The Ale House,4.4,109, Bar,1034 Willow Ave Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
