date,rating,review
2021-10-24,3,nice location water good service staff gripe 24k wing decent best much taste relatively bland well table people definitely high expectation hey least say tried edible gold 3 5 star
2021-10-20,4,pretty good spot dinner staying overnight hoboken food good atmosphere cool service fine sat quickly table given strange choice much better option available sitting noticed chair broken assume tried hide table one even given
2021-09-28,4,ainsworth one favorite spot hoboken never bad meal atmosphere little louder usual well music overall another successful trip restaurant would definitely recommended mac cheese burger
2021-09-26,4,went last week brunch friend would give place five star service closer three food server really friendly helpful understanding one member party running bit late bottomless mimosa brunch n't bad choice mimosa good came continuously thing considered bit pricy though paid 45 brunch included mimosa choice entree huevos rancheros good bit plain thing considered n't come side partner got steak omelet quite enjoyed though bit pricey think get 30 worth mimosa 90 minute reservation mean go otherwise probably better ordering entree whatever drink otherwise order
2021-09-21,2,first let start saying place expensive drink 14-16 range worth service far average better deep pocket ready coming food okay would probably recommend place unless really dying check place overhyped
2021-09-16,4,solid brunch spot gorgeous view place decent menu able enjoy beyond burger bloody mary everything tasted fresh came quickly price decent service friendly
2021-09-13,2,always liked going one manhattan turkey burger excellent atmosphere fun go right time music n't blistering loud favorite cocktail crooked knife jalapeno tequila agave lemon juice served one block cube unfortunately bartender one n't know regular 18th street 26th street watched substitute agave simple syrup totally different flavor profile agave offer touch complexity sweetness simple sweetens drink ordered two time tasted different time got regular ice chip ice used shake drink even strained fresh ice guess base clientele early 20 somethings looking get hammered cool drink consistency proper building technique n't really matter drink looked tasted like crap
2021-09-09,2,horrible service visited ainsworth lunch greeted server 15 min approaching host requesting server waitress came blatantly rude stand find anytime wanted order food drink food average
2021-09-07,4,reliable spot good food good vibe classic american food burger nacho taco upscale upbeat vibe gorgeous view city always go beautiful sunny day
2021-09-04,5,great service food good especially mac cheese burger noel waiter super great
2021-08-25,5,cute chill spot food great drink hit sure great night town
2021-08-22,4,place nice night day staff great food ok fried mac n cheese app n't even oh cocktail heavy liquor guess bonus
2021-08-14,3,45 bottomless brunch weekend start 11 made reservation online live dj really hot inside friend sweating asked turn fan air condition said air condition bar area uncomfortable ordered loaded skillet pretty pricey small amount food little greasy overall 3 5 star uncomfortable environment okay food enjoy atmosphere though also need spend minute looking street parking settle parking garage
2021-08-14,5,food restaurant unbelievable took first bite loved place looked really nice really fun 5 star
