date,rating,review
2021-11-01,5,really good value money authentic mediterranean food good service great combo platter group
2021-10-18,5,great falafel pita pocket authentic tasty go well french fry baklava homemade root beer
2021-10-18,4,ordering well made delicious fare year best hummus tabouleh mediterranean concoction imagine literally best hummus hoboken typically order recently dined fawned upon dish served warm prompt food even better fresh kitchen say meat platter find bit dry though food seems healthier would recommend saucing order though likely wo n't need dine take advantage byob
2021-10-05,1,food delivered portion small 2-3 people stated price pita ice cold falafel taste like old oil flavor shame pay money food even edible
2021-09-04,2,went recently dinner service food left much desired ordered lamb gyro mixed grill plate veggie appetizer platter baba ghanoush hummus falafel etc asked spicy pepper sauce came maybe 1 or2 bite left food lamb burned even though wanted try baklava never came asked check le 4 time never came finally go counter manager presumably standing ask pay could leave ordering issue getting right ordered item issue even leaving took 30 minute literally pay went excitement review sadly wo n't returning
2021-08-24,5,amazing falafel sandwich awesome people great service highly recommend good find tasty clean veneration food plainfield area keep good work
2021-07-10,5,amazing food free hummus baba ganoush starter pita bread got vegetarian platter 40 thief grill rice great meat cooked extremely well food actually came quickly also best falafel service also great friendly waiter
2021-07-03,2,heard good thing place takeout food understand really want like place disappointed service staff also handled saturday night dinner rush one server entire restaurant seem another server person spotty n't really see lot forgot give silverware food came cold needed put reminder even provide basic thing seating uncomfortable overall experience good place worth hype unless takeout guess ok
2021-06-18,5,n't eaten restaurant yet ordered take time always awesome 40 thief meal perfect 2 hummus delicious also love beef gyro sandwich hot sauce
2021-05-21,5,went iftar food delicious fresh service spectacular got lamb chop main meal falafel appetizer complaint recommend
2021-05-14,5,best gyro sub gold coast love place hopefully hookah soon
2021-04-15,5,ali baba one outstanding restaurant region food fresh highest quality dish authentic middle eastern cuisine service first class missed edward friedman hoboken nj
2021-04-01,5,ali baba great long-standing neighborhood restaurant offer wide menu really tasty middle eastern dish reasonable price baba ganoush personal favorite side everything delicious highly recommend
2021-03-28,4,delicious filling dinner last night two u shared 40 thief mixed grill know came much food would ordered mediterranean salad salad opinion weakest dish evening real flavor mixed frill tasty plentiful beef gyro especially tasty also ordered side lebneh service friendly ask special hot sauce garlic sauce soooo delicious
2021-03-17,5,place amazing food delicious portion large friendly service staff well chicken tikka entree 40 thief platter go-tos
2021-03-16,5,really enjoy going place ahmed great always taking good care u meat outstanding much flavor everything 40 thief dish favorite get taste little bit everything thank guy hospitality
2021-02-20,5,love wing food make ali baba best arabi resteraunt grandkids always come every week always love food tried every resteraunt wing said best friendly atmosphere everyone get greated chief
2021-02-18,5,really authentic food fresh yummy got vegetarian combo platter kufta perfect exactly would want expect like good affordable mediterranean food
2021-02-13,4,good food good value nice people delicious hummus also food always ready crazy fast whenever order
2021-02-04,5,absolutely love restaurant food amazing owner great person every time order food fresh delicious staff also die absolutely love restaurant
2021-01-29,5,highly recommend vegetarian grand combo baklava pistachio dish delicious well takeout hidden gem
2021-01-05,5,stopped sunday afternoon lunch guy amazing friendly professional food amazing middle eastern person middle eastern food parenrs tend bigger critic loved food highly recommend portion price right plus took covid precaution seriously appreciated thanks great meal
2020-12-24,5,definitely hidden gem beauitful spacious outdoor seating service point vegetarian ordered grand combo able easily substitute certain item combo falafel babaganoush would highly recommend freshly baked baklava initially ordered one husband ended ordering two morewill definitely coming back
2020-11-21,5,wife late 20 looking safe comforting delicious place eat washington street came across concluded one best experience ever restaurant short best mediterranean food town color restaurant offer spacious indoor seating arrangement separate sectioned outdoor arrangement individual fence either looking enjoy weather bring inside warmth ambiance provides atmosphere different type situation whether casual lunch date dinner friend loved one food incredible looking vegetarian option definitely recommend getting falafel platter hummus well one salad option non-vegetarians recommend getting mixed platter sahara chicken skirt steak relates experience specifically wife welcomed warmth comfort chose sit inside covid-19 1 couple entire restaurant properly seated 6 foot away ibrahim owner chef noticed mask fell floor provided new one also gave food item sample personal favorite decided wrap date provided complementary baklava enamored baklava extremely fresh wife delighted definitely would recommend checking place
2020-11-20,5,absolutely phenomenal ordering delivery place always risk ali baba blew expectation water quality food outstanding additional instruction followed delivery quick easy ordering
2020-11-17,2,happened ali baba increased price 30 two month ali baba go-to good middle eastern food hoboken fall 2020 sharply increased price salad chicken used order 15 two month ago 25 wo n't returning unless resolve price gouging smart move loyal customer especially middle eastern option nearby
2020-11-15,5,food amazing went celebrate 20 year friendship perfect place food fresh wholesome authentic middle eastern food also byob owner abraham could n't sweetheart highly recommend place absolutely enjoy
2020-11-12,4,went ali baba dinner one night disappointed huge fan tzatziki specifically boyfriend got 40 thief grill mix everything plate delicious definitely could serve two ended getting little eat
2020-11-09,5,let tell looking fresh delicious great ambience turkish food excelent place went dinner order main dish 40 come back
2020-11-07,1,service staff great food unfortunately inedible couscous 0 flavor mousaka looked clumpy awful gooey really wanted enjoy place unfortunately left without able eat meal kindly founded mousaka returning
2020-11-05,5,good regret ordering sooner two u ordered thing share enough dinner well lunch next day lot vegetarian option good portion size super tasty fast pick
2020-11-04,5,first time eating ali baba 5 star experience ibrahim customer service great food hummus taste authentic fresh highly recommend chicken tikka garlic definitely new neighborhood staple byob big plus
