date,rating,review
2021-10-31,1,management nice another family dining right walked canceled reservation uncomfortable
2021-10-25,5,easily one favorite spot pizza hoboken feel one slept deserves way love went p pie time around consists apulian tomato mozz prosciutto dp arugula 3 year aged parm dop evoo amazingly balanced flavor dough special
2021-10-14,5,awesome little spot reservation outside cute patio byob plus also buy bottle got margarita pizza amazing cacio e pepe carbonara carbanara good cacio e pepe also good cheesy bit overbearing parmesan also got coffee dessert end name die must try negative say service first got waiter maybe manager rude told u could n't find reservation gave u attitude could n't seat u finally found reservation
2021-10-13,4,big fan personal pizza thin crust high quality ingredient ordered time work though outdoor dining back lovely little pricey lunch two 75 drink tough order burrata delicious addition pizz
2021-09-30,2,nice looking place northeast hoboken private outdoor patio space back table outside front inside pizza oven dominates center main dining room small ice cream freezer front promptly seated scanned menu ordered beet salad rustica prosciutto sausage broccoli rabe pizza salad fine nicely presented nothing spectacular good great value given price pizza however disappointing soggy middle probably kept oven another minute flavorful crust greatly resembled large naan could toasted bit longer walked washington later noticed pizza place busier probably try next time
2021-09-26,5,great vibe excellent food burrata delicious got buffalo mozzarella pizza hazelnut spicy honey pizza great honey n't spicy penne pasta unique texture freshlymade al dante affogato tiramisu great really good espresso flavor
2021-08-26,5,hand best pizza ever life n't skip calamari make sure try carbonara never want end beautiful patio amazing service ask frank awesome
2021-07-31,3,amazing excellent well crafted food excellent service quite bad worst part evening intense exceptionally loud hard rock music blasting asked 3 time please lower music manager came table said would 6 u screaming table conversation go back reason alone especially price charging also need get real napkin costco napkin bit dirty good take place def place dining environment relaxing enjoyment
2021-07-08,5,spot gem byob believe also serve wine make sure grab favorite bottle wine head enjoy relaxing saturday night vibey outdoor seating mini courtyard back cozy spot linger dinner balmy summer evening good first second third forever date spot beaten path uptown hoboken pasta homemade chew chef kiss waiter told chef make food back hometown apulia southern italy travel frequently authentic get would 1000 get pasta pizza woodfired 1000 degree think mentioned unfortunately pizza little soggy middle reason pizza would flop hold ingredient sure would go back pizza maybe would order simple one next time
2021-07-01,4,came try pizza rate exclusively liked place italian spot new jersey pizza place center restaurant fast pizza came 10 pizza good much better average usa
