date,rating,review
2021-10-22,3,decent dining experience sunday evening one handful table n't many year nice check certainly better steakhouse area place good enough quiet sunday dinner
2021-06-19,2,beware 24oz steak 46 returning pre-covid price 34 first time went arthur steakhouse hoboken 1993 24oz steak 9 99 served large oval plate lot potato red cherry hot pepper additionally lot complimentary sauerkraut pickle extra red cheery hot pepper food literally edge plate wish could find picture took share steak even look like 24oz steak larger thicker great time restaurant great owner knew customer hoped would opened restaurant central avenue yonkers time went price slowly increased compromising quality serving size pocket worth price every year swear visit restaurant 100 time family friend made ton money 2012 price went 20 took away sauerkraut interior restaurant changed steak potato served round plate seemed like new employee found later new owner every year although menu said 24oz steak looked smaller smaller complimentary item le counted per person although search internet today show arthur hoboken steakhouse 24oz steak 31 pandemic 2020 34 dollar menu visited restaurant october 2020 mother birthday internet still posted steak 31 including visit website knew 34 went restaurant since restaurant allowed open limitation got sat placed usual order waitress need look menu minute looking around glanced empty table picked flyer specifically made 24oz steak 44 could nothing already serving disappointing item counted flyer promised pricing temporary would return normal pricing june 19 2021 made phone call taking trip price 24oz steak 46 website list price website anymore want come surprised traveled far go restaurant year whats waiting went price n't going roll back use go restaurant year look wont favorite spot anymore may go still miss interior look arthur hoboken go arthur steakhouse morris plain nj never raised price pandemic get 24oz steak 34 37 go arthurstavern comi suggest going longhorn steakhouse try 22oz ribeye steak serve complementary hot oven baked bread choice side salad like choosing loaded baked potato garden salad generously served 28 going steak get ridiculously pricey get ribeye steak costco get 4 large steak 48 60 grill broil home owner think raising price make money actually make le customer wo n't come like use maybe owner learn go business note find picture post see
2021-05-27,5,boyfriend wanted filet open thursday sunday best service always alexa always attentive top notch n't filet anymore time sad menu much smaller ordered caesar salad crouton salmon side mushroom burger best burger hoboken highly recommend burger juicy filling always cooked right melty cheese bacon mushroom perfect bun delicious sooo worth salmon cooked perfectly small salmon 25 would n't order dry side skip mushroom cooked perfectly delicious great flavor perfect side burger also n't beer draft anymore can bottle
2021-03-13,3,n't location year limited menu covid st patrick wknd freezing cold walking asked greeter please sat toward back room cold front door declined request asked answer needed fill front first kind accommodation tho individual providing customer sure discriminating next party two walked 10 minute also requested back honored request got upset waiter kind enough ask wanted move happy accommodate said reason kind n't want loose tip plus already ordered greeter need training
2021-03-07,2,place gone somewhat downhill unfortunately steak underwhelming price steak came overcooked taste still pretty juicy inside thing though really lacked flavor strange meat juicy tender char steak nice meat tasted bland like lacked beef flavor lol
2021-02-27,3,coming yearsbut time around clearly different considered one best steak restaurant region clearly covid dampened affected way first menu limited choice specially meat choice couple quality therefore suffers like standard suffers bit still hope get back former taste standard really lure people come back waiting hoping soon
2021-02-13,2,steak average potato good wine ok place definitely n't live expectation wo n't coming back really overpriced hear original far better
2021-02-09,4,stopped place visit across river friend super hungry steak essentially answer fill stomach nicely split two thing arthur famous garlic bread steak steak 24oz well-marbled classic ribeye served arthur famous griddle potato potato really good better get breakfast home fry steak impressive stood u arthur famous garlic bread probably could two called dinner service fantastic strongly encouraged cash tip due hardship pandemic cash establishment awesome job spacing table 6 foot apart may well beyond 6 foot quick glimpse overall impressed would come back
2021-02-01,4,realized reopened went weekend split classic steak even wife much steak fan great thing say thing holding back 5 star temperature inside restaurant pretty cold ca n't wait return
2020-12-06,5,great pub great steak service would eat everything scrumptious delicious
2020-12-05,3,menu pared due covid drink okay food fine service polite
2020-12-01,1,worst restaurant area fly everywhere look like nothing cleaned 20 year food priced crap would rather eat frozen dinner eat management clueless rude clearly n't care
2020-10-29,1,horrible service mediocre steak overpriced steak potato 44 way overpriced rude service waitstaff need training friendly polite extremely rude response never checked u see needed anything else website show full menu special longer honorbut conveniently forgot edit website definitely going back let others know
2020-10-09,5,going arthur steak exactly 20 year first introduced famous steak ribeye clueless incredibly lucky incredible deal getting time since peter luger smith wollensky ruth countless steakhouse way expensive arthur ribeye delicious steakhouse could compare addition fraction price would pay elsewhere quality delicious taste steak literally steal hope arthur read review raise price
2020-08-22,4,tldr frill pub happens serve good affordable steak grab beer order steak pick temperature chow arthur fine dining establishment honest look like place eat fugitive trying lay low said dig red white checkered tablecloth lingering scent beer find taproom add experience love garlic bread ask side marinara happily give garlicky cheesy buttery gravy yum french onion soup bad either steak 24 oz ribeye served basally home fry always got nice crust potato full flavor fatty delicious tender honestly share someone else enjoy high-end chophouse sometimes want solid steak without politely decline shellfish tower love place everyone afford eat great steak wait someone birthday next time craving ribeye checkout arthur
2020-03-10,1,decent steakhouse 25 year ago going go granular experience say never go back horrible level
2020-02-09,4,always great time early sunday lunch one whole back area ourself loud mouth disturb anyone lolsteak excellent medium rare bowl french onion soup loaf garlic bread
2020-02-06,5,always tasty never bad meal app service n't terrible either always count satisfying meal arthur
2020-02-05,2,came 80 90 place go hoboken steak time since last time extremely disappointing one note continue order beer draft extremely watered taste like seltzer unfortunate taste last time friday time wednesday expecting better considering remember arthur full everything rushed note arthur steak used say menu meat choice sound good top prime choice one step waitress explained could charge le choice one would notice steak time almost perfect medium half le amount potato free pickle server checked periodically good place feel moribund ca n't better describe probably due much loved arthur heyday even though service ok steak good return draft beer undrinkable 2 star
2020-01-16,5,visit arthur every time new jersey never bad stake french onion soup great ca n't tell garlic bread day week good dinner
2020-01-10,3,twice bad waitress time drop menu come back take food drink order time never check n't know bad never trained shame burger steak good reasonably priced hoboken service make want come back
2019-11-20,2,chewy tough filet mignon sandwich made stale garlic bread good would go back waitress good n't give 1 star
2019-10-27,1,steak raw service like waiting dmv food decent everyone else unhappy felt sick
2019-10-17,2,place staple forevermore quite sometime went lunch today guy food good good service slow even though busy lunch mouse kept darting around table back told waitress said see get sick glad wife tv crew would summoned food good mouse great see call
2019-10-11,5,place bomb com thurs special well worth steak way order medium rare nice n juicy garlic bread enough make u take another one home
2019-10-06,2,remember went restaurant year back dad pretty good la weekend waist money time ordered onion soup n't touch potato stake look awful dissapointed waiter nice gave 2 start
2019-09-11,2,living manhattan one get excited reasonably priced steak arthur offer made outing hoboken stopped restaurant quite excited unfortunately excitement short lived ny strip bland dry honest dining partner filet much tender flavorful ny strip smother a1 even eat ca n't remember last time even used a1 steak fancy dry aging superior cut meat n't expecting 30 hoping seasoned salt pepper order medium rare cut meat somewhat juicy dry piece jerky
2019-09-10,5,love place best french onion soup new jersey dining since highschool service food quality atmosphere always point food delicious definite must hoboken highly recommend spot looking moderately priced place great steak service
2019-08-12,3,ambiance nice edgy vibe get seat back area dimlit kinda area signature steak definitely n't blow water 32 cut steak would expected little bit better came potato seasoned seasoned meat presentation rustic complain since hard make full cut ribeye look pretty overall think go next time get apps burger staff kind attentive wish would waiting waiter could order water shirley got definitely sweet
2019-08-06,4,place great visiting family california took proportion generous ordered rare steak would order soon got cholesterol level service great environment looked like could use upgrade satisfied food service would recommend
