date,rating,review
2021-10-08,1,ordered 2 sushi roll 2 salad earlier day delivery 7:45pm arrived 8:45pm telephone number would either go voicemail say n't service half time restaurant kept saying way eta person spicy yellowtail roll seaweed salad felt sick next morning coincidence maybe doubt would recommend
2021-10-03,4,sure n't written review feel like disappeared eating getting delivery take 5 year solid spot huge turn mean reliable spot opinion price increased year sush spot well love roll kani salad hand roll sushi always fresh even ordered huge delivery order beginning summer delicious also noodle rice hibachi option well would recommend nothing world consistent good quality also solid delivery option town
2021-09-06,1,ordered delivery waited two half hour receive meal continued call restaurant status turned phone line could get touch
2021-08-30,5,favorite casual sushi place neighborhood ayame menu reminds diner menu much choose love rock shrimp appetizer used toss shrimp mayo served separately bentos amazing deal come amazing mushroom soup noodle rice veggie boyfriend always get fried rice instead white rice might look plain flavorful highly recommend scallop salmon dinner bento believe ayame also incredible lunch deal salmon bentos sushi roll 3 sushi roll 15 includes scallop roll
2021-08-17,5,love place one first sit restaurant tried moving absolutely delicious staff super friendly food best super clean inside seating outdoor seating well large selection choose menu easily become favorite already come back multiple time already ca n't wait go back rock shrimp good ca n't recommend enough
2021-08-08,4,first time customer service great friendly quick vegetable steamed dumpling nice hot fresh also king lobster roll amazing flaw say restaurant wine serve alcohol beverage sad
2021-06-23,5,go-to hibachi area always consistently good even take great awesome portion size friendly staff fun time highly recommend
2021-06-22,5,really good really great sushi option delicious spicy mayo sauce good service nice employee family friendly well outdoor seating
2021-06-22,5,best food ever sushi amazing love salad everyone nice accommodating come back time perfect love much
2021-06-19,4,place get packed might struggle service table damp wet n't get saucer sushi however lady taking care u nice place good come drink bar sushi roll well priced food bit hit miss special roll nice tasty spider sweetheart would n't recommend reg spicy salmon tuna n't know could mess apparently good ordered dinner entre wok section peanut chicken boring basic dish ever seen tasted plain rice plain breaded chicken brought sauce side wok part definitely expecting sauteed sauce veggie something big pas
2021-04-30,5,fantastic food super fresh item busy always quick turnover
2021-03-28,4,tried place weekend takeout got combo great value 3 standard roll miso soup tasted great definitely going back try special roll next time craving sushi
2021-02-25,4,lot sushi spot town always hard choose ordering delivery ayame thing right enjoyed sushi ordered matter type specialty roll place always go classic one key simple roll fresh ingredient ayame went avocado roll peanut avocado roll peanut avocado roll favorite roll history weird combo flavor work n't get tuna salmon sure good well sushi roll rolled tight still good delivery quick easy end would definitely reorder quality sushi roll also convenient hungry since come quick check
2021-01-28,5,hibachi something think in-person experience well birthday dang missed ayame hibachi ordered delicious in-person really hit spot also youtube hibachi chef felt like restaurant ca n't wait person dinner show
2021-01-12,4,sushi roll great sweet potato favorite texture mix together well sea treasure good tasty sauce salmon bit dry good nonetheless definitely enjoyed food would recommend eating
2021-01-03,4,picked sushi sashimi presentation quality good concern mostly wait time came pick via uber eats certain time said give 15 min ended standing 40 min asking every 20 min seems though swamped order finally got around finishing order go sushi sashimi platter good salmon girl set good portion amaye roll n't worth ok overall would like give another try food solid
2021-01-03,2,second time getting ayame last month first time every piece sushi fell apart thought maybe different chef working decided give another try yet every piece sushi broke apart picked returning going forward
2020-12-29,5,must say place best sushi hoboken hibachi bit pricey great would recommend special roll fish always consistently fresh tasty
2020-11-08,4,came quick bite happy meal lunch special till 4:00pm everyday made time avail 2 roll soup salad 10 great deal also got kani salad pork dumpling delicious food came quickly service great everything super tasty left full belly without forking lot money table sidewalk spaced definitely back
2020-11-04,5,best sushi hoboken love crazy tuna roll great variety special roll gotten take delivery time covid n't let even got take hibachi delish totally recommend
2020-09-01,1,good food lousy delivery guythe delivery guy call building lobby inform food downstairs asked please bring reply food downstairs n't hear politely ask reply ask hang leaf food downstairs nice move excellent service used order food ayame lease 2-3 time month suppose sushi alternative hoboken
2020-09-01,5,place hooked u soo good much food price glad found thank ayame
2020-08-22,5,place soooo good went friend became favorite sushi place
2020-07-29,5,loved option choose three roll 16 enough fill tasted fresh tried many sushi place area one favorite term freshness pricing
2020-07-14,4,absolute favorite sushi spot always fresh food nice staff never rush even packed gave 4 instead 5 sitting close hibachi table might smell like later leave restaurant food amazing
2020-02-29,4,ordered postmates actually pretty great takeout hibachi fried rice could use seasoning everything else pretty great
2020-01-29,5,love restaurant go friend ordered sushi sashimi wasabi cracker looking sushi sashimi tell fresh good source fish beside wasabi cracker shock become one favorite definitely visit
2020-01-23,5,5 time become favorite restaurant ingredient seafood fresh important make sushi kind food recommend everyone come try kind seafood sushi taste good fresh
2020-01-12,3,lunch special okay small portion compared got past sure lunch special decreased portion overall decent service nothing crazy food good tho sushi especially
2019-12-09,1,ordered food 6:46 pm supposed arrive 7:40-7:50 pm 2 hour later call restaurant say sorry late raining n't think rain valid reason almost 2 hour delivery especially sushi fresh fish go bad long happened repeatedly every time say never time really never horrible customer service
2019-11-24,1,tell delivery driver working 11 24 calm obnoxiously ringing door bell without waiting uncalled guy need check
2019-11-24,1,unorganized place made reservation large group 17 people one person cooking time entire group ate separate terrible
2019-10-14,4,came hibachi dinner birthday place super lively fun great place celebrate chef fun interactive got salmon scallop pretty good byo service slow time though
2019-09-24,4,finally returned dine dinner one night think quality price ayame probably best option hoboken time american dream salmon avocado cucumber inside spicy king crab top white dragon spicy scallop avocado white tuna spicy garlic sauce top hoboken monster spicy tuna shrimp tempura mango avocado masago inside soft shell crab tempura mango eel sauce black tobiko top gold leaf maki combo white tuna tuna salmon special roll pretty good must say tasted pretty similar actually liked plain maki roll better simple also n't put much rice maki roll really appreciated think found new go-to spot hood tip byob
2019-08-24,4,ordered seamless extremely impressed fast fresh delicious hand roll sushi roll soup order much better typical go option
2019-08-14,4,restaurant time mostly friend birthday time group 16 people accommodated well venue really good taking order making sure vegetarian separated non-vegetarians food really good well-made good portion even split meal two people highly recommend portion still enough save money really nice bring dessert end birthday boy chef funny cool trick sleeve made sure get birthday boy sake even went around table every person asked wanted part would highly recommend except one issue saw cockroach running around foot
2019-06-24,1,discovered long black hair buried salad already ate half brb going go throw also first negative experience establishment
2019-06-22,5,finally found solid sushi place hoboken wo n't break bank good selection staff quite attentive byob always must sushi never tried hibachi back might give try someday
2019-06-11,5,loved place second time staff amazing table ready u patient u waited group complete
2019-05-28,5,filet mignon fried rice always great choice hibachi grill staff always kind worked hard put great show owner also wonderful people earnest dedicated work invested providing best food experience customer hoboken must see
2019-05-16,1,fiance ordered place overall food average best ordered miso black cod app far worst piece food ever black rice hard rock cod looked like overdone dry piece grilled chicken called manager supposed give u refund yet happen please n't waste money place many better option
2019-04-15,4,ordered control roll delicious definitely bit pricy 15 friend ordered lunch special 3 regular roll salad come slight splurge roll came decent time service fine ate outdoors
2019-03-26,5,best lunch special ever come eat least twice week miso soup pretty tasty hand roll sushi portion fairly big bento box good variety
2019-03-24,4,good choice go ayame hibachi sushi service server great one favorite food restaurant salmon wonderful
2019-02-16,1,place absolutely disgusting cockroach table wall behind head waiter grabbed cockroach behind head laughed face got scared place business
2019-02-01,5,definitely sushi go-to though rice little bland gyoza could use little filling sushi one favorite area great soup well going dine rather take definitely worth hibachi food made right fresh flavorful delivery food always arrives time
2019-01-26,5,favorite place hoboken eat interior beautiful minimalistic without seeming low maintenance food absolutely delicious like would want last meal also affordable service great waiter sweet well overall place place make beautiful memory never forget
2019-01-20,3,friend ordered takeout liked everything ordered n't think anything spectacular fish seemed fresh price pretty reasonable group ordered edamame miso soup seaweed salad sweet heart roll spicy girl roll spicy tuna roll philadelphia roll shrimp tempura roll tuna tartar gyoza sashimi overall thought everything pretty average although particularly liked gyoza spicy girl roll must try delivery time would probably order given food pretty good priced fairly
2019-01-06,5,n't many hibachi restaurant really enjoyed time ayame hibachi really good lot especially enjoyed show put making sadly get try sushi staff quick attentive atmosphere quite fun would recommend restaurant group craving hibachi
2018-12-27,1,became sick food poisoning eating spicy tuna avocado roll steamed veggie goyoza stay away
2018-12-17,1,ew n't eat place dirty food disgusting rushed home trow
2018-12-17,1,please warned eat wife went dinner regret wife threw got home since food fresh believe review bug mouse started noticing many fly even tho dark thank god n't finish food absolutely disgusting place whatever reason decide eat please open sushi inspect eat
2018-09-25,1,cockroach bag noticed eating one two dish ordered grubhub asked take back food restaurant asked photo proof think isolate cockroach keep contained priority getting rid toilet claimed could refund gotten rid showing disgusted half money paid meal avoid
2018-09-16,4,ayame nice atmosphere attentive staff wide menu happy outdoor seating hibachi table food fine sushi n't exceptional hibachi okay overall standard hibachi place craving
2018-08-12,1,ordered online delivery hour late called spoke someone rude clearly n't care ordered food 2 hour ago also took zero effort find delivery said way definitely ordering could ordered different place gotten delivered faster estimated time arrival food meh go without saying green tea mochi liquidy mess also exploded whatever reason maybe delivery guy stabbed toothpick something
2018-08-08,4,great option sushi hoboken quick friendly service reliable fast delivery ordering phone phone number linked address credit card super convenient bit pricey plan ordering bunch roll stick roll hand roll page 10 menu night usually get oshinko roll dragon roll cucumber roll side white rice house salad edamame planning getting special roll impressed plating however n't find hibachi entree impressive pop music always give wrong vibe sure want listen top 50 dinner matter venue
2018-07-23,5,girlfriend dined ayame several occasion love staff friendly food delicious price nice reasonable give try wo n't disappointed
2018-07-07,1,ok start since place definition nightmare twice guess let start beginning went january 5 friend birthday started normally around half way point food prepared notice manager whisper something chef whole experience becomes extremely rushed sit table 20 table across u 6 people starting stand directly behind u around time sat maybe 30 minute grab plate tell u need leave fit birthday party mind also birthday trying get u pay full price argue 10 minute ruin great night friend brings u friend bday yesterday went open mind since worked restaurant understand thing happen huge cockroach run phone towards plate tell manager try forget happened good sport 5 minute later second come crawling chef grill table manager act like seeing thing n't want ruin friend night 2 minute later third cockroach come go right plate point demanding manager deal arrives grab napkin tell u rice noticing ok sir obviously imaging ooooo tell lift napkin hand two cockroach trying hide u table one thing dirty restaurant another pull stuff happen two time summary great place want dirty cockroach infested rude experience think good food past small problem bon appetite
2018-06-14,5,excellence par parcel hibachi establishment everything perfect time seated price ordered salmon girl disappoint first taste last wonderful experience would go
