date,rating,review
2021-10-24,5,love place went brunch today ran later late reservation staff super accomodating friendly food delicious oeufs benedict la russe pastilla au lait really good cleaned plate lol rocking moroccan drink also hit overall ambiance staff food outstanding definitely go recommend
2021-10-22,5,walking friday night beautiful mix lively chatter amazing live music seating painless quick waitress karina simply amazing attentive funny offering recommendation personally ended loving every one appetizer simply superb main course amazing dessert truly authentically french american twist without getting specific ambiance food staff nothing short amazing absolutely returning
2021-10-22,5,great experience barbes look forward coming back friend family made reservation 7:30 pm celebrate friend starting business staff kept company waited gave excellent recommendation place become favorite highly recommend place go alone go friend go family
2021-09-22,5,came tuesday night party 3 7:30 made reservation sat outside nice aesthetic outdoors relaxed vibe drink tried rock'n moroccan resembles mojito vodka okay mood mojito would good choice lady lupo good sweet montmarte favorite casablanca also good dangerous appetizer got escargot salade trio grilled calamari incredible calamari grilled allowed actually enjoy taste escargot earthy tasting place think due garlic butter white wine sauce hummus trio best ever entree got rack lamb vegetable potato bronzini salmon lamb cook well bronzini n't charred elsewhere enjoyed salmon favorite mustard sauce top die overall great experience price reasonable service great hostess server staff
2021-09-17,5,wow n't even know start passed place decided look could take boyfriend birthday like french food also yelp research found review good decided give try take conclusion went made reservation resy made note special occasion needed great experience two week later called confirm reservation gentleman answered phone francisco attentive note also answered question said would actually love table one near live music special occasion day come go host extremely friendly told special occasion made point making u feel way sure many server efficient helpful knew dish well suggested many great thing loved fact open kitchen couscous chicken lamb shank prune moroccan dish garlic shrimp pesto couscous french dish roasted potato side everything really good lamb shank hand best dish tender falling bone appetizer boyfriend favorite escargot said sauce really great also grilled calamari shrimp garlic sauce tried bottle grenache rose wine good dessert baklava even brought sparkly candle sang happy birthday ca n't thank host server enough ca n't wait go back try different dish
2021-09-07,2,sorry staff barbes brutally honest review guy nice people food left lot desired hummus reasonably ok kale salad really sucked kale like garnish salad bar know like inedible lettuce around edge mussel ok escargot pretty lousy french restaurant daughter thought branzino pretty mediocre wife thought halibut tasted like chicken never good sign son thought shrimp worst ever vegetable stew tasty s-i-l enjoyed meal end asked sort discount mediocre meal waiter kind laughed proceeded bring really expensive bill general pretty shitty food strongly suggest eating elsewhere hoboken wish writing better review especially fork
2021-08-26,1,second time dine got back give place second chance surprise tuesday night 7:30pm girl friend go dinner order one appetizer delicious two entree asked spicy sauce side completely removed order something else waiter noted said absolutely problem 8:45 waiter come saying delay kitchen meal would soon big deal good time 9:20 entree got brought someone waiter perfect good mine floating harissa sauce point ate couscous n't soaked good could n't whole meal spiciness waiter came asked everything said probably something went wrong kitchen note got lost went back check minute came apologizing mistake big deal good time leaving 10:30pm came asking quoting dessert netflix show tonight pack baklawa thought nice said yes doggy bag came minute check charged u whole meal fine even made mistake order baklawa go let reader draw conclusion sure wo n't give place third chance
2021-08-22,5,thanks resy outdoor reservation saturday night party 4 originally sat u front restaurant happily moved u covered parklet given rain ended pouring thankfully parklet kept u completely dry service excellent especially since running back forth rain wait u recommend starting salade mediterraneenne trio dip generous portion pita eggplant zealous dip best favorite entree chicken shawarma kefta tagine lamb meatball couscous royale couscous traditionnel flavorful portion size right wine cocktail list point
2021-08-21,5,ca n't say enough good thing welcoming service waiter willing give detail recommendation leech martini good every appetizer fresh nice got trio combo burrata highlight experience pastilla-unique combination flavor n't tasted
2021-08-19,4,great spot date amazing place cute light outdoor seating live music perfect vibe night food great staff friendly perfectly attentive hummus briouats kefta tagine would definitely go
2021-08-16,5,new favorite spot ambiance food warm staff make 5-star experience night feel like vacation excited try sister restaurant open
2021-08-10,5,food restaurant amazing hummus delicious along calamari appetizer cocktail delicious smooth lamb meatball perfect also got spicy sauce add dish atmosphere chill met owner super friendly great restaurant experience return soon
2021-07-31,5,really love everything restaurant beautiful tasteful decor outdoor dining space dined inside yet great staff live music amazing food happy emotional realized restaurant east 36th street manhattan used live around corner many year ago dined always remembered food good used pas time sad see closed could try second time destined meet hoboken almost brought tear anyways back love neighborhood gem recommend grilled calamari appetizer tangine lamb tangine chicken shrimp crevettes au pistou pastilla au lait dessert
2021-07-31,1,really bad brunch experience service disorganized staff interrupted conversation one glass filthy wife ordered lamb medium-well came rare sent back came still rare end meal asked take bill refused even though wife could n't eat told live right round corner totally baffle would lose customer life close 16
2021-07-26,5,wonderful experience last week everything restaurant great everyone happy n't seen employee pleasant food delicious best tagine ever dessert simply amazing ca n't wait go back
2021-07-04,2,vegetarian n't come vegetarian entree limited vegetable cous cous stew got cous cous super dry bland spite using provided sauce soup burrata salad tasty service good enthusiastic never refilled water
2021-07-03,5,great food awesome ambience barbes go-to restaurant hoboken everyone super friendly vibe always fun especially band playing
2021-07-03,5,thank merci comfortable cool atmosphere real gem hoboken n't tell anyone
2021-06-25,1,hate writing review beautiful restaurant experience poor everyone definitely friendly food good service terrible got seated 9:10 8:30 reservation n't mind friday night happen took hour main course come water never refilled entire duration meal even asked tried patient crowded n't express annoyance waited another 40 minute check unfortunately one coming table go front pay wanted dessert one attending u n't want get caught another large chunk time asked 2 takeout box table n't want wait long leftover boxed kitchen however waiting 10 minute n't arrive go front request price check high really disappointed everyone really friendly atmosphere pleasant nice appreciate
2021-06-20,5,restaurant fantastic date running late another place booked u reservation best decision night server super friendly food delicious shawarma bed green included side french fry stay entire place huge party n't know regular occurrence went another table celebrating birthday restaurant conga line around room also guy saxophone interacting customer music loud barely hear anybody might flaw people really ca n't stand loud noise party suggest avoid place however saying someone normally get big event fun experience really get spirit place would love go complaint missed little spot food table seated looked liked spinach could land heat trouble somebody could file complaint decided let pas overall wonderful location fun environment n't think one leftover piece spinach enough change 5 star 4 pay close attention detail next time
2021-06-13,5,place incredible live music good vibe infectious drink great food even better everything authentic yummy bad dish menu great neighborhood spot bring friend family good food good time
2021-05-25,5,love place food excellent best hummus ever staff super accommodating friendly really enjoyed live music
2021-05-25,5,place good fun never french moroccan style food life happy hoboken able go menu incredible extensive went dinner sat outside soft music playing gorgeous night ca n't wait go back order amazing thing menu try mint tea dinner refreshment
2021-05-14,3,food list wine getting better year still difficulty prompt service charging wrong item extra charging attention every individual work excellent music every thursday making rotation musician per week would inviting great stop drink quick meal dinner enjoyable atmosphere good spot hoboken
2021-05-13,3,service great food meh surprised felt like would super flavorful however pretty opposite keftes kind dry lacking flavor bit disappointment place cute
2021-05-11,5,food delicious small bar nice dining room atmosphere wonderful service every time recently friend ordered lentil salad raved tend always fish usually branzino always delicious broccoli rabe wonderful wine price reasonable complaint sometimes restaurant get noisy taste tend like quieter restaurant recently staff incredible could even hear friend dining band playing band great noise level always wonderful washington street also dinner
2021-05-09,1,disappointing experience excellent sure try ordered 4 dish food given u cold asked freshly squeezed orange juice given tropicana instead also beer served warm chilled overall bad experience sunday brunch
2021-04-24,4,2nd time food yummy lot vibe sat outside friendly attentive staff snail wow win snail eggplant sooo good grilled calamari give second lamb tangine oksteak delicious mussel mussel fan everyone raf including mom ordered go
2021-04-23,5,birthday parent husband loved french cuisine waiter courteous seemed dedicated ensuring request question menu answered husband french also found food delicious place really stand hoboken restaurant scene
