date,rating,review
2021-07-02,1,confused ben jerry always good time today went around 8:30 decided large waffle cone came 3 scoop got milk chocolate half baked americone dream flavor pretty good ice cream mostly soupy runny also extreme letdown waffle cone stale top disappointing food met rude short staff confused expect understandably awesome ice cream experience ben jerry always received tonight
2021-04-05,5,ben jerry great place take friend late night treat fun night passed ben jerry satisfy craving literally many option choice everyone able find something like really ca n't go wrong anything employee friendly greet great energy overall great worker would recommend place looking something sweet
2021-03-28,3,understanding busy saturday manager really hostile overwhelmed crowd trying contain 6 foot could better direction signage customer n't feel attacked trying follow social distancing
2021-01-05,5,severe peanut nut allergy best customer service received got ice cream day ago normally get ice cream ask server take certain precaution reduce cross contamination time greeted scoff eye roll dirty look painfully false excuse ca n't manager super nice n't make feel like inconvenience really appreciated assuming manager said put ice cream flavor nut one side glass trained staff scoop non nut flavor first use separate scoop great ice cream shop followed example featured tlc 600lb life thanks much definitely back
2020-12-14,5,anywhere open late pandemic gem book dairy free option available suck ca n't taste anything though mean difference scooping ice cream serve v spooning sample serve anyways 6 dairy free option 3 ice cream others sorbet got pineapple passion fruit oh goodness amazing refreshing overly sweet love
2020-09-23,5,establishment clean customer service fast friendly area worth pop never go wrong ice cream
2020-09-21,5,place never disappoints saw added chip chocolate ice cream flavor always new flavor strawberry cheesecake best
2020-09-16,5,super awesome hoboken one always enjoy getting fresh version strawberry cheesecake large selection flavor employee nice
2020-09-16,5,establishment clean staff friendly welcoming received prompt service like always great ice cream back
2020-09-15,5,wait time short prepared guest goooooood
2020-09-04,5,anything bad say ben jerry genuinely curious aside best ice cream town introducing lost cool dairy free flavor lactose intolerant self love ben jerry never fails employee location treat like ice cream serve
2020-09-04,4,small little place good array ice cream choice smell like ice cream heaven walk appreciated server welcoming even asked child food allergy serving ice cream little extra thoughtfulness considerate nice outdoor seating people watch washington street return
2020-09-03,5,ca n't beat late night b j run staff nice helpful product delicious usual back next week
2020-09-03,5,great service great ice cream good job covid-19 rule regulation
2020-08-30,5,amazing everyone wore mask worker enforced social distancing love spot
2020-02-18,1,used come time last three time come employee consistently packed pint go disappointing
