date,rating,review
2021-11-15,3,pro basic b chicken wrap bad thing thin chicken strip lettuce tomato taste like frank red hot wing sauce eh come fry unlike mr wrap also delivery lightning quick con ordered via seamless 15 95 may need go today find seamless jacked price wrap big restaurant chicken strip restaurant meatier buffalo sauce restaurant far superior basic frank red hot verdict 7 2 10 n't bad score good however order likely would go elsewhere
2021-11-15,2,couple friend sunday staff seemed like want interested least pretending giving fake smile cousin ordered mojito given bacardi mojito instead mixed drink mojito 18 really one drink left giving place two star clean devil game
2021-11-08,4,stopped get casual american bar food drink sunday football amazing sunday special include food drink went one person got pitcher beer two appetizer paid le 25 end sort unheard hoboken nyc area especially alcohol involved atmosphere fun inviting younger crowd area right walk covered giant tv wall make football experience fun exciting got buffalo chicken dip little spicy still tasty fried pickle fried pickle amazing came aoli sauce really made overall good experience still fun wild like bar hoboken perfect place watch actually hear sport game going
2021-10-10,1,food fine staff made anti-semitic racist comment u returning
2021-10-02,1,waiter twice blatantly charged u drink n't order mistake twice used love place ca n't support grimy move like bet assumed drunk idiot nfl sunday caught 4 white claw 10 piece added one check 3 expensive cocktail added another wo n't return
2021-09-26,4,went sunday 12:30 football game sat upstairs bar bartender attentive got burger fry really good place got packed super loud dj play music commercial break found odd pointless tv locked game day could n't game tv right front alone bar 1 o'clock game started kinda pricey hoboken
2021-08-30,1,2pm monday open although placard online say answer phone
2021-08-27,2,ugh hoboken going black bear nice looking sport bar awesome event packed energy alive customer come non event day night walked door 4 time greeting anyone sit bar done 3 time greeting seems contemptuous obligatory bartender manager server congregate end bar chatting amongst creating thick cliquey atmosphere balance happy clown atmosphere totally cold one black bear find food nice bar atmosphere maybe others better experience know review quintessential hot guy well hoboken run rampant gym bros basic babe
2021-07-15,4,black bear couple time lunch enjoyed came actually remembered review classic sport bar appeal menu match started chicken nacho good arrived hot seems rare nacho followed salad chicken caesar cobb friend good generous size overall solid choice consistent service amongst bar food scene bb continue lunch option
2021-07-11,1,absolutely awful service experience manager avoid cost group 4 never come back unwelcoming place manager came u blue screaming u leave n't seated hostess trying pull fast one place still 10 empty table could believe someone would hostile seated half empty place attempting throw u long story short able stay left immediately later night manager start walking around tv start turning place full sign get heck 12:30 close 3 everyone upstairs area walked clearly nobody welcomed stay still ca n't believe hostile unwelcome manager everyone
2021-06-13,1,worst staff ever manager behaved like favour seating u waitress disinterested manager felt like asked come work gun point visit
2021-05-13,5,love place always clean staff friendly lot space good music service n't fastest atmosphere worth
2021-05-01,1,2 friend wanted enjoy lovely saturday hoboken black bear available high-chair table friend refused table 4 people poor management assured staff would within hour table empty 30 minute black bear would rather turn away profit rather establishing relationship hoboken local lastly black bear know budget much planning spending could potential table 4 ever come upset establishment unlikely return
2021-04-11,1,like yelpers mentioned bar worst service ever like fellow yelpers suspect waitress racist waitress extremely rude boyfriend friend context asian bf black went complain waitress hostess proceeded shout waitress aggressive put hand face security proceeded push boyfriend behind near waitress hostess person color come racist establishment also follow covid protocol security wear mask line outside adhere social distancing guideline place
2021-04-11,1,absolutely horrendous service please take business next door literally anywhere else hoboken manager staff absolutely useless n't care customer service asking waitress various time assistance ignored u never helped situation asking honestly never return
2021-04-07,5,one favorite spot hoboken food amazing atmosphere fun lemonade freshly squeezed johnny ever looking fun spot hang monday place
2021-03-21,4,visited black bear bar grill friday night girl friend wait 20 minute line enter capacity mind friend really wanted go bouncer completely nice updated u wait time entered music extremely loud could hear person next music really good dj really made want dance ordered tito pomegranate served tall glass tasted good rest night friend vodka shot food got buffalo chicken wrap good definitely recommend downside place waiter n't really come table much seemed talk worker helping u would certainly go hear good music get something drink eat n't bet conversation
2021-03-08,2,skip night unless music loud ca n't hear thought buffalo chicken wrap good
2021-03-03,5,server awesome drink point deanna attentive everything needed time skeptical coming hoboken bar made change mind hopefully
2021-02-20,1,usually never leave bad review worst service life suspect waitress racist check u walk way front ask someone ask come table order anything happened 4 time wanted order drink added gratuity check even though 3 people put false number people check add gratuity asked fixed though still going tip albeit little le horrible service come back throw fixed check u yelling u never come back name danielle believe rudest waitress life know place 3 star understand covid hit business hard unacceptable
