date,rating,review
2021-11-06,2,good view draw brought teenage daughter friend food average service sucky left plate sitting front u forever n't come except take order
2021-11-02,4,really enjoyed impromptu brunch blue eye idea n't tried n't hungry wanted sit enjoy weather needed outdoor area walk dog accommodating large pup narrow outdoor area mango nectar mimosa made le juice make le sweet shared burrata pear walnut salad husband shrimp linguine everything good best part view definitely back
2021-10-31,5,place die came birthday dinner friend parent right water one amazing view look eat staff amazing accommodating u needed reservation larger party jonathan waiter absolutely amazing took care 9 u absolute ease got different dish tag photo food super authentic tell looking lot care went preparation pizza cooked brick pizza beautiful
2021-10-18,4,food decent view outside main selling point ordered penne vodka margherita pizza nutella pizza penne favorite part meal nutella pizza definitely needed something extra make taste better option fruit hazelnut top would good really pizza dough nutella n't mesh well enough overall decent would n't mind coming back looking place water would n't rush back either
2021-10-02,1,beautiful view horrible food caprese featured underripe tomato flavorless mozzarella pasta dish watery calamari shrimp like rubber fiance took one bite entree decided call pick pizza way home n't go
2021-09-27,3,view ca n't beat average food avoid pizza disgusting bathroom go drink apps pray n't pee
2021-09-22,3,ok pizza ok view crowded prompt service overpriced n't pick window seat seated inside right next pathway run parallel waterfront everyone get see made little anxious eating
2021-09-21,5,absolutely love place came view food amazing waiter jonathan nothing short personable tentative wait come back
2021-09-19,3,meh location nice water watched sunset food pretty meh frittura fine crispy way think best calamari pizza decent pasta unflavored watery pasta cooked al dente sauce pretty shameful got bolognese octopus pasta watery lacked salt flavor service fine great host friendly charming say price quality pretty looking location lovely n't go food get pizza
2021-09-19,2,two star instead one husband daughter eaten week several time really enjoyed wanted come birthday website state take reservation came peak time saturday anticipated wait well waited people reservation got seated guy standing behind u said heck called told n't take reservation woman also standing smugly said always make reservation turn spoke italian knew pizza guy back nice apparently one also make reservation one mammoth group make sense n't say website rate eventually got table food fine took eternity get entree came vastly different time appetizer mia asked surly waitress said n't one supposed bring food u favor practically beg water ordered martini snapped beer wine way handling thing dumpster fire wait staff n't wearing mask waitress hair safety customer service n't seem thing sure ever return
2021-09-14,5,easily best dining experience stay time constraint would returned soon walked staff right one two 4 employee right seat u fabulous table overlooking water walkway requested sit table immediately sanitized waiter attentive brought drink quickly along taking order great wine option sangria dangerously good granchio tagliatelle al ragu bolognese spaghetti ai frutti di mare everything perfect homemade pasta perfect sauce price reasonable would paid view alone
