date,rating,review
2021-10-16,5,came early breakfast friend really friendly service rose latte disappoint
2021-08-05,1,barista refused service came thursday early morning try rose latte inside sparse 5 customer inside barista totally ignorant waiting front line eye exchange greeting nothing asked kind pastry bakery counter front rolled eye said everything croissant still wanted try rose latte proceeded order rolled eye saying sorry ca n't puzzled asked said busy ca n't looked away wtf cafe 1 famous rose latte 2 busy time 3 asked sitting cafe instead grabbing go give barista enough time make latte making rose petal house ingredient ready go people cafe started look direction feel embarrassed decided leave extremely unpleasant experience cafe shop non-busy time refused serve signature drink customer wtf n't want bring fact minority onto table even though non-white people cafe time minimum baseline extremely unpleasant unprofessional experience recommend would come back yikes
2021-07-14,5,coffee pastry good stopped friendly wonderful service great spot hoboken
2021-07-01,4,another overpriced omgcute shall say victorian cute exactly decor thankfully another hipster place indoor outdoor seating cozy loud crazy music thought book free wifi
2021-06-17,5,went first time yesterday pleasantly surprised ordered iced matcha latte oat milk pump vanilla perfectly sweetened liking still contained strong matcha taste boyfriend got flat white whole milk loved much got iced latte almond milk go quality coffee bean friendly barista quiet location cute aesthetic new go place ca n't wait return
2021-06-08,3,went cafe really wanting find another regular spot neighborhood unfortunately missed mark ordered rose latte avocado toast roasted red pepper friend ordered coffee spinach kale pie rose latte looked absolutely gorgeous really mug steamed milk rose flavor sure expecting n't hit spot avocado toast ok spinach pie shared friend soggy warmed microwave lost crispness texture loved beautiful presentation decor place n't know tempted give another try based cost versus disappointing taste spinach pie
2021-05-29,5,love coffee shop people work always friendly drink size substantial
2021-05-23,3,place good nothing amazing got rose latte assuming espresso surprised n't 8 rose syrup milk bit confusing avocado toast okay also overpriced ended ordering regular latte good best part place aesthetic entire place pretty decorated wellgood instagram picture looking going come would definitely suggest getting regular coffee latte food drink arent worth aesthetic
2021-04-09,5,boyfriend stopped day try rose latte thought looked beautiful got one tried spinach cheese croissant chocolate bread everything delicious rose latte 8 pricey wo n't get often pleasing look smell delicious like rose come cute little macaron regular latte okay almond milk always plus chocolate bread soft fresh overly sweet would order would n't get spinach cheese one since mushy flavor nice however definitely return
2021-04-05,4,cute little cafe tucked back corner hoboken classic coffee shop menu sun drenched area sit sip lovely atmosphere good vibe quirky classic cafe feel little pricey think starbucks price hot chocolate 5 50 standard classic cafe residential part neighborhood
2021-03-01,5,cute cafe family owned business owner nice famous rose latte beautiful came french macaron inside cafe aesthetically pleasing small bakery item pastry
2021-01-24,5,found gem one photoshoots hoboken owner balsayat sweetest kind friendly welcoming overall aesthetic sooo charming love old record player artwork wall loved choice china use mackenzie child item well turk know coffee latte ordered bold smooth drive time coffee shop review follow instagram caffeconamore
2020-12-14,4,spot aesthetically pleasing definitely great place go instagram worthy shot price bad normal coffee food got chia tea latte rose latte macaroon cinnamon roll everything great
