date,rating,review
2021-11-05,1,carlos get one star counter attendant polite helpful place get zero star actually place go though tried pastry multiple time never great sometimes n't good lack flavor stale poorly made way describing product recently rush use cheesecake bring party mortified told flavorless cheesecake filling stale crust really irks marketing branding business position pastry authority credibility food network celebrity ploy also certainly invest heavily marketing promotion basically pas lie potential consumer going get remarkably good product n't deceived place trash want money
2021-11-04,1,turning 50 year one request special cake made first comic book ever read two character rising three-dimensions tried get type cake done 40th another cake place dropped ball see review left search review time decided go thought best carlo bakery cake bos started process june wife contacted left message saying wanted cake delivered party nyc november parameter needed endless cycle phone email tag begin n't get contact august august tell u ca n't design wanted due licensing issue fine draw alternate design based original concept without licensed character sent late september phone e-mail tag began n't early october confirmed received new design week playing tag confirm would able cake turned way back june person wife talked wrote phone number wrong late october couple week event finally got detail body cake would look like stack comic cost 450 top main cake thing would screenprint rough design figure would cost 250-300 entire cake would 1000 could n't deliver pick one u website say pick-up option never noticed seen deliver show began discus option pick cake would chore sent u another e-mail week half event said baker figure might available told u n't think could sculpture cake sculpture main reason went carlo important part cake wanted cake image screeenprinted could go wegman get one two far le money finding close event major bombshell threw u panic carlo made u feel n't care making cake customer service beyond poor n't chase vendor pay 1000 seems n't try anymore famous find another place cake like
2021-11-01,3,really sure hype saw ton people taking photo front bakery confused sister said famous looking yelp look like owner cake bos anyways rainbow fudge cake slice ok cake pretty moist n't think anything special fudge frosting good really need sprinkle side service fine efficient
2021-10-31,5,fun see original location little pricey side good baked item street parking nice staff
2021-10-30,5,love pastry reservation process nice smoothly anthony helped cake reservation nice professional
2021-10-19,1,disappointed order believe 50 00 small amount cooky received someone making lot profit customer mean lot shameful bakery could charge much photo attach hand show small package received 50 00 cooky sprinkle probably cost 20 cent make live learn
2021-10-08,5,delish service good prompt sell prepared pack cupcake cooky gift ca n't wait make friend sharing carlos cake bos goody back socal real treat carlos also sell recycled bag may make modest gift somebody
2021-10-03,5,rainbow surprise cake huge hit daughter birthday party still talking month later shipped goldbelly nj ca
2021-09-27,3,like many others came show traveling rv around u plan visiting iconic place place mean something important member family 5 someone really wanted visit bakery glad got honestly would n't come back next time nj visit bakery extremely overpriced overrated try local bakery everywhere go assure baked good n't better bakery tried cannolis n't taste fresh made understand hard keep fresh whenever get expensive fancy tv featured cannoli expecting almost 8 tiny lemon tart chocolate cheesecake daughter liked price make something similar home get bigger one somewhere else tried m cooky gotten couple couple cupcake nothing else bought couple cupcake looked pretty outstanding price would recommend go different bakery get picture taken outside shop way really easy get nyc subway
2021-09-19,2,overrated spot lobster tail amazing three cake tried bland lacking cannoli n't great overall would n't go
2021-09-12,5,want one best italian desert ever spot jersey new york ca n't go new york stop must
2021-09-10,3,normally give carlos 4 star unfortunately today ordered slice rainbow cake kid received chocolate cake frosting piece missing either driver licked icing took piece cake carlos got better job cutting cake packing dessert
2021-09-08,1,spent 100 ordering cake mail son birthday party carlo could n't ship severe weather understandable refused refund order even though n't made cake would n't able make time agreed date literally made cake four day kid birthday mailed u thanks 100 extra birthday cake never ordering
2021-09-08,1,early ordered birthday cake promised delivery date arrives 5 day late cancellation email ignored staff cake going shipped sent explanation email cake shipped already even shipping label created greediness lack customer care understanding need birthday cake five day birthday celebration
2021-09-07,3,overpriced bakery cannolis lobster tail edible nothing special ton good bakery hoboken like german bakery recommend people go instead
