date,rating,review
2021-10-31,5,many restuarants hoboken confidently say chango kitchen one best around staff delightful food flavorful hot fresh around delicious location nice quiet located away washington street handful time recent last night party 12 staff attentive quickly served u hot food plus byob make anything want margarita mojitos pina coladas sangria etc short entire party blown away experience thank chango kitchen guy know run business
2021-10-09,4,october 2021 dinner food great service nice friendly atmosphere bring alcohol mix wonderful drink nice outdoor seating try like
2021-10-02,5,place always good great service food fantastic definitely one underrated restaurant hoboken must try guava cheese empanadas picadillo jinetero con do huevos fritos caballo hoboken want real restaurant actually good food ca n't go wrong chango kitchen
2021-09-25,3,cheap filling nice outdoor seating tamal breakfast 14 tax+tip nice tasting sauce kinda dry try tostada next time looked really nice
2021-09-19,4,arrived middle torrential downpour staff nice enough take umbrella store dry ordered variety food including empanadas chicken mole sauce shrimp soup empanadas tasty crispier flakier variety chicken+mole fine though may reliable source tried experiment anything else chicken drier side flavor profile bright diverse certainly back update review eating something wheelhouse fairly affordable given high quality interior setting cozy say least prepared hear conversation next par course nyc area restaurant
2021-08-02,5,amazing cuban sandwich smoothy phenomenal got milk regular water god send hot summer ca n't recommend
2021-08-02,5,great food pina colada must order lunch special delicious nice place date night
2021-07-27,5,absolutely amazing food lovely customer service returning many option menu huge range food authentic get stuff anywhere
2021-07-07,4,meaning try place longest time since live across street love indoor look n't imagine look way ordered patatas bravas start sauce flavorful main boyfriend got cubano massive good got ropa vieja far favorite thing beef seasoned perfectly tasteful definitely returning cheap price overall great service
2021-06-22,5,stopped chango kitchen friday lunch outdoor indoor dining opted sit inside since bit hot outside got bunch dish server attentive efficient friend really enjoyed pumpkin soup tomato flavor stronger pumpkin flavor beef empanadillas really great flavorful especially cilantro sauce side one downside pollo asado daily special pretty dry affordable otherwise everything great would definitely recommend stopping area
2021-06-21,2,sure place changed owner way better year ago ate several time atmosphere nice seems authentic service lackluster even customer hard get menu hard put order took long get food get go counter pay check one came others posted seemed bit attitude male server well ordered friday fish stew baccalo served lukewarm otherwise tasty cafe con leche also served lukewarm sorry wo n't returning great place similar food nearby like la casa la isla need
2021-06-19,5,place cute clean nice service food good tasty great portion albondiguitas nicely seasoned complemented nice tomato vegetable sauce loved juice blended order natural good spot stop grab juice mofongo favorite boyfriend disagrees think best one dry portion big well enough two recommended
2021-06-09,5,place amazing n't gone yet need get highly recommend steak sandwich
