date,rating,review
2021-11-07,1,horrible service waiter came every 30 minute even get order right staff phone n't hospitable coming back
2021-11-07,1,friend reservation 11:30am sunday say u outside 30 weather packed inside requested mimosa water coffee got one mimosa 20 minute waited everything else 45 minute never got coffee plate filthy never got water tried leave nonsense conveniently card different bank would n't work made pay bill phone using apple pay owner told call bank service terrible would recommend dine madison across street much better
2021-10-24,2,stopped weekend brunch comment food service disappointing started getting wife drink order wrong dropped food without silverware n't check u perhaps surprising 1-year old grilled cheese one side final slice end loaf bread restaurant personally huevos rancheros much cheese enough tortilla decent great
2021-10-23,2,food okay medium rare steak absolute hockey puck huevos rancheros kind cheese sour cream soup service pleasant probably would n't come back food price would expect lot
2021-10-20,5,place really good came brunch girl rooftop seating bar upstairs went raining food enjoyable also able find parking nearby great little spot brunch sure even nicer upstairs raining price decent huevos rancheros littttttle tooo much cheese liking ate every bite ahah
2021-10-13,5,first time server david treated u extremely kindly best waiter year man deserves raise sweet definitely coming back dine city bistro course david
2021-10-02,1,extremely disappointed service reservation roof top clean table sitting waitress behind bar eating whole meal seemly attitude refused move tighter section peach tea drink tasted watered cooked burger bun hard rock make experience worse couple next u spotted rodent move somewhere else making u paranoid would recommend place anyone drove 4 hour meet friend place awful experience
2021-09-24,5,went friend tuesday food great server karla remember correctly nice accommodating
2021-09-20,4,first time city bistro went brunch 4 people ordered little everything wing salad good everyone else said dish good avocado toast another dish shrimp everyone please food drink ok n't tell rooftop drink n't available separate drink menu downstairs n't like limited also stair bit much definitely accommodation want order something menu also cute back drop sunflower picture worthy
2021-09-11,4,sat outside dinner enjoyed food atmosphere food n't blow u away would definitely recommend stop drink tried misunderstood mule little sweet delicious good fall drink apple cider apps tried burrata tomato+basil crostini great dinner tried greek salad tasty little dry asked extra dressing better drunken pizza special cheese pizza topping pizza tasty pizza good share app meal one get later weekend night bar start get packed
