date,rating,review
2021-10-23,5,went randomly walking around hoboken gem pasta quite literally best pasta ever taste fresh give complimentary bread server accommodating kind waiter recommended bruschetta im huge fan bruschetta feel like bread tomato one completely different sooo good definitely back oh byob liquor store one block away
2021-10-05,4,place excellent food 10 across board great service intimate also byob highly recommend ca n't wait visit
2021-07-03,5,dinner ordered 1 bruschetta2 penne de carlo 3 pasta al pestoeverything sooo good always nice service def recommend place crave italian hoboken
2021-05-16,5,vegan right way thinking n't going eat anything little knowledge 3 vegan dish menu although bring alcohol bring wine n't mad got go pick one favorite mean paying anyway server name tank awesome told u bread give meal made sugar inside gorgeous well lit bathroom spotless tank generous knew talking quality restaurant high quality ingredient great spot thanks tank
2021-05-08,2,diner beware n't order special without asking price n't ate restaurant 12 year friend asked go shocked find even still business n't big social medium regular hoboken foodie blogger n't post often place table two inside 730 acoustic inside bad really hard carry conversation without yelling main menu online scannable code basic standard italian restaurant price several special though 7-8 waiter told u pointing pasta shape plate decided special lobster shrimp tagliatelle pink vodka sauce friend got pork ossobucco right dish came surprised server brought extra bowl shell cracker waiter explain lobster claw tail assumed chunk lobster pasta pasta good annoyed work lobster claw experienced whole lobster person server n't bring extra napkin small fork also forgot knife cut pork pork big dry inside served saffron risotto inedible check came blown away lobster shrimp pasta 47 absolutely absurd wonder n't menu special would never ordered known easily get lobster pasta 30 court street sirenetta favor go amazing italian byob restaurant town one food much better hidden cost
2021-03-13,5,time absolutely love chicken milanese best town service always solid treat customer respect rigatoni dish also excellent continue go back
2021-02-20,5,food trattoria saporito amazing n't look like much outside definitely worth byob great food great service
2021-02-17,5,came night valentine day pleased experience old school italian food loved fact byob everything delicious classy ambiance gave complimentary bruschetta meal well
2021-02-16,5,family valentine day six u night difficult find restaurant came across lovely night food amazing service exceptionally great overall one best restaurant experience
2021-02-05,5,radar italian place sometimes go often take recommend chicken marsala vegetable thought reasonably priced quality chicken vegetable
2021-01-09,5,lasagna good like italian grandmother would make portion finish plenty cheese exactly like veal parm cooked perfectly came choice vegetable pasta best part amount choice pasta typically get veal parm n't get pasta hard give go italian
2020-12-14,5,great service delicious food generous portion thoroughly enjoyed time restaurant
2020-11-15,4,went outdoor dinner friend accommodating even though walked without reservation busy dinner rush ordered different lobster dish special day really enjoyed
