date,rating,review
2021-10-26,4,came sunday 7pm friend going away gathering friend reservation seated promptly place warm atmosphere got fried chicken sandwich bacon 3 extra honey mustard side sandwich came fry chicken sandwich ok probably get something else came back shaved steak sandwich looked really yummy honey mustard great would probably come someone wanted meet parking suck per usual would give 3 5 star reason 4 star great service honey mustard must
2021-10-25,3,recently visited del frisco second time pandemic time took couple friend called advance make reservation always wait hoboken location ordered crispy artichoke cauliflower steak fillet mignon first time food definitely pricey portion good one person flavor fine nothing stood impressive however atmosphere always great restaurant right across new york skyline added bonus
2021-10-20,1,del frisco time always good experience however today ordered steak uber eats arrived completely raw
2021-10-16,3,came del friscos hoboken sunday afternoon girl brunch parking need street park find garage inside big sophisticated give upscale american vibe unfortunately n't translate food ordered brunch menu ordered short rib hash everyone else got egg purgatory barely short rib dish lt felt like paid 24 bowl potato sprinkle leftover cubed steak n't try egg purgatory presentation weird literally squeezed line guacamole pita looked extremely tacky would looked much classy sliced avocado side aside appearance everyone said tasted fine overall experience average awful amazing felt par bonefish grill season 52 may consider returning give lunch dinner menu shot
2021-09-16,1,wish could give zero star entire staff racist ruined birthday dinner moment friend got waitress n't tend u ask multiple time place order watched walking around white people table asking enjoying food mind n't even take order top got order wrong even waiting long order knew birthday sitting waiting finishing food 30 minute expected bring cake friend could sing happy birthday instead walked right past went white people table sung happy birthday lady brung dessert friend complained n't tried say forgot wow way treat customer smh point cause whole time noticed n't treated everyone else wanted leave n't even care mind u spent 400 food smh would never go back place much discrimination
2021-09-12,5,dinner first time since pandemic food great ever rib best southern fried chicken sandwich delicious tender sweet potato fry also best restaurant appetizer drink great well service friendly always price might little steep especially appetizer like crabcake pretty small portion size overall food well worth
2021-09-11,1,horrible service went friend brunch manager man vest refused check one 5 patio table open saying let wait hostess get back took 15 minute sit u stuck head door bark u 5lb baby dog issue trying give water never go
2021-09-09,2,visited establishment family dinner service pleasant friendly however dining experience whole subpar first warning sign came steak arrived blank white plate lacking sort side garnish sauce honestly felt like patient hospital served sanitary meal steak good flavor could tender note knife given specifically steak incredibly dull made eating process arduous say least went high hope heard good thing left unsatisfied side note family member familiar various cut meat claimed ny strip looked atypical steak experience needed confirm
2021-09-03,4,food good service location bit dated time supporting local eatery
2021-08-25,1,racism alert beautiful place hoboken hell racist server server courtesy offer u menu asked said late sorry u order assume asian heavy heart gave u menu hardly interested noting wantedhe rolling eye extremely rude made u feel unwelcome 6 year usa never felt unwelcome place wish place hire better server
2021-08-25,1,bad experience waiter speaking italian accent big time racist rude arrogant bad experience
