date,rating,review
2021-10-24,1,shocking poor service food hit miss good steak couple time also terrible steak couple time last time tried going girl entrance disengaged aloof decided never go back past experience service n't great wo n't giving dino harry another chance despite lived town many year overall desire support local business wish would take heed review online service commonly panned
2021-10-17,1,owner arrogant disrespectful uncontrollably unstable place disorganized would never ever recommend establishment anyone 1 10 give restaurant one top saw two cockroach
2021-10-14,3,coming year every year year feel special used service good attentive food quality gone ceasear salad nothing special even flavorful steak good think try someplace new next time
2021-09-17,1,without doubt worst steak ever customer service lacking crime charge 50 buck steak turned overcooked full fat save cash go find real steak house city
2021-09-11,3,friday night dinner outside 4 september food good porterhouse 3 well cooked however bill contained 30 fee paying credit card really spent 377 dinner 4 getting charged giant fee without communication ok return
2021-09-01,5,big group went saturday night managed get outdoor table inside packed would enjoyed crowded noisy steak eater place good get others salmon shrimp dish salad side dish service attentive portion size good price high side parking major pain private lot block two ago street parking tricky whoever designed parking sign street must drug
2021-08-11,5,first visit hoboken never want eat anywhere else wow great experience choosy restaurant since wife amazing cook dino harry disappoint food service ambiance apart steak appetizer impressed quality wine thought reasonable price family met old friend n't seen many year wife dino harry made evening perfect
2021-08-06,3,came saturday night ordered fried calamari start medium rare porterhouse 2 creme brulee corn gnocchi creamed spinach everything ok nothing bad amazing porterhouse came medium rare strip side well done filet side service mediocre waitress attentive leave feeling like go back anytime soon
2021-07-19,5,love service delicious food would recommend try especially salmon loved thank
2021-06-25,4,n't normally go steak house think huge rip special occasion work surprised say satisfied dinner table ordered octopus calamari empanadas start octopus fantastic extremely tender cooked perfection calamari great well empanadas okay ordered 16oz porterhouse good cooked exactly asked medium rare enjoyed every bite side la carte dino harry classic upscale neighborhood steakhouse feeling bougie mood good steak place
2021-06-20,2,used good service completely fallen friend owner forget wait forever table also n't even bother trying use website pickup delivery n't work
2021-06-04,1,absolutely horrible expensive restaurant new jersey nyc quality taste food justify price either also try sneak 20 fee credit card top tip owner disrespectful rude treat customer like trash would go back place anyone paid
2021-05-22,5,honestly ca n't believe would even single review 5 star place everything terrific ambiance staff course incredible food highly recommended
