date,rating,review
2021-11-05,5,fabulous molfetta sandwich cannoli really fresh foccacia quality ingredient new fav ital deli
2021-10-14,2,great food order often get delayed take forever sitting around wasting time waiting great experience wish owner would look food good experience leaf questioning order bunch spot hoboken shame really waited 90 minute 3 call restaurant saying driver way last 20 minute finally gave asked refund great customer experience
2021-10-09,2,really lili food pastry avocado toast kill however service terrible go 5:30 staff mop foot bring chair table n't understand purpose closing 7 pm welcome 5 place lack management oversight
2021-07-08,2,good sauce pasta bad dessert cooky pastry go giorgio street washington want good pastry far best tri state area
2021-07-02,5,glad passed living rivington would go broke across street instead going every day would every day 5 star authenticity taste like italy talking real italy hbo version started drinking coffee son born course italy palate coffee espresso cappuccino best nice blend nuttiness roasted aroma biscotti perfect gelato taste like italy chocolate best like faux stuff taste like modified baskin robbins
2021-06-23,4,great neighborhood staple serf fresh tasty food order cobb salad day always prepared fresh delicious sometimes pop perfect coffee biscotti treat week took mom sit lunch cobb salad tried panini chicken fresh mozzarella roasted pepper pesto yummy dish generous size presented nicely also great outdoor seating plenty space large awning escape heat sun staff friendly really love great hour always seem open need place eat lunch breakfast place hoboken still open dinner
2021-05-14,2,went treat kid hard week sat outside younger kid made shape chalk table two men came looked ashen started squirting table right leg cleaning solution gruffly asked u immediately move different table n't ask u clean even talk u started squirting u started eating spent lot money food cry child felt done something bad told n't fault n't sure men acting like reached later place afterward asked maybe could talked u first handled kindly rather making child cry got zero response n't side something wrong two men came started squirting gruffly told u move least could done responded u parent grew hoboken often also know lot place hoboken enjoy baked good decade without making child cry figured give chance reached figuring maybe manager talk worker still got response positive thing perhaps see next family celebrating something enjoy meal outside bad memory actually positive review good come alternatively could put sign saying n't want family business glad crisis almost hope lot nice business open neighborhood lot people praised delivery maybe gotten wise dealt people outside premise
2021-04-25,5,loved skim milk latte perfect order even though normally prefer flavored drink small cannoli great good true ricotta flavor also like play normal pop music inside outdoor seating without service casual also free wifi
2021-03-23,5,ordered delivery chownow money business gunhub seamless doordash ordered lobster tail sfogliatelle nutella bomba fried house made fresh mozzarella house made meatball house made meat lasagna iced coffee latte almond milk order arrived little later expected ok bc everything delicious love label box meatball arrive cold heat solid light weight hold together nice light herb flavor wow marinara incredible highly recommend got large quantity 6 meatball 8 75 excellent definitely order nice size house made meat lasagna also excellent perfect size two u decent amount meat sauce good cheese perfectly melted price little high 16 item good would order lol definitely worth fried house made fresh mozzarella delicious perfectly salty crunchy great stretchy texture fresh mozzarella 8 sooo worth would definitely order good iced coffee good latte almond milk okay nutty flavor espresso n't mind price n't bad lobster tail sfogliatelle bomb amazing fresh soft bomba wish nutella filling lol good lobster tail sfogliatelle made well perfectly crunchy outer layer thick creamy citrus inside lobster tail chocolate inside sfogliatelle worth sure ordering dolce solato
2021-03-18,5,went place today pick zeppolis italian boyfriend saint giuseppe day tomorrow 3 different kind chantilly one delicious absolutely fresh opinion pastry must fresh order taste good place clean everything look amazing definitely go back try thing staff friendly place washington street carlos bakery definitely learn want dessert perfect presentation tasteful time definitely place ca n't wait try thing
2021-01-19,5,love soup pasta good value delicious food lentil spinach chicken noodle soup excellent
2021-01-07,5,dolce salato amazing pasty ever donut incredibly fluffy light coated sugar hint lemon love skimp pastry filling tried lobster tail chocolate croissant stuffed filling ordered parma sandwich lunch today takeout delicious fresh mozzarella prosciutto soft focaccia sandwich larger expected came small side salad overall price worth meal staff properly following covid protocol friendly entire time felt safe welcomed establishment
2020-12-16,2,nice cafe hoboken nicest staff pro variety choice menu look delicious unfortunately got try small sugar cooky sprinkle firm good way good reasonable pricing con came friend kid watch small snack use bathroom cold day upon coming one staff member gave u rude look like want u off-putting staff member assured u okay nice n't think returning since many cafe give service whose staff behave rudely customer
2020-11-29,5,place go coffee breakfast every weekend coffee delicious bakery fresh recommend vanilla bombolone staff friendly helpful place beautifully decorated reminds modern european bakery madrid also love outside space
2020-11-08,5,place amazing great food even better dessert coffee come every time hoboken
2020-11-04,5,amazing coffee friendly staff tried calamari salad chicken parm entree take delicious big portion well worth price definitely go back
2020-10-27,4,place variety baked good always looove custard custard filled donut croissant good filling satisfying save custard eating pastry n't enough chocolate mousse cake well made cannoli stale cannoli pre filled still crispy fresh overall happy quality
2020-10-25,1,passed one day loved look place giving one star today remembered went try food poor decision nice clean good looking place woman helped maybe tired gave feeling wanted soonest staying told wanted said chose something else could n't warm requested n't find difficult anyway chose something else n't even helping left came back food ready soup bland finished pepper bottle salt nothing helped boiled water sandwich salad dressing acidic taste needle say wo n't returning place restaurant saying bad need patronage please make effort nice cook well people go never going ever
2020-09-02,2,food drink mediocre menu stated item delivered described issue bought owner attention extremely rude unapologetic two star yummy pear salad returning
2020-08-04,5,came quick latte covid wanting try place since opened many beautiful pastry ordered rainbow cookie 2 skim latte go rainbow cooky 7layers good latte delicious price point reasonable decent amount street parking block
2020-07-14,5,happy back reopened delivery always serving large portion never leave hungry even left over plus nitro cold brew amazing
2020-02-16,5,great coffee desert even better weekly menu n't originally realize offered lunch option decided give try eggplant parmesan flatbread lasana excellent everything homemade red sauce great definitely returning
2020-01-23,4,want love place definitely pricey coffee delicious atmosphere lovely perfect go friend loved one chat coffee also wifi option 2-3 time awhile share pastry nutella croissant something awhile kind place get
2019-12-09,5,clean delicious beautiful complete modern vibe absolutely classic recipe food whether coffee lunch dessert always pleasure stop
2019-12-07,3,located restaurant desert hoboken got panini came side salad admit tasty filling thought would little pricey panini side salad go back passing probably would n't make special trip also open trying item little pricey
2019-10-19,1,stopped dolce salato first time yesterday nice cup coffee purchased pasterie two pre-made dinner go cheap 10 dollar ziti 19 dollar salmon put refrigerator night popped ziti oven dinner tonight complete disappointment rancid edible frankly scared try salmon warning everyone n't ever buy doce salato pre-made meal throwing dinner away money spent
