date,rating,review
2021-09-29,5,old school one best bakery ever bread amazing flavor perfectly cooked great chewiness
2021-08-28,5,going place far best baguette ever parent visiting abroad also said best far
2020-12-20,5,best sfogliatella ever crispy flaky outside perfectly moist flavorful inside ample powder sugar also like nonsense style looked like selling 3 thing sfogliatella bread cold tomato pie cash n't recall even register packed pastry pizza box best sfogliatella ive ever
2020-08-16,1,asked local best italian bread hoboken one two place suggested disappointment bought two loaf bread meat bread pizza picked item 11:30am served 1 stale
2020-06-15,1,went today staff really rude reason wanted go support local business rather give money another shoprite interaction
2019-09-27,5,nice traditional italian place really like cheeseless pizza great price
2019-09-03,5,ship bread sinatra good bread scratch great bread living california 40 year every time fly back nj buy loaf doms bread lb butter sit hotel room city eat whole loaf crazy bernie may bloomfield bread heart hoboken
2019-05-23,4,dom awesome come around 6 week get awesome bread still piping hot problem coming early pastry n't available around 8-10 time day double park street without getting hassled store 5 minute
2019-04-07,5,hoboken institution specializing bread pastry bread focaccia good get favorite bread tomato focaccia round basically thick crust pizza without cheese take home add favorite mozzarella topping bake best semi home made pizza ever go early day n't bake unlimited supply gone gone
2019-03-28,4,come early town n needed kill 1 hr search place came coffee n light breakfast sit great place grab n go
2019-01-21,5,ordered five medium loaf bread family party everyone could stop raving bread begging u take home bread good people run dom friendly accommodating make customer feel like family highly recommend bakery resident outsider hoboken
2018-10-22,1,fly everywhere food open n't wash floor look
2018-09-30,5,one best kept secret hoboken throwback day hoboken one-stop-shop acia bowl pressed juice need go 8 find dom behind counter helping older guy super friendly know everyone walk door evidenced variation dom everyone shout go pick bread order coal fired oven back use 120 year throw back day trendy gluten free sfogliatella sfoy-a-dell neither grew north jersey interest actual italian pronunciation first go get early took 4 trip actually able get hand one good reason easily best ever addition various type shape honest bread find two size tomato focaccia unbelievable one morning dom chatting asked wanted see oven kind crazy large probably 10ft deep 20 ft wide inside friendly guy hope dom continues dom eventually retires would truly tragic lose another great hoboken bakery cater shallow want desire pretentious paycheck-to-paycheck millennials comprise much hoboken
