date,rating,review
2021-11-06,1,wish could leave zero star upon walking establishment greeted ask seated customer knew hostess located hostess finally decided finally greet friend told wait outside please keep mind freezing outside friend asked manager rude hostess claimed manager want disrespected welcomed go right ahead visit place
2021-11-06,1,manager establishment rude hostile n't greeted treated kindly told u stand outside wait cold even tho seating available one jump toracial conclusion much one moment woman color prayed never face thank much east la showing uncomfortable night life
2021-10-29,5,amazing service amazing margs amazing nacho great music quick service everyone extremely friendly helpful 10 10 recommend especially happy hour drink apps
2021-10-26,5,really cool place good fajitas churros great place watch game friend
2021-10-24,4,great food liked quesadilla soft crunchy veggie enchilada good n't like rojas sauce try another sauce next time
2021-10-05,4,good food strong drink terrific price loud music thank god snotty waitress n't even serving u
2021-09-21,1,give place star cause thing good chip salsa service absolutely suck bald guy beard kept telling customer seat bringing ice water got ice water everyone seated except ask waitress ice water messed food worth price portion extremely small going back bald guy came ask okay standing outside minding business could n't bring glass ice water smh like bring water everyone except one person would recommend place n't waste time money
2021-09-20,1,finally went back friend n't take order 30 minute stand get someone n't even busy asked napkin utensil n't bring waitress ignoring u asked something else go sorry busy back never come back bizarre called hour food waved hand air walk away friend asked manager manager seemed annoyed saying something waitress said know friend told waitress come back asks work long working weird n't even apologize behavior mandatory gratuity fee maybe give trash service
2021-09-11,5,really good food indoor outdoor seating got sangria taco thought everything tasty also unlimited chip salsa would definitely recommend
2021-09-03,3,looking great mexican restaurant hoboken great service margarita delicious foodwas okay likely come back great happy hour price
2021-08-21,1,horrible food greasy everything tasted stale like made day ago ship black burned oil spot mean cooking oil week add 20 automatic gratuity bill two party saturday lunch margarita decent would never return
2021-08-13,3,5 star margarita cheap tasty strong 1 star food main course par average 3 star place would recommend anything drink owner young guy nice attentive rocked positive mood appreciate
2021-08-08,3,good food price friend got steak quesadilla best dish among chicken chimichanga chicken quesadilla frozen margs yummy v strong lol service decent
2021-08-05,1,changing review cux time friend like sh hole n well near today last time ever going 1 asked regular menu n n't even one online n annoying 2 waiter sarcastic hole n gave u away another waiter cuz asked chili con queso took 35 min like take long pour cheese cup n got queso well gave 2 tip  3 food soooooo greasy idk one would like much oil burrito like many time drink n decor n overall place suck food good even sad upset mentioned iv many time insinuating meal multiple time never like waiter sarcastic dickhead said oh sorry n't recognize like n't expecting u recognize mind u standing around much absolutely reason place dirty took long deff reason service sucked
2021-08-02,5,food really good ambience great steak dish high quality really yummy
2021-08-01,4,nice little spot quick bite taco platter probably best option 15 4 taco side rice bean frozen margarita pretty basic would n't mind dropping try item menu
2021-07-31,1,get minor detail later biggest reason giving one star watched lady bartender shot hair eat chip salsa behind bar use hand wipe nose immediately reach bucket pre cut lemon lime girl covid time acceptable also pre pour water leave sitting bar guest arrive weird long really take pour fresh water chance bug flying chip stale probably something pre plated salsa bulk guest arrives ordered margarita basically shot cheap tequila margarita mix slushee machine food took long manager least think yelling even mentioned specific food ordered right front sent employee back check reader taking initiative manger deal problem good luck everyone one pro staff nice eating floor waiting people go know hoboken class
2021-07-28,2,went saturday got table almost immediately felt whole experience rushed different staff kept coming asking question even look u talking gave u chip salsa soon sat average place order drink mango margarita frozen strong could taste mango flavor coronaria nothing bad nothing great presentation fancy ordered veggie quesadilla cheese veggie delicious fajitas gave u grilled veggie tortilla never got sour cream guacamole disappointing enchilada served bean tasted okay person came check u everything n't even wait hear answer lol menu said 20 gratuity table 4 3 gratuity 20 added default overall nah disappointed recommend even though liked margarita
2021-07-25,1,went sunday got outside table immediately food okay nothing special service horrible waiting long time one stopped take order find server keep waving hand ridiculous thing charge 20 tip default horrible horrible service kidding never return place
2021-07-24,2,people rave rita ok cheap strongthe service questionablebarely decent n't know seem decent food nothing special price wo n't kill vendor food way better
2021-07-21,4,place twice service good serf chip unlimited good spot frozen drink tasty taco
2021-07-11,3,east la margarita staple hoboken since time said place recommend dinner unless looking pregame night 3 star drink two margarita take fine zonked food alright nothing id seek enjoy get lit get snack eat dinner elsewhere
2021-06-22,3,great drink food pretty mediocre schoolyard nacho pretty gross steak perfectly cooked delicious rest nacho gross taco salad good steak burrito really disappointing great atmosphere good place grab margarita n't expect great meal
2021-05-20,4,place pretty decent happy hour appetizer affordable tasty fajitas n't bad either ambience food general decent know small penis
2021-05-19,5,amazing atmosphere delicious drink tasty food streak fajitas suffered tummy boner climaxed pico de gio awesome service great price unforgettable experience
2021-05-11,5,friendly host pretty chill environment good food looking something quick eat recommend place
2021-05-10,5,great service quality food reasonably priced fun ambiance overwhelming covid cautious delicious margarita recommend visit
2021-04-24,5,love margarita amazing perfect price watered taste amazing highly recommend ordered chicken quesadilla good would definitely get fresh guac sour cream pico love place
2021-03-25,5,taco made tuesday went craving taco warm weather around 6pm already packed missed happy hour 3-5pm satisfied ordered margarita nacho taco blown away juicy everything feel like taco place everything ready throw everything together east la keep meat moist pork steak steak flavorful juicy deliciousness shrimp okay comparison steak opinion nacho flavorful contained jalapeno tomato sour cream piece covered place throw everything top blown away flavor n't think place 100 authentic definitely hit flavor profile def must upcoming warmer day
