date,rating,review
2021-11-08,5,cozy friendly environment top notch service front staff rare find indian restaurant best quality food balanced spice try cocktail drink mine favorite jaljira tamarind margarita
2021-11-07,4,girlfriend ventured empyrean indian kitchen friday date night greated door immediately seated inside classy elegant ambiance started order drink tasty bit expensive side recommend trying empyrean known indo-fusion cocktail appetizer shared steamed chicken momo phenomenal chicken well cooked opted steamed version fried stay healthy side fan dumpling definitely like dish lastly finished order garlic naan chicken tikla masala taste gravy excellent definitely hit spot overall highly recommend empyrean one better indian restaurant downtown hoboken
2021-10-24,4,came empyrean friday night boyfriend restaurant outdoor seating decided eat indoors loved decor vibe service fast well served complimentary papad chutney started drink got mumbai mule boyfriend got tamarind margarita great lot indian fusion cocktail menu looked interesting ordered steamed chicken momos delicious especially sauce came entree split chicken tikka masala garlic naan asked 4 5 spice level able meet dish flavorful portion enough two people share would definitely come back
2021-10-23,4,would given five star past couple order getting uncooked food dust food acceptable charge premium food restaurant started great food looked like paid attention cooking
2021-10-17,5,place incredibly rated food unbelievably delicious thing hate live manhattan drive every weekend enjoy delicious food fancy place n't dress wear stretchy pant sneaker bring family excellent food good service
2021-10-09,5,omg amazing food amazing service waitress name mumtha sushma super sweet yes actually asked name welcoming treated u well authentic indian food must say full flavor party mouth definitely go family
2021-10-07,5,cheese naan fried chicken momos chicken tikka masala lamb vindaloo absolutely everything delicious first time back service also fantastic
2021-10-07,5,food amazing cheese naan chicken tikka massala flavor packed right nothing overpowering highly recommend
2021-10-07,5,amazing food superb service highly recommend vegetable biryani dal makhani kadai paneer also awesome careful ordering spicy get spicy medium spicy work best
2021-10-07,5,late night dinner hunt arrive right place satisfy hunger indian kitchen delicious fine cocktail always habit ordering cocktail weirdest name time gujju misunderstood smash whiskey lover one drink hint ginger fresh mint cucumber friend ordered somrus mango martini drink taste fan okay coming appetizer ordered delicious steamed veg momos try sure visiting kitchen main course ordered tandoori roti paneer kaju makhani tried combination first time tasty order medium bit sweeter however go spicy one rice provided side curry ambience perfect service excellent friendly make sure get like keep checking case issue food need anything else thank hospitality kudos cook serving delicious food
2021-10-02,5,recent find must say best momos found jersey addition menu cocktail basically spinoff traditional one recommend mumbai mule
2021-09-30,5,one best indian restaurant encountered really enjoyed vibe food really good n't forget momo please
2021-09-28,5,town day love indian food never know going get travel around country visiting different place reviewing family 5 teen pre-teen 8 year old kid pretty picky everyone liked food ordered chicken curry chicken tikka masala lamb roganjosh everything delicious plenty kid loved loved naan tried garlic naan onion naan plain one server nice also restaurant located convenient place close train nyc nice could use bathroom going back ny noticed gratuity added check state city around country included group 5 guess ok noticed reviewer mentioned restaurant pricey side compared city assume normal area country would go back restaurant
2021-09-24,1,ordered delivery empyrean indian kitchen momos n't spicy sauce bummer killed experience chilli chicken bad salt extremely hard cauliflower manchurian n't cooked rawness worse indo-chinese food first time ordered look like would last time well
2021-09-24,4,food delicious butter chicken fried paneer momos inside decor modern stylish also staff friendly wait food kind long worth definitely going
2021-09-21,5,salmon amazing cooked perfectly every time food always hot arrives spinach cheese also amazing chicken tikka better karma mixed grill delicious highly recommend mix grill salmon yum price fair
2021-09-19,5,excellent indian restaurant deserves attention food ordered two curry excellent flavorful thick also love attention detail food atmosphere cutlery wall decor etc comparison indian restaurant area almost either dine-ins delivery one best definitely come
2021-09-16,5,first would like start saying would highly recommend place everyone first service fantastic waitress sushma attentive kind also n't catch name person manager owner think also came check u make sure everything going well ate outside deck plenty outdoor seating great relaxed ambiance nice lighting music etc food wonderful well got salt lassi mumbai mule drink salt lassi tasty mumbai mule great well mule little spicy great ginger taste food got gobi 65 appetizer probably favorite everything spicy flavorful would highly recommend got veggie momos awesome well great texture bold flavor lastly got chicken kali mirch flavorful delicious area chance live hour away already planning coming back would highly recommend place thanks restaurant staff
2021-09-11,5,looking best place get indian curry empyrean came good ambience ordered cocktail world peanut chaat chicken momo amazing saag chole best server sushma friendly attentive look sushma go
2021-09-10,5,amazing indian food reasonable price-portion ratio garlic naan probably best ive ever curry delicious best order one entree per person share meal family style
2021-09-10,5,great food ambience n't need go jersey city get high quality indian food upscale vibe
