date,rating,review
2021-07-18,5,really dope view duck dominated half broad walk still enjoy park close 9:15 get around 7 enjoy sunset looking city
2020-08-19,5,hoboken birthplace og crooner stop frank sinatra park answer ca n't park wedged right pier c park soccer field stevens park wonderful grassy area beautiful nyc skyline view part hudson river waterfront walkway going also outdoor amphitheater host event concert soccer field right well believe also restroom facility well since host many event really cool long walkway let go far water get fantastic unobstructed view around well also restaurant right well called blue eye case want take scenery bite eat park super clean view hard beat definitely must-visit tourist local want kick back relax
2020-08-10,5,love park lively many food option nearby sometimes ice cream truck parked front love view manhattan across hudson bike rental nearby
2020-04-18,5,awesome soccer field right water full sized soccer field split field horizontally 2 play pickup game turf relatively new good shape view spectacular make great time kid sport team taking field different sport league could hard get sometimes annoying part sure look schedule anyway get good time careful kick ball netting definitely water fun
2020-02-17,5,seriously could n't love hoboken close new york jersey city walk around washington avenue little shop people pet nicest people hoboken beautiful frank sinatra park water view wicked wolf tavern night beautiful weather warms people best place good young old
2018-11-28,5,first week came nj fell love could still see fall color came lot couple photo shoot wonderful park close cute bar cafe hoboken wonderful nyc view great spot cycling walking getting good profile picture people-watching
2018-08-28,5,absolutely love park right water gorgeous view nyc skyline supermarket walking distance away king ton great cafe restaurant bar coming year watch boyfriend play soccer enjoy every time
2018-08-27,5,ended house-sitting morris county never manhattan well frankly n't want explore opportunity share someone needed next best thing simply browsed park good view manhattan ended much worth parked main road outside park sunday morning plenty spot free massive soccer field street waterfront easy walk around view view magnificent see downtown midtown uptown anything else may missing pier going pedestrian end see george washington verrazano narrow bridge easy get wide sidewalk enough room everyone truly sight see would recommend place anyone looking good view
2018-05-01,5,another great park hoboken best view manhattan also athletic field green space much green space park plenty path run walk hoboken visit park honoring famous resident great view manhattan skyline park seems collection athletic field path park though still path along river see across many restaurant across street avoid sinatra themed restaurant ripoff tourist trap may much park two along hudson still great view manhattan park lot place run walk
2017-08-12,5,love view new york city park brought bird seed feed bird local pigeon area close town hoboken
2017-05-05,5,park definitely rock lived every day manager would send search party lasso haul work clean safe interesting path lead hudson lovely park great place exercise commune nature without roughing never feel crowded except italian festival everyone attend one zeppole alone ca n't guarantee view manhattan make date rapturous come picnic basket evening know evening bring great place come alone friend whether intend walk run sit listen lapping wave bench shade bench want bask sun ray feel like outside hustle bustle close enough eatery washington street ever get hungry bathroom clean time wonderful park enjoy life
2017-03-11,5,lesser known tourist must stop aside liberty state park restaurant area hoboken perfect place get nyc skyline view plus area stop local deli pick crepe go crazy kid jungle gym kidding around kid park awesome group 20 year old ruled playground march kid actually around playing slide made adult size slide contest plus n't love good spinney wheel adult fun hoboken filled bar club park right hoboken train station easy uber drop location stop next time new jersey
2017-01-14,5,really nice park right water amazing view nyc lot bench around sit take view park great taking walk jogging plus safe day night
2016-09-13,5,great park take stroll without kid looking new jersey sky line
2016-08-30,4,nice clean park wish parking bit closer vending machine would nice n't see view ny skyline beautiful even sunny hot day breezy wind shaddy area bench really nice lunch park kid loved soccer field walking around dock
2016-06-24,5,beautiful park huge fan hoboken since day found came wednesday evening dinner loved walking along hudson park view nyc absolutely amazing beautiful watch sunset city light get dark place lot pedestrian traffic pleasure people watch many runner cyclist walker love energy park pleasure absolutely love must visit
2016-06-02,4,preform summer concert every year well 2 year really nice place water nice also rest thank nearby say blue eye anyways good place walk relax need
2016-03-11,4,thing missing lovely park breathtaking view ol frankie one day week play greatest hit hour imagine hearing new york new york literally staring new york talk meta
2015-08-02,5,sit read book run walk yoga watch sunset watch sunrise whisper sweet nothing ruminate get quality time take free performance summer amphitheater frank sinatra park perfect every occasion every moment honestly feel jewel hoboken crown pristine beautiful offer unparalleled view nyc day night come enjoy bring friend
2015-07-02,4,amazing space hoboken done excellent job year ago nice place buy drug get stabbed much today open space used runner sunbather fisherman dog kid everything island cool hard beat view worth taking walk wo n't regret fun
2015-06-06,5,beautiful view ny great destination take people visiting town kid park close many pier love taking family long walk along water grabbing bench park stopping blue eye restaurant eat yummy pizza gelato kid get really close water fence careful
2015-03-03,5,great free summer concert breathtaking view manhattan especially sun set
2015-01-30,5,think rather writing review post lyric billy joel new york state mind folk like get awaytake holiday neighborhoodhop flight miami beachor hollywoodbut taking greyhoundon hudson river linei new york state mindi seen movie starsin fancy car limousinesbeen high rockies evergreensbut know needingand n't want waste timei new york state mindit easy living day dayout touch rhythm bluesbut need little give takethe new york time daily newsit come realityand fine cause let slidedo n't care chinatown riversidei n't reasonsi left behindi new york state mindit easy living day dayout touch rhythm bluesbut need little give takethe new york time daily newsit come realityand fine cause let slidedo n't care chinatown riversidei n't reasonsi left behindi new york state mindi taking greyhound hudson river line'cause new york state mind
2015-01-04,5,beautiful park view nyc amazing many people camera taking selfies view city even saw couple getting engagement photo done park nice open area playground little pier walk boardwalk give hour check whole park see offer
2014-12-28,5,intending go quite awhile previously weather sun never conducive great photo yesterday late afternoon perfect view overall wonderful ambiance make one nicest park anywhere physical setting quite lovely peaceful view superb
2014-09-13,5,place one reviewed along hudson river line enjoy peace mind also city never sleep manhattan midtown enjoy skyline one time need get crowed street manhattan
2014-07-18,5,amazing park 1 24 7 always open 2 great view nyc hudson river 3 pier 13 pier pier c amazing walk get food 4 great place walk
2013-11-04,5,really great place anyone park run walk contemplate navel sit fish even amazing view manhattan
2013-10-14,4,good view nyc skyline love view side long island much better
2013-09-19,5,love walking park fine day great view city lot place stop rest long way dog love walk park although dedicated dog run sometimes even convince friend live manhattan come walk park skate park little cafe also ever dire need parking usually find spot hill start
2013-09-18,5,hoboken lot thing going let clear amazing view manhattan west side rank high list frank sinatra park great place see view park going view lot business close whenever festival us park people really get enjoy also added extension recently made kid friendly looking enjoy family accessible car public transportation also big plus
2013-08-26,5,great spot hoboken good child couple group friend etc play area little one amazing view walking path rest
