date,rating,review
2021-11-05,4,grand vin staple drink dinner really amazing food good portion classic meal
2021-11-04,4,hyped spot decor ambiance amazing live music dim lighting apps tuna tar tar calamari meatball truffle fry decent main halibut good two different pasta kustokay short rib good drink good pricey service also good
2021-10-14,4,ambiance place unmatched definitely would suggest making reservation ahead time sit odd cute location front door get glass rose fav start 14 per glass definitely small pour delicious charcuterie 6 combo board share tuna tartare amazing definitely needed crostinis board loved meat cheese also enjoyed live music well even though packed music playing n't loud could n't hear across table talking friend wait come back try short rib risotto perfect late night find hoboken open midnight week fyi
2021-10-10,2,disappointed read review thought place potential nice place ambience everything else good waiter recommend wine suggested malbec gross could n't finish order stuffed shrimp appetizer could n't eat fishy taste care decided try different appetizer apprehensive ordering scallop appetizer shrimp bad good nothing waited waited waiter take entree order never came back literally sat seemed like hour waiting order something else one came actually go bar ask pay bill n't think back
2021-10-06,5,fiance first date 2018 come back anniversary brought friend family place never disappoints
2021-10-05,5,grand vin hosted u engagement party honestly one best day life highly highly recommend looking host shower kind celebration start restaurant happy place come week ether dinner enjoy drink bar considering engagement party knew would grand vin decor reminds napa like slightly rustic also super classy wine bar n't even need much decor string light greenery throughout restaurant set perfect romantic vibe service top-notch amanda mike manager communicative helpful organizing everything able drop decor day prior leave everything fully hand execute spent first 45 min party hanging bar area passed appetizer seated dining room meal timed course perfectly portion incredibly generous food insanely good everyone kept talking dream sea bass gnocchi time 45 people seated back dining area fit bit rent whole space also parking garage block away super huge plus hoboken venue
2021-09-28,3,came grand vin best friend celebrate 27th birthday n't reservation day offered u comfortable seating bar great lighting ambiance mood place immaculate live music playing saturday night shiny light placed everywhere light place pretty dimly lit begin loved quaint simplistic decor wall bathroom also super clean well lit smell like lavender loved clean music make want sway seat loved aura created parking general easy hoboken definitely n't area either especially busy saturday night leave extra 10-15 minute reservation able find street parking term service bartender super nice promptly asked u drink choice giving u enough time scan qr code peruse extensive wine list came back ask u appetizer dinner choice issue asked app first truffle fry could munch wine chose little bit dove dinner ended coming big deal small caveat sure specify want app separately visit picked cheapest white wine honestly delicious dry perfect amount sweetness paired well food fry mentioned die sooo hot could tell made perfectly seasoned love mixing mayo ketchup dipping fry mayo-chup recommend trying choose visit really really good grand vin took fry another level kind hoping better dinner food got small portion ravioli 16 got three piece ravioli three like snack small plate delicious topped red pepper flake n't think worth price bff got rigatoni cheese sauce vegetable vegetable singular chunk cucumber dish kind bland even adding pepper flake sauce n't offer much also similar price would n't even mind paying price dish absolutely delicious least ok filled dish sadly n't either get dinner sure get large plate large plate ravioli would good move think stray away rigatoni n't think back good experience one time try
2021-09-18,3,loved food 3 star wife loved drink service lackluster host n't seem thrilled checking u reso take u table phone rang answered put pause host past year phone always last priority accommodated guest front u waited minute finish phone convo finally ready take u table got n't gesture even verbal indication 5 empty table stared wife asked one said yeah interaction little surprising place setting seated table sat behind u 5 minute u already greeted bubbly server brought water engaging menu host must noticed u looking around went server tell sat section whoop took minute get table interaction minimal personality pretty much matter fact shadow outdoor section maybe overwhelmed shadow nice showed personality asking liked food checked asked 1 3 plate dropped another thing thought odd first drop cleared put silverware plate try full clear however busser watching u place silverware plate removed silverware placed back table tip fork directly table thanks asked new silverware definitely return food everything spot service expected
2021-09-01,5,staff attentive atmosphere always buzzing food good cocktail great always look forward next visit closest get le vibe side river
2021-08-11,5,love wine bar great service cute super cozy vibe chicken entree vodka sauce really good well pasta rigatoni capellini great food drink menu live music friday night
2021-08-08,1,n't waste money n't understand place high review food horrible none staff knowledgeable wine wine list tiny overpriced full nothing mediocre wine hoboken wallet deserve better
2021-08-07,4,mean food amazing honest tooo busy yes busy good thing connection waiter also key waiter seemed overworked really excited engage contact customer love place hopefully one thing improve
2021-08-04,5,many family birthday dinner come early want quiet evening place dark loud lively night almost never order pasta go seemed like place delicious angel hair yum could done without pea imo would loved fig also sprout salad drink crafted well staff member great attentive helpful way n't face loud try-hard
