date,rating,review
2021-08-11,3,great service average food first time give another try gyro meat pretty dry tasty
2021-08-03,5,delicious best greek food hoboken hugeeee portion price would definitely recommend
2021-07-22,5,greek town honestly one best greek food place nj go hoboken specifically greek town never disappointed
2021-06-23,3,yeero sandwich delicious really nice staff place smelled like burnt oil ac blast day 90 outside grilled calamari undercooked flavor might bought frozen put grill greek salad good way much tomato enough red onion maybe catering clientele overall ever crave yeero spot
2021-06-07,4,solid spot greek food usually order via uber eats yeah yeah know go pick way uptown husband always get greek combo come ton protein salad pita tzatziki fry literally three meal best deal menu n't greektown put list
2021-05-15,4,craving greek food last weekend honestly want cook placed order roughly around 6pm sunday quoted hour wait via ubereats ended roughly around 35 minute win u lamb pita x mixed beef lamb yeero think lamb pita better two lamb kabob super moist tender combo yeero needed tzatziki recommend ordering side big tzatziki fan also split spicy feta dip came pita side amazing spicy great snack later week
2021-05-12,4,probably best hummus ever whipped fresh tzatziki also good thick fresh cucumber always enjoy greektown chip fried zucchini eggplant friend usually order chicken yeero left one star bc order fry order 6 00
2021-05-08,5,ordered delivery time past couple month place feel radar salad always fresh tasty portion entree large
2021-04-24,4,great food good portion got always packed gyro greek fry fast hot tasty issue lil bit pricey one favorite hoboken eatery
2021-04-24,5,ordered lunch yesterday uber eats got lamb gyro avgolemono absolutely delicious fresh authentic ordering
2021-03-25,4,got uber eats delivery food arrived pretty quickly uber eats really expensive though would n't recommend delivery greek salad good wish got another grape leaf give one cut half dressing mixed good chicken kebab platter large portion chicken really good rice lot flavor also give large pita go pita tomato red onion slice wish n't charge 1 tzaziki sauce grilled seafood salmon shrimp favorite large portion well
2021-03-25,4,ordered food takeout wednesday night friend ordered yeero order ready time estimated food packaged well individual plastic container enjoyed yeeros came tomato red onion tzatziki sauce sort like thick spread rather thin sauce like used tasted spot tzatziki sauce came pita wish even wish extra included side ask extra sauce side next time also wish green included yeero like cucumber overall enjoyable dinner wish sauce included ask extra next time
2021-03-20,5,amazing food closed month due small fire literally called every day see re-opened even left voicemail asking could call let know got back running likely busy lol spicy feta dip zucchini eggplant chip taziki best ever lemon chicken soup favorite
2021-03-18,2,fan ordered takeout first time really craving gyro ordered greek town ordered:1 greektown gyro 2 hummus3 felafeli specifically asked spicy flavor everything bland n't satisfy craving unfortunately
2021-03-11,1,would like give place better review although went customer easily attended food cold even lukewarm cold reheat cut meat fresh took metal tin used storing food good eating experience establishment clean everyone wore mask satisfied food could n't get true taste food made fresh would like food made fresh since first time ever dined explain young woman working register simple gyro nothing extra thing simple a-year-old could quickly made quick fresh
2021-02-24,5,love greek food place disappoint wasnt sure expect since food priced exceptionally well inside restaurant pretty bare bone appearance wise definitely covid hey eat eye first right pleasantly surprised garden street pita 10 came grilled chicken lettuce tomato onion feta grilled chicken delicious veggie fresh pita soft feta nice quality also big sandwich skipped lunch starving still couldnt finish could definitely split someone plus shared side appetizer satisfied speaking add ons split greektown chip friend fried zuchinni eggplant also delicious tzatiki super yum definitely would recommend place lover greek food
2021-02-20,5,amazing greektown chicken yeero fantastic fry make amazing like fat sandwich highly recommend
2021-02-12,4,ordering since moved hoboken service food always consistently delish great order yesterday delivered time gyro missing tzatziki main ingredient made dry gyro meat burnt part picked pita hoping rare fluke love ordering regularly
2021-01-23,5,absolutely delicious greek food delivery quality consistently great fast salad meat bit pricy definitely worth good size portion highly recommend chicken shawarma gyro fry hummus spicy feta dip tzatziki also incredible
2021-01-19,5,place awesome ca n't believe year lived hoboken never tried place recently stopped grab quick lunch shared greek fry boyfriend ordered garden street pita fry great overpowered seasoning pita delish ingredient fresh grilled chicken inside tender juicy also ordered side tzatziki sauce way amazing definitely going back ca n't wait try item menu restaurant employee careful wiped everything felt like clean safe place dine
2021-01-14,5,delicious greek salad chicken kind service boot absolutely loved
2020-11-20,5,falafel pita die price good food great go neighborhood takeout lunch spot
2020-11-10,5,happy favorite gyro place back open back 3 time already since opened dine-in twice to-go gyro even better bigger taziki sauce good order extra owner kat sweet dad chef mom waitress everything family ordered delicious generous portion priced right definitely try rice pudding dessert glad reopened
2020-10-26,5,love place greek closest gyro original greek hero fresh light lot flavor always good choice
2020-10-17,5,favorite never think twice ordering always good go would recommend anyone confidently
2020-10-06,1,food good although appetizer small overpriced food 45 min later scheduled called restaurant said driver would five minute driver called ten minute later saying caught traffic even though restaurant mile away e-bike hmmm n't want put faith quality restaurant lie driver show cold food n't say hello nice night despite saying apologize delay suffice say wo n't getting order anytime soon
2020-10-01,5,really good food quick reliable service highly recommend gyro must
2020-09-26,5,every time gone place absolutely amazing everything menu delicious staff kind accommodating best mediterranean food hoboken
2020-09-10,5,spot serf tasty take hurry gal hangry recent saturday afternoon good quality food tasty n't healthy nutritious satisfying want place check box went quinoa bowl w grilled chicken greek pita wrap guessed cluck cluck grilled chicken juicy cooked right nice surprise fresh hunk shredded cucumber mixed green best pita town back
2020-08-26,4,ordered takeout wednesday afternoon got yeero sandwich everything delicious fresh however would n't say best gyro life pita soft dense minimal veggie big meat eater sandwich might perfect personally would preferred bit tomato red onion felt like eating bread meat also felt like skimped tzatziki sauce gyro thin layer bottom gyro ordered extra sauce came small condiment container still n't enough liking order prepared quickly promptly upon arriving looked like lot pick order everyone establishment wearing mask outdoor table appear properly spaced
2020-07-19,1,greek favorite food given fact greek restaurant town always give last chance never cease fail gotten stone lentil soup dressing asked dry fry inside yeero short cold yeeros raw chicken breaded chicken today officially final chance got three year old chicken yeero pink yeero chunk liquid dripping hope tzatziki ultimately worst ever greek greece astoria everywhere even vega nothing ever remotely awful disappointed
2020-07-07,5,hidden gem hoboken moved jersey city still order must say price little bit expensive side worth considering amount food get tried good amount item menu everything always delicious
2020-06-25,4,ordered gyro fry gyro meat tasted great nice crisp tzatziki tasted good little thick wished creamier overall good
2020-06-16,4,hidden gem downtown hoboken food great tried chicken lamb yeero delicious go lamb pita byo decide dine service little slow opinion better grab takeout
2020-06-12,5,great greek salad gotten take time quarantine fresh hot good
2020-05-27,5,one favorite restaurant world nice casual incredible food awesome portion may seems expensive moment meal last 2-3 meal leftover always takeout great always fresh love eating person well one low key gem hoboken
2020-05-16,5,manny best great customer service helped much could manny great thanks much
2020-05-08,4,good food quick service got gyro good little bit dry enough sauce inside meat much pita combination platter also really good love salad
2020-04-21,2,recent downturn food quality increase price last time got gyro kitchen clearly ran meat tried hide stuffing gyro tomato half uncut union gross 2 piece meat 11 price also small bread stale used great spot gyro delicious fresh fairly priced place priced rated 11 gyro 8 fry 20 gyro plate side street hoboken midtown
2020-03-29,5,excellent greek food never even restaurant delivery always quick still warm greek salad delicious yeero hero probably order almost week love place
2020-01-27,1,baffled review place maybe night hour delivery monday live 7 mile place food showed stone cold pita fry soggy chicken completely cold could maybe look past n't cost 50 2 platter really grilled chicken platter pathetic go mamoun next time least half price
2020-01-14,5,moved hoboken month ago hand new favorite spot price good food outstanding enough food two meal ordered two dish made permanent customer excited share love food everyone
2020-01-12,2,got greektown delivered tonight terrible food cold yes blame grubhub also completely messed order tomato onion yeeros literally 5 fry four order tzatziki sauce yeeros disappointing used fave mine def wo n't coming back
2020-01-11,3,ooooppppaaaaa place birthday party came 30 people friend birthday many place boken accomodate crowd byo huge portion win win recommending platter two stay away salmon dry however rice good need light bite go one many salad shrimp shrimp tender good melted mouth yum
2019-12-28,5,excellent authentic greek food israeli know good greek food taste greektown authentic flavorful fresh food loved definitely come back also loved authentic vibe restaurant greek music background picture greece wall
2019-12-23,5,love food greektown best authentic greek food hoboken jersey city gone time big party 7 people accommodating
2019-12-19,2,pretty disappointed place right ordered food pretty good unfortunate took delivery order 25minutes estimated delivery time called say running late driver would touch couple minute closed restaurant point failed deliver food call back left really bad taste mouth especially since knew waiting food left u hanging really shame
2019-12-19,5,greek town delivery gyro platter great platter pricey totally worth finance actually split platter full lamb thinly sliced cooked perfectly come rice tomato onion side salad great dinner delivery definitely recommend spot
2019-12-12,4,favorite place hoboken fresh greek salad grilled chicken tell chicken made order never chewy love greektown chip soup
2019-12-12,2,place used better disappointing last 5 6 time live nearby would go place thrilled many time food ok inconsistent service pretty poor though longer go nearly frequently used hope improve greek restaurant within block apartment generally like greek food considering poor quality consistently many month confident improve improvement need start turnover staff someone come restaurant staff annoyed customer nerve interrupt time staring phone n't working industry
2019-11-07,5,definitely hidden gem food appetizer delicious six u table everybody happy nice byob option waiter christian attentive friendly knowledgeable courteous efficient could n't help give good tip nice neighborhood friendly atmosphere easy walk path food authentic portion big u brought food home highly recommend
2019-10-15,5,wait come back portion large food delicious service great grilled octopus flavorful lemony fresh greek salad make fall love salad leave well fed craving greektown week best place byob
2019-09-28,4,hidden gem garden newark gyro amazing byob
2019-09-22,1,painfully bad service ordered time consistently issue getting order correct delivery time time asked onion salad must misread put extra onion got ordered greek fry n't even included best part placed order 7pm delivered 9pm even though posted delivery time 35-55 minute ca n't wait find another option greek food jersey city hoboken
2019-09-19,4,always order lamb kabob pita food really good watch slow service
2019-08-26,4,delivery arrived faster estimated love ordered yeero lunch 11 95 spinach artichoke dip 8 delivery man nice yeero lunch come fry fry crispy seasoning good oregano yeero gyro delicious great portion size lunch n't even need get dip filling fresh onion tomato tzatziki sauce delicious wish would definitely order yeero spinach artichoke dip would order n't really dip could n't dip pita bread used spoon spooned pita bread ate like burrito spinach artichoke better try something else menu next time great quality food satisfied
2019-07-29,5,love place byob liquor store right across street atmosphere great service point food good definitely go back
2019-07-14,5,fuqqqqqqqq meeeeeee uppppppp place omfg got take climbing know like healthy whatever normally n't touch pita greek place store bought nonsense pita litty af tbh could entire meal pita carb life best life octopus also phenomenal tasty worth price tag grilled chicken entree typical greek chicken aka slightly overcooked seasoned well also gave cup tzatiki without making big deal like every greek place didnt destroy life good people great food come
2019-07-09,2,place 4 star mediocre best spanakopita n't flaky gyro meat blah super super average better greek place
2019-07-02,4,adding go-to rotation good food seamless byob reason 5 start think price entree little high admit get good amount food check
2019-06-13,4,greektown classic greek restaurant jersey city hoboken least know finally got stop day happy report pretty damn tasty spinach feta stuffed crispy chicken phenomenal dish little pricy 18 easily feed two people come two large golden fried chicken cutlet thick layer spinach feta topped yet even feta dish also come large side fry pro tip order extra side tzatziki dipping action also tried classic gyro okay little underwhelming honest meat n't feel super quality last time gyro think greece honestly n't comparing pita fresh soft baked pita wrapped around gyro pita served hummus fantastic hummus smooth creamy menu feature classic greek restaurant staple run gamut salad dip gyro kabob topped feta tzatziki course byob liquor store across street grab bottle favorite sure try greek food fan
2019-06-11,5,husband truly enjoyed meal price quality awesome service excellent liquor store across street great price lovely prosecco pinot grigio place byob tasty salad like home quantity copious best thing meal though baklava absolutely delicious clearly made recently talented human hand
2019-05-31,4,wow say satisfied everything looking greek salad chicken good price lunch special around 11 70 definitely back huge portion yea ate salad lunch stuffed brim highly recommend excited try yeero next
2019-05-30,4,quick healthy area service nice friendly wait food 10min pretty reasonable
2019-05-20,5,best foood town come 2-3 time week food amazing portion insane quality fresh food every time visit greektwon say loudly best restaurant hoboken service always outstanding food good get hamide provides best service always amazing person amazing server always top everything love coming thank greektown amazing outstanding food service grilled chicken platter favorite come salad french fry yes dessert bakhlava omg omg
2019-05-11,5,attentive fresh greek food portion large delicious wife forth 2 appetizer 2 plate ended taking home resting next 2 day place byob liquor store conveniently located across street making spot great date friend get togethers service quick attentive overall would coming back
2019-04-24,5,fresh delicious food lot option menu many healthy option good portion big mean left over outdoor seating available nice day staff friendly
2019-04-17,5,great restaurant delicious greek salad chicken soup good nice quiet spot lunch dinner byob nice staff
2019-04-15,5,outstanding greek restaurant quick service smiling staff excellent menu made fresh fast ordering go great seat window people watching easy spot dine alone group highly recommended local spot corner garden newark one block away washington
2019-04-14,5,amazing meal greektown eat often hamida best always wonderful smile always happy serving u
2019-04-13,2,food sub par underwhelming service absolutely horrible whole experience beyond frustrating came saturday night around 8pm dinner one server entire restaurant took forever get water table asked lemon water server never brought ask 20 min later long took get attention ordered greek salad octopus appetizer took almost half hour come octopus completely flavorless dry 15 charge octopus better point greek salad also state come grape leaf however received one grape leaf entire salad salad pretty flavorless well probably worst appetizer greek restaurant got gyro main dish alright impressive gyro also n't come side fry thought unusual finally get ask bill server barely checked u main point save time money much better greek
2019-04-05,5,love greektown gyro always delicious greek salad always fresh spicy feta dip one favorite every time order always half expected delivery time food always hot mention generous pita always toasted delicious
2019-03-24,5,always order greektown delivery mood eat healthy filling meal always order get greek salad shrimp perfect healthy light lunch dinner used get chicken found chicken sometimes bit dry shrimp perfect size seasoned well chopped iceberg lettuce feta onion tomato olive light lemon oil dressing come two fresh hot pita also get order homemade hummus love would definitely recommend especially fitness community
2019-03-13,1,found hair food charged salad n't lettuce disappointed
