date,rating,review
2021-10-29,5,great experience every time come food consistently good staff always friendly sweet n't tried whole menu yet seriously planning haha top baklava cheesecake world vegan gyro wrap kofteh wrap roller borek cheesy wo n't believe vegan rest ca n't wait try thank happy vegan service
2021-10-06,3,love turkish food veggie cuisine looking forward trying place age vegan friend even recommended frequently eat another veggie koftah chain wanted try happy vegan dish staff friendly pleasant struggled answer basic question food also disappointed find many dish wanted try frankly place bit mess told come back manager back vacation thing would better menu item available apparently day stopped better day week run even option previously koftah tasty enough good others tried perhaps would better topping wrap koftah pasty consistency mild spiciness dish could much better presentation improved herb pickle etc chain include thing extra also pictured many happy vegan review online hunk iceberg lettuce pomegranate sauce half lemon serving already supposed served n't even remove barcode sticker lemon lot potential u underwhelming
2021-09-05,5,woaaaaaaaa place absolutely incredible ever option delicious vegan gyro amazing specifically tzatziki sauce really shine dessert cheesecake baklava far yea best baklava life let alone vegan baklava
2021-08-29,4,would say gyro wrap best kofteh wrap second best chickpea wrap least favorite food tasty filling maybe little dry could use extra sauce price really affordable hope stay way call order pickup order price grubhub inflated going
2021-08-09,5,happy come across wonderful restaurant tasted baklava amazinggggg best far would highly recommend anyone sweet tooth vegan plus place walking distance pier
2021-07-07,2,vegan year really wanted like restaurant first experience good ordered tofu rice rice bland tofu overly salty also expected maybe veggie meal literally rice tofu emphasizing bland may enjoyable least tasted good got roller borek well actually good enjoyed boyfriend got spaghetti meatball meatball flavorless spongy greasy pasta seasoned neither u liked flavor ended tossing meal thus making trip waste money mean would like try place many raving review waste time there many vegan option washington street strip
2021-07-03,5,got vegan kofteh large portion delicious healthy filling could eat half happy half leftover home place great value great service definitely come
2021-06-27,5,delicious hesitant come everything amazing got borek kofte stuffed eggplant love eggplant would recommend
2021-06-14,4,love hoboken another vegan option place clean staff friendly always give thar small treat end yum nice reason giving 5 start second time still feel like food missing flavor presentation really good bland opinion maybe third charm best luck guy
2021-06-13,5,one favorite go tos hoboken kafka must try love snack appetizer every dish homemade comforting taste great price food get baklava incredible well n't let vegan label scare n't vegan eat appreciate good flavor
2021-06-04,5,work area decided stop stuffed eggplant rice excellent bar sit served nice friendly staff
2021-06-03,5,amazing food crave every single time walk fresh light guilt free never vegan food much flavor spice kofteh lettuce wrap favorite baklava solid 11 10 customer service also incredible always treated much kindness make want support much wish photo baklava ate quickly
2021-05-16,5,new go would definitely recommend place anybody great tasty vegan food affordable price owner also always kind genuinely care customer
2021-05-03,5,rarely review restaurant even rarer restaurant mess order still give 5 star place amazing ordered almost everything menu owner basically threw thing issue delivery quickly corrected everything soooooo good middle eastern wrap delicious vegetarian n't ever option eating kind food zucchini fritter world french fry also really good fact used take granted since moving hoboken given sadly
2021-05-02,5,wow wow vegan gyro delicious flavorful n't know expect vegan turkish food authentic tasted like would expect gyro taste bland two owner delightfully friendly well left offered friend free piece baklava bonded elementary turkish lived istanbul crazy vegan kofteh friend got think supposed mimic raw meat little mushy restaurant really nice strip called washington street hoboken restaurant limited seating inside seating outside order inside first bring food table tell owner passionate vegan food plenty message restaurant benefit vegan food also offered u sample ordered asked u enjoyed meal seemed genuinely interested definitely back thanks nice vegan
2021-04-26,5,small shop outdoor indoor seating seems like good lunch spot want something go ordered vegan gyro wrap tasted good thought missing tzatziki sauce also got kofteh gyro flavorful served cold thought wo n't like cold surprise good borek tasted good phyllo super crispy could tell cheese inside vegan got vegan hotdog thought dry fry tasted perfect dessert got oreo cheesecake according husband cousin vegan best vegan cheesecake eaten favorite baklava melted mouth best baklava eaten new jersey fresh crisp sugar level perfect good mouth watered talking highly recommend trying place especially vegan food lover personal rating scale 1-5 5 best ambience 3taste 5service 5overall rating:4cost check ig handle review vspiceroute
2021-03-21,5,extremely delicious vegan food order least week favorite dr oz juice crispy tofu salad zucchini fritter chickpea wrap baklava food good even vegan guaranteed enjoy flavorful owner sweet caring passionate business highly recommend
2021-03-19,5,happy vegan life name place always feel happy whenever visit food flavorful many option ca n't find anywhere else hoboken customer service outstanding owner always happy offer free sample whenever stop also love peek dessert box keep counter turkish delight treat day even vegan place place worth checking
