date,rating,review
2021-11-15,3,okay food area veg food n't good salty around option limited n't bad oily n't think order red coconut curry create rice noodle stir fry
2021-11-08,5,waiting order since moved hoboken ordered take got salad fresh delicious great got everything right dressing good focaccia bread crouton amazing ca n't wait order
2021-09-30,2,got egg white noodle stir fry chicken topping plus spicy garlic sauce egg white noodle cooked fully opinion 3 small cube chicken included parsley noodle boot mention chip reader malfunctioning
2021-09-25,2,ordered vegan sesame garlic stir-fry brownie crumble substituted beef chicken chicken salty hell bottle water nearby burnt smell sure enough eating tasted something funny black burnt bit picked piece looking forward brownie crumble big disappointment three piece brownie ridiculous amount chocolate chip maybe change name chocolate chip crumble grape strawberry added nothing overall taste wo n't ordering
2021-09-23,1,used order time time last couple year fairly happy food today ordered caesar salad green partially frozen fresh chicken salty salty put much salt preserve halfway salad could n't eat anymore n't remember last time n't finish salad needle say never go back let friend know place close within two year le prediction
2021-09-12,5,dish good sesame classic staple miso good venture try something new
2021-09-09,4,extremely tasty sweet soy five spice stir-fry cobbler honeybar really delicious flavor think little overpriced portion size get especially order delivery ca n't say regular almost 30 2 food item soda delivery service fee included really slight downside imo definitely order sometime
2021-08-24,1,placed order online supposed ready 7:22 pm got 7:40 plenty time ready walked said n't go talk another employee employe said ya made sent back first employee gave away food wrong person wanted patiently thinking would remake order 20 min later asked remake asked order whole time thought point requested refund ididnt want wait longer said problem gave proof refund really bad customer service understand busy could communicated going
2021-08-19,2,loved honeygrow company however location really lack ordered doordash asked sauce mixed sauce side yes paid sauce side 66 cent believe get one sauce side nothing mixed gave honeygrow 66 cent nothing also vegetable uncooked everything tasteless mediocre dont understand come 40 two bowl food weltered taste like something mcdonalds extremely annoying
2021-08-03,2,literally ordered take box literally half empty paying 13 half order literally 3rd 4th time happened writing review incredibly ridiculous n't know someone fill half box think ok happened multiple time n't know else write review point
2021-07-26,2,usually always good meal honeygrow tonight much chicken tasted like leftover used wrong sauce n't put veggie stir fry oh also mexican coke paid extra ran gave expired regular coke price n't know bad night disappointed
2021-07-25,1,rude others said food look great told need punch every ingredient wanted salad pictured display way spoke u hate leaving bad review place need
2021-07-14,2,honeygrow place got worst location since panoramic lol order food either app call ahead honeygrow make easy order food ahead app ordered food partner road trip vegan gluten-free ordered wheat noodle ordered rice noodle gf error opening food road immediately wheat noodle lacked kind sauce vegetable sparse tasteless rice noodle wheat could n't eat paying 30 food could n't eat annoyed
2021-07-07,5,eat time maybe 1x 2x week vegan plenty option tend stick red coconut curry theyre food always fresh taste fresh red coconut curry always perfect sweet spicy meal never get tired lol also whenever order pickup always ready time appreciate say since ordered many time sometimes get dud order skimped food messed contact customer service respond quickly give credit appreciate n't happen often though wanted point good customer service also bit pricy worth
2021-06-24,4,great healthier option takeout created salad added seasonal watermelon mint topping also rose vinaigrette fantastic wish menu item already created category build
