date,rating,review
2021-10-27,5,want first day food delicious array sauce dip meat plenty choice choose meat also side delicious recommend corn pudding side believe delicious sweet also waterfront great take stroll day recommend place budget want tasty food great view
2021-10-24,1,among worst bbq ever bland fatty everything pulled pork mac cheese cornbread tasted forgot texas bbq bean one side supposed included
2021-10-17,2,worst bbq since moving jersey rib 2 10 best sausage underwhelming cornbread pudding delicious though enjoyed
2021-10-15,1,little late okay late kicker walked 3 block away best meal zero otto uno cafe washington street party decided part way due delay disaster house que ended 8 u left staff zero otto uno cafe literally made space u sidewalk seating mostly occupied arrived brought table inside restaurant set adjacent seating area already outside talk going extra mile especially house que seemed go way seat u
2021-10-02,1,place reported better business bureau new jersey blatantly lie face say 50 minimum get table live music confirmed said 50 table corrected came time get bill told reach minimum spend 200 6 u total said 50 person since almost 200 said would order another round reach ordered next round waitress said sorry hate actually meet minimum 320 point called scam security came talk u tried rough u scare u paying finally came agreement would pay 250 want cause problem place complete scam need investigated honestly shut go disgusted happened
2021-09-20,3,meat quite good especially brisket however definitely expensive usual guess pay location overall great experience view atmosphere food come back enjoy atmosphere would come often sure based price
2021-09-07,1,great time view great though food borderline inedible n't know everything vinegar smell food taste fresh tried smoked meat even chicken also awful almost turned type flavor worst barbecue ever eaten
2021-09-05,4,came saturday night dinner pretty packed got 48 hour smoked wing start really juicy bbq sauce sweet main course got 1 2 pound brisket 1 2 pound pork rib medium texas slaw brisket pork rib really tender went great bbq sauce texas slaw n't big fan usually like cole slaw sweeter also got drink really tasty ambiance place great live music performer great would definitely come back craving barbeque
2021-09-04,3,came family birthday celebration usually huge fan bbq food one eat whole lot meat side kind gal came recommendation starter vibe view atmosphere really spot decided dine outside weather perfect view also spectacular water ordered loaded nacho smoked wing egg roll loaded nacho mediocre anything special portion decently sized wing def smokey really flavorful however hoped meat would bit juicy tender egg roll really good crunchy flakey filling cheesy main got pitmaster pick contained 1 lb brisket 4 rib 4 sausage 1 2 smoked chicken side mac n cheese collard green meat brisket chicken rib generally dry lacked smokey flavor appear smoked brisket especially fall apart factor meat nevertheless alright overall flavor texture lacking price food bit high well mind paying higher price food quality meet standard
2021-08-28,5,bbq favorite spot bring friend ask recommend place group gathering brisket fire rib fire pulled pork fire go disappointed
2021-08-15,5,got really excited learned local bbq spot near might new go-to favorite spot hoboken great live music outstanding food skyline view along water summer night made solid night absolute best bbq ever ca n't say good whole experience worth money overall server melissa absolute gem good vibe around definitely excited bring company visit
2021-08-04,3,came party three thursday night trivia inside wanted sit outside water maybe last table service horrible server came probably every 30 minute impossible wave ordered pitmaster pick enough food three people plus leftover rib brisket decently tender incredibly flavorful sausage ok nothing special chicken incredibly dry corn pudding far standout best side brisket chili also good nothing super special would pas mac n cheese potato salad find better grocery store overall location nice would probably fun come trivia n't expect much food service
