date,rating,review
2021-11-06,5,il tavalo table absolute gem restaurant specializing outstanding italian cuisine located 7th clinton street hoboken offer inside outside dining year round party four welcomed door sat beautifully curtained area main dining room room anchored magnificent table set middle room lite gorgeous contemporary chandelier really excellent arrangement birthday dinner family gathering gracious server took drink order delightful evening began starter table ordered succulent mussel white wine sauce perfectly prepared meatball delicious fried calamari outstanding stuffed pepper dish prepared cheese everyone love pepper try main course shrimp chicken scampi risotto delectable special evening shrimp fra diavolo entree cappelli dish prepared right spiciness make simply perfect short rib ragu pasta must truly ordered least delicious dish award winner evening lucky person ordered pork chop pepper largest juiciest perfectly prepared presented pork chop ever life kidding excellent array dessert choose really outstanding dessert u pumpkin cheesecake perfection restaurant offer full bar excellent wine selection assortment special cocktail fit occasion restaurant beautifully designed decorated robert believe manageris truly gracious host stopped number time throughout dining evening say hello check evening coming along great night bill hayesnovember 2021
2021-10-30,3,introduced il tavolo good friend giseli dinner several time highly recommended place big four great food service ambiance drink researching restaurant saw brunch went several month ago time said come group friend basically seen together since pandemic case may planned gathering sunday october 24 2021 1pm 9 u admittedly loud group 9 u room 5 u came ny four including main hostess nj time got together restaurant 1:30 jersey crew got first actually warned staff would loud boisterous sat back room long middle table restaurant lived forte service food service waiter matt fantastic much gave extra tip top gratuity automatically added group promised loud boisterous happy much several party came back room reseated front room drunk rude funny boisterous loud time 2-1 2-3 hour spent total nearly 900 ok told needed use inside voice nice way assistant manager hearing kinda deflated u fun rude comment would probably stayed longer cocktail place great big four intend large happy party gathering place
2021-10-24,3,place many time brought many friend food simply excellent waiter amazing however today experience n't exactly best started great interrupted sour person robert manager group 9 people came far away experience loud fun group laugh lot joke lot people decided needed seat front room actually little loud ok loosing costumer seated different side restaurant obviously loud ok everyone group looking great time well 3 hour 900 later told needed use inner voice loud well one drunk causing problem honest n't understand attitude would like know spends 900 3 hour considering fact brought people today others must say disappointed non sense next time reassess option want spend much money little time want great go want great time consider going else
2021-10-23,2,ordered carbonara uber eats received traditional carbonara like fettuccine alfredo disappointing considering dish cost 25 description n't say creamy sauce menu said dreamy parmesan sauce completely different know carbonara sauce taste like real italian add cream carbonara also dish requires egg part sauce like pasta dish traditional way would recommend look elsewhere make
2021-10-03,4,ordered carbonara delivery sizeable portion came slathered rich creamy sauce linguini cooked right level pancetta pea tasty colorful fried egg top added nice touch perhaps sauce could little bit lighter
2021-09-21,4,n't location since clinton social around decided wanted quaint italian dinner stopped last minute solo dinner friday night restaurant overly crowded sat outside side restaurant set cute light around let start staff staff extremely friendly attentive several different server came ensure water filled wine full food liking eat started bruschetta board got sausage tomato oven roasted tomato ricotta good toast perfect small starter entree server recommended breaded chicken cutlet loved dish good portion size burrata balsamic well arugula roasted pepper truly enjoyed perfect combination flavor definitely return try appetizer entree menu looked pretty good heard others raving food
2021-09-20,5,hoboken hidden gem sure went dinner last night food incredible stuffed rigatoni really amazing staff extremely nice shout dante really amazing personality made u laugh owner frank came ask everything improve anything really enjoyed great job happy place right around block house stop thinking go definitely back soon bravo great local place
2021-09-16,5,great food great service lovely ambience made reservation 8 pm seated right away arrival got bruschetta board sausage artichoke heart oven roasted tomato prosciutto di parmaalong bottle chianti artichoke sausage fav experimented fried burratta glad absolutely delicious got shrimp tavolo main served bed pesto risotto light yummy wish bread soak wine sauce husband got aglio olio breaded chicken chicken delicious almond cake dessert great little sweet liking partner enjoyed lot outdoor seating really nice weather great service quick quantity fairly good especially appetizer would definitely come back try thing menu
2021-09-12,5,nice meal food portion generous staff general friendly return
2021-09-05,4,part food pretty good definitely n't recommend linguini clam chopped clam top overcooked dish pretty tasteless exchanged never short rib ragu orecchiette delicious
2021-08-28,5,restaurant fantastic thoroughly enjoyed every portion meal ambiance service top notch definitely revisit near future
2021-08-28,5,came month ago brunch wow area already thinking come back brunch awesome flavorful must go mood gooood decadent brunch food ordered bruschetta board saw lot reviewer order got tomato bruschetta prosciutto di parma bruschetta tomato bruschetta gave powerful garlic tomato-y punch refreshing bruschetta bread crunchy soaked juice well made soo addictively good also got prosciutto creamy paired ricotta cheese wanted order entree ordered potato hash sausage gravy topped sunny side egg dish decadent creamy full goodness creamy overpowering creamy enough coat potato well potato dish really crispy thin also really flavorful creamy gravy coated really well still thinking decadent dish portion size crazy big def fill 1 person also ordered frittata egg fluffy creamy middle flavorful packed ingredient def coming back
2021-08-28,5,wonderful experience food delicious service best post-covid ca n't go wrong anything menu stuffed rigatoni extra sauce favorite n't feel rushed manager came check well clean plate appreciated definitely go-to place next time hoboken
2021-08-17,5,absolutely amazing experience food wonderful staff great definitely top list restaurant hoboken
2021-08-16,5,food well average everything delicious la nonna carbonara burrata appetizer plate cleaned service superb stickler service nice ask water refilled attentive throughout meal also wonderful kid even brought toy take home end meal looking date spot somewhere take family italian home cooking flavor spot
2021-08-13,5,really really good def one best italian hobo meal good portion delicious service great pasta cooked perfectly nice heavy sauce creamy sauce highly recommend
2021-08-07,5,shrimp chicken scampi die heaven plate service top notch drink great truly ca n't say enough diamond hoboken try becomes hard get table
2021-08-05,5,found place accident attending local festival festival crowded walked block stopped grab dinner blown away another adult two small child 1 3 devoured everything kid order also started stuffed long pepper yummy kid ordered basic buttered noodle chicken tender done super well frozen like place chicken actual filet pounded cut strip light batter served delicious red sauce dipping n't know buttered noodle really tasty adult main short rib still thinking great stuffed rigatoni vodka sauce n't drop food left wonderful
2021-07-31,5,came dinner friend friendly warm feel really enjoyed food ordered burrata bread appetiser orecchiette pasta summer sauce pasta dinner everything good nothing complain service great well little pricier side party 4 got bill around 220 including drink tip come back recommend friend
2021-07-31,5,absolutely delicious hand made pasta italian meal boyfriend abide low carb diet perfect spot many entree healthful also filling got breaded chicken cutlet got sausage broccoli rabe pasta definitely back time whole family seems like great family spot
2021-07-26,5,excellent italian cookie cutter dish original fresh wait staff top really hustled regular visit
2021-07-26,4,really enjoyed first dining experience really good service food manager really make 1st rate carbonara great coming back
2021-07-25,5,amazing family brunch everyone loved everything egg sausage hash lemon ricotta pancake frittata chicken gravy outstanding wait go back wonderful attentive friendly staff make experience even better
2021-07-24,3,looking forward eating disappointed food ok service bad party 2 seated 4 person table burrata came server thumped table talking another employee burrata literally edge table without slightest effort appropriately place front patron actually eating burrata good however digress wife wanted bread table asked server server walked away imitated wife asking bread literally saw given walked away looked back n't know one however eat staff need training
2021-06-29,5,food service incredible went first time day ordered short rib ragu ny strip special amazing definitely going back
2021-06-28,4,food good obsessed carbonara w fried egg top however noticed depending site look order takeout price vary normal also 9 little portion spinach bit disappointing seem get better bang buck person
2021-06-18,5,delicious food great service would definitely recommend live visiting hoboken
