date,rating,review
2021-07-13,1,food terrible tonight consistent sushi day good tonight fresh fishy hope n't get sick n't care said fish get everyday fresh said fresh called let know unhappy tonight good customer n't care said wo n't order anymore said ok suggest look somewhere else good sushi read bad review noterrible food worse customer service cheap either wo n't ordering
2021-07-13,1,ordered many time tonight special roll tasted foul called let know fish fresh tasting could n't cate le sure happened place would recommend enemy well maybe would fresh even worse custom service order
2021-05-15,4,spot good sushi well ramen time gone good service n't wait long table food tasty definitely back
2021-05-08,1,would give restaurant negative star could ordered sashimi regular tonight got food 30 minute first time order restaurant took first bite salmon sashimi notice stink flavor taste like gone bad ate fish seems fine took another bite salmon time threw 100 sure salmon fresh gone bad called restaurant explained happened meant remind check salmon fish maybe fresh anymore n't want serve customer woman answer phone rude saying fish fresh clean store everyday honestly called good intention n't planning leave bad review since ordered always big fan supporting local restaurant hoboken especially difficult time response shocked awful customer service realize people could die eating un-fresh raw fish read review saying restaurant owner n't like hear customer complains suggestion seems owner never apologize customer bad experience owner even replied one negative review saying restaurant cup tea go else wow simply wow arrogant explained everything never go back warn family friend hoboken owner n't reply review know simply n't care
2021-05-02,3,average food mediocre service dying go back brother ordered whole bunch appetizer dessert addition ramen food nicely presented decorated likely hide mediocre flavor ramen essentially flavorless disappointing jap restaurant nothing really stood except food presentation service slow inefficient took long time dish come indoor dining
2021-04-17,5,several year since eaten quality still excellent grabbed outdoor table distanced got chirashi lunch special came octopus uni fatty tuna salmon yellow tail also got tricolor sashimi lunch special came tuna yellow tail salmon sashimi normally lunch special come soup salad apparently could get one also got rock shrimp nonetheless everything delicious quality piece sashimi glad see nothing changed year
2021-04-09,4,wide variety sushi roll lunch option group four shared four special roll everything tasted fresh flavorful especially loved one avocado mango service pretty quick outdoor seating chef special roll 17 definitely get better deal lunch special come miso soup salad would come try dish
2021-03-24,1,understand tough time restaurant best mindful whenever write review supporting local business happened evening restaurant nothing realize simply read couple review restaurant writing clearly isolated incident n't like experienced eating often enough understand sometimes restaurant day sashimi deluxe fine ordered 2 special roll roll full artificial coloring made roll look unappealing even tuna saw distinctive color difference one used sushi deluxe one used roll tried seemed like artificial coloring affecting taste irked u way staff behaved made comment got defensive practically yelling u telling sooner n't finish roll someone looked like owner went long business already knew saw website bio came n't know talking could get anything else take bill none behavior inappropriate topped food quality served evening wo n't returning n't believe would welcomed back either much better experience saku nearby
2021-03-14,5,delicious sushi awesome service place menu extensive sushi tasted super fresh many choice choose would definitely come back sushi price extremely reasonable meal pleasant
2021-03-07,4,best sushi hoboken loved place vibe location amazing sushi ordered shumai pork dumpling sushi everything point delicious
2021-02-05,4,got order wrong charged incorrect amount called see got yelled broken english saved receipt disputed cc company successful refund news food absolutely delicious might try
2021-01-09,4,always liked illuzion goto place sushi crave like spicy piece best tingling mouthful topper sens drawback wait fault always busy
2021-01-05,4,favorite spot sashimi hoboken always fresh delicious downside pricey side also get pay highly recommended
2020-12-17,5,spot great sushi great service got sweet potato roll spicy california roll loved please note byob
2020-11-28,5,great service good food appreciated unlike many hoboken business actually following law regard distance table happily go back
2020-11-11,5,great place eat everything fresh delicious 3 time time impressed quality quantity serving also allow bring alcohol n't corking fee feel free bring yo drink
2020-11-04,4,byob good portion salad delicious decent variety food chose sushi roll big tasty sat outside covid time good experience think fairly priced well
2020-10-15,5,outdoor seating october perfect weather vibe great sushi rock shrimp fast service love spicy mayo definitely spicy amazing byob always plus also must must must try tempura ice cream good wanted another order back
2020-09-29,1,order wife ordered maki lunch special quoted website 12 food came surprised find charged 16 50 per special changed menu called ask refund difference bluntly told looked instagram facebook n't use website anymore anyone supposed know website going show correct price take website pushed said option accept charge come back take back food get 1 consistent price wrong pricing customer highly suggest staying away
2020-09-20,3,box rice teriyaki chicken sushi spring roll tasted amazing big fan soup tofu spinach reason n't 5 star waitress demanding bigger tip 3 building waitress scream wait wait said give bigger tip cash top credit card tip
2020-08-28,5,boyfriend happened upon place blown away wonderful service high quality food everything miso soup sashimi sushi roll fresh flavorful beautifully presented outdoor seating nice quiet everything perfectly completed red bean mochi ice cream definitely back
2020-07-01,5,illuzion always tried true sushi love hoboken sad see close pandemic hit else supposed eat meatless friday remainder lent settle le cut return could n't happier n't mustered courage dine-in outdoor service yet tell illuzion take-out impeccable remember ordered 3 specialty roll 1 sashimi platter delicious fresh mushy like competitor takeout got ta also mention shrimp tempura specialty roll still crispy well sub-par shrimp termpura know icky could score octopus lobster sashimi platter generally n't even happen whoo treat self top provided ample ginger soy sauce order 0 whereas dip personal soy sauce stash order lock-down anyways glad illuzion back business could n't already tell
2020-04-20,5,please open quarantine best sushi hoboken order week rock shrimp amazing special roll point wish would upgrade hibachi game maybe one two hibachi table specially reserved
2020-03-03,5,best sushi sashimi hoboken favorite popular delivery may take bit longer worth wait
2020-03-01,1,nobody answer phone price website menu way different price listed online yelp order sloppy good way run business
2020-02-10,3,3 5 si illuzion year remembering mediocre average exactly favorite sushi place hoboken however friend decided birthday dinner looking forward trying able reserve large table back dining room even bring pitcher renowned sangria since place byob patient server helpful addressing question party staff allowed u linger close place long finished meal dinner ordered nasu miso broiled japanese eggplant topped creamy miso sauce eaten dish several restaurant typically received heavily marinated thick miso glaze version light dressing separately cooked vegetable way liked eggplant swimming miso also found le flavorful exact reason also opted eel avocado shrimp cucumber roll fresh well-textured service recent trip illuzion certainly surpassed previously experienced wrote initial review food overly memorable still enjoyable lastly modern decor byob option made meal even positive experience would rank illuzion 3 5-stars
2020-01-19,4,illuzion decided long debate hoboken sushi restaurant came around 9 saturday quite empty started miso soup delicious ordered king salmon avocado yellowtail scallion shrimp cucumber roll presentation lovely particularly enjoyed salmon avocado roll shrimp yellowtail left something desired could n't really put finger service super fast 45 minute place cute small typical city sushi joint since sushi hoboken similar review would open trying different place next time town
2019-10-26,1,place gone downhill hard believe people rate sushi best hudson county clearly never fresh sushi fish taste slimy fake ordered night none u could even finish meal would n't recommend
2019-10-15,4,place pretty good roll good along edamame good tea one thing get really crowded service slow overall good experience
2019-10-09,5,homerun fantastic sushi clean place especially wonderful staff food incredibly fresh favorite must come great meal amazing sushi best place hoboken bar-none
2019-09-26,4,food really good miso soup wow superb would recommend illuzion friend family
2019-09-23,3,never dearth solid sushi option hoboken jersey city sine illuzion went middle afternoon place empty got sit bar got three maki lunch special soup salad shrimp tempura california roll tuna avocado brown rice soup salty right way salad iceberg nondescript vinaigrette dressing sushi okay shrimp tempura best little eel sauce two roll okay needed saturated soy sauce enjoyed better service polite price point n't totally obscene overall would n't first place sushi definitely come pinch
2019-09-12,5,finished spider ramen green tea tempura delicious service good fine cause place empty anyways complaint good fair pricing
