date,rating,review
2021-10-26,5,sure put cooky matcha cookie one go soft crispy time perfect texture overly sweet loved every bite also gave u cooky free first customer 1
2021-10-01,5,nose brought shop smelled delicious cooky made found exactly smell coming decided try confetti deluxe cookie looked fun wanted try something basic chocolate chip cookie cookie bomb warm soft chewy outside slightly crispy n't overwhelmingly sweet either ca n't wait go back try cooky
2021-09-11,5,place amazing get two cooky give u free tipped place two day row went fresh baked perfect make everything soft
2021-08-24,4,ever worth eating spot yes sure however worth long line got triple chocolate white chocolate macadamia cooky good also go cv open 24 7 milk recommend fairlife milk n't buy milk worth price
2021-08-14,5,sinfully delicious warm soft melting ca n't pas got delivery close 1 arrived quickly
2021-08-06,1,want give place 0 star day came first time friend night 5 people store waited line good 45 min finally turn girl register n't friendly seeing close early morning 10 pm saturday half cooky ordered half dozen moved side check cooky open box cooky raw falling apart turn back girl register asked switch cooky since raw told ca n't take back cooky left store stared second see serious told standing spot entire time stared blank expression got annoyed left never wasted 13i recommend y'all go baked bear instead12 10
2021-07-17,1,went day sister birthday last sunday around 10:30 show craving awesome cooky follow social tell u fulfilling online order huh mind online marked open 1am people order line 10 disappointing say least unfollowing page intention speaking cooky ever pillsbury back good
2021-07-17,1,took two hour delivery requested refund manager right arrived n't receive refund even though refused order resolve grub hub
2021-07-09,5,vegan cooky delicious staff knowledgeable flavor friendly definitely back
2021-07-01,1,horrible customer service ordered 2 cooky one milk 2 hour ago never came called number provided multiple time ca n't get anyone never order warned suck
2021-06-24,1,didnt receive part order called said would send 50 minute ago called said whenever delivery person get back come want bet even come
2021-06-05,1,literally move slow possibly could much process heat cookie put fucking box
2021-06-01,3,staff nice placed order 90 minute advance pick order ready arrival wait another hour staff make cooky missing said cooky fall-apart-in-your-mouth soft oven sorta made wait worthwhile
2021-05-30,4,insomnia cooky reason cut newark st even n't even n't stop cooky walk get nose full fresh baked cookie smell hardest thing world keep walking tried insomnia time always wonderful little treat fiance brought dozen home gone next day grabbed half dozen recently way friend ordered via yelp picked minute later easy peasy different flavor choose oh wow macadamia good recommend walk good smell stop looking something sweet delicious open till 1am weekend late night cookie craving
2021-05-29,1,expect 2 hour wait delivery 5th time ordered 5th time waited 2 hour place joke
2021-05-07,2,alright nothing special taste like regular cooky could get grocery store even bake home pretty overpriced offer 2 star instead 1 served warm location since could least somewhat enjoy nice view also worker n't friendly completely ruined mood seemed like dreaded working customer service skill whatsoever simple hello would nice oh well wo n't returning anyways
2021-04-11,5,used go place time lived manhattan found one jersey pretty excited disappoint fresh baked hot cooky hour night wanted try something different got ice cream sandwich two chocolate chip cooky strawberry cheesecake middle wow seriously one delicious thing ever eaten quite location hoboken area stop
2021-04-04,2,n't insomia cooky long remember loving chocolate chip one boyfriend surprised cookie icing sandwich put white icing two cooky opened one cookie way bigger looked weird said woman counter told pick two deluxe cooky sandwich size could well cooky overall way sweet smores one tasted like triple chocolate cookie center nice soft fudgey edge crisp peanut butter one taste way buttery sugary like balance flavor definitely would n't get frosting sandwich like icing cooky hot sweetness mess want try classic chocolate chip see good remember
2021-03-20,1,tonight march 19 around 1:06 placed order pick 1:30when arrived n't greeted young lady making order made huge stink asked two different flavor ice cream went back store talk young lady young man guessing manager talked order infront thinking could hear issue two different flavor paying gladly would instead young lady taking order n't even ask wanted two different flavor discussed needed pay instead put one flavor nothing spent almost 11 dollar disrespectful well asked young gentleman could put another cookie order young gentleman grabbed cookie opened box said something along line suck tough luck mean seriously oh well one wearing glove see one person wash hand cross contamination covid seriously
2021-03-19,1,delivery place always mess lucky actually get cooky 2 hour later
2021-03-09,5,loveee spot favorite cooky classic mint double chocolate chip flavor definitely impress
2021-03-06,1,placed order 12:15am order confirmed however delivery never came charged 19 00 gave 2 tip rep grubhub philippine said kid working picking phone hanging tried calling place luck customer grubhub communicate joint cooky
2021-03-06,2,today visited insomnia cooky long time ordered two chocolate chunk two white chocolate macadamia two double chocolate chunk cooky freshly baked warm chocolate fanatic must try double chocolate chunk dark chocolate cookie melting chunk milk chocolate chip inside however location worst customer service person register rude arrogant staff baking cooky showed attitude threw cooky inside box annoyed felt disrespected
2021-03-03,4,picture wednesday night sitting couch watching bachelor rerun click submit button 8 minute later pile 6 warm cooky door dreaming cooky arrived perfectly warm slightly underbaked favorite ordered 6 pack 2 1 white chocolate 1 confetti 2 choc chunk n't like underbaked cooky suppose could warm oven 5 minute 375 f delivery 10 10 cooky 9 10 knocking star greasiness price guilt 6 10
2021-02-20,3,overpriced gotten ton hype social medium worth candidly cooky subway nearly good menu exciting cooky look fun quality n't really especially outrageous price
2021-02-08,4,full transparency stepped foot insomnia location ordered plenty time similar many establishment curbside pickup like many place area finding parking going patronize challenging curbside pickup easy circle order ready bring app online easy able find pretty good special including buying dozen getting dozen free reward losing baby weight weighing 10lbs le pre-pregnancy great treat
2021-02-04,5,first time trying location delivery quick cooky hot delicious surprised offered vegan cooky tasted amazing
2021-01-24,5,great cooky friendly staff quite wait though due covid went around 10pm line going outside since allowed 3 people time inside going late sure dress warm cause waiting order online walk inside let know picking overall great cooky peanut butter chocolate chunk always best
2021-01-20,4,overall good cooky bad customer servicefaves chocolate chipwhite chocolate macadamia salted caramel even though little pricier deluxe love cooky always taste fresh flavor amazing go great glass milk also ice cream cookie cake thing complaint customer service girl cashier kind rushing wanted look menu could tell talking walked 2 min interaction still recommend go get amazing cooky get way
2021-01-17,4,girlfriend recently stopped insomnia cooky picked bunch different cooky try pretty much least one every classic cookie style must say cooky excellent tell fresh baked cookie order came nice hot soft favorite chocolate chunk double chocolate peanut butter chip although every cookie style amazing complaint flavor pleasantly surprised great cookie especially delicious enjoying home glass milk coffee looking freshly baked delicious cooky spot want stop grab variety six pack
2021-01-11,5,tough day today happens healthcare provider pandemic walked ordered 2 chocolate chunk cooky man behind counter told cooky since ordered 2 n't know could tell bad day genuinely nice person thank brightened day truly appreciated gesture mention cooky delicious obvs please consider ordering insomnia hoboken cookie craving fyi bc sure asked made sure tip
2020-12-26,5,boy came establishment impressed customer service skill staff well known reputation chick-fil-a complemented staff generosity service
2020-12-21,2,absolute shit rather burn mon han fucking spend garbage cuz absolute garbage food fuck
2020-12-18,2,ordered 10 got notification cooky delivery 12 nothing called 12:30 said busy night waited called 1:30 cause tracker said deliver n't text message apparently driver hit accident told wait called 2:30 told store closed 1 way driver still got refund never got cooky waiting four hour
2020-12-18,1,ridiculously long delivery time terrible costumer service waited 3 hour order called get status update placed hold 5 minute hung cooky finally arrive rock hard n't warm like received ordered insomnia cooky location
2020-12-18,1,cooky always fine service location horrible past 2 year lived past 5 order placed 4 incorrect missing item wrong item wait time inaccurate extremely long used dedicated customer different location longer like order insomnia hoboken assume order correct come 2 hour later
2020-12-18,2,cooky ok definitely baked chewy problem found small piece hair snickerdoodle cookie total turn
2020-11-29,5,cooky underrated tried bang cooky levain nice simple warm classic cookie taste satisfy sweet tooth surprised good fresh ordered online picked favorite chocolate chip white chocolate macadamia
2020-11-08,3,cooky tasty much selection maybe bc ran cooky important woman cashier major attitude nice welcoming try different location better manner
2020-10-25,5,wonderful experience insomnia cookie first time ever got 2 vegan cooky taste amazing well service great worker great location returning
2020-10-14,1,n't even deserve star tbh girl high fuck unprofessional made u wait 40 min got started order let man without mask found cute honestly ew never
2020-09-30,1,usually n't take pain write review downright terrible experience today placed order today 11 pm supposed arrive asap tried tracking order site tracking site n't work called customer service said order still prepared would get email soon delivery couple call later 12:45am customer service said order delivery trying locate driver called back 15 min around 1 customer service lady taking forever tell store closed let tell isolated incident bad experience earlier house literally 10 min drive bakery managed mess order completely worst knowing order extremely unprofessional would strongly discourage people ordering insomnia delivery never worse
2020-09-29,3,cooky good staff crappy n't wearing mask blasting music gave u wrong order
2020-08-29,1,location horrible ordered online came time told u going another 15mins wait 15mins went back people idea ordered said going another 30 minute lied u made yet previous crew 1 hour 45 minute birthday cookie done done poorly half hard half soggy cause half cooked son birthday cookie birthday cake asked never employee care work integrity expensive cooky thats low quality
2020-08-12,1,horrible waited 1 whole hour gave reasoning take long make fresh batch cooky
2020-08-12,2,never really understood rage insomnia cooky guess selling point always get fresh cooky even late night like every insomnia cooky location nyc much room customer dine cookie flavor n't imaginary need n't cookie chain desire unique content cooky come variety size get one always nice depending many cooky craving staff seems know ultimately n't really trained outstanding service staff get cookie dozen get cookie cake get ice cream sandwich made cooky maybe ice cream honest n't use fancy ice cream either seemed fairly generic one perk choose two different cooky sandwich ice cream ultimately yeah go want fresh cookie would ever crave insomnia cooky anything offer answer
2020-07-26,1,disgusting people n't bother wearing mask busy loud talking one another instead taking order
2020-07-18,1,ordered box cooky delivery 11:15 pm sign cooky two hour called phone center 1:30 girl cancel order shop closed night horrible way treat customer would lost money n't called ask order
2020-07-17,1,great cooky terrible customer service disgusting vibe young girl took order terrible company need take notice issue
2020-07-17,2,order delivery arrives consider lucky great cooky need figure delivery service
2020-07-06,5,always walked never really ordered anything time looking ice cream spot quarantine afternoon whilst walking dog thisnpopped yelp happy stopped cooky ice cream chocolate mint husband vanilla dog assortment cooky afternoon well spent staff great
2020-07-06,1,ugh read review placing order last night ordered 2 dozen cooky around 9:45 last night 90 minute later called call center location doesnt even answer phone get directed elsewhere super accommodating asked cancel order 12:30 3 hour later rudely awakened screaming delivery man handed cooky replied whats wrong forgot cooky 3 hour later rude delivery guy bummer
2020-06-27,2,know getting ordered half dozen cooky still light outside phone call later going midnight still cooky decide call call get directed call center hoboken location imagine many issue literally need call center handle bullshit 3 hour still cooky
2020-06-26,4,first place getting 4 star amazing cooky second never ever get delivered take 2 hour make drive go pick love place
2020-06-20,1,absolutely horrible service quoted 20-30 minute 3 hour later still waiting damn cooky even baked go bang cooky get real treat guy suck
2020-06-20,1,place worst service waited three hour one time cooky absolutely ridiculous awful service
2020-06-14,2,love cooky almost always hit spot except n't come upset right ordered 12 cooky last night literally never came always try order directly business allow figure get profit way kind backfired ordered around 1130pm n't come 1230 called headquarters assuming told waiting postmates pick cookie tracker still saying order baking 130 ready sleep still nothing call poor guy phone explain hoboken location answering idea happening people called tonight issue probably slammed courtesy phone call expected hey super busy ca n't get order like ghosted midnight snack cool going trust issue future order
2020-06-12,5,scary addicting lol helping waistline cooky ridiculously amazing ca n't see one without eating friend hide always find eat
2020-06-12,3,insomnia cooky almost location amazing cooky warm tasty great late-night treat however delivery service horrible ordered many location northeast region usa almost deliver cooky 2-3 hour deliver definitely worth drive n't expectation prompt delivery
2020-05-24,1,awful delivery service ordered cooky flr delivery 8pm around 9:30pm decided call eta rep phone advised needed wait little bit longer delivery already left would arrive within 30 min 50 min later still cooky called second time repsaid needed call store regarding issue order left hold almost 10 min came back line said order way nothing could 11pm order still n't arrived therefore decided call request refund rep told call store update needed wait point n't even want cooky anymore requested refund disappointed experience customer service kept brushing sure ordering cooky location
2020-05-17,1,stay away company order delayed 4 hour notification delay horrible attitude customer service phone instead happy birthday wrote best want say ex-husband insomnia really disturbed sleep tonight suck avoid horrible
2020-05-14,4,quarantine delivery review back good old day allowed walk around leisure would always pas insomnia cooky always smelled good fast forward fiance quarantine birthday wanted get sweet treat thought insomnia cooky also tried yelp event nyc knew would good placed order day delivery came exactly said would peanut butter chocolate chocolate chunk double chocolate chunk snickerdoodle sugar white macadamia nut favorite snickerdoodle white mac nut double chocolate chunk sweet sugar level everything else perfect ate day later popping toaster still tasted great next time trying funfetti
2020-05-10,1,worst customer service ever ordered cooky online 3rd time store pickup time went pick order ready wait 20-30 min time bake cooky point taking online order nothing ready store pickup done place
2020-04-11,1,terrible called twice confirm sent cooky friend bday never included message called company two time tracking unavailable waste time tried use cheer friend birthday quarantine neglected include message
2020-03-07,1,took 3 hour deliver order live half mile away order arrived discovered 2 3 sandwich ordered paid actually delivered wo n't make mistake ordering place
2020-02-15,1,place great cooky horrible delivery service ordered 2 week ago waited almost 2 hour order said second delivery guy called thought would give another go ordered tonight 9:16pm got call 10:40pm saying ice cream want pick new flavor also said deliver time would still awhile one driver called help desk woman said would another 45 min meaning delivery would arrive around 11:30 ish ordered 9:15i chose wait almost 2 hour cooky canceled order upset ca n't get crap together
2020-01-08,5,give place 5 star staff amazing anytime always throw little extra cookie something n't hope n't get trouble incredible came late night around 2-3 right closing gave group twoboxes take home going thrown anyway thought great gesture cooky always phenomenal ice cream delicious love wish lived closer
2019-12-30,5,popped late night snack tonight location small much room sitting perfect on-the-go munching right around block path lightrail station insomnia cooky nothing sleep ordered snickerdoodle peanut butter chocolate chunk delicious peanut butter cookie fell apart practically every bite good problem trust also ice cream sale definitely stop sweet treat
2019-12-17,5,cooky great cashier nice super crowded got long wait ordered infamous sugar cookie icing filling soft delicious
2019-11-11,5,okay first insomnia cooky great n't care anyone say willing fight really put effort punishing whole box every time go second reason decided finally leave review service every time come always see guy working always forget catch name wear glass blondish maybe reddish hair always freakin friendly tonight husband went free cookie veteran day thanked u service kind felt like finally write something thank man glass blondish reddish hair u da best
2019-11-01,1,hype real thing good cooky served warm overly sweet artificial sugar flavoring better going supermarket buying frozen cookie dough making home would get better cookie n't waste time energy people say cooky good honest come yelp review definitely bad one
2019-10-15,4,came hoboken visit carlo bakery ended stumbling upon insomnia cooky excited cooky visited location georgetown dc knew exactly happen cookie heaven insomnia small storefront little difficult maneuver especially packed people 2 employee kept line moving seemed pretty good rhythm felt bad guy first alone front several employee phone back sure break definitely looked bad luckily one employee came help full selection different type warm delicious ooey gooey cooky well ice cream ice cream cookie sandwich decided stick chocolate chip cooky picture well inhaled zero shame thank goodness insomnia near weigh 1000lbs absolute favorite cookie shop always stop whenever see one
2019-10-07,5,place simply amazing cooky always warm service always excellent quality something ca n't find anywhere else n't understand place bad review
2019-10-04,5,craving tf cooky remembered insomnia hoboken happy drove right 23 min ride newark cooky best loved insomnia new york happy one jersey might need one downtown newark maybe montclair
2019-09-25,5,coming back hoboken college town past midnight concert nyc coworker graciously lent parking space earlier day tired wanted two thing food sleep well thankfully memory pulled state out-of-it self remembered late night place sold cooky near path station insomnia cooky got warm mint chocolate chip cookie time favorite since place opened college used get box 4 regret amazing also got cup cooky cream ice cream night surprisingly huge 12:30am need something sweet insomnia really hit spot tired chelsea got wanted needed food sleep induced insomnia cooky thank insomnia crazy late hour feeding hoboken night owl warm cooky
2019-09-19,3,yes cooky good review mentioned went kind late night surprised pretty long line cooky good better live hype good place go want warm cooky late night n't want bake
2019-08-21,2,look honestly speaking great cooky lie wait delivery ridiculous every time place order take hour half literally far either delivery reason give 2 star please step guy
2019-08-19,4,cookie eater went date desert tried must say wowthe cooky warm buttery delicious got 3 peanut butter chocolate chunk snickerdoodle favorite peanut butter perfect always softness taste location little small crappy 4 seat annoying eat car amazing
2019-08-17,1,weird enter 3:34 friday 16th aka n't close til 4am confused employee closing gave nastiest attitude saying closing trust get worked food industry want close early least try hide cooky display politely say closing early thanks
2019-08-03,2,give 2 star simple customer service big selling point employee miserable freind someone looking night grab warm cookie ice cream need give people attitude hope owner reconsider hiring better batch people represent great cookie idea
2019-07-31,1,placed online order hoboken location said 20-35 min delivery almost hour said cooky still baking called customer service number placed call hoboken location stated delivery person completing delivery big order outside delivery zone store would send order driver returned know would first time tried order cooky office slow turnaround update turnaround time system unable deliver within stated window disappointing
2019-07-11,2,cooky n't bad definitely priced okay cooky cooky dry hard definitely need milk service good price cooky definitely made experience worth 11 30 tax dollar pack 6
2019-06-24,2,monday night 9pm ordered six cooky pint ice cream someone called immediately order placed tell n't flavor ice cream ordered ok happens requested another flavor took 90 minute 1 5 hour arrive place le half mile residence see attached picture best part ca n't even reach local store ordered phone try get touch reach kind national call center cool cool guess might ok business model 2am stoned college kid otherwise n't expect well anything edit finally opened ice cream pint 2 3 full lol f-ing joke
2019-05-23,5,best cooky ever hand totally worth spending like 25 box 12 cooky whatever drive hour staten island plus hour back buy cooky cause good take home microwave taste amazing every time remember thought subway cooky good lmfao insomnia game changer watch crackheads hoboken though get little close comfort sometimes
2019-05-22,1,ordering delivery make sure subtract two hour time want arrive get time second order placed late even allow customer schedule delivery ca n't get timing right super frustrating ca n't speak good cooky brownie tasted time gift
2019-05-06,5,love insomnia cooky every time come 4-5 time cooky fresh staff friendly helpful 0 complaint waited 30 min v 20 told mini cookie cake n't mind bc warm super hot falling apart carry home
2019-04-30,2,got cooky late called customer service helpful rude also tried online chat try find order never actually answered question wait eventually come back response stopped responding worst
2019-04-26,5,one favorite go-to spot cooky staff always friendly whenever go location ordered box 6 cooky delicious absolute favorite peanut butter chip cookie always different deluxe cookie nice think need add flavor menu overall great place want sugary baked treat parking little tough area night great pit stop
2019-04-16,4,star really cooky visited location twice first visit great later evening happy open later cooky bomb seriously bomb mint chocolate chip ugh good cooky melt mouth staff working night super friendly attentive made recommendation patient second visit however completely different staff working boyfriend great experience first time n't expecting anything different young man working behind register seem agitated annoyed job ordered go 6 cooky ice cream sandwich made ice cream sandwich placed regular paper plate fine maybe n't remember said go boyfriend asked could take go young man grabbed empty box threw u box maybe long day
2019-04-14,1,service someone arrive super early time arrive hour late cooky mangled broken cold get consistent delivery people tonight one delivery person already hour ordered called said 5th person current order already 9:30 wtf
