date,rating,review
2021-11-14,2,food great two star poor customer service attitude man charge expediting ordered 1 bagel 10:48 exactly literally work block 3 store away restaurant order every weekend completely understand busy never complain returned exactly 3 time receiving 35 minute wait time ordered online unfortunately work 12pm returned 11:15 11:30 11:45 still ready finally clocking able get quick break run pick man tell threw away bagel continues argue explained already returned 3 time coworker ordered 11:45 final time returned pick three bagel two bagel ready mine thrown instead comping bagel remaking tell pay would deliver rudely lost customer 6 bagel rudeness horrible customer service suck work restaurant industry one understanding customer always get short end stick longer ordering
2021-10-29,1,oat put like caster sugar something giving discarded bread budget
2021-10-09,1,service really bad town staying nice airbnb took morning walk saw place thought would try placed order one bagel waited least 10 people walked placed order left finally go ask another gentleman waiting large order even noticed everyone else placed order left still waiting lady taking order absolutely rude would recommend place
2021-09-19,2,bagel good worth headache delivery take well 2 hour go person complete chaos unorganized rude manage get order lucky everything correct n't try calling let know issue order n't answer phone decent bagel n't outweigh crappy customer service
2021-09-19,1,good food awful service process weekend chaos expect wait food 3x amount time give shame food one better spot town
2021-09-12,5,anyone telling better bagel hoboken getting commission plain simple better faster wider variety bagel around
2021-08-18,3,jp bagel express definitely bagel staple hoboken located close water location definitely great central walking sunday surprised busy line literally door decided go staple order breakfast sandwich everything bagel egg cheese turkey sausage flavor tasty standard breakfast bagel size okay overwhelming like strive overall n't anything unique order definitely hit spot looking definitely back get breakfast grub hopefully try something unique menu
2021-07-25,3,like location convenient jalapeno bagel cream cheese ordering bit chaotic hit miss skimp cream cheese sometimes overall solid probably better place area
2021-07-16,1,really shame nasty woman probably one owner n't give right yell people like shit extremely rude told come told always super nasty customer said lose business n't go
2021-07-02,4,pretty yummy bagel prime location got around noon small line bad people waiting order look like common get one bagel sandwich smoothie opted bag 13 bagel 1 2 lb low-fat veggie cream cheese disclaimer try 13 bagel yet review solely based untoasted everything bagel bf cut open bit unevenly ahahaeverything bagel chewy yummy needed lot seed everything seasoning top still tasted good untoasted veggie cream cheese super savory say much cream cheese pepper seen filling peppery flavor definitely throughout cream cheese excited try bagel ok waiting line also try one sandwich get bagel toasted cut instore rush cuz really hot update tried egg bagel everything whole wheat bagel yummy everything really need everything seasoning
2021-07-02,5,bagel yummy soft bacon right crispy cooked super fast nice despite busy
2021-06-22,5,delicious bagel wait time long always hit spot bagel place hoboken far favorite one bring visitor every time
2021-06-02,1,gross come see attached pic chicken salad absolutely unacceptable disgusting never come back unsanitary clearly show care paying attention
2021-04-09,5,one favorite spot hoboken freshly made breakfast bagel sooooo delicious jalapeno bagel egg scrambled sandwich fresh cc name item ordered always thought reviewing never finally guy deserve 10 star even possible pro tip local trying busiest time call ahead order online wo n't wait line long time see guy soon
2021-04-04,4,quality bagel spot delivers thought texture bagel great airy chewy full flavor find sometimes bagel really dense hard good also saw many different type bagel n't seen would like try get everything bagel like use measurement good bagel spot definitely could everything mix bagel still delicious would definitely come back
2021-03-23,5,go often bagel sandwich food great staff super friendly love
2021-03-15,5,easily placed online order jp bagel express day addition 1 5 dozen bagel got family function everyone loved might add ordered breakfast sandwich asked whole wheat bagel scooped provided room sandwich ingredient awe soft bagel even hollowed inside bread thick slice fresh avocado ripe tomato sprinkled black pepper roasted red pepper clove garlic bite pure heaven jp bagel express made simple organize large order several specification provided request flawless execution
2021-03-03,5,best place town outstanding customer service thank last thing hear experienced place
2021-02-16,5,great bagel everyday bagel shop never disappointed fresh flavorful bagel
2021-02-07,4,ordered reuben side coleslaw 3 egg bacon cheese sesame bagel everything bagel got home everything still hot packaged perfect take bagel soft fresh favorite everything bagel delicious get sandwich egg cooked perfect bacon cheese great cheese melted gooey good sesame bagel okay boyfriend say bagel sandwich 5 reuben 3 reuben okay better reuben would n't get one little meat barely kraut strong mustard taste bagel good fresh highly recommend everything bagel excellent
2020-12-10,1,crock shit spent 15 2 sandwich coffee lesson never get taylor ham egg cheese microwaved garbage place save money go street grab taylor ham egg cheese ali food truck cheaper cooked grill
2020-11-21,5,delicious bagel huge love tofu cream cheese amazing alternative someone looking dairy free vegan option
2020-10-10,1,owner rude daughter apologized behalf upset order made right sound kinda backwards since staff one messed order taking them3x correct chose upset ask modification due allergy way better option town actually appreciates customer money making pic one bagel underwhelmed
2020-08-28,5,stopped lunch kid pier yummy food exceptional service kid loved rainbow bagel turkey bacon sandwich standouts boom boom sauce sub sweet pepper staff friendly quick felt safe eating outside couple table chair set
2020-08-03,4,hot second since bagel made-to-order egg avo toast home ya grabbed one jp walk around hoboken past weekend pretty dang good would n't go far say best bagel ever distinction think go old stomping ground fave brooklyn bagel decent importantly staff friendly right way part keeping u safe covid world tbd stack bagel-wise wonder bagel jc others hoboken take awhile able say though take review grain salt everything spice
2020-07-24,1,really disappointed used go bagel spot never really complaint besides charge everything willing pay good quality stuck around however started noticing stingy price bad order today ordered sandwich took one bite immediately threw called concerned first time real complaint quality asked speak manager rude trying rush phone prideful business n't believe saying found hard believe sandwich bad nothing could n't even want refund wanted advise check item case anyone else issue longer costumer one bad order one time handled poorly disgusted service head bagel hudson
2020-07-24,4,best bagel nj best bagel hoboken absolutely yes place go hoboken
2020-07-11,5,best bagel place hoboken bagel fresh like bec make egg fresh actually give full amount egg place hoboken cheaped egg good customer service also
2020-07-09,3,look food solid definitely expensive though main gripe ordering experience totally dependent take order cashier cook good one cashier ca n't listen n't see often frustrating paying food coffee wrong black coffee end light sweet ketchup end becs sometimes sausage instead bacon ask turkey get ham n't get worst large group order wrong better process could easily 4 star 5 please get cashier pay attention write correct order
2020-07-03,4,recently moved jersey city queen jp closest get beloved nyc bagel yes tried spot jc abomination hoboken went weekly carb fix bagel big great selection option oat bran whole wheat sesame rainbow whole wheat everything egg everything go go cream cheese selection hello jackie jersey bagel spot let friend
2019-03-11,5,staple hoboken community packed especially morning weekday noon weekend rightfully wide assortment fresh bagel see immediately walk service quick friendly normally order go-to breakfast taylor ham egg cheese toasted everything bagel ketchup salt pepper iced hazelnut coffee never issue always taste amazing please try hazelnut coffee one best
2019-01-13,4,fresh bagel quick service great location need quick bite around hoboken terminal cream cheese bagel flavor somewhat limited compared shop jersey city area convenience trick
2018-11-04,4,great bagel spot downtown right near path running city need grab bite quick spot grab driving town n't want wait starbucks across street another great option early morning packed rush hour move quite fast lot option drink well much parking bike parking restroom go run across street starbucks take cash credit apple pay
2018-09-30,3,wanted get normal bagel comfort zone stumbled upon place along boyfriend pj small no-frills spot close train station crowded weekend morning order moved relatively quickly ordered whole wheat everything bagel low fat scallion cream cheese well iced coffee staff polite snag asked turbinado sugar sugar raw clarified sugar brown packet resulted coffee sweetened brown sugar ideal great taste bagel okay taste wise probably would gotten different cream cheese little sour side tasted diet-y also smaller side great bang buck overall bagel okay first choice hoboken o'bagel would better choice
