date,rating,review
2021-10-04,3,tried jun first time liked cookie cream ice cream sweet an consistent rose lychee macaron okay great
2021-09-27,3,overpriced cake taste like something get supermarket cooky nutella croissant donut id world though insane cost 6 really good
2021-09-17,5,carrot cake salted caramel macarons dark chocolate hazelnut gelato rock world
2021-09-09,4,randomly found spot walking washington street saturday afternoon small dessert drink shop currently seating inside though three table outside decided split nutella-filled croissant doughnut 5 25 bulky glazed doughnut filled substantial amount chocolate-hazelnut spread usually gimmicky item actual pastry stale doughnut however flaky soft filling bit overkill became sweet end thankfully sharing able finish pricing high yet ca n't take anything away product worth stop passing
2021-09-05,5,kid loved gelatos coconut flavor die would entire bucket safe covid-19 protocol customer transaction big plus always appreciate day
2021-08-31,5,ordered yelp app restaurant called directly sold raspberry chocolate sorbet flavor asked banana instead worry thought allergic reaction first called confirm banana sorbet kindly ensured creamy sorbet dairy free banana flavor delicious kind place continue support
2021-08-30,5,croissant donut amazing likely best ever favorite nutella filled one macaroon also tasty definitely trying ice cream next time
2021-08-14,4,came dessert captivated hy crepe love crepe n't tasted good especially felt gelato delicious pistachio cost heftier hoped croissant donut bomb certainly come back one well try tasty looking dessert
2021-07-04,5,one best gelato shop hoboken ordered peach mango gelato refreshing flavor superb creamy almost texture soft serve assortment flavor including fruity flavor chocolatey one
2021-06-27,5,best macarons tiramisu area big fan tiramisu especially tried multiple place hoboken area best flavor must try sweet tooth also multiple flavor mousse well tried 4-5 flavor super delicious
2021-06-23,3,cronut better average filling n't great get get plain cronut n't recall boston cream pie nice chocolate topping cronut cream flavorless apple cinnamon nice sugar coating cronut apple cinnamon flavor decent jelly nice frosting cronut jelly okay coffee gelato n't gelato lack intensity n't recommend would n't get cupcake n't great oreo cupcake strawberry cheesecake neither flavorful rich would n't get
2021-06-08,5,delicious late night treat highly pleased flavor dessert salted caramel cooky cream gelato perfectly creamy strawberry cheesecake actual chunk berry glaze top everything flavorful hit spot muggy june evening revisiting location sweet treat
2021-05-30,5,n't rolled ice cream anymore due covid crepe amazing enough ice cream fruit sweet dessert place small per hoboken washington st standard
2021-05-16,5,ordered delivery disappointed fav color teal bet yo as bought blue velvet cupcake also got brownie cupcake also good
2021-05-09,2,place okay good terrible little bit expensive thought location good hoboken main street easy find
2021-05-09,5,1st say wow amazing secondly read lot review terribly hard instruction clearly state let thaw least 15 min consuming case delicious thawed cold best macarons ever ordered uber eats ca n't speak store front definitely ordering
2021-03-12,1,could give 0 star guess changed owner went covid macaroon gelato amazing however 6 macaroon bought 3 dollar might add old hard rock guess atleast 4 day old come
2021-02-20,1,disappointed worst macarons ever taste like 2 day old super hard chew expected way better quality charge 2 95 per cookie
2021-01-22,5,firstly like set ensure social distancing little hole wall spot never think try craving macaroon came home much passion fruit macaroon fresh best ever croissant donut phenomenal nutella fan need try nutella donut
2020-12-12,5,place amazing cronuts unbelieve best country ever
2020-11-30,5,yummy sugar diet whenever feel like cheating juns nutella filled croissant donut slice cake heavenly
2020-10-27,3,might overhyped place head combination macaron gelato sounded amazing thought dessert average would give place 3 5 5 initially wanted get macaron gelato sandwich left maybe went weekday night 8pm supply running low end day sure anyways big selection macarons gelato really nice lot unique flavor lot sweet fruity flavor fun option bit pricey give lot gelato packed tried new flavor normally would heard popular thinking played role give place another try future
2020-09-29,5,plump delicious macarons thing look slightly expensive usual totally worth tried pistachio orange blossom rose lychee chocolate cooky cream extremely good flavor satisfying size definitely go back highly recommend
2020-09-19,3,late night dessert craving seemed like dessert place delivering time ordered new york blackout cake new york cheesecake personally wanted blackout cake bit moist little le sweet cheesecake way sweet liking n't even finish later overall disappointed cake hoping better quality taste reading review
2020-07-31,5,tasty gelato crepe highly recommend tiramisu hazelnut coffee gelato strawberry blueberry crepe nutella yum
2020-07-11,4,friend finished dinner craving frozen yogurt something similar consulted bible aka yelp place highly rated open late appreciated pulled double parked illegally first went check look flavor friend ordered seemed norm street hang people waited line see menu order respectful distance service seemed quick got banana coconut cup generous portion liked coconut lot piece coconut would get banana ok
2020-07-10,5,ordered 3 assortment croissant donut like nothing ever delicious light pair perfectly coffee ordered uber eats specifically asked vanilla glazed chocolate chocolate phone disturb would able answer missed call trying find wanted replace chocolate great service highly recommend
2020-07-01,1,love macaroon however third time buying macaroon time hard stale seems like laying forever sell customer disappointed never come back
