date,rating,review
2021-11-07,5,never disappoints biryani chicken tikka masala kebab go great portion
2021-11-06,3,food ok great couple time apps good want try whole fish could one spot
2021-10-30,4,mostly impressed restaurant food taste good authentic close mint tamarind chutney spot naan american version little disappointing since item seem authentic asked sample dal makhani told sell full serving sample unfortunately eating alone would much order since hotel would mostly wasted restaurant would come back say lot
2021-10-28,5,karma kafe intimate dining spot specializing northern indian cuisine located washington street hoboken offer varied selection vegetarian non vegetarian entree restaurant offer indoor outdoor dining full bar available complete lineup type level spirit dining experience began excellent assortment appetizer chose recently ordered kabob sampler assortment chicken lamb kabob also baked chicken wing juicy delicious prepared delectable sauce karma aloo vegetarian dish made potato excellent also menu vegetarian chicken pakoras tasty well prepared ginger coconut chicken soup must order soup one tastiest probably ever recently ordered tandoori chicken full half chicken baked tandoor absolutely superb meal tender juicy prepared enough spice cooked perfection also chicken makhani butter chicken simply delicious meal one could order dark meat chicken piece cooked butter tomato sauce absolutely delicious one fish entree offered shrimp malabar jumbo shrimp cooked coconut sauce served rice really n't get better hot spicy agenda chicken vindalo order chicken potato fiery sauce goan specialty always order naan bread delicious bread compliment selection chose onion garlic plain butter cheese great beverage choice mango lassi sort smoothie ordered without alcohol extremely popular traditional rice pudding great end meal dessert staff well versed menu preparation offered friendly professional karma kafe definitely great choice delicious well prepared presented indian cuisine say due dish prepared order prepared enjoy evening leisurely nothing rushed
2021-10-23,1,food okay staff member exceptionally rude making overall quite bad experience recommend restaurant rather recommend indian restaurant area
2021-10-17,3,ordering place visited weekend disappointed unauthentic chai unexpected cheap spring mix every dish
2021-10-08,5,really good indian satisfy chicken biryani craving yogurt sauce fresh cool although wish per portion match rice dish perfectly spiced well
2021-10-07,5,food good amazing flavor indian spice level ask dish made spicy recommend malai kofta palak paneer
2021-10-04,4,reunion went well good food fine sunday afternoon meeting couple friend school long time food important keep reunion alive happening chose place karma cafe meet starting appetizer ordered vegetable kebab karma aloo delicious specially loved karma aloo drink ordered sparkling wine white red perfect main course ordered malai kofta bread platter good hoping better taste overall presentation service nice looking forward try appetizer thank good food
2021-09-27,3,food good delivery careless least 50 time something missing tonight garlic naan last time rice time soda getting really annoying sure worth ordering since time bring missing item everything else cold
2021-09-01,5,service excellent food amazing aesthetically pleasing eye good tasting appeared portion grand filling food right amount kick heat love naan fresh tasty great place good food
2021-09-01,4,soon walk slapped face smell indian flavor spice sat outside ordered bombay blue friend fresh watermelon juice described literally splash tonic good little strong side watermelon juice refreshing could tell freshly made order bagare shrimp friend ordered bhindi aloo side naan dish came basmati rice dhal 1 papadum served table side 2 different sauce type chutney good 2 dahl good made bit spice prefer mine little spicier still really good n't chunky prefer 3 basmati rice feel rice strained loss starch rice good great 4 bagare shrimp good felt like much tomato must say gave lot shrimp complaint end 5 bhindi aloo dish flavor shrimp without shrimp order n't like okra okra cooked well cooked 6 naan super good made perfection soft nice crisp doughy good ordered another round staff great food tell beware spice permeate body know mean
