date,rating,review
2021-10-28,5,food great remember ha ha date ropa vieja worth spicy drink also good go back soon sure
2021-10-23,1,made reservation la isla 12th street hoboken friday october 22 2021 last night sister visit tulsa ok planning happy ending wonderful visit distance allow u spend much time together special event blind use seeing eye dog reached reservation desk reservation confirmed host informed could seat u inside dog said yes seeing eye dog host asked wait minute minute later man came asked card prove dog service animal law specific regarding service animal person using service animal asked documentation animal two question may asked question one animal assist disability question two task animal trained person asked disability showed ada regulation nagdu national association guide dog user app specifically read federal code asking documentation animal status service animal one phone calling somebody never answered searching information service animal cell phone sister could see looking phone manager tried extort documentation service animal expressly forbidden federal code least five separate group seated subjected humiliating experience right exist community questioned 15 minute subjected humiliation agreed seat u stayed ordered drink meal subjected interrogation suspicion cast pall grand finale wonderful visit gifted independence seeing eye dog teamed last 20 year ignorant people tried impede quest independence night stood ground seated served management even offer drink house time sister stood tried deny full access guide dog take minute look service animal regulation part every business owner manager employee education plan business public cost person disability made fight right live work yes play world like member society relegates person position le longer accept position comment food probably good attempt deny guide access restaurant left bad taste mouth meal enjoyable sister lost appetite ate little shame la isla pertinent regulatory information two question legally asked service animal handler obvious service animal provides limited inquiry allowed staff may ask two question 1 dog service animal required disability 2 work task dog trained perform staff ask person disability require medical documentation require special identification card training documentation dog ask dog demonstrate ability perform work task also offering link adat gov hat detail law service animal ada gov service_animals
2021-10-14,5,love food ambience staff attentive check table often food great going back
2021-10-08,4,october 2021 cuban ruben great sandwich nice location great service
2021-10-07,5,best cuban food county ernesto serve family new menu beautiful retains old traditional item met lady come week love place
2021-10-07,1,ordered white rice bean beef stew rice like chewing rock beef stew great gave 3 piece bean taste like water would n't recommend place n't real spanish food go jersey city union city get great spanish food
2021-09-17,4,gotten take sandwich well dinner dining food always really good mention pretty affordable rarity part favorite sandwich havana club classic cuban havana club definitely take first place chicken grilled perfectly love added avocado oh multigrain bread pretty fantastic get extra mustard cuban dinner favorite camarones al ajillo shrimp white wine garlic sauce pescado con chutney de pina mango salmon mango chutney anything seafood always go great shrimp served almost soup sauce recommend getting rice one side table inside second location uptown n't look little upscale loc casual byob hear great brunch hopefully next visit
2021-09-16,5,byob indoor outdoor dining place always seems plenty patron get well fed shared cubano great nice flat crisp bread ingredient great sandwich came sunday get special ropa vieja plenty food got side rice bean special come two side entire meal filling meat super tender would definitely come
2021-09-12,1,going multiple time month never go back ever waiting table 10 minute ignored waiter dirty water fell face ceiling one employee helped asked ok offered napkin wipe water face clothes witnessed went back avoidance customer f k place subpar service dirty restaurant health code violation left right
2021-09-02,4,la isla right bustling washington st indoor space small table one wall bunch stool bar around 7 table outside sidewalk umbrella looking affordable brunch lunch check different special every day since came saturday got pollo asado special well medium noche pressed sandwich chicken nice dry came 2 side sandwich pretty good roast pork dry rest sandwich great flavor
2021-08-29,5,big fan reasonable price cool vibe good food byo n't forget drink good news twice went two door sparrow liquor store get drink
2021-08-29,5,food atmosphere everything would hope would side service great food show super fast la isla also right across street carlo bakery saying
2021-07-10,2,honestly worst service worst food hoboken first let start food salt seasoning thing restaurant going run especially latin place latin lived miami life represent cuba miami anyway said service absolutely atrocious waiter latin guy also chubby tattoo left hand even give u water extremely rude even treat u sort decency asked check sitting table dirty plate front u 20 minute really terrible experience plus extremely expensive get bus boy kind enough give u check even give u pen sign check wait another five minute wait pen even though service terrible food great still gave good tip decent human never come back
2021-07-06,4,first time back restaurant year food disappoint sat outside order ropa vieja roasted pork medium noche sandwich good pork little dry papa rellena montaditos excellent food quality good taste although better cuban food bad portion reasonable smaller side price service friendly attentive waitress explained menu provided recommendation inside nice set table option sit bar price let honest much type food elevate charge 20 rice bean protein price high quantity food quality food would go back sure maybe month nothing memorable average cuban restaurant p best thing tried montaditos feel free order
2021-07-03,5,food delicious ropa vieja shrimp see picture good dessert delicious also mojitos great service nice waitress gave u excellent service
2021-06-27,1,service terrible employee fault steak sandwich seem meet cook water flavor ask cafee con leche warm hot enough oh well make choice wont bak
2021-06-21,3,wanting try restaurant year decided try mom enjoyed food server friendly point restaurant serve alcohol
2021-06-08,4,restaurant much smaller appeared online ambiance relaxed authentic cuban music background artwork honoring legendary celia cruz theofolo stevenson notable cuban hero adorn wall food authentic cuban well seasoned quite tasty portion average small drawback restroom entrance kitchen wait staff could bit attentive overall enjoyable dining experience
2021-05-30,3,ordered cubano sandwich pulled pork ham pickle sauce pressed bun flavor decent pork bit dry wish used slightly fattier cut pork would make meat much tender juicy
2021-05-26,5,wow probably best oxtail stew ever eaten could stop talking sauce well flavored oxtail cooked perfectly meat falling bone might eating every monday since special day food delicious really enjoyed dinner atmosphere great family oriented lot cuban charm decorated throughout place definitely staple
2021-05-21,2,food place mostly okay overpriced except cuban sandwich one terrible overpriced two four time ordered delivery missed least one item still billed called let know 2nd time tried blame incompetence rude worth aggravation
2021-05-19,5,place staple hoboken always authentic cuban food great food great service
2021-05-11,4,clinic parent went quickly seated outside lunch chance go inside smelled wonderfully deliciously cooked meal shared yuca fry shaved cheese top crunchy soft time usually fan yucca fry tend dryer side one really good even gave pure chopped garlic oil dipping sauce dad fried chicken sandwich came side plantain chip chicken sandwich good nothing extraordinary chip thin crispy perfect amount salt mom got chicken lunch special devoured got ropa vieja good well price pretty good lunch would come back quite 5 star one came refill water oh coffee really good sure refill would definitely gotten another offered free refill
2021-03-28,5,tried sandwich really enjoyed great price portion size taste great would definitely recommend
2021-03-08,5,empanadas potato ball world thought cuban sandwich ok pork little dry
2021-03-03,5,interior upscale side great location date waiter extremely generous knew menu well gave great recommendation tried steak soooo good empanadas cuban soft drink really good must try sure cubanos little bland side nothing kick table hot sauce could n't fix atmosphere wonderful everyone socially distant seemed pretty popular
2021-03-02,5,write n't already said family owned business featured diner drive in dive making incredible cuban food heart hoboken nail cute diner long time ago decorated casual cuban eatery would loved sit french toast got ta go staple el cubano cubano sandwich year ago miami get one new york havana central okkkk want real deal well served right la isla restaurant el cubano perfect sure adding lard dough spongy classic bread marinated pork roast grill press ham cheese pickle la isla restaurant thank keeping tradition alive making authentic cuban delicacy
2021-02-06,5,ordering la isla year live across street never disappointed added family meal favorably priced skirt steak fried yucca favorite
2021-01-21,5,great food moderately priced definitely going back try batidos made perfection
2021-01-07,5,favorite cuban restaurant like go location hoboken food amazing always get papa rellena salsa ranchero order downtown location fill real quick available seating also try uptown location
2020-12-14,5,place amazing small byob cuban restaurant serf breakfast lunch dinner food authentic tasty delicious pleasantly surprised pleased service quick easy experience enjoyable definitely recommend place want yummy authentic cuban food
2020-12-12,5,la isla may look small flavor big go spot hoboken lunch papa rellena delicious go appetizer love croqueta preparada sandwich
2020-12-01,5,best cuban sandwich food town staff always friendly shout cook making food delicious always great experience saludos
2020-11-30,5,family often come hoboken highly recommend stop amazing empanadas especially beef chicken one cute little place friendly atmosphere
2020-11-24,4,tiny cuban place make really nice dishestheir french toast area really good ordering year nowthey open really early morning great option breakfast brunchcuba chino really good tooyet try lunch dinner item phone operator little better ordering online better
2020-10-26,5,funny story found la isla cab complaining lack good cuban food nyc miami expectation cab driver overheard said clearly n't la isla hoboken best well sir challenge accepted made mission get la isla try cuban cuisine disappointed better miami ca n't say best authentic cuban since moving city yes tried cafe habana granted fusion restaurant la cubana rip sophie coppelia cuba restaurant seriously name back
2020-10-06,5,best tasty food great delivery el cubano plantanos chicken empanada faves
2020-10-03,5,take ordered received within 15 minute despite saturday night n't much experience cuban food hooked looking forward go back live area mother especially loved piono great balance sweetness restaurant staff wore mask extremely friendly warming ca n't wait come back try item bonus smell coming kitchen made mouth water
2020-09-27,5,outdoor seating good size churassco seems much smaller half regular size regular menu brunch come dinner get full size otherwise everything great satisfying customer many year food always great coffee salad sandwich steak waiter waitress friendly nice love la isla highly recommended
2020-09-20,5,favorite cuban restaurant hoboken great dish delivery always time even earlier quoted happy still around sure best keep business order
2020-09-18,5,gem authentic cuban fare food service top notch truffle yuca fry omg byob liquor store block convenient go highly recommend
2020-09-06,5,go place brunch funny covid-19 space available due outdoor seating
2020-08-31,4,great food great portion great price complaint would service waitress never returned busser tend u pleasant definitely return
2020-08-22,2,feel bad writing low-rated review especially covid true sure going difficult time rest world might give try later came cuban place course try classic cuban sandwich el cubano 6 10 nothing special say garlic mojo sauce really n't taste anything cuban bread delicious though empanada beef 5 10 nothing special pretty dry piece-y remember use lot hot sauce outdoor seating available wait time really service exceptional give
2020-08-10,1,aye isla start outdoor seating nicely arranged guy sat u didnt wipe table spray disinfectant saw female server using ceviche served glass cup feel like rip ceviche really shrimp gazpacho watery lime flavor ordered ropa vieja first time ive ever seen made red sauce sauce smokey pulled pork taste rather traditional cuban beef prepared w sofrito garlic although menu say shredded flank steak wanted ask pork bc consistency rice fail flavor dry cooked well enough grain werent crunchy black bean ok horrible pan con lechon wife dry felt like prepared day finally byob couldnt even mojito beer wash meal away
2020-08-08,5,cute family-owned cuban restaurant situated bustling lively washington st outdoor seating first-come first-serve indoor open takeout restroom first time menu many option decided go saturday daily special 14 roasted pork two side yellow rice maduro maduro super delicious probably favorite part wanted try empanadas looked bit pricey go try next time though waiter n't super talkative pretty friendly food come really fast overall great quiet place eat hoboken n't want sit noisy bar area
2020-08-07,4,la isla small cuban restaurant hoboken appetizer beef empanada papa rellena yuca frita beef empanada packed meat good meat could cuban seasoning yuca frita fried cassava manchego cheese good barely manchego cheese skip appetizer best 3 appetizer papa rellena good 3 entree good skirt steak ropa vieja beef stew gave nice piece meat skirt steak one chewy piece ropa vieja nice tender beef stew melted mouth beef stew best 3 entree dessert tres lech coconut mango cheesecake pionono tres lech horrible like typical tres lech cake saturated rum topped merengue instead traditional whipped cream frosting wish would make tres lech traditional cuban way definitely skip coconut mango cheesecake good pionono delicious pionono sponge cake filled dulce de leche like caramel love pionono favorite dessert overall really enjoyed cuban food except yuca frita tres lech cake recommend la isla hoboken cuban food
2020-07-22,5,place amazing food delicious ordered coctel de camarones crab cake yuca frye turtufa oil appetizer omg amazing delicious
2020-06-29,5,one top restaurant hoboken must try tried sandwich far taste great sandwich bread crispy cooked perfectly butter eat bread cuban sandwich still fav combination thinly sliced pickle ham cheese spectacular fried ball good appetizer well byob
2020-06-24,5,typical cuban restaurant great food good service sell best potato ball stuffed ground beef good empanadas beef patty expensive worth
2020-04-29,5,spot year come la isla apart life year continue road husband made first visit eight year ago celebrate two year dating anniversary fell love papa rellena first bite love cuban cuisine tried many place state never papa rellena delicious la isla everything menu delicious love salmon particular husband prefers churrasco nothing great thing say la isla
2020-04-04,5,awesome spot uptown cute quaint perfect date night food point feel authentic made love chef
2020-03-24,4,kind like old-school small diner meet cuban restaurant might sat time eat two favorite dish roasted chicken moro black bean rice pork cuban sandwich papa rellena potato ball cuban sandwich likely best item menu never first thing try roasted chicken n't sound like much add moro fan-tastic must try rarely ever disappointed dish knock place customer service owner implore work customer service skill wait staff often call n't nice people rude like could n't care le brusque cold first time customer going eating place 25 year sit read need nicer mean n't walked seen smile anyone face nice greeting ever guy see work pretty hard caesar press cuban sandwich n't even waiter walk see im waiting long time wait staff notice jump help many time walk treated like invisible literally get attention would knock 5 star 4 n't nice enough
2020-03-05,5,new location much nicer original love pork chop fried yucca good selection local draft beer great happy hour week offering half price drink 7
2020-02-22,1,racist waitress work saturday morning disciplined greeting service blank stare received u asian couple soon caucasian patron walked exact opposite absolutely appalling please visit establishment removed unfortunate reflection well known establishment
2020-02-20,4,comfortable familial environment la isla make great place grab casual meal time day nice breakfast huevos rancheros delicious flavorful liked additional texture tortilla chip bowl ingredient fresh however small piece plastic found dish slightly worrisome probably happen often french toast part signature stuffed french toast delicious yet felt disappointed stuffing much making sickly supposed combination cream cheese guava tasted like strawberry yogurt next time would go plain french toast overall liked personality restaurant also wonderful espresso drink would love go back lunch dinner
2020-02-04,5,please favor visit la isla make amazing fluffy flavorful pancake ever huevos rancheros delicious plentiful fry greasy light also amazingly delicious wow gem ate everything could even take pic service great friendly definitely coming back
2020-01-18,4,went restauntamt friend long trip upstate following one roomy recommendation food ok garlic tostones nice chicken soup well lechon asado day specialty great black bean soup much better sandwich cubano good
2020-01-13,3,la isla radar year bit let specifically service majority staff ignored u basically left u alone seemed like pretty smooth low-key wed night receive water check seemed take year food wasnt impressed coffee bitter bland yucca fry overcooked however appreciated truffle manchego cheese fact think add manchego unfortunately steer away meat la isla isnt place noticed quickly saw far veggie seafood option didnt form pork however cuban vegetarian sandwhich good loved freshness flavor fact stead multigrain bread wish theyd put cuban bread sandwhiches black bean hummus unique loved think dish going forward ill keep eye change la islas menu eat anything id gladly give another shot future
2020-01-08,3,yah classic staple hoboken idk honestly breakfast place run well service constantly flowing order getting pumped quickly food fresh coffee great however dinner yikes plenty staff handle 3-4 table get holy crap hard get anyone pay attention take order clearl obviously finished plate coffee cup table get go box check girl behind counter keep grabbing someone attention come table cuban sandwich r dude pickle sliced thin opened sandwich twice double check even one mustard anything cheese looked stale like sitting cooked reheated meat flavorless r yucca good going advertise come manchiego cheese top let go shall sprinkled garnish platano maduros good espresso end good even literally ask 3 people order eh maybe hire attentive wait staff keep open breakfast far cuban spot go low list artisano union city got back feelin disappointment
