date,rating,review
2021-10-31,1,could give zero star exact experience happened michelle nasty rude owner refusing resolve even smallest complaint longtime loyal customer always loved food however one time got beef broccoli smelled tasted absolutely rancid fair blue chinese food sometimes called asked see would refund replace refused help got offended n't want potentially get ill sick meat smelled spoiled owner literally told n't get replacement refund mean n't like cooking hung speaks volume business run concern likely significant health code violation broken defensive owner get one small complaint request stay away cost
2021-09-29,1,owner extremely rude nasty unprofessional yelled phone last year minor complaint order told n't order anymore gave another try year better judgment told worker owner wo n't serve food truly appalled review mention horrible customer service true give money establishment kind appreciate customer wish could give place zero star
2021-08-16,1,visited restaurant one time updated review 3 one star reading reply 8 16 21 update bad attitude business owner every right ask question want n't answer question state bad attitude business owner need read american constitution every right ask business owner selling food wearing mask attitude terrible certainly coming back restaurant change 3 star 1 star bad attitude mask vaccination stop spread covid people like still fighting virus bad bad bad
2021-07-09,2,got lo fatt chow month back via deliver far american chinese food go felt bland six u got quite assortment dish boring though least n't super soggy top rated chinese restaurant hoboken guess wo n't chinese food hoboken anytime soon
2021-06-04,5,going since opened food much le greasy healthier opinion excellent quality disappoint
2021-05-05,5,great food great service lo mein seasame chicken top notch dumpling well delicious along scallion pancake favorite take spot ever
2021-04-11,4,best chinese food hoboken thing could better fried rice usually take leftover white rice make fried rice next day iykyk use bok choy vegetable dish alone worth order usually chinese food place fill order carrot celery lot menu favorite scallion pancake crispy wing orange peel chicken moo goo guy pan chow feng orange peel chicken delicious use real chicken moo goo guy pan lighter sauce come chicken water chestnut veggie chow feng delicious wide noodle love lo fatt chow much gotten whole family hooked
2021-04-04,5,great spot ordered takeout 550 615 food hot portion perfect combo great choice 10 buck entree rice egg roll got egg fried rice lo mein sweet sour chicken definelty notice taste little healthier sodium still taste like great chinese food order nice delivery guy
2021-01-01,5,best chinese spot town reasonably priced good food super fast delivery food always come fresh hot
2021-01-01,4,much oil remains bottom take container establishment healthy alternative cook home singapore noodle need curry flavor hence 4 star
2021-01-01,4,would n't recommend place delivery updating review actually favorite chinese place hoboken food consistently good serve great portion usually order combo 1 sometimes 2 along side like dumpling soup egg roll always amazing feed 2 people lunch honestly sometimes dinner well n't order delivery twice time took 2 hour
2020-12-21,5,love place ordering takeout last 5 year food consistently good think really nice people
2020-12-11,5,covid comfort food month n't know would without steamed pork dumpling spicy szechuan wonton sesame noodle crab rangoon scallion pancake low mein chicken broccoli favorite give place shot wo n't disappointed food price
2020-12-06,5,continuously great chinese food local pick-up wonton soup wonton dumpling pan fried dumpling sweet sour chicken always excellent
2020-11-13,5,always fresh fast tasty beat traditional chinese-american take
2020-11-11,1,surprised place amazing review food generally salty sweet general tso chicken crispy fried order extremely sweet salty texture chicken hard dense lo mein salty feel like drink 5 bottle water feel tongue salty ca n't emphasize enough advertise healthier chinese food option hmm doubt mean know place authentic chinese food even chinese american food disappointing
2020-10-30,1,could give place 0 star would live across street ordered food 6:30pm 7:30 called find food greeted rudest employee said waiting driver get back said live across rudest tone said told street delivery would hour told would done pick ended canceling order option town never give place another cent money better offer ordering asia sushi 9th washington 10 block away house showed 20 minute better price quality food
2020-10-26,3,okay guess play low-fat chow healthy chinese food unhealthy part make chinese take good general tso chicken sauce really spicy mcnugget type vibe fried rice barely fried tossed couple vegetable price decent meh
2020-10-25,5,ordered take website great food prepared quickly lady behind counter nice
2020-10-05,4,simple yet intense craving wonton soup know felt even though kinda already ate big late lunch n't plan much anything dinner led u find lfc looking menu online already ate-ish state mind flew window ordered massive soup steamed dumpling garlic chicken stir fry scallion pancake fried rice got home tore ate bunch still felt good meal n't getting salad dressing side typical greasier over-sauced takeout everything ate really tasty yes wonton soup absolutely hit spot ever fried rice n't typical brown color neither plus pineapple chunk win-win stir fry garlic heavy hoped without salted sauced leftover thankfully eaten next day criticize something thought steamed dumpling little doughy n't huge deal overall look forward exploring menu chinese food wo n't make feel bloat still taste good time
2020-09-12,3,live right around corner craving chinese food reading review thought place would hit spot got pineapple pork fried rice wonton soup scallion pancake fried rice standard wonton soup really good price 100 worth would come back get soup alone scallion pancake inedible though incredibly chewy crisp ended throwing away
2020-08-29,1,customer service absolutely horrible girl phone extremely rude ordering received order incorrect called back basically told u wrong although repeated order multiple time put hold multiple time girl spacey hell surprised order wrong order got chipotle instead
2020-08-11,5,great lunch special boneless spare rib highly recommended also ton soup delicious
2020-07-28,4,good menu great food healthy portion tasted good left over day ordered
2020-06-25,5,really good chinese food craving impressed price everything great
2020-06-02,1,oh disappointed food lo-fatt-chow got take food bland tried add flavor every sauce pantry fried rice simply white rice pea piece pork chicken broccoli tasteless one star friendly quick service definitely returning
2020-05-29,2,placed large delivery order service prompt delivery person masked dish dish egg roll smallish could use filling 3 5-veggie dumpling doughy bland 2 5-scallion pancake greasy needed scallion 1 5-general tzo chicken sweet could use heat 3 5-beef broccoli get 4 5 mei feng veggie dry sauce flavor 0 5-chow feng veggie one tastier dish 3 5 5-baby bok choy tofu bland steamed veggie tasteless tofu downright terrible 0 5 string bean tofu least brown sauce however still pretty bland 2 5 5 veggie fried rice tasted like stale oil 0 5overall yelp rating way stated 2 5 rating generous likely would order
2020-02-16,5,excellent food always fresh great value owner wonderful pleasant highly recommend try
2020-02-08,4,food tasty seemed healthy n't salty oily interesting menu usual classic well house speciality delivery arrived promptly overall pleased
2020-01-26,5,great take-out food near newest area hoboken prawn lobster sauce incredible freshest shrimp curry apple chicken wonderful surprise taste india combined chinese lo mein fresh greasy price incredibly reasonable become favorite chinese take definitely give chance hope owner keep freshness variety going make big keep 5 star quality please
2020-01-05,2,sorry food super salty wife dish ordered delivery sunday evening easy tend particular rarely encounter much salt order kind restaurant hoboken welcome owner comment
2020-01-05,1,rush better order quickly n't blame u n't get food time first sentence owner said u enter restaurant best way kick costumer btw thought owner mean asian cause seems polite white costumer later turn mean rude general
2020-01-03,5,always fresh tasty hot always polite friendly true treasure hoboken delish
2020-01-01,1,decent chinese food reliability delivery consistently take 1-2hrs delivery live block wo n't ordering lady phone think owner super rude ordered 520 called 7 ask status told ca n't wait longer hour bothering ordering guess n't order early enough two year old eats 7 good luck attitude
2019-12-30,1,food ok better take place hoboken plus woman phone nasty attitude food worth aggravation
2019-12-18,5,always quick always hot fresh order come correctly every time food definitely taste healthier asain restaurant minimal oil
2019-12-15,1,n't bother ordering place ordered never even delivered u called asked order said kitchen would another hour already waiting hour asked refund fight get told u would refund u charge showed credit card statement eaten food okay importantly want give restaurant money treated poorly look yelp review see common review place horrible customer service hopefully take review seriously make effort change way treat customer improve delivery service
2019-12-09,5,fresh well made delicious fantastic service friendly highly recommended
