date,rating,review
2021-09-16,5,usually visit lola friend visit hoboken great restaurant great food great bartender christian would believe covid 2 year remembered u 2 year prior amazing usually hang bar get bunch appetizer grilled octopus 1 favorite also avocado lobster roll special delicious definitely back soon
2021-08-13,2,disappointed coming service absolutely horrible mention rude server basically told shut continue read daily special food ordered crab cake grilled octopus garlic shrimp total disappointment octopus fried instead grilled shrimp cooked lacked flavor crab cake good
2021-07-31,1,everything started well appetizer fine ordered entree waiting hour extended parking twice 45 minute top initial 2hrs see every table came u get food nowhere sight turn gave food another table point leave would understood restaurant peak serving time relatively early empty ordered way thought rectify error give free shot instead apologizing never coming back
2021-07-29,5,love place food atmosphere excellent however enough tapa menu first time went husband ordered 2 dish expected small plate however came back two entree complete side know order like authentic spanish food think great place looking small plate share table might find many option however still give 5 star
2021-06-16,5,always awesome owner great every night take pride care every customer managed survive covid shut down epitome small business deserves support food good price honest highly recommend please go support
2021-06-15,3,lola defense visit returning barcelona expectation higher decor cute gorgeous fountain center restaurant food okay nothing special nothing terrible okay heavy meat cheese seafood expected tapa spanish restaurant want vegetable salad wrong place great location near pier13 leaving bevs come sober disappointed food
2021-05-23,4,great dinner night packed outdoors still busy indoors food good item better others definitely get cheese meat plate favorite item mussel salsa verde white peach sangria delicious little expensive great night want try bit everything
2021-05-20,1,heard good comment restaurant disappointed service food almost waited half hour waiter come place order 45min get food grilled octopus ok priced 17 one octopus limb paella lobster recommended salty
2021-05-15,2,today celebrated friend 40th birthday party although food amazing service absolutely horrible took 40 minute get menu took 90 minute get food food absolutely delicious also took extended amount time get drink ask bill bill received computerized handwritten gratuity accurate large party bill split two gratuity incorrectly placed one bill server came charged card quickly charge incorrectly asked owner verify happens bill told u hand deal server reservation made 7 pm left almost 11 pm sad restaurant around quite time frequented establishment longtime resident service bad love support local business tolerate horrible service
2021-05-10,2,heard great comment restaurant definitely shocked service received past weekend never really one specific waiter least 3-4 came table throughout stay little unorganized say least table also close reservation 1pm get food 2:22pm lobster tail steak overcooked medium steak like medium well steak almost cold took long u get food expecting least hot shame steak tasted really good would even better n't cold sangria also okay weak definitely live hype
2021-04-08,5,omg omg omg left place ca n't wait go back absolutely amazing let start warm welcome get walk place offer anymore day decor absolutely amazing feel like certainly spain beautiful decor drink mojitos mango sangria refreshing drink long time food monkfish cooked perfection sauce amazing clam garlic sauce also good amazing thing tried chorizo red wine sauce simply soooo good food presentation great everything served fresh whole experience great thank much amazing staff lola efficient professional serving great drink food five star across board ca n't wait go back honestly could give 10 star place make reservation tho cause super busy trust worth way one
2021-03-22,5,attentive service also ravioli de langosta en salsa de vodka delicious great pricing going back soon
