date,rating,review
2021-06-22,5,bunch italian place visiting family nj popular local favorite went visited let tell one good sometimes sandwich need give place another go different selection place hand best tasted hoboken jersey city sandwich melt mouth flavor exhume every bite quantity everything sandwich perfect presentation perfect taste perfect literally want cheer scream yell exactly took several bite sandwich outside people around stared looked said best sub whole life voted number 1 sub guy 2021so dam delicious
2021-06-18,5,say perfection love place best salad sub mutz ricotta bread chart excellence anything italian love
2021-03-04,3,good much better hoboken area felt like mozzarella everyone raf okay chicken cutlet mozzarella roasted pepper bit underwhelming
2021-02-19,5,hoboken le year losurdo quickly become favorite spot town everything ever got absolutely delicious mean everything best pizza hoboken amazing sandwich fresh bread best chicken salad life also great deli option great selection imported italian good staff friendly helpful run constantly updated instagram page find daily special still need try buffalo chicken pinwheel place special mutz rival fiore must visit
2020-12-23,4,purchased chicken cutlet sandwich today chicken far best v competitor ordered 3 lb mutz tried soon walked door n't worry n't eat three lb mutz good another favorite hoboken far everyone like different thing please try creamy much better anything find store also bout imported domestic prosciutto tried imported tonight pretty solid pricing reasonable decided get cannolis left trying save tomorrow looked sooo delicious try know taste test filling something find local grocery store probably bakery one true italian cannoli would eaten four know family would disown great place want italian pasta condiment well great selection social distancing
2020-11-15,5,amazing chicken cutlet sandwich fresh ingredient simple delicious
2020-09-23,1,bought ham salame good although pricey bread ok nothing like real italian bread store lot old stuff shelf bought cooky stale imported product old covered expiry date black marker product expiry date individual wrapping inside saw selling product expired 6 month ago found unethical
2020-08-29,1,wanted give benefit doubt liked place lot several occasion seen employee customer wearing mask properly done customer business refuse practice enforce safety standard customer especially pandemic required everyone indoors business wearing mask
2020-08-26,3,first time wife n't entirely sure order got couple sandwich bunch italian grocery fairly well organized system ordering n't really know ordered trying keep people apart due covid far good sandwich n't really anything write home ok like wth grocery item bought expired maybe better sandwich shop n't tag grocery market anything like careful shelf product buy check expiration date
2020-07-08,5,among good amazing staff amazing price highly recommend trip hoboken gem
2020-06-28,5,best deli town delicious fresh bread great imported good delicious sandwich served great people go
2020-06-24,5,best place hoagy hoboken jersey city area staff always nice food damn good give positive hometown feel
2020-05-23,5,best deli hoboken sandwich tasty definitely hefty usually split mine two focaccia also good get pretty much right come oven since popular believe 10-11 range either saturday sunday always call ahead make sure staff friendly
