date,rating,review
2021-11-09,1,embarrassment hoboken deli scene place great 7-8 year ago terribly inconsistent charged 15 chicken salad kaiser bag chip almost twice would cost spot town nyc go fiore vito uptown place suck p roll stale chicken salad bland
2021-10-09,4,solid neighborhood deli ordered large takeout order ready promised chef salad nice portion generous helping meat cheese lettuce fresh crispy disappointment failed give dressing ordered gave dressing sandwich look amazing judging order got eat whole thing need napkin
2021-08-15,1,ordered place past n't bad since decided get chicken parm hero could n't believe bad apparently n't use thick italian hero bread anymore bread got hero worse blimpies n't know new ownership sauce non-existent probably half slice chicken cutlet wo n't eating anymore sure
2021-06-29,4,great egg sandwich pleasure eat get watch little soccer eat breakfast drink cuppa coffee nice outdoor seating n't try sandwich breakfast one man good
2021-03-29,3,luca brassi one hoboken staple italian deli typically keep simple order sub cracked pepper turkey fresh mozzarella lettuce tomato mayo sandwich big enough share chip something else side eat judgement giving 3 star always overcharge posted menu happens pretty much every time go tend add 0 50 1 00 top menu price noticeable paying attention feel deliberate annoying said continue getting sandwich convenient mozz delicious
2021-02-16,4,craving italian deli sandwich sunday night unfortunately italian deli uptown hoboken close early afternoon luckily luca brasi open 9 pm ordered fugedda boutit sub pick sandwich huge stuffed meat added balsamic little bit flavor delicious would try sandwich
2021-01-24,4,morning weekly sunday breakfast take back hoboken try somewhere new fate landed appearance great parking rough hoboken n't parking rough ordered online 5 sandwich home fry everything ready got keep mind solid 15 minute away know hope would ready 15 minute place surprised got egg white fresh mozzarella broccoli rabe youngest got traditional sausage egg cheese unwrapped mine nervous looked blase wrong salt fresh mozzarella broccoli rabe really carried sandwich worked well together son also happy sandwich inside clean staff helpful always plus said believe back lunch sometime
2021-01-11,1,order signature sandwich strictly tuna mozzarella totally bone dry totally disgusting like eating tree branch worst italian deli hoboken
2020-08-18,4,sandwich good well cannolis price n't bad either quick
2020-08-03,2,visited evening even though sign saying mask mandatory employee lacked mask three employee working one mask one mask chin one employee owner full mask current environment pandemic practice preach sign mandating mask mandate staff
2020-08-03,4,chose get taylor ham egg cheese sandwich great really big sandwich enough hold dinner time would definitely go back try sandwich
2020-06-23,1,food flavorful actually flavor ordered cheesesteak hot sub blandest thing ever salt seasoning meat pepper onion also tasted bad zero flavor also ordered cheese fry came saggy salt le flavorless fry maybe one american cheese melted top sake naming cheese fry
2020-06-07,2,worst sandwich life use cheapest ingredient worst tasteless deli meat canned artichoke canned sliced black olive
2020-05-17,3,ordered fresh mozz prosciutto roasted pepper barely mozz luca add buck cost put proper amount mozz done
2020-05-08,5,hand favorite deli hoboken highly recommend cheesesteak buffalo chicken sandwich also pasta fagioli literally one best soup ever highly recommend
2020-03-13,5,luca brasi everything love able walk past commute home ny pick warm meal enjoy 5 star
2020-01-12,4,competition tough hoboken italian deli deli iconic fresh homemade mutz huge italian deli sandwich plenty hot entree taste great go something sitting inside make even better lunch time pretty busy keep moving one downside charge 3 9 fee using credit card cash
2020-01-10,3,ehwe wanted love place ehfun menu roast beef fresh mozzarella bland sausage pepper onion goodsoup-beef barleythe meat disgustinglooked like clump day valve tumor coming honestly staff kindbetter place town real italian
2019-12-13,4,first place best corn muffin hoboken sure make premise whoever make saluted also tried chicken noodle soup recipe need tweaking job also ordered sandwich since cant order without getting sandwich one critique would crust bread sandwich little hard liking hold sandwich well got ta sharpen molar want get overall like would order would need sharpen molar
2019-11-11,1,came hoboken delicatessen try sandwich ordered turkey sandwich mozzarella cheese red roasted pepper asked gentleman took order please put oil vinegar salt pepper sandwich basically normally put deli sandwich got sandwich oil vinegar bread top sandwich drizzled balsamic vinegar sandwich prepared correctly basically flavor dry turkey got stuck throat dry mozzarella go disappointed looking forward good sandwich coming back
2019-10-26,4,great huge overstuffed deli sandwich great quality one huge sub single meal four meal depending hungry likely going leftover later go 4 star bc sometimes issue order accuracy around great spot order frequently
2019-10-26,3,customer luca brasi time today went get chicken cutlet sandwich bacon wrap waited 20 minute served customer ordered well finally called sandwich charged sixteen dollar chicken cutlet sandwich wrap ordering system outdated clearly messed order charged seems like double receipt provided absolutely unbelievable recommend place please go deli hoboken luca brasi rip update called explained must mistake agreed said would correct price could come back pick 2 refund understanding management nice good people changed rating 1 star 3 star however still feel ripped based price wait time sandwich good worth hefty price recommend fiores deli looking truly unforgettable sandwich
2019-10-24,2,tried really hard place like 15 year lived hoboken ala mostly failed rude ignorant however sandwich n't great ask salt pepper n't get etc head lusardi bro day highly recommend
2019-10-24,5,place good food good people cozy little dining area wife love reuben usually pick everything including kitchen sink sandwich sorry n't know name awesome pic included usually stop every couple week pick pound egg salad chicken salad tortellini salad make 2 part chicken salad 1 part egg salad sprinkle chili powder white toast sandwich tortellini side best lunch ever wife absolutely love place even coming time week gotten old ca n't recommend place highly enough
2019-08-27,1,ordered capicola mozzarella arugula sandwich charged 9 99 sandwich plus 1 arugula even though menu state 9 also charged 3 snapple see pic wtf sandwich ok nothing rave favor take minute head fiores biancamano better value
2019-07-20,1,please add onion lettuce o+v problem resume talking bet baseball seemed distracted charged extra topping requested gave severely lame as 12 dollar sandwich
2019-07-03,2,ordered two fuggedaboutit sandwich neither roasted pepper extra asked also delivered late
2019-06-19,5,best fresh moz ever add roast beef moz sandwich brown gravy prepared wowed owner friendly everything deli look incredible live atlanta visit every time visiting brother hoboken even take fresh moz home kind enough pack take plane
2019-06-15,3,decent sandwich place charge 90 tray penne vodka little mind
2019-05-11,4,old favorite got lost italian deli shuffle hoboken living u going early afternoon stroll reminded alluring smell love much ton option breakfast sub kind hot food platter etc big fan good chicken cutlet fresh mutz red pepper arugula balsamic win luca brasi exactly bread crispy absolute perfection worth every cent 10 massive sub great sharing nice day cute little outdoor seating area take go delicious either way
2019-04-25,1,disappointed customer service husband long time resident hoboken order regularly catering two day ago ordered catering order employee work town asked 1-130pm delivery called shortly 130pm follow told delivery called little later told n't delivery n't even done order day said still needed employee n't eaten lunch said would get together 15 minute 215pm came went called said called n't answer true someone waiting front delivery finally shortly 3pm got food called later said disappointed said got food fine asked speak manager told speak owner called time even left message return call called back say disappointed understatement never support business
2019-04-16,1,love place slacking cold cut thick give bread get hand ask guy mayo like usually didnt provide plus lo g hair thru sandwich mozz invisible ill stop going go fiores im alergic wheat use wheat bread instead normal white one whole thing garbage
2019-03-31,5,place good become go disappointed place massive sub portion huge
2019-03-23,1,wow disappointment chicken cutlet sandwich chicken awful first chicken tasted like cooked day sat fridge overnight microwaved threw whole sandwich
2019-03-20,5,family know deli owner decided try food never say everyone said best ever absolutely amazing food went back today got
2019-03-16,1,service terrible called order pick never made arrived pick said working made wait almost 20 minute called half hour finally asked waiting 20 minute order never made sand ok nothing rave service never going back
2019-02-13,5,place legit love sandwich homemade mozzarella cheese amazing big petey turkey yummy kind mozzarella little bit arugula sundrieds amazing filling fresh delish really nice guy working
2019-02-02,5,place awesome quiet honestly one best sub ever located crowded hoboken back street bad parking went feb 1st polar vortex place freezing inside eating requires heavy jacket hearty spirit staff wearing hat coat place business get get n't ambiance ok food ordered soprano hold roasted pepper 2 forget-a-bout-it swap mozzarella sharp provolone sandwich great cheese awesome soprasado really good high quality meat great bread hard crusted chewy also got pickle exactly expect great deli pickle going back next trip hoboken
2019-01-27,4,sandwhiches decently sized flavorful nice deli atmosphere would definitely come back try selection
2018-12-24,1,ordered delivery waited hour half calling many time answer food delivery either never order
2018-12-20,2,place use one top place hoboken sure quality bread weak best amount motz cheese weak goto vitos walk extra block
2018-12-16,3,feel like iconic place whose quality fallen year good spot make good money wish much say n't ordered pasta garlic oil sauce n't great potato salad maybe one day n't like food place looked busy people though
2018-12-02,1,worst sandwich ever hoboken patiently awaited sandwich hour extremely disappointed sandwich nothing ordered instead burnt cheese dry chicken called let know ordered rude unapologetic claiming order luca brasi pay extra cheese pay 1 whole slice burnt american cheese
