date,rating,review
2021-11-17,5,place cool went tuesday night felt like friday night know 2am kicking u
2021-11-16,1,horrible place food great although environment bad went accusing saying remark waitress service sitting long never asked anything seen many waitress talking customer forget people food talking people standing therenot meal 15 minute left 30 minute audacity ask need anything late asking something leave already also racist article racist
2021-10-26,1,trashiest place hoboken grossed every time even walk place epitome hoboken trash
2021-10-22,2,ordered food uber eats called place make sure included sauce person mad hatter rude hung like customer ordering many time
2021-10-22,1,give place zero star would would never life recommend one go unprofessional bar trash security guard n't walking freely behind bar physically verbally assaulted surprise business still running bad customer service
2021-10-18,1,manager place pretend owner tool nauseating typical white boy pretend black place typical hoboken bar pretending nightclub weekend nothing special
2021-10-09,5,breanna phenomenal waitress made experience madd hatter incredible excellent professional service highly recommend
2021-09-29,5,gabby best waitress ever felt really accommodated everything ordering highly recommend
2021-09-29,5,love bar bite claudio gabby tony exceptional provided great service girlfriend love fishbowl food music also nice vibe well n't help right around corner always
2021-09-20,4,came monday night birthday vibe great monday game music blasting great service together would recommend
2021-09-15,5,yo let start saying place absolute shitttttt good way course fell love margarita fish bowl thing ridiculously huge mention boyfriend could finish take go first time coming staff security friendly manner unlike place like fact game giving dave buster vibe like partyish try food randomly came drink deff going come back taste food soo stay tuned update
2021-09-13,2,website super outdated group u specifically went believed 3 mimosa said website arrived came find 11 bummer also paid make reservation told wanted stay longer would spend addition 75 person crazy overall food good probably wo n't go back
2021-09-12,1,first review ever written never experienced anything appalling experienced today neither customer employee numerous restaurant recognize every place bad day seems like consistent issue reading review following experience would n't want turn people establishment know people livelihood would recommend place current operation solely based greed establishment come carefully review bill advocate walked table 7 watch sunday football told would 50 minimum per person 350 table first red flag especially someone drink alcohol thus likely spend anywhere near 50 place already full madd hatter plenty open table gave license credit card signed agreement monetary minimum sat told 1 5-2 hour limit truly absurd ask 7 people spend 350 1 5 hour came watch football game likely 3 hour minimum okayed u staying one game likely clear already aggravated bill came noticed added 22 gratuity another absurdity completely fine restaurant adding 20 party 6 add 22 requirement without even saying anything pure greed people imagine many people would happily tip 20 sitting table hour mandated give agreed 22 service charge would removed give cash tip noticed money still added bill subsequently explained credit card fee written bill written bill would get 3 5 paid cash apparently mean charged 3 5 paying card madd hatter think might find would actually make money much happier customer repeatedly return obviously trying maximize profit expense extremely negative customer experience
2021-08-30,1,first review ever written wish review could go lower 1 star owner joint think run city hoboken bouncer push around people ate minding business n't look like belong owner wannabe promoter social medium star owns concierge service over-compensate n't place reflection personality essence jersey white trash avoid cost many bar hoboken great saturday night
2021-08-28,1,never coming back ca n't even say rated 3 star overall deserves fish bowl drink tasted like lemonade alcohol nonexistent 55 drink drain left buzz 4 shot fish bowl drink appetizer sampler smh bill 120 majority everything left done barely ate half fish bowl drink due extremely sweet taste alcohol food mediocre say waitress followed date due u giving tip low budget worker class restaurant best part flare candle came drink would n't even say e effort save money go somewhere city 123 burger exact least get drunk drink
2021-08-27,1,place suck shame 1 republic club replaced best spot hoboken manager joke much better spot town avoid
2021-08-20,1,partner came yesterday spent 40 2 bottled water fried calamari fry sprinkling parm cheese type garlic oil calamari obviously type frozen brand underwhelming tasteless say least price ridiculous food offer quality serve likely wo n't returning
2021-08-14,5,delicious drink amazinggg food management welcoming friendly nice place eat drink friend music vibe
2021-08-14,5,came madd hatter friend brunch fun month food delicious drink phenomenal jimmy hooked u great bottomless deal accommodating group preference 10 10 recommend
2021-08-11,4,came big group food good bit better typical bar food drink great atmosphere fun especially dj
2021-08-10,5,great spot drink good time friend love spot best server noika
2021-08-07,1,drink terrible went last night ordered henny colada colada n't creamy icey strong tasty 2nd drink mojito highly recommended server great drink disgusting way much lime juice like mojitos n't manager pleasant professional got another one go later realized dirt bottom cup gross clean mint leaf put drink place jammed pack inside never returning ever
2021-08-02,1,disappointed even give madd hatter one star formerly 1 republik spot sum lengthy review disorganization card file pricey bar food music better friend decided madd hatter sunday around 2pm catch decided make reservation online since know pretty popular spot making reservation online pay 5 reservation fee card file case try cancel last minute charge 25 per person reservation usually charged reservation fee go towards bill case even though 5 place ask card file reservation never charged reservation fee friend arrived security checked id seated given 3 different menu brunch menu drink menu regular menu looking menu 10 minute one manager came tell u longer serving brunch even though menu say every day given incorrect menu gave u one page menu thing limited especially since n't eat meat impossible burger incorrect menu around 16 new menu around 22 since new menu n't many option opted veggie burger 16 literally pre-frozen veggie patty bun french fry always get disappointed restaurant serf veggie patty heat home 5 boyfriend ordered chicken quesadilla said great friend ordered plain pizza liked well friend order calamari took one bite n't eat rest drink started around 14 fishbowl around 45 waitress barely present mean trying get water longest took forever boyfriend asked water table brought cup friend asked blue cheese water waiting 30 minute made matter worse another waitress stopped table tell u previous waitress leaving taking table sweet waitress since pretty irked previous waitress new waitress got brunt issue previous waitress leaving saw waiting table still 20 minute later still n't give friend blue cheese table water new waitress also stated needed put card file company policy also annoying place already mine reservation friend almost 40 minute later finally got water manager brought u bottled water charge u got bill 200 gratuity 22 automatically added group 6 people gratuity tacked additional 40 crazy service received friend also asked calamari taken since gross many back forth manager took gratuity gave u 10 bill dj playing music ymca simple plan panic disco etc music hear like college orientation barely hear talk would stuck music better friend never visit madd hatter
2021-07-29,1,beware angry bouncer could n't tell left right idea deny entry state id go elsewhere
2021-07-26,2,visited spot brunch 7 25 never return due experience family felt racially profiled establishment asked leave card waitress ensure n't skip bill never heard action taken also fact pay 25 reservation get restaurant n't even busy manager refunded realized pretty unfair charge fee appreciate drink assuming people go best part ordered buffalo chicken eggrolls asked server cheese 3x said tasted cheese asked manager confirmed cheese cheese frustrated point made mind never return another pro establishment along drink atmosphere music place overrated
2021-07-23,2,let rip madd hatter new one establishment couple time time blast service good vibe great however past recent visit taco tuesday horrid first waitress service sucked tell friend one person give id debit card table mind never told time find odd comfortable speak manager explains many drunk patron dining dashing leaving waiter large bill like get still way want someone holding valuable info whole time dinning mind give back stuff fanny pack wear pull card waitress go name looking people info finally get mine like never icing cake taco tuesday trash waitress failed tell u first round taco get condiment eating naked taco like waitress give table water napkin plate utensil another waiter overall getting good service appears hit miss taco tuesday suck
2021-07-19,4,loved vibe inside outside decided eat outside tv outdoor table showing sport game never seen streetside definitely lure customer calamari meh fry yum wing delicious server great go enjoy
2021-07-18,1,never ever going back psa girl stay clear place last night group noticed girl basically unconscious guy feeding drink one girl went check ok guy replied fifth person ask n't hero hearing went staff let know n't single thing instead staff potential rapist hugh fiving get regular obviously made scene kicking u due closing manger owner came like trying keep hush hush bottom line place condones sexual assault knowingly guess proudly n't anything something like brought attention
2021-07-13,1,forced leave one star place deserves none service terrible waitress absolutely personality n't attentive food tasty drink super watered anywhere else would better
2021-07-09,2,mediocre burger thing good fry make deserving two start 50 grandpa get two burger soda free refill drink 2 50 total scam coming
2021-07-08,5,loved experience huge drink made noika delicious maria server amazing definitely coming
2021-07-02,1,imagine world sport bar n't play sound game waitress great ownership management involved realize customer literally walking bar decided play carrie underwood instead game ca n't fix stupid guess bar next door full 30 capacity
2021-06-26,2,could probably day honestly would n't come back unless wanted watch football basketball security guard ace probably best server job description order kept getting messed none alcoholic drink alcohol mimosa tasted like sunny delight sangria tasted like hawaiian punch margarita tasted like 7up feel like server training
2021-06-24,1,love place lively time food drink great bartender attentive generous tip well food good actually ordered uber eats pretty quick food usually pretty warm get reason gave one star found reliable source food ordered uber eats restaurant take order driver work madd hatter deliver food fine pretty smart think n't like tip driver uber eats mad hatter keep really chafe as dare mad hatter get stealing employee hope rectify situation give tip people work
2021-06-15,4,overall great night friend birthday take one star due overall rudeness staff front door man need chill pill tried start argument one friend continued talk staff throughout night n't know would return honestly
2021-06-13,1,seriously sunday afternoon dress code flip flop n't know dress beer never step foot place lost business forever
2021-06-04,1,place suck guy door asked u come turned u away come worst spot hoboken
2021-06-04,5,always good food attentive bartender good crowd must stop hoboken
2021-06-01,5,great bar lot fun good way get friend together hoboken lot good food option casual bar food others good brunch lunch dinner always good music fun dj sport many tv screen check game fun spot birthday party check
2021-06-01,1,absolutely awful overpriced overrated hard get touch would recommend much better option around
2021-05-24,4,super loud dine inside outside much better staff service food drink retiring besties real soon buffalo chicken pizza chicken taco mac n cheese burger panini chicken parm penne vodka sauce shrimp drink shared 55 miami vice fish bowl check pix
2021-05-22,1,place honestly joke use one republic sadly closed madd hatter first time came leave awful service went back recently roommate college boy place joke one drink friend n't allowed table beer belly manager stripped shirt mad danced went bathroom joke anyways place high school drama fun go else
2021-05-20,1,possible give 0 soon came sever never came u like 45 min got sever bouncer came told u leaving got group trying figure bouncer come tell u move get already outside getting way ever worst place go tonight ever want spend 1000 dollar good time place go
2021-05-13,5,nice clean lot space music good staff little slow expect weekend people ca n't go get drink
2021-05-11,1,rip 17 60 fo one tito rock tuesday 5:30 happy hour server sad 3 00 charge ice seriously plus tax ummm business long time vodka ever served place worked poured manhattan nope never gong
2021-05-05,2,dark restaurant felt like training radiologist ordered madd hatter platter margherita pizza brought pizza thought wrong one look like margherita pizza said margherita pizza ran basil like buying car dealership tell ran key good place go depressed want sulk sorrow vibe environment give needle say like place must go eat place recommend going aspen market 89ft away first buy basil chef
2021-05-04,5,enjoyed night nephew fiance wedding thanks henny colada fish bowl n't ready
2021-05-02,3,visited bar first time left feeling underwhelmed food sub par overpriced drink definitely overpriced strong nothing particularly terrible visit expected lot well known spot opinion definitely overrated better spot go
2021-05-02,1,place would decent granted better customer service soon got party 18 legit throwing family three normal please leave mean manager walked table question asked said get tf started tossing drink taking belongs table complete shock server say table n't reason getting kicked laughed initial server complained u giving order point complained said miss anything yall fault fourth time gave u bee server n't get food till 9 10:27 security guard said something table mind table poc said 5 min need go n't even gotten bill finished ordering staff hardly around always rude tell u use 1 card cash party 18 trying work mad persists telling u need leave paid need go bill n't paid make sense customer fault u booked case customer always right simple never life shitty service single person group return due continual disrespect poor treatment
2021-05-01,1,really disappointed recent experience mh covid rule inconsistent depending group forced asked leave could n't even close tab aggressive bouncer others broke rule treated differently
2021-04-20,2,wish service great food took 15 min sitting right front near entrance someone notice sitting without menu another 20 someone else take drink order food good prob wo n't coming back
2021-04-19,2,high expedition place definitely staff awful one man wish name extremely rude 2 table reserved one table got use bathroom man took stuff table said giving table away causing lose money one waitress 10 table took forever order drink music great would n't go back good thing drink delicious
2021-04-17,1,literally worst experience drink super overpriced even high quality bouncer rude aggressive staying booth friend stood shoved chair leg yelled sit never experienced something like restaurant understand covid regulation spending 800 minimum amount people could asked friend sit unfortunately friend 30th birthday place terrible ruined night never back hope management n't condone abusive behavior towards patron
2021-04-11,1,went friend birthday didnt even ask main entree family style ask also kicked u even desert friend birthday didnt get desert bad service bad atmosphere never would go waist money
2021-04-10,1,made reservation come friend birthday wait line got door told going kicked even getting asking long wait since reservation sorry thought point reservation avoid line treated poorly establishment prepares group yes time
2021-04-09,5,happy service received recently staff management crew hand everyone 6 foot apart even dancing allowed table mask must strictly enforced thank abe last minute reservation busy thursday back xoxo
2021-04-07,4,recently came madd hatter celebrate birthday dinner girlfriend specifically chose place mood beer wing burger place looked like 3 amazing review item came monday night got seated right away started beer went hazy ipa girlfriend went regular ipa beer great ordered second round time appetizer ordered wing half bbq half buffalo wing amazing meat cooked perfectly flavor great love good wing place definitely main meal ordered madd hatter cheese steak madd hatter heaven burger decided split meal try meal excellent loved burger great topping perfect cheesesteak pretty damn good well really cool order fire one awesome way prepare went cajun rosemary sea salt loved fry would come back try thats good overall great time celebrating birthday food great service excellent definitely recommended
2021-04-05,4,pretty cool place good music great service thanks rayyyyyyyyy good food two girlfriend stopped get food drink ended staying little longer vibe way new york back soon ordered margarita pizza buffalo chicken pizza calamari wing mango margsssss
2021-04-05,1,good place want privacy came happy hour unlimited wing someone table n't order wing hawk make sure one sharing wing drink terrible ordered hennyade taste henny ordered bulldog mango margarita thinking ca n't mess apparently mango tasted like carrot taste alcohol paid 50 dollar two drink n't make feeling nice way better bar hoboken
2021-03-28,1,absolute laughable excuse business yesterday two friend birthday decided combined birthday day celebration started night getting dinner san giuseppe northern portion hoboken restaurant excellent highly suggest onto dumpster fire bar never biggest fan hoboken comparison manhattan always nice change thing cross hudson check bar scene also currently bar closing curfew hoboken manhattan nice able stay later considering factor month ago decided call mad hatter schedule private birthday event party devastating mistake made get last night dinner pull car another member party come dinner u screamed like animal bouncer bar wearing mask would like add shouting telling n't care made reservation actually even prepaid open bar wait across street front bank entire party arrive would see obviously listen asinine solution problem continued stand sidewalk front bar within right mad hatter sidewalk man oh man bouncer like continued scream lose mind telling u need cross street getting pretty funny point mad getting n't aneurysm last night one may way n't get anger issue control anyway finally someone brain came outside manager owner assuming began explaining woman party organized month ago overbooked able accommodate u whatsoever proceeded refund people already prepaid open bar offered avail point left entire city hoboken went back manhattan hoboken good one two month run pandemic loosened restriction quicker manhattan new york returning normal streak definitely event clear exclamation mark around embarrassing show accountability business clearly hate satisfying customer took supposed enjoyable evening friend many traveled philadelphia event turned disaster experience friend 25th birthday day looked back joy one marked freaky bouncer spitting face scream lung anger definitely letting friend know stay away terrible establishment anger ridden watchdog bouncer gone texas arizona ugly irishman instead stuck know like
2021-03-27,5,saturday afternoon go spot hoboken mike staff attentive accommodating covid regulation followed throughout food delish drink fantastic
2021-03-20,1,bouncer gross entitled n't waste time never treated grossly people
2021-03-16,5,perfect birthday accommodating felt really safe covid strict mask plexiglas table music great food delicious worker especially abe super helpful whole atmosphere fun perfect place go friend night thank madd hatter fam
2021-03-13,1,bar n't even deserve one star group 8 gave deposit table friend birthday extremely rude u told u bad could n't get would think reservation would bit orderly organization multiple party confused especially reservation save time go somewhere else
2021-03-11,3,came brunch midweek excited try something new hoboken place really need get together menu pricing website multiple menu handed u conflicted one another availability special general pricing watch charged waitress accommodating food decent cheesesteak steak egg saved place getting 2 star drink way overpriced midweek brunch 11 mimosa 14 margarita also ordered side egg brought u another entire entree egg fry bacon toast told come like give discount willing give place another try seems like could fun watch sport weekend
2021-03-06,5,fantastic service kelsey waitress rest staff attentive looking fun boozy brunch experience food good n't reason came came mimosa tower traveled ues worth trek back
2021-03-03,5,excellent place amazing music ambiance great margarita amazing
2021-02-28,5,great time came boy shant resident dj music awesome food great great brunch noika made sure great time def coming
2021-02-27,1,traveled bronx receive terrible treatment paid 65 dollar open bar appetizer entree 2 5 hour received two drink within time even entree rip service horrible also screamed multiple time sit reservation time yelled yet leave tried come back use bathroom bouncer rude yelled never return back
2021-02-27,1,wish give place 0 star bouncer security disrespectful rude paid 65 open bar waitress came around received 3 drink time 2 5 hour lolll stopped serving u 2 hr reservation time yelling get u wish exaggerating yes yelling group get waste money please save run give rip anymore business still appalled treatment
2021-02-27,5,first reaction wow place sick decoration light music vibe insane noika server would bring sparkler dj shout u consistently great place celebrate honestly anything came girlfriend birthday changed mind rest day going went regular brunch wanted party day long great vibe
2021-02-27,5,noika awesome waitress made brother birthday great time brought sparkler bell bubble everything amazing definitely suggest coming celebration
2021-02-26,5,best place go night still staying safe pandemic staff amazing super accommodating go meeting server probably leave friend club nyc vibe bottle service right hoboken bottle service way go full experience theme night literally turn tuesday live dj every night week whether looking limo service drink bigger head mention yummy food come quick 10 10 recommended remember make reservation
2021-02-25,5,came couple drink amazing night music service great noika server efficient effective back sure thank noika
2021-02-22,1,never posted review anything life needed say never treated little respect life worked food service industry waiting line reservation table friend asked use bathroom bouncer told go street mcdonald look like fit also told u think tough new york allow cousin asked payment back since one u n't allowed way reservation manager owner replied n't need money money poor lost large willing spend lot money future business could leave zero star would
2021-02-21,1,owner n't know run business enforce time slot large group wait hour beyond actual reservation entire staff confrontational approached issue waited hour eventually decided go home place smelt like vomit treat customer like sh n't recommend unless want stand outside hour reservation
2021-02-11,1,food beyond nasty given three try like going crazy night n't know people eat far worst wing ever could n't eat barely meat fat way overcooked
2021-02-06,5,noika best server catered u well quick responsive definitely recommend 10 10
2021-02-04,2,always considered madd hatter one fun bar hoboken recent experience left bit bad taste completely understand restaurant bar going incredibly tough time right however thing inexcusable start made reservation told 75 minimum per person previously 50 minimum understand need money right ok got told 100 minimum said phone told 75 like sorry whoever spoke wrong staff ca n't get price right issue right next told reservation 3 hour meanwhile waitress tried tell u 2 hour insisted paying money staying 3 hour since already mislead minimum amount bring u menu price told need buy bottle reach table minimum ok pick bottle tito come find charged 245 bottle already purchased drink would hit minimum without bottle considering raised price drastically top ordered appetizer cold kidding sorry charging people ridiculous amount money least make sure food warm shame used love place gladly say probably going back recent experience need transparent price trick customer making think one thing telling another also like prestige vega night club charging much ok service cold food good thing dj awesome
2021-02-01,5,ordered first time ever everything delicious got dry rub wing mac cheese cheesesteak enjoyed
2021-02-01,4,steak mac n cheese absolutely great size huge enough husband even left midnight snack lot steak bite sauce juicy fatty unfortunately chocolate lava cake took dessert dry well chocolate lava little chocolateon top empty dry muffin instead chocolate treat disappointing mixed feeling
2021-01-31,1,manager actual asshole everything place terrible reason open ny closed indoors place dirty n't follow covid regulation bad business
2021-01-26,4,sean best part restaurant great service entertaining fun told order truffle cheese pizza life changing n't judge ordered chicken finger friend silly question polite sweet great job especially given setting covid19 restriction new way job took one star love madd hatter like
2021-01-24,2,place would much better n't rude staff every time gone far nothing rude unpleasant customer money hungry
2020-12-01,3,place expensive reason two beer 36 00 geez might well buy two case liquor store around corner staff friendly attentive however n't think would stepping knowing outrageous price
2020-11-29,1,stopped brunch able get table place close greeted waitress seemed like first week started table seated n't cleaned properly given menu said 2 mimosa saturday sunday ofcourse friend got excited ordered one soon got mimosa confirmed indeed two dollar ordering said yeah seems like say menu five minute later came back said confirmed manager said 9 50 politely asked adjust bill according say menu told possible ordered entree vegetarian option limited could find mac cheese would recommend looked great dry bland top waitress walking around lace mask physician know safe going back place would definitely recommend
2020-11-23,1,trash place manager nasty attitude talk customer especially minority server said manager acting stressed would never return disgusting place manager threw menu friend also trying capitalize pandemic charge 100 person sit inside restaurant n't waste time going
2020-11-09,4,aside service n't great place lot fun outdoor indoor dining chicken wing dip good piping hot fall cocktail delicious well offer cocktail tower would like try point
2020-11-05,3,walked place around seemed lively checked rating sitting ordering drink pretty low three star n't think would good bad review service loud music lack social distancing though food actually pretty good much better expected got hangover burger n't bad nacho wing alright
2020-10-27,5,renee best great place drink bartender amazing dancing smiling
2020-10-25,2,sister came see vibe place wanted see nice place celabrate 25th bday wanted big place played good music mainly budget explained manager entering reason seated u le 10 min place big cool drink watered full ice wanting know ordered 2 fish bowl 4 cup water bill 200 main problem dj play club music ca n't stand chair dance 1 security guard checking whole place come give warning kick meanwhile people dancing table security guard kept picking u thought racism moment later security come 2 men sure 1 manager one believe said owner cursed u seemed drunk professional right explain manager owner accusation seemed unfair came table yelling u meanwhile table exactly thing make big deal ended leaving listen actually came give service lol never coming back many awesome place
2020-10-24,5,happy stumbled across place family sat outside view good also customer service food great nice cocktail section cousin fish bowl long island tasty
2020-10-21,3,food ok service could lot better muggle game tv fond loud music lacked strong bagpipe backing accordion paying bill tipped spice credit couple used metro card advice management:1 please add locking stall men room prefer sit pee 2 barely anyone watching gants gridiron ball game please give attitude request watch mr magorium wonder emporium
2020-10-19,5,coming mad hatter since one republic never ever service great today noika attentive mad u feel comfortable knowledgeable food question asked highly highly recommend asking take care ever come plus make ahhhhhhmazing fish bowl
2020-10-19,5,noika best bartender recommended party punch pizza pretzel amazing totally recommend place also
2020-10-19,5,fantastic food amazing service noika especially warm friendly always come special occasion
2020-10-19,5,came brunch girlfriend buffalo chicken egg roll app fantastic also hangover cure burger also really good burger huge delicious noika server really nice outgoing would definitely come back
