date,rating,review
2021-04-10,1,1 bathroom dirty flowing trashcans trash floor 2 floor dining room dirty trash isle table 3 tray hold ketchup salt pepper filthy wiped time 4 food took forever come table fry barley warm soggy limp ordered extra crispy 5 plenty meat ruben sandwich thank return meal
2021-04-09,1,horrible one three people 10pm burger came within 5 minute cold weird never got water despite asking multiple time crappy diner waste calorie
2021-03-01,5,chicken carbonara basically chicken alfredo bacon might top 5 favorite dish time death row choose last meal might lol serve great portion wonderful staff dessert chain every time leave chocolate cake quite time past 2 year never left disappointed malibu diner deserves lot love receives place great
2021-02-06,5,say really basic diner great food great people coming million year remember sitting counter grilled burger right front feel covid safe-you n't people waiting indoor violating rule like place top parking lot
2020-12-07,4,first time trying place overall pretty good came quick meal church n't want stay long food came fairly fast service friendly food good got french toast good fresh fruit boyfriend got banana walnut pancake really good chocolate milk good give 4 n't lot combo breakfast choice love diner usually biggie come back quick cheap meal
2020-10-11,5,cute establishment clean super friendly staff nice walk harbor 10 min 1 1 mile lincoln harbor tunnel open 24 hr covered outdoor seating lot menu choice
2020-09-20,1,could give place zero star would asked water 4 time finally asked owner front desk incredibly rude answer quote get water get water server menu knowledge also unable simply get u water
2020-08-08,5,great food service going year yet receive poor service meal thoroughly enjoyed
2020-08-06,5,lady gentleman malibu seriously rumor place expiration date due else construction hoboken get rid legendary establishment going one angry hudson county girl hand malibu always staple family coming diner year food service always consistent solid local diner middle now-bustling city hoboken pre-covid would come lunch dinner great special way get house covid love respect malibu gotten stronger since reopening food delicious reason importantly fast pick-up sandwich mostly lot choose food hot ready around 15 minute like magic also set cute picnic area outdoor dining thing want east somewhere casual fast yummy try malibu favorite dish french dip sandwich diner classic bit differently malibu served kaiser roll onion honestly simple diner goodness jus ca n't beat portabella wrap great vegetarian option arugula roasted red pepper grilled portabellas feta cheese drizzled balsamic glazed usually get grilled chicken added extra feta cause business santa fe wrap grilled chicken chipotle mayo rice cheddar cheese need say egg skillet oh god favorite thing malibu breakfast lover potato lover egg lover greasy food lover thing heaven sent mix breakfast meat choice go ham diced potato pepper onion drenched melty cheese topped two egg done liking come sunny side come sizzling hot plate sizzling ultimate breakfast comfort food ultimate drunk people food choice speaking know able thanks covid covid malibu open 24 7 know mean come night drinking get sizzling egg skillet seriously every time come 3 morning wait staff always super pleasant accommodating patron spent night dancing real mvp favor covid go dancing get kicked club last call take uber meet malibu eat egg skillet together malibu fantastic staple hoboken missing n't give shot
2020-07-22,5,glad support business covid friendly staff good breakfast food definitely ordering enjoy
2020-07-08,4,solid diner food solid service good staff attentive food always hot come quickly never issue go-to diner
2020-06-11,5,pleasant patient service phone delivery quarantine fast delivery everything packaged wonderfully cooked perfectly still hot really great diner food
2020-04-24,5,stopped 4 24 20 takeout order first time cheeseburger deluxe awesome
2020-01-29,1,first time diner im disappointed back server nasty attitude boyfriend asked coffee asked water brought coffee bringing water never came back remind came grab order sitting 10 minute btw without anything drink server understand slow service sometimes 3 table place empty asked bring water order rolled eye came back attitude ready give attitude im thirsty thats horrible server rest time smiley quick bring boyfriend extra coffee im sitting water food bad ordered chicken caesar wrap dry 90 lettuce ordered burger sent back nasty
2020-01-29,2,wow use come time awhile time back wasnt expected ordered burger wife ordered chicken cesar wrap told waiter well done burger came red barley chicken wrap basically lettuce wrap service horrible last time coming diner
2020-01-26,3,typical diner menu volume offering dozen dozen dish sandwich burger soup hot entree gyro done middle road style solid fancy gone half dozen time last year egg tend overcooked ask omelette soft chicken also overcooked time quite good last time went ordered oriental salad turned quite nice coffee good service friendly spotty wait staff mood flirt customer counter kibbitz conveniently located parking inconsistent
2020-01-01,3,good lived hoboken year always wondered place time like present try brunch new year packed likely place town closed grocery store 1pm crowd looked hungover got quick service food came le 10-15 minute despite line door sat counter husband fortunately found 2 seat side side counter move first come first served waitress fine-nothing write home food decent amazing think solid diner food husband buttermilk pancake 3 decent size light fluffy much taste definitely needed syrup likely came boxed mix omelet bacon onion tomato cheddar swapped home fire looked dry saw pas someone plate french fry golden crispy forgot ask toast wanted never brought fine-they busy coffee mediocre best-tasted like left burner say exactly expect diner food lot option big portion frill strong mediocre worth shot average inexpensive breakfast get fast
2019-12-24,4,came back buddy convenience 24 7 time ca n't beat pleasantly surprised waitstaff owner rung u nice huge buttermilk pancake reese peanut butter banana veggie burger also cappuccino yep huge portion thankfully almond milk lactose intolerant good diner spot parking lot unheard hoboken
2019-12-16,4,ended coming saturday evening pretty empty parking little concerning close road basically sidewalk soon entered n't much faith food would good solely based inside appearance let tell malibu diner delicious veggie burger friend cheeseburger fry would love come
2019-12-16,4,super easy causal diner essential good omelet hash brown breakfast never wait long even restaurant busy
2019-12-05,1,priced typical diner food ordered steak home-fries horrible steak zero flavor well home-fries total waste money breakfast threw garbage
2019-11-05,4,delicious diner located 14th street hoboken ample seating inside parking lot outside plus hoboken dining large menu lot option breakfast lunch dinner love farmer omelette greek salad
2019-10-18,1,october 18th 2019 simple reason working area hoboken convenient dine parking said feel sorry owner diner represented badly staff disgrace waiter waitress friendly serve dessert soup plate still table getting dessert one come clear plate table even leaving service horrible attitude food bad ordered veal marsala could n't cut veal steak knife hard horrible horrible horrible food service god wish owner would read prime location diner much potential better stuff food serving n't think ever even though parking convenient area think going start going somewhere else ca n't anymore diner tried come back give many chance improve service food get worse instead better terribly disappointed place
2019-09-20,4,helping someone move hoboken n j apartment went malibu diner hoboken freaking nightmare park malibu fortunately parking lot
2019-09-13,4,best place grabbing yummiest breakfast reasonable price love bacon sausage skillet free coffee
2019-09-09,3,diner good food love pancake reuben great frequently stop hoboken one waitress though cranky time wo n't apologize take forever otherwise great place
2019-08-30,4,husband love dinner food good parking cleanit nice upscale diner
2019-08-22,5,ate malibu diner ordered pancake fresh fruit strawberry blueberry amazing portion larger expecting good turn hungry pancake freshly made warmly served tasted really good along syrup going evening sugary cheat meal p
2019-06-21,5,best waitress named hallie malibu diner beyond personable really made experience memorable literally planning come back week hear upcoming trip went personal faves eat cobb salad grilled chicken amazing dressing light creamy freshest ingredient must try oh come soup start burger always delicious goat cheese bacon win substitute regular fry spicy waffle fry sayin
2019-06-18,5,positive experience malibu diner thanks waitress halie extremely attentive made sure everything came exactly wanted dairy allergy sometimes headache going eat thank halie
2019-06-05,5,walk place time today finally tried server really friendly attentive ordered western omelet serve breakfast 24 hour day food really good also got meal quickly ordering glad decided try definitely back
2019-06-02,4,excellent diner north end hoboken great food proud clean friendly looking special kind diner malibu excellent
2019-05-24,5,best diner ever love place originally south jersey finding north jersey quality diner n't easy man malibu right classic spot love omelet french onion soup wrap
2019-04-29,1,place suck need shut none food fresh taste really old gordon ramsey would crap ate hope owner see make serious change kitchen
2019-04-16,4,boyfriend time first place ever ate together funny today ordered french toast two egg scrambled bacon buttery toast potato super well done crispy simple request task many complete four star portion size taste price food service okay potato done correctly waitress n't happy let know said re-make potato 14 minute later potato came cooked exact way took bite done egg pretty bland salt pepper would perfect simply added back food price great open 24 hour accept apple pay
2019-04-15,5,many time always great meal even better service brianna favorite waitress take great care u anytime come highly recommended
2019-04-12,5,owner nice made great effort providing nice dining experience waitress hospitable bathroom clean diet coke sublime best diner hoboken
2019-04-10,5,grew average blue collar jersey town ate diner time childhood n't even know type restaurant existed something comforting homey jersey diner establishment linger conversation without feeling rushed coffee tap endless menu dinner special include soup main dessert coffee glass wine 15 buck average jersey diner malibu legendary declared u historic site mouth watering omellettes perfectly seasoned entree best waitstaff anywhere whether sunday morning breakfast wednesday night dinner special malibu disappoint platinum standard compare diner mention parking always remember ask vlasia best server side aegean
2019-04-03,5,visited malibu diner first time past weekend sunday n't packed assuming weather n't favorable waitress swear could remember name could mention alone would leave 5 star review find receipt name listed edit post point everything provided quick service offered suggestion witty banter funny definitely made morning ordered waffle bacon friend ordered fish sandwich definitely back make sure fueled enough head trader joe across street keep great work malibu diner
2019-03-24,2,lived hoboken number year ago favorite good jersey diner food passing let go breakfast staple good diner apparently someone came staple remover let start surely server say work tip sweetheart learn smile say woman sat pleasant ordered simple breakfast omelet sausage spinach tomato extra cheddar cheese cooked soft even repeated added like brown egg side sausage home fry coffee orange juice food came quickly good part although perhaps spent little time food would better ca n't change cheap watery orange juice great diner would squeeze orange fresh site sausage cheap commercial brand lacking flavor home fry apparently came broken home divorced seasoning please please please learn salt food cook omelette hard cooked soft brown pay attention egg brown home fry cooked salt whatsoever order cheddar american cheap replacement tell requested coffee nondescript least n't taste bad overall poor meal malibu diner hoboken nj slipped quite bit longer among even good one least breakfast
2019-03-06,4,personally surprised n't sooner classic jersey diner tends get overlooked myriad breakfast brunch option town breakfast option categorized egg sweet thing pancake french toast etc got mediterranean breakfast wrap egg white spinach feta onion wheat wrap hash brown whereas boyfriend got boken toast french toast topped pork roll easy egg hash brown service standard place packed big deal boyfriend loved toast specifically combination sweet salty much thought n't need accoutrement syrup ketchup etc liked wrap thought filling satisfying hash brown solid portioned appropriately heard place also good late night spot maybe back
2019-02-21,4,one place town space high chair accommodate several mom toddler food good solid diner fare price fair especially 7 plate silver dollar pancake easily feed 2 kid
2019-02-15,4,good pancake today malibu diner bit drafty inside though good service
2019-02-08,5,always good quality food friendly service never complaint eating burger omelet favorite dinner special great value includes dessert
2019-02-03,4,go diner town always good service good diner food friendly server skillet great egg benedict best
2019-01-16,2,came hungover friend wanted good fry food nurse hangover pleasantly surprised sat see special 3 bellini n't love good hair dog decided go disco fry mozzarella stick could go wrong well wrong mixer ella stick came perfect nothing wrong disco fry plate fry little bit gravy two slice yellow american cheese barely melted top could still pick cheese entire slice safe say basically went untouched saving grace friend got honey dipper chicken finger admit pretty banging especially second bellini mess fry
2019-01-12,5,great find food awesome everyone top thing affordable new diner
2018-12-31,5,place looking fast tasty diner food staff expert mood adult beverage liquor license hoboken icon
2018-12-30,3,around pretty good restaurant monte cristo barely life name service good food really live hoboken standard wanted love place could n't bring give 3 star
2018-12-25,1,worst fucking food history never eat close shit tf asapp call health service
2018-12-25,3,food dependable diner get packed weekend sitting counter always great experience staff friendly price good great neighborhood spot
2018-12-09,3,pretty typical diner eclectic decor staff always busy tell friendly crowd take get noticed walk find table everyone always running around line n't clear food mixed opinion experience classic breakfast option lunch sandwich fine tuna sandwich egg dish fry solid though n't carry yellow mustard tried nova lox recently surprised came completely deconstructed 2 mini pack philadelphia cream cheese plate n't expecting anything fancy expect bagel come cream cheese good choice looking mass appeal e family town need somewhere parking
2018-12-01,3,everyone deserves second chance including local diner past experience disappointing decided try malibu diner recently see improvement upping three star ordering pretty traditional diner food one time bacon egg breakfast time cheeseburger deluxe lunch time found food served promptly quality good service nice even bought old school rice pudding go satisfying could certainly nitpick heinz ketchup table farmer ketchup considering two good experience add local parking recent visit a-ok hope write another positive update future
2018-11-24,5,great little place hoboken got seated quickly excellent friendly service everyone super nice restaurant clean bathroom whew ham cheese omelette fried potato side sausage darling chicken wrap fry guess else drum roll please coca-cola yippeeee pepsisucks open 24 hour highly recommend
2018-11-11,4,malibu hoboken forever probably survive everything gentrification exploding around imminent rise hudson river water thanks global warming stopping least year past ten breakfast weekend never experienced anything hard-scrabble happy see friendly good service diner provides also great place listen interesting conversation among staff customer budding writer love slice hoboken history
2018-10-01,1,complain night manager response pay call police could give negative star pay amex go home call amex reverse charge
2018-09-27,4,stopped starving first place saw n't disappointed told could sit wherever nice dining solo regardless chose bar menu huge diverse expect diner churrasco service fast friendly green salad fresh crisp steak came 2 side opted spinach baked potato potato baked perfection spinach hand could used seasoning people like little salt pepper trick steak cooked temp requested flavor decent price definitely good meal chimichurri little oily garlicky enough used a1 get flavor wanted would nice n't need ever happen area would try malibu second time
2018-09-25,2,live near going year never seen place ca n't make egg easy either overcooked runny scrambled always dry like press placing plate taking moisture egg two cent
2018-08-16,1,continued give malibu try previous three star review wo n't returning past experience involving take order waffle pancake boyfriend went diner ordered breakfast asking extra blueberry banana additional charge fruit listed menu cashier inform 2 25 charge measly sprinkle fruit would problem price might well buy carton grocery store save trouble boyfriend realized looking bill pressing issue cashier heated refused either refund charge redo order say time u future know deal nevertheless upon returning apartment fruit paid extra missing walnut pancake chocolate chip waffle moreover nursed upset stomach next day eating meal break heart give local diner one star review finally faced fact competitively priced option hoboken whether onieals french onion soup burger sunny side breakfast ca n't justify even though sucker belgium waffle
2018-08-02,3,breakfast special malibu diner terrific deal get huge portion reasonable price ended italian omelette 11 95 included italian sausage pepper mushroom onion mozzarella within three egg dish also come potato buttered toast choice also get juice tea coffee included price wow however potato lacked seasoning person ordered potato also felt way omelette fine sausage cooked sliced circle prefer ground sausage let know expect two people ordered sizzling egg skillet waitress older no-nonsense flag time least n't rude surly someone table asked marmalade n't available asked jelly runner said grape waitress managed dig strawberry marmalade person may luck request unbuttered toast like seat prime view dessert case eyeballing carrot cake keep mind next time malibu diner open 24 hour also noticed parking lot n't drive hoboken free parking always win point fun fact diner around since 1940s impressive a-ok
2018-07-24,4,week ago ended hoboken malibu diner heard diner good wanted get seemed work well arrived around noon n't crowded shocked n't lot parking nice surprise get spot lot atmosphere malibu diner typical north jersey diner bar plenty table booth sat corner booth quiet coffee coffee malibu diner good pleasantly surprised see served lacas coffee hot waitress brought plenty refill hard argue food malibu diner every option need diner n't sure craving n't know north jersey far better bagel south jersey decided order bagel sure n't best ever according good friend amelia view much better anything south jersey decided order protein wrap every kind breakfast meat might want extremely packed happy service waitress left long period warmed food came quickly manager checked u time overall thought would come back malibu diner definitely one favorite diner area would go back definitely happy experience
2018-07-23,5,lived hoboken 2005-2009 moved nyc moved back 2014 today year malibu disappointed ever service quality flexibility hospitality never disappoints service always warm welcoming today server fernando true hospitality professional recommendation solid greek lemon soup egg necessary soup menu year round 5 star quality food service thanks guy
2018-07-22,4,n't expect diner good came food portion big ordered quesadilla appetiser section still big cheeseburger wrap came fry side food good waiter n't attentive get get straw get another waiter call beef n't well done still pink inside overall experience good gladly come back
2018-07-17,5,hand best diner hoboken weehawken jersey city area plenty time never bad meal big diner plenty seating never wait seated whether big group spot diner staff diner friendly make sure get table adequate amount time also find late night staff extremely friendly tend chat little bit client like diner nj ny area menu huge anything may desire time top choice particular diner blt chicken finger fry french onion soup looking menu though definitely plenty option sound delicious know plenty people enjoy coming diner night hoboken quick meal day ever area mood solid diner food spot
2018-07-03,1,given place chance ordering different item menu disappointed every time would think dinner hoboken food would par continue order place
2018-06-09,5,eaten two day staying bedside family nearby hospital realized thanksgiving night nothing open except malibu diner although empty staff welcoming polite exceedingly professional thanksgiving dinner special reluctantly ordered expectation entire meal tasted great turkey dressing mashed potato gravy cranberry sauce trimming even simple glass red table wine coffee dessert meal delicious looked great service point thank reminding season truly mean sitting alone thought enduring grief eating thanksgiving dinner reminded hope always conquer darkness know kitchen staff employee working night see entire staff made meal possible thank provide warm meal cold thanksgiving night gave strength hope renewed perspective thankful rest life always remember 2017 thanksgiving dinner malibu diner
2018-05-30,4,good place convenient location food option great really bad example ballerina salad organic green fruit nut delicious burger horrible could n't finish waiter waitress generally nice always n't blame tough 24 hour diner conclusion good place grab bite might satisfied experience n't set expectation high
2018-05-25,4,loved diner provided quality troupe diner basically saying cheap spent 14 dollar meal got waffle fresh strawberry also scrambled egg side best part ordered bellini two dollar could n't believe made happy trust generous champagne lovely time service great would definitely go back spot ever hoboken
2018-05-21,2,impressed n't liquor pas came brunch host nice ordered omelet came home fry overcooked crunchy buttered toast jelly omelet listed n't ask wanted cheese mushroom omelet n't ask thought cheese came fault kinda disillusioned place jelly cheese price absurd man asked glass milk charged 5 95 gtfoh gallon cost 3 29 almost thought top diner price least top food flavor
2018-05-18,1,awful customer service walked tonight friday night place busy wanted grab dessert told man would dessert replied back boyfriend replied back man replied back man asked boyfriend name boyfriend said name man n't even call name called nickname asked ever eaten said yes said okay seat disgusted treated left
2018-05-15,5,cozy old-school athmosphere great classic food adequate price like
2018-05-12,2,40 buck late afternoon munchies got burger side fry love got jersey fry burger small tasteless n't like ketchup doused hot sauce give flavor flav 5 fry got worth price got coke food beauty got water thank love 2 star liked jersey fry
2018-05-08,1,first good experience time visited said try another time came around 7pm night hostess paying attention boyfriend instead focused phone good since come good establishment front house important okay moving sat dinner food okay good thing creeped chicken soup chicken bloody red looking kind chicken n't know describe asked waitress take back exchanged soup really good overall okay experience sad first time pretty good
2018-05-05,2,food good alright better diner food price ridiculously overpriced wait staff would afford pay closer attention customer order
2018-04-07,4,nice breakfast malibu diner family denmark europe enjoyed true american way breakfast lot food good service recommend good american breakfast
2018-04-05,3,diner gastro version serf food expect reasonable price eaten counter get good service see farm egg came fine want waffle bacon 9am hamburger 1pm get pretense
