date,rating,review
2021-10-25,5,long overdue review mamouns city year year ago hoboken location awesome consistently delicious little pricey outrageous hoboken plate keep full day must updated online order system response review saying n't know order ready placed order online got text ready
2021-09-28,4,always forget take pic since always devouring soon get haha kind get pita sandwich sadly falling apart getting soggy cold time get west 4th sandwich yesterday shawarma hummus really disintegrating arrived still tasty also got combo plate falafel babaganoush stuffed grape leaf rice really liked except rice ok lot would rather 3 chosen item much filler drink mint lemonade pretty good past location shawarma pita well tamarind mango drink really good course also made visit mamouns nyc n't staple
2021-09-23,5,yesterday lunch mamoun falafel hoboken location falafel sandwich season fry overall food really good
2021-08-31,5,food fresh delicious people kind willing help anytime place clean like using le plastic excellent service
2021-08-23,5,born new york city mamoun falafel blossomed chain restaurant bringing middle eastern cuisine location east coast menu simple compact pick falafel plate came seven herbaceous falafel ball served simple salad lettuce tomato onion herb olive pickled radish black pepper plate came tahini sauce side acted perfect dressing salad dip falafel also got side tabbouleh chewy nutty mixture bulgur parsley thick creamy hummus perfect dipping falafel thin chewy pita bread came side one last item worth mentioning mamoun hot sauce particularly peppery spicy flavor added quite lot heat every bite
2021-08-20,5,ordered shawarma sandwich side rice side falafel baklava incredible travel well
2021-08-20,5,one best turkey kababs u probably closest one real deal ordered sullivan chicken kabab hummus mcdougal lamb falafel yummmmm
2021-08-19,5,regular reliably delicious always taste fresh usually get classic falafel sandwich great veggie option never problem service dessert amazing
2021-08-14,3,overhyped falafel place price good quality falafel mediocre sure hype really
2021-08-10,2,nothing like mamoun east village bland bland bland ordered shawarma falafel sandwich could n't even eat meat dry flavorless sad disappointed topping n't taste like anything time bit sandwich everything soggy coming back
2021-08-09,4,food greatstaff attentivei placed online order went pick pick place never keep order would know food ready read name bag prepared order kept behind pick point even though waiting order good 10 min went staff check food gave food update status online order food ready pick even though mention track status using delivery comi order chicken falafel sandwich awesome complaint quantity quality food red sauce hott
2021-07-31,4,nice dining place simple interior excellent food quality fast service desert ok
2021-07-14,5,love place sandwich delicious filled perfectly little expensive quantity quality great taste awesome
2021-06-29,4,one best place around nj ny falafel stand name opinion falafel star dish along baba ghanouj hummus wide variety option till date none disappointed u including dessert shawarma beautifully seasoned cooked perfection great fan meat combo plate go would n't disappointed
2021-06-28,5,go quick bite love classic vegetarian pita hummus falafel quite full meal would recommend adding fry delicious garlic dip
2021-06-24,4,took food mamoun movie night park service quick people nice shawarma plate awesome amount food price also got stuffed grape leaf baba ganoush fresh pita bread perfect meal also n't miss baklava piece huge delicious next time ask extra sauce plate go easy adding hot sauce spicy definitely going back
2021-06-22,5,friend told mamoun literally fallen love everything flavorful reasonably priced make soul warm one favorite hummus feel like could eat like rest life never get tired always addition orderi even vegetarian love west village falafel sandwich literally go every time even though keep telling going try stuff amazing menu go check location stomach love sure gon na fall love
2021-06-08,1,food horrible expensive sandwich cheap lettuce meat three piece lamb three piece chicken falafel horrible black smelly oily
