date,rating,review
2021-04-22,1,one owner paul racist misogynist frequenting bar 10 year buffoon made unpleasant resident longer desire patronize establishment
2021-03-21,1,keep customer pandemic well double piece cut drink cut menunotwhat joke bar becomenone buddy go anymore-and today neither i9 50 spiked seltzer special menu change like wind service-she never came back sorry but-new management needed else bar lasta favorite regular spot u many year done
2021-03-08,2,bar atmosphere fun server bartender attentive food subpar would n't eat ordered high noon believe 12 super overpriced imo around ok
2021-02-28,1,came husband drink end night heading home place super crowded considering covid restriction sat table outside since inside full table still dirty whoever sat sprayed alcohol ordered jalapeno margarita tasted like sour mix ice husband strongbow cider cold decided order pickleback shot one favorite big mistake whiskey watered tasted like nothing disappointing told server said jameson definitely lie aldo used restroom really dirty smelled terrible completely disappointed experience go back
2021-01-20,5,best bar hoboken francis best bar tender ever nicest guy around always come back see love good irish bar
2020-10-24,1,safe n't go totally packed someone call mayor gross really average beer shot beer kinda good boneless buffalo wing absolutely personally character
2020-10-23,1,never spend another dollar bar first drink super watery cheap 14 watery vodka club second food disgusting taste like reheated freezer mac cheese edible mess mac cheese potato skin gross wing tiny cold third never bad experience waitress ever think name sarah absolutely mean would think murdered family asked water openly miserable giving u nasty attitude customer trying order drink food group 8 understand big party attitude unwarranted made u uncomfortable even went behind bar ordered drink saw waving arm around clearly going u bartender treat u way right industry people would excited get large party mean large tip nope blew horrible experience overall competitive market hoboken skip place
2020-10-18,3,finally got early enough snag ok seat pat game say ok ample tv playing game sound love way high-tops low-tops laid high-tops front low behind two step mean little good viewing available outdoors seat simple suggestion bar maybe switch two way three row get good viewing everyone happy waiting game start saw three separate party sit leave table u viewing issue one quarter standing key play see game front row head bar playing pat game sound deal annoyance honestly quick fix would make world difference food decent typical sport bar appreciate 19 bucket beer though limited bud light miller place get jammed football sunday weather nice plan accordingly
2020-09-10,4,mc swiggens literally kept friend sane buzzed covid owner nice really care business outside dining drinking dope global pandemic taking hot steaming dump life mc swiggs good want dance poorly lit room attract people age definitely attracts young 20 crowd 4 star food ehh n't come intention good meal decent meal yes good asking much
2020-09-06,4,came summer street fun good beer selection staff always keep entertaining also got mozzarella stick really good
2019-11-22,5,love mcswiggins amazing bar staff excellent food good weekday drink special trivia tuesday come try beat u let emphasize amazing bartender
2019-02-07,5,new england patriot bar aka best bar ever town work met friend bar area however great drink special also sell food great spot meet friend grab drink bar food bunch beer draft daily drink food special went afc championship game surprised level service venue completely packed yet attentive guest would definitely come back hoboken area also started following ig cheer
2018-11-27,1,come want tip credit card tab came sunday got 3 beer two shot came 49 50 pricey unheard checked credit card bill see added extra 5 dollar tip illegal jersey thankfully credit card company deal
2018-10-29,4,one favorite spot hoboken atmosphere good big small bartender always point get crowded weekend great location fairly priced
2018-10-16,4,good bar spot odd first walked saturday around 2ish server order go bar got chicken caesar wrap sweet chili boneless bite good would go back
2018-10-08,4,much fun found drink bit pricey atmosphere look like dive bar dart pool table hard get turn friend playing play people already playing
2018-09-07,3,place good going night night live music came one day 5 food special food average far better bar restaurant area eat
2018-07-19,2,bar time think alright bar one top choice go time bar would refuse go either sum would persuade friend go friday saturday night wanted go would protest biggest issue place recently started charge 5 cover weekend sorry place charging cover bar hoboken unless live band totally fine n't charge cover n't know establishment thought good idea flawed thinking asked
2018-06-24,4,like place came w bf sat night vibe music right beer pretty standard option bar food great tho ordered salsa guac bf ordered beef burger u barely ate
2018-04-14,1,playing pool one staff forcibly ended game early even though team shooting 8-ball savage would n't wait two minute game end
2018-01-01,1,terrible experience came monday holiday n't full 5 eat wing 2 people ordered first basket wing took 30 minute come cold waitress rude explain could order one basket time written anywhere second basket come asked check left bar noise surprising hoboken bar scene music selection good given
2017-12-22,3,group 4 came thursday evening right happy hour ended n't crowded figure always case came holiday season aka student area go home holiday instead frequenting bar felt little awkward going restroom room partitioned curtain turned sort speech small event going asked screwdriver basically given glass oj also missed happy hour non-happy hour price reasonable though 2 beer 2 well drink came 28 buck
2017-12-20,1,came first time friend saturday night friend birthday n't crowded dj horrible end night 4 left bar hoping dj play classic birthday sex honor rude refused chatting another worker whole time instead playing music nowhere dj became angry started verbal altercation turned physical one friend standing nearby put chokehold absolutely reason black clearly racist value customer stay away absolutely disgusted place
2017-12-17,5,one favorite bar town 5 food special different night week seating outside summer really nicer may expect inside high table bar seating always blast weekend night great local spot washington st still close path
2017-11-18,4,always fun time bartender cool play great music also serve mixed drink full sized cup n't choose single double always plus someone budget get pretty packed nothing unmanageable
2017-10-19,2,year ago wachos waffle fry nacho awesome back meaty potato-tasting base good amount meat topping last night exact opposite greased-up fried-to-h spud barely topping terrible booo man
2017-09-16,2,usually great time beware bartender facial hair saturday demanded know entire group order would n't let u split upfront said wanted separate check also filled pint glass asked regular u favor made price charged u double charging triple even though never ordered first place clearly drunk super arrogant continues act u favor fact even though backhandely charging u without warning
2017-09-16,1,place gross smell like combination licorice an sewage also staff horrible apparantly drunk bartender asked wanted said two vodka club make light please gave double asked much wanted pay obviously said 5 jokingly charged 30 two double ask confused decided pay walk away rude drunk think back
