date,rating,review
2021-11-04,2,went subway got pittsburgh almost slaw meat n't even fill sandwich asked extra wiz watched put half spoonful even close philly cheesesteak really wanted good review 
2021-11-01,5,love midtown cheese steak n't matter sober hung drunk always taste love always come back
2021-09-07,4,enjoyed sandwich good portion nice selection yummy side running shop well covid visited back april 2021
2021-08-26,5,get diablo chicken cheese steak good get garlic bread extra punch always got delivery really best sandwich ever also use decent quality chicken none dark meat stuff clean white chicken
2021-08-26,5,best cheesesteaks around try new one time cheesesteak roll excellent well
2021-08-20,5,first time trying midtown one best cheesesteaks ever order made exactly asked customer service impeccable definitely come back next time area
2021-08-08,2,cheesesteak decent guess cheese bread kinda soggy def would n't choose garlic bread meh
2021-07-31,1,unfortunately went place drinking hoboken thought would good place line stomach nobody place father happy food instead providing refund u owner got aggressive threatened call cop clinched fist personally n't mind food service unacceptable bad experience would recommend patron place could give star would
2021-06-22,1,within hour waiting delivery got call manager stating machine going least three hour unprofessional honestly n't want anything place
2021-04-26,2,really excited give place another chance review great unfortunately received chipotle cheesesteak tasted felt like undercooked doughy hoagie roll never encountered disappointed cajun fry pretty decent overall n't know order
2021-04-16,2,food good however customer service detracts entire experience called order many time always unfriendly unpleasant always guy answering phone rupesh also carry store likely wo n't returning rupesh attitude ruin experience every single time experience worth food
2021-03-08,4,ordered pick getting glass adjusted across street order quite ready time done probably roughly 10 minute would say average order time probably 15 20 minute sandwich tasty like let pick preferred cheese gross cheese whiz kind gal x like provolone cheesesteak perfect u wish default came onion feel like missing something staff friendly mask required enter
2021-03-01,5,definitely guilty pleasure love good chicken cheesesteak love customize exactly like add many little veggie like like 5 6 different type cheese choose even get cheesesteak garlic bread low carb option mind gon na really like cajun fry crispy like like satisfying cheat meal
2021-03-01,5,clue review ruthless honestly say every time eaten taken got cheesesteak delivered flawless sweet potato fry cajun fry die cheesesteaks really authentic say compete south st vendor philly meat portion good cheesesteak lot flavor loved
2021-02-24,2,came across restaurant co-worker dying food long story short meat tasteless bread like wet sponge everything fell hoagie disaster must say fry pretty great get cheesesteak
2021-02-16,5,cheesesteaks point along quality service would definitely recommend want something good fast fry also fresh hoboken try spot definitely wo n't regret
2021-01-26,2,food okay delivery take long food usually like warm time get also delivery driver lazy refuse come door even pre-covid leave toss lobby like animal worth itmanager put customer first accused customer lying
2021-01-14,5,love place im giving 5 star laid extra 2 dollar extra whiz cheesesteaks tell right didnt receive extra scoop whiz know ordered every week lived hoboken im upset guy didnt give extra whiz ive good extra whiz would always make messy foil would covered tell look like extra whiz doesnt awesome guy keep good work
