date,rating,review
2021-10-19,5,lovely spot grab coffee comfy inside coffee delicious looking forward trying featured flavor
2021-10-09,5,love gem coffee shop chill good service great coffee yummy treat quickly becoming new favorite
2021-09-23,2,friendly service usual coffee spot seem new baristas recently last two espresso drink bought pretty bad milk latte tasted burnt froth cappuccino lumpy rough uneven worse starbucks dunkin probably switch cold brew non-mixed drink wi-fi available spotty busy time also nice selection pastry
2021-09-19,5,mojo coffee best hoboken maple cold brew world staff decor nothing short perfection great way start day thank mojo coffee
2021-07-30,4,stopped mojo coffee company recently thrilled fast friendly service mojo house blend also rich flavorful traditional house variety boyfriend gave flat white two thumb also
2021-07-13,5,safe say place wowwed walked one day friend shocked cute trendy modern inside place got simplistic menu hanging wall enough greenery spread around seat giant window comfy couch cute background got lavender latte perfect sweet right never lavender latte place totally made want get place outdoor seating available well wan na grab coffee enjoy beautiful day price similar local coffee shop starbucks size ate definitely bigger starbucks service nice staff amazingly nice wear mask offer great suggestion ask also sell ton product display close wall menu tempting pick something think good idea mood support local business love grab candy something whenever last time good popcorn scooped coworkers great coffee joint worth checking
2021-07-02,5,hand best coffee hoboken staff friendly went quick coffee espresso recharge wish could ordered xxxl cup amazing
2021-06-22,5,best coffee shop hoboken sam helpful tony fast friendly best coffee best vibe
2021-05-15,5,block love mojo daily go coffee place loving spring menu blackberry mocha lavender matcha latte staff also friendly completely forgot ordered one early morning even though ordered something completely different made drink thought ordered fine drink actually ordered accident gesture greatly appreciated
2021-05-12,5,mojo coffee company wowed first visit interior set modern feel seat cute aesthetic pic ok first coffee scoped place wanted try two thing iced vanilla latte w oat milk one pastry went lemony poppy would go back item pastry overly sweet tasted super fresh latte perfect good balance vanilla syrup milk espresso shot friendly staff adhering covid precaution also plenty outdoor seating go check
2021-04-01,5,mojo drink exquisite place pleasant cozy atmosphere clean tidy hoboken say
2021-03-29,5,favorite coffee joint hoboken far cold brew delicious always delicious treat favorite everything croissant cream cheese weekend highly recommend
2021-01-28,5,love place maple latte brought back vermont sadly seasonal always super quick service great coffee
2021-01-24,5,love mojo perfect walk sunday morning coffee dog still table set outside even though freezing haha heating lamp want stay longer minute latte generally perfect sweet add flavor espresso right amount strong become bit weekend routine one favorite thing hoboken able find new coffee shop added bonus close enough walk dog mojo one found going back baristas always sweet sometimes delicious little muffin indulge importantly coffee disappointed
2020-12-29,5,mojo incredible easily favorite coffee place nj latte amazing coffee blend delicious coffee cake good chocolate covered popcorn addicting addicting ordered 8 bag give everyone gifting holiday owner also kind helpful
2020-12-21,5,ordered 35 bag delicious popcorn mojo coffee company gift bag guest holiday season sweet salty popcorn mouth watering soon tasted hooked family friend love make sure buy order enough
2020-11-15,4,cute coffee shop right near park good coffee seasonal drink flavor kind milk
2020-11-11,5,alejandro mojo team 10 10 great coffee great service worth new local spot certainly back great latte
2020-11-09,5,maple chai tea latte changed life always chai drinker promise short list go chai spot hoboken one blew away first always feel safe come space clean table spacious safe following covid protocol order inside order ready pick moment get back moving weather permit also leave door open second excellent recommendation staff multiple occasion knowledgeable feel confident know give five star service third lovely outdoor space heater provided love working day hope long weather nice
2020-11-05,4,nice people really cute spot pumpkin cake yummy chai latte decent let known harsh chai latte critic however coming work study aware wifi spotty super great place want grab go coffee enjoy someone happy new coffee shop added downtown definitely head coffee date someone
2020-09-29,5,cold brew smooth bitter perfect woman work nice
2020-09-20,4,big fan bomb coffee spot super super close place work love great selection classic coffee drink seasonal specialty drink delicious small selection pastry snack available well would definitely recommend visit area
2020-09-13,5,found place chance trekked another local coffee joint realizing closed early glad found place think become regular local favorite greeted friendly barista upon entering immediately noticed modern light beautifully decorated place instagram-able tried caramel latte delicious seating set outdoor table also park block definitely would come back try drink
2020-08-29,5,delicious vanilla cold brew greeted smile behind mask cinnamon loaf also moist delicious ate even took photo
2020-08-21,5,stopped today tried light roast large iced sugar free vanilla latte almond milk delicious much fan dark roast turn cara super helpful today excellent customer love energy also ordered boyfriend cold brew love love location
2020-08-06,5,place great owner also owns zach next door love make great coffee drink staff really friendly make great flatwhite w oat milk always coffee-snob test support local business
2020-07-30,5,people working kind helpful coffee great cinnamon walnut cake must try delicious definitely going back
2020-07-23,4,good coffee baristas struggle attention detail order taking expected new place welcome addition community real issue iced coffee lid leak would n't trust going nice clothes move always transfer another cup get home mentioned staff getting better
2020-07-16,5,first time mojo say arguably best cold brew ever service great loved overall vibe definitely making mojo coffee company regular stomping ground
2020-07-05,4,nice decor friendly staff basic coffee tea option got iced espresso latte liked drink option pick roast even espresso think really unique definitely recommend place
2020-07-02,5,wonderful little coffee shop welcomed friendly staff helpful recommend delicious vanilla cold brew atmosphere shop adorable perfect remote working study break also slice walnut coffee cake delicious
2020-06-30,5,recently visited mojo fell love cute modern aesthetic yummy chai tea latte definitely new neighborhood spot highly recommend anyone looking support local
2020-06-30,5,excited new coffee shop willow ave cold brew perfect dairy non dairy milk super smooth right-not strong perfect afternoon pick love interior well simple modern feel neon sign convenient great location stop way washington st path even dog park highly recommend
2020-06-27,5,place dope people work friendly sweet coffee great hidden gem sure
2020-06-21,5,n't yet stepped inside husband ran waited car two cold brew coffee today yesterday wow good n't post often love coffee strength cold brew remarkable live uptown continue come way good lot luck owner thank making weekend still enjoying sipping drink
2020-06-19,4,wanted support local coffee shop pandemic glad new one opened hoboken got iced chai iced latte great drink saw coffee cake instagram definitely wanted try moist delicious definitely give try inside also super cute instagrammable cute merch
2020-06-10,5,twice already definitely plan returning soon staff friendly decor fun make great flat white check
2020-06-03,5,went morning opening cute got cold brew delicious husband got iced latte came great left table chair aesthetic cute sit thing open back lucky cold brew place one best town already
