date,rating,review
2021-11-15,4,ordered northern soul buttermilk chicken sandwich cost 16 via seamless pro crispy tasty bun nicely portioned con thicc chicken breast thicc thicc yes stop saying thicc also yes look good thickness breast put like thinner crispier yet juicy chicken breast restaurant lettuce average iceberg tomato meh sauce tasted like 1000 island v homemade sauce score give 8 1 10 would order likely often lived noso
2021-11-10,5,nosol loved food environment always gone casual meet-ups friend always incredible time decided ask bridal party brunch together nosol way meet get know staff went beyond make sure incredible time via kindness consideration food delicious always something everyone drink memorable atmosphere inviting exactly needed everyone get know nosol recommendation friend family great date spot brunch casual bite everything occasion spot n't perfect go-to
2021-11-05,2,ordered wing via postmates instead get cauliflower bite crave order item wrong item delivered one frustrating thing ever better ensuring cooking packaging right item customer
2021-10-31,2,came boyfriend friday night truly disappointed boyfriend ordered calamari said saltiest deep fried thing ever tried tried ordering beer told two time thing tried ordering like put menu good thing experience service given server sweet tentative due give place two star back northern soul
2021-10-23,2,spite great menu food n't come weekend dinner expect conversation anyone table eat outside go elsewhere came 7pm friday night dinner 10 people music loud none u could hear person next u asked server could lower music told condescending manner sport bar music loud seems turned volume instead large party dinner throughout restaurant mostly restaurant time day website say neighborhood joint heathy comfort food emphasizes food sport nothing menu webpage space indicate sport bar shame chosen atmosphere food great offer wide tasty variety great place
2021-10-17,5,brunched northern soul yesterday surprise baby shower brunch great time brunch menu many option choose usually still hungry avocado toast northern soul version came egg side fry breakfast potato fruit salad happy choice looking friend plate nutella french toast bodega egg sandwich also standouts table inside patio area looked awesome plan visit happy hour get cold split group bill 4 card max big deal worth noting going large group
2021-10-11,5,noso many time past tuesday went trivia best time also tried cauliflower bite server recommended omg n't even like cauliflower thought amazing cocktail amazing best espresso martini town
2021-09-28,3,place loud fun brings pretty cool dive bar fancy restaurant mix service pretty good pretty busy night friend got turkey burger salmon sandwich loved however got vegetarian buttermilk chicken sandwich absolutely disgusting mushy texture horrible also ordered mezcal blackberry drink horrible friend even tried take sip could handle horrible taste come back though want hope restaurant offer many vegan gluten-free option
2021-09-26,5,hosted daughter 2nd birthday perfect management staff easy work leading flexible u pulled everything perfectly food delicious family kept raving drink flowing everyone great time pricing fair awesome time thanks northern soul
2021-08-22,5,visited friend jc recommend come boy glad ordered blt seriously best blt ever life bread crispy garlic aioli spread world ordered mimosa made perfectly lot vegan gluten-free option major plus make place even better dog friendly area look yummy food delicious drink definitely stop
2021-08-10,5,emergency room visit decided get healthier fare son consume 5 minute drive jersey city height located quiet street hardly traffic front door heavy wooden door something medieval time inside modern complete 2 booth area large party bar pool table take head close kitchen area assistance food tasty salmon dinner come 2 side son opted mashed potato creamy runny jasmine rice yummy flavor salmon cooked well tad crispiness outside got crab slider meal morsel appetizer tasty definitely filling meal replacement would recommend spot young adult especially
2021-08-06,5,magical amazing place earth struggled finding restaurant serve vegan nonvegan fare noso best way possible entire staff kind friendly genuinely amicable food drink perfect host sort fun event year perpetually thankful found place
2021-07-26,5,came brunch friend birthday amazing sat barrel basically private room 10 people couch huge table middle felt comfortable like someone living room food also amazing many vegan option decided try tried tofu mignon sandwich texture great crunchy seitan fried chicken sandwich little chewy taste still pretty good others liked drink creative pretty strong 8 u tried almost one
2021-06-27,2,eaten northern soul twice last 18 month inside return use ear hear friend likely outdoors food quality really good salmon steak tenderloin pizza cooked well full flavor prepared nicely menu includes many vegan option interested vegan honestly ca n't pas judgement option draft beer selection little weak looking dark beer can bottle n't really supplement music decent mix 90 hip hop rap volume way loud unless simply listen music trying converse people sitting next chair challenge seen hundred show four u ate together northern soul yesterday u ringing ear today create atmosphere need customer play music loudly artificially destroys atmosphere probably counter productive oh still daylight outside exactly late night music scene northern soul believe bar named given motif image british musical artist influenced 60 musical movement represented motif musical choice lot northern england northern soul movement started like beer dark service exceptional occasion accommodating helpful considerate last night waiter even petitioned music lowered little successfully food good following incident summed wife asked manager could lower volume told bar fairly empty bar restaurant early evening music loud glass vibrate table perhaps little loud patron ringing ear following day perhaps music loud still sure place busy real music scene evolved consistently busy comparable bar restaurant area point making loud shout david one loveliest genuine people hoboken witnessed david go way help elderly offer pickup grocery worth patronage alone obnoxious volume music help determine stay drink
2021-06-26,4,great service lovely people patron also disabled wheelchair knee scooter woman washroom great door super heavy yeah got dropped front away went meet super friendly staff
2021-06-03,5,northern soul become go spot hoboken never disappoints went last friday dinner everything delicious buffalo wing one favorite best part gluten free ice cream sandwich never eaten dessert amazing mention food came super fast cant wait go back try something else
2021-05-22,4,delicious food really appreciated gluten free option aware pickup chaotic least covid future probably get delivery
2021-05-20,3,stopped bite food good beware free parking 2 5 hour got parking pas validated still pay get garage false advertising
2021-04-27,5,northern soul whipping amazing brunch sweet chili wing crispiest ive avocado toast everything nutella strawberry french toast delicious even brunch cute soul shack temp controlled greenhouse great service great menu definitely back
2021-04-26,4,place really great service food bad welll got eggplant parm sandwich cooked well eggplant bit mushy liking flavor point sweet savory tomato sauce fried breadcrumb batter overpowering thick
2021-04-13,2,service lackluster chose sit inside since availability outside due spot reserved staff practically forgot u n't come table seating u close 30 minute took food come food vegan pizza could way better vegan cheese sliding pizza pizza lacked flavor good part meal jackfruit crab cake slider must try
2021-03-25,5,loved place went group friend without reservation still seated u super quick glad place vegan option got tofu mignon sandwich bomb great staff service constantly checking u ordered drink
2021-03-25,5,really love soul shack northern soul super toasty private also great waiter named bichan hope spelling correctly superior knowledge mag-lev train industry
2021-03-19,2,honestly used go-to spot ever since donald left woman took really gone downhill message new gen manager customer always right n't fight make excuse apologize done really disappointed popularity done noso
2021-03-19,3,ordered delivery northern soul last night ordered noso burger added extra patty bacon cheddar cheese house cut fry brussels sprout scotch egg love brand sticker cute food arrived early thought great however everything wet soggy like sat anyway burger amazing loved flavor meat bacon cheddar good amount everything great size 16 95 cause addition bacon extra patty worth fry cooked requested yes soggy able put broiler helped n't know okay brussels good flavor tasted fresh also wet soggy good portion 6 95 order restaurant delivery scotch egg real disappointment never ordered two egg 15 arrived one egg small luckily received refund missing egg disappointment lol thank grub hub helping would never order way overpriced unsatisfactory get disappointed overall would go restaurant order double patty cheddar bacon noso burger house cut fry hot crispy brussels sprout hot crispy delivery definitely scotch egg
2021-03-17,4,planned last minute brunch cousin pleasantly surprised availability group 8 chose sit outside soul shack note meet 200 minimum food drink party size ordered cauliflower bite impossible burger slide poutine share buffalo cauliflower great slider really stole show poutine fell little flat bodega egg sandwich got delish nyer inside screaming paying 14 5 sandwich good service decent beer selection cocktail really good definitely worth try n't
2021-03-16,5,love place amazing service great vibe delicious drink n't tried much food except appetizer great
2021-03-14,3,disclaimer never leave review unless feel absolutely necessary experience began several cup water tasted like came straight pool luckily able get bottled water however came cost 5 25 per bottle despite complaining server see fit waive charge bill speaking three four server come table felt nice first became confusing since idea responsible u led inevitably would happen u waiting solid 30 minute drink arrive reminding wait staff multiple time order time watched several table get drink give credit waiter acknowledging change staff resulted missing ticket trying rectify situation enough never go back lived hoboken 6 year never even heard place plenty quality bar hoboken serve great food reason need travel bowel hoboken get experience taste like pool water food solid drink ok best bet order draft beer go anywhere else
2021-03-14,3,place get 3 simply really loved waiter otherwise total 2 75 based quality food say folk reason yelp elite still allowed dole half star mean time already made reservation one outdoor soul shack cool get extremely sanitized party wait min ready sort delighted fact place since 2008 5-7 min walk building yet never tried actually pretty upset n't get sooner say food n't great flatbread really made u realize typical bar food like really excited come vegan option menu great available n't get wrong everything fried like solution vegan food well must taste good fried ok yesterday slightly nauseous needed fried thing also love sweet potato fry waiter fun good banter place interesting cocktail expect taste bit better honest mine kind sucked interesting take spicy margarita would come back sweet potato fry chat waiter restaurant tee play pornhub logo
2021-03-10,1,northern soul good experience recent trip n't good used resy join waitlist received text estimated wait 15 minute walking received text hightop available interested asked hightop highchair since toddler u simply told sorry dont checked hostess kelly said toddler acknowledged u sat wait 30 minute later still n't seated asked said n't list high top even though walked u several time never bothered tell u n't regular table available
2021-03-07,1,tried go friday late night reservation fully assumed restaurant id bouncer speaking rudely soon walked forgotten id fine guy rude really get bite eat getting drink guy followed party restaurant tried instigate physical fight guy friend reciprocate even grabbed shoved cool whatsoever never support restaurant business employ peope physically assault woman avoid cost
2021-03-07,5,boom great service staff around keep solid work fella business service performing top game place hoboken need replicate suck
