date,rating,review
2021-08-01,5,come every chance hoboken get cake slice pastry without pre ordered though pre order full cake course closing time slice sold 4 layer chocolate cake amazing light sweet delicate hit spot
2021-04-27,5,place hoboken authentic hearty bread lovely assortment dessert try beinersnitz almost positive spelled wrong great honey almond cake light
2021-04-14,1,patronizing bakery time always good experience met owner wife enjoying food staying away lady extremely rude
2021-03-07,3,picked covid time ordered advance online cake ready time specified already paid online easy process overall enjoyed cake sweet impressed price point 7 per slice guess expected slightly stronger flavor bigger portion size slice cake definitely beautiful made end led day flavor n't really would potentially go back try different cake flavor offering
2021-02-07,5,stopped spontaneously saturday afternoon seen cart front area store many time never chance stop line decided see staff talked super friendly patient explaining german dessert light sugar-heavy flavor dessert looking coffee cake chocolate mousse pineapple papaya one believe something like super delicious described pricier side 6 piece ordered 5 slice cake super tasty excited come back come support local bakery
2020-12-13,5,owner really nice service good pastry look pretty tasty got cherry cake really good almost feel like germany
2020-12-11,5,called ahead get birthday cake person phone incredibly helpful friendly explaining size option ended getting berry mix cake told slightly late getting call come hand cake great service luckily got closed cake smash hit n't overtly sweet right sponge fresh perfectly baked could hope bit spring buttermilk cream filling layer honestly divine top actual fruit berry would believe fresh well let put way 6:30pm bustling downtown hoboken people behind queueing danish friday love danish guess going back many time future
2020-11-09,2,stopped seeing cute cart outside store picked almond croissant fresh flaky much almond paste inside
2020-09-18,5,often go germany business stopped business trip hoboken got chocolate cherry pastry real deal perfect degree sweetness found german pastry sweet overly sweet like many pastry found u bakery
2020-08-17,5,cake perfect not-too-sweet lover owner super nice got two cake one honey almond cake chocolate loved would definitely come back
2020-08-13,5,cute little bakery delicious pastry coffee friendly staff historic area many park nearby sit take stroll coffee hand
2020-08-03,5,looking authentic german bread dessert lived germany half life never felt closer home trying dessert definitely recommend place
2020-07-20,5,wonderful bakery friendly staff owner go weekend little stand outside open early excellent baby love visiting nice
2020-02-22,5,boyfriend stopped way home dinner dairy free n't expecting find anything could eat owner offered explain option u without knowing dairy free went item giving u great explanation finally got chocolate cake said vegan item happy looked amazing tasted even better promise would n't even know vegan tried happy found place
2020-02-15,5,chocolate cake sweet chocolaty delicious cappuccino perfect leek parmesan pastry also great nice selection something savory sweet
2020-01-31,5,must visit hoboken owner baker haytad gem quickly detail day offering bread sell noon dessert available late evening huge variety try gluten-free almond chocolate tart vegan chocolate hazelnut cake 3 50 easy conscience wallet
2020-01-31,4,packed saturday morning ogb great service ordered espresso cherry danish brought table moment later guess want little filling danish fresh great definitely top bakery hoboken
2020-01-17,5,love little bakery owner really friendly helpful great selection favorite egg sandwich bread oh delicious
2019-11-30,5,best pasteries hoboken maybe even whole east coast soon bite pastry ogb transported street cologne leek parmesan pastry mini berliner make perfect start day
2019-11-07,4,great service excellent price clean open wish bigger selection went thursday afternoon running lot pastry mini berliner hazelnut nutella inside whole hazelnut delicious 85 piece paper bag 20 fyi authentic pastry also similar style eastern european ca n't wait come back
2019-10-24,4,stopped morning try coffee ended item well lol ordered small latte soy milk almond milk oat milk available mini berliner w jelly mini berliner hazelnut nutella peach crumb cake everything delicious better coffee area baked good excellent coffee bitter acidic personal liking berliner soft fresh crumb cake soft fresh fruit firm baked perfectly nothing got overly sweet perfect everything 10 totally reasonable returning lol
2019-09-29,4,came across strolling hoboken saturday evening large selection pastry n't name along themso ask person taking care different flavor asking guy questionsi decided take black forest slice one cherry slice tasted good vanilla mousse one slice die definitely going back
2019-08-07,1,named one price charged another credit card without warning without showing pos-terminal transaction amount apparently charge extra pay card even amount 10 unethical practice lost customer
2019-07-01,5,good service nice european pastry coffee took like 5 min get coffee worth
2019-06-16,4,place favourite cafe area owner always give u warm welcome love selection favourite strudel sweet savoury going always feel like home
2019-06-14,5,store keeper friendly lived germany 6 year ambiance similar backerei deutschland particularly looking german pastry similar crumb cake n't tasted since childhood thankfully bakery sold name almond butter wonderful experience reminded cherished time life small cake delightful little spot think enjoy
2019-06-02,4,highly recommend bakery pastry absolutely delicious cheese strawberry strudel amazing chocolate croissant also good bread bit pricey side 7-8 loaf tasty
2019-05-28,5,good food nice staff several desert enjoyed would highly recommend
2019-05-14,5,amazing place hoboken food delicious stuff friendly say every little something world give try fall love place
2019-04-28,5,love man owner make day literally walk see window happy real love bakery show great baked good variety dessert highly recommend spot nice pastry morning coffee
2019-03-15,5,love love place parmesan leek pastry awesome chocolate pastry amazing everything ordered great
2019-02-26,1,horrible owner manager poor service brought whole loaf bread back falling apart unedible like much flour insisted imagined buying insulting front customer offered replacement refund lost regular customer instead treating fairly
2019-02-15,1,would recommend bakery anyone wish could give star possible owner terrible went bakery little treat 5 dollar credit card limit illegal well lot place got total came like 4 75 owner made big deal paid extra 3 quark ball cheese pastry sold time owner said come get next day forgot called bakery today owner told need charge wo n't give pastry already paid cause n't come get next day total scam stupid lost customer 0 75 pastry would never go back
2019-02-10,3,place solid pretzel small pastry get budget bit time go usually 1-2 people working behind counter even grabbing something quickly like coffee pastry take solid 5 minute minimum never sat staid eat 6 table maybe-mostly 2-tops even though price pastry bit high quality usually watch would say place besides bit wait behind somewhat pricier option would go earlier side especially weekend make limited amount everything sold sold day net net-if little bit time want elevated good pastry noon weekend swing
2019-01-04,5,best pastry ever whole life cherry strudel sublime nutella croissant die
2019-01-03,5,real german bakery owner germany import ingredient get coffee get pastry go grab coffee elsewhere
