date,rating,review
2021-11-01,5,vodka sauce really great breaded chicken bronzino delicious melted mouth love place great occasion
2021-10-22,4,super yumm byob n't forget must try black truffle mascarpone pie smashed burrata prosciutto app
2021-10-17,1,rating entirely attributable poor customer service arrived restaurant around 6pm looking inside table wife note take reservation operate first come first serve basis told manager would 5 10 minute wait cleaned table vacated wife waiting outside cold party five arrived put name u manager asked wife would mind waiting another 15 minute table asked told party five also need table surrender four person table party two wife would cost money much first come first serve take business elsewhere encourage others lot great italian restaurant hoboken far better managed otto
2021-10-02,4,fantastic food bee sting pizza incredible love honey drizzle pizza pasta also great pizza certainly star show
2021-10-01,5,wow best italian food hoboken ca n't believe large otto strada menu trying decide order took forever everything sounded delicious unsurprisingly busy friday evening wanted eat outside weather nice outdoor area full indoor space fairly small table little close together prepared like lot hoboken spot restaurant byob onto food garlic lemon stuffed artichoke stuffed artichoke packed garlic-y goodness delicious great appetizer share downside edge artichoke little sharp scratched inside mouth orecchiette fresh corn burrata omg life changing seems like seasonal menu item tempted go back fall order dish combination burrata olive oil corn simple yet flavorful also tried another appetizer n't see online menu sweet potato crostini brie honey pear slice four piece per order another perfect fall appetizer order absolutely back eye pizza
2021-09-26,5,ambience food service restaurant 10 10 really good spot dinner date even larger group menu variety option portion also sized well share would recommend pizza honey drizzle
2021-09-16,5,order takeout otto strada wish dined cute looking italian restaurant outdoor seating would highly recommend eggplant parm also byob
2021-09-01,4,restaurant absolutely phenomenal draw back tight seating lighting loud music smashed burrata prosciutto delicious burrata prosciutto paired perfectly white black truffle pesto came much better expected packed flavor definitely order return penne vodka delicious best part moz top sauce creamy full flavor definitely would get overall food service carried experience
2021-08-21,4,walked friday night restaurant lively indoors outdoors waited minute get table two service fast ordered bruschetta served quickly loaded tomato tasted delicious ordered rigatoni vodka olio e aglio entree portion generous rigatoni vodka average sauce lacked little flavor olio e aglio pasta packed spice would n't recommend n't like spicy food ordered nutella brownie dessert decadent fudgey big pack go overall ambience nice waiter excellent would go byob plus
2021-08-17,5,posting update still favorite restaurant hoboken simply beat food
2021-08-13,5,could say bad thing restaurant dining experience great take experience great skim whatsoever portion opinion best italian restaurant hoboken best part byob recommend pasta dish favorite linguine brussel sprout amazing ca n't go wrong anything menu
2021-08-09,5,10 10 amazing italian food great service atmosphere offer indoor outdoor seating definitely back
2021-08-07,5,wanting try restaurant happy finally food delicious appetizer got smashed burrata mussel yummy also got two pasta share fresh tasty ca n't wait come back
2021-07-25,4,complaint food took long time worth got bee sting pizza pretty good pasta star show tried friend vodka rigatoni spaghetti delicious back try pasta
2021-07-10,5,n't usually leaf review place otto strada good u leave 5 star review owner welcoming server great food amazing ate way planned could n't stop good recommending anyone area
