date,rating,review
2021-11-07,2,today ordered diavolo dolce pizza baby kale salad pickup usual pizza good one favorite pizza hoboken baby kale salad hand terrible bad throw away salad swimming sour dressing made entire dish difficult eat take look picture get idea talking
2021-10-27,5,hoboken lot competition come italian pizza place like way ambiance quality come mind gem pizza delicious taste quality ingredient also located west part hoboken typically le crowded quieter area love sitting outdoor seating night great place date quiet conversation pro tip make bread house order fresh
2021-10-23,5,still great place pizza pasta always enjoy cacio e pepe carbonara sometimes share appetizer get pizza red one white one
2021-09-19,2,good food horrendous service rude waitress trying push door moment sit
2021-09-02,4,live block away came first time last night start hurricane ida one two table restaurant service great vibe inside cozy love byob mussel white wine sauce start amazing gave u spoon eat leftover broth good bread provide table also incredible got cacio e pepe two small pizza one sopresatta one spinach artichoke delicious different spinach artichoke much lighter expected good way spinach leaf artichoke slice top mozz cheese n't sort creamy spinach artichoke dip mix top expected pizza crust thin crispy loved even gave u tiramisu house share always nice surprise end also clearly freshly made ca n't wait go back
2021-08-13,1,live neighborhood wanted give panello try since closeby absolutely horrible experience food firstly service really bad due respect staff best appeared rush n't understand half place empty big rush food bigger disappointment also menu pricing consistent final check absolutely appalling staff completely clueless poor management saw review yelp echo pasta like noodle salt pepper like home style italian sure overall one worst experience
2021-07-24,4,nice owner nice ambiance pizza average good porta certainly better dozzino
2021-07-19,5,would love give 10 star fabulous restaurant baby shower restaurant literally knocked great staff super appetizer could main meal delicious thin-crusted pizza especially loved one truffle oil mushroom let u set bar bring special home-made cooky super cake lot decoration candy ambience hip industrial look big window rustic table happy leftover mom-to-be husband take home back sure thank panello making day extra special
2021-06-26,2,even going big review worth time ya pretty much hoping cacio de pepe would worth waiter bad attitude n't noodle pepper type flavor
2021-06-25,1,feel stupid supporting place pandemic classist family friendly whatsoever come person service ordering 1 main course 5pm feed hungry toddler n't make lesser customer extended several courtesy every table received top get filthy high chair pointing told least high chair restaurant middle hoboken 2 child care facility international school monroe centre literally across place need shut shop n't want entertain family child keep attitude turn away customer
2021-04-25,5,wonderful local restaurant great food service owner really care customer make sure comfortable especially covid time
2021-04-17,4,husband last night dinner must say place good ingredient used top notch taste authentic manager co-owner engaging chile one best meal long time price reasonable well complaint rare would definitely recommend panello loved lepanyol
2020-10-25,5,far favorite place eat hoboken food always fresh delicious staff friendly accommodating ca n't go wrong lived hoboken 7 year eat day week always eager new place ca n't find anywhere hold candle panello food service
2020-10-23,2,honestly great meal month ago talked foodie friend went back tonight group 5 main course never cooked fiance went inside ask second later 3 pasta dish came told 5 min pizza come table next u told pizza forgotten went oven take 3 min either new owner new water dough aside service food wildly disappointing comparison served back august
2020-10-23,3,n't ask tap water unless know charge 7 00 bottle panna ordered bread butter charged extra butter pizza pretty good nice outdoor seating liquor license bring wine
2020-10-17,2,take beware ordered large pizza 2 pasta dish told 45 minute wait pick arrived time got food cold definitely ready got home saw pasta dish barely pasta mean could see bottom take tray 70 later barely food owner manager refused even partial refund sort resolve customer service really lacking price point waaaaaay high ton great italian place hoboken
2020-10-07,5,hand best pizza hoboken although apps fish pasta special always amazing well lot outdoor seating romantic park like setting owner always kitchen take pride food show byob
