date,rating,review
2021-10-31,1,stand 20 minute wait order n't supposed give buzzer sit order missing item food meh wonderful place hoboken come n't
2021-10-26,1,ordered pick uber eats order 15 minute later expected total prep time 30 minute tried inquire order treated like inconvenience felt treated differently maybe thought delivery driver also concerning
2021-09-16,1,terrible wait time waited 30 minute rapid pick order asked status order person back said ca n't look right busy turn ready sitting counter back one gave u
2021-08-06,1,typically like stopping panera fortunately panera policy hoboken location refused giving cup water wanted charge fountain drink water welcome hoboken many place eat hoboken take business elsewhere
2021-07-22,2,went ordered whole frontera chicken sandwich absolutely one store waited almost 15 minute instead packing one whole sandwich pack two half n't pay attention whole sandwich wait make another half wonder happens busy
2021-07-13,5,usual good comfort food like order day feel need something familiar favorite french onion soup chipotle chicken avocado melt also like passion papaya green tea usually food delivered app fetchstr found connects community easier wallet well link easy access link http apps apple com u app fetchstr id1014044282
2021-05-27,5,came regularly 4 year nearby university great food especially love soup grilled cheese panera pricey course location great customer service offered free drink hot day occasion
2021-03-02,4,place straight-up homeless shelter coffee still pretty good wish would disinfect booth better bum wake re-enter society
2021-02-07,5,nino manager panera bread location incredibly kind helpful went beyond normal customer service standard ensure happy ca n't say enough nice thing
2020-10-30,1,horrible experience ordering delivery today first got email saying order arrived one ever called say n't outside apartment door went lobby check n't either started call store thinking food missing food arrived door 10 minute email saying food arrived went upon opening food salad sandwich ordered received completely wrong soup ordered called store spoke manager rosemarie apologized said could believe happened said going run right based said expecting soup apartment 20 minute soup n't arrive hour half phone call manager manager threw free brownie one soup still wrong unreal lunch ruined mix ridiculous wait never business branch panera
2020-05-02,1,ordered delivery today say come time food decent however one soup missing utensil calling store 2 hour waiting hold minute two hanging way leave message callback tried calling corporate get resolved answer 30 min wait answer manager please contact resolve n't like leaving review like store need get employee trained correct mistake
2020-01-20,5,think pretty cool panera someone going around checking customer work block n't really see much anywhere around fast food restaurant thanks chris
2020-01-12,2,hope manager corporate office see tried provide feedback corporate office easy way placed order 2:17pm january 12 2019 went restroom waiting food toilet paper either stall n't know long ago staff cleaned toilet stall toilet paper left must long time ordering kiosk always lack buzzer one called food ready thai chicken salad n't chicken service seems much par newport mall location much better service shame panera bread ca n't provide consistent service across location
2019-11-19,1,horrible experience ordered baguette large mac cheese unfortunately received rock
2019-10-15,1,since working hoboken area ordered panera several occasion service gotten consistently worse sandwich order never ordered frankly sandwich look le desirable ingredient fresh either sandwich falsely advertised see website receive price disgusting panera lost customer
2019-08-16,4,one better panera experience everything ordered correct ready walked else say
2019-08-07,1,n't order catering location always late never call explain never answer phone call happened
2019-08-01,4,always positive experience every time stop location worker super friendly service quick
2019-07-30,5,really like location food come fast man woman hand deliver food table extremely nice really appreciate panera
2019-07-24,5,experience panera bread location varied year however experience today excellent service friendly helpful pastry absolutely delicious would highly recommend trying cinnamon bun n't know seen plenty sitting around lunch hour plenty people also sitting laptop work overall experience efficient enjoyable panera easy get washington street also order online panel le people person also enjoying panera reward membership thanks free pastry birthday
2019-07-01,4,best sandwich price point may run crowd kid lunch time would avoid hour otherwise swing anytime
2019-06-17,4,honestly say always positive experience panera quick tasty convenient yes chain sometimes need dependable go generally go breakfast get coffee avocado egg sandwich ca n't go wrong
2019-06-09,2,online order cancelled twice place pretty dirty got ta lie food portion also slightly smaller panera heard people know seeing mouse judging review right
2019-05-16,4,lived hoboken long time never big place tell management care business cleaning thing making look nice saw manager even getting hand dirty ensure best experience customer food solid well ate corn chowder green goddess cob salad also tried yogurt fruit granola isnt michelin rated place serf great purpose community offer spacious place get work done eat good food af fair price n't much else anyone ask applaud panera
2019-03-05,5,came friend relax cold day must say chai tea latte bomb seriously best service friendly chill recommend going drinking chai tea latte
2019-02-05,1,disappointed rapid pickup order basically half spoon tuna sandwich barely condiment add selected point customizing honored top could n't even get thru phone number could corporate office tried call much accuracy matter
2019-01-17,5,panera truly go thing fail specially enjoy broccoli cheddar soup bread bowl wish bread bowl seize always bigger quality taste always remains bakery fascinating offer really go dessert treat option
2019-01-05,1,leaving woman bathroom saw mouse scurry underneath door men restroom totally killed appetite
2018-12-22,2,everyone love good panera food honestly place n't every panera like service long get food mention server cook sick everyone order wrong sad
2018-12-02,1,service hhhhorrible place filled homeless terribly managed place
2018-11-13,1,diminishing return establishment located lower hoboken tell sometimes want sit sip hot coffee day work weekend morning unbothered enjoying alone time house anticipated noise panera management customer emit would preferably ventured gregory coffee newport exchange place starbucks newark st firstly music turned almost way made difficult read pastry coffee escaping headphone order driven almost crazy sheer volume music top front back establishment attract bevy shifty looking people idea n't care bothering others noise phone make mindlessly watch video dampens experience panera 310 washington need address situation folk music pleasant n't need loud almost feel like bar aside place sign encouraging customer please listen video choice without share entire locale many panera around country far one lack courtesy customer
2018-11-08,5,service amazing personal treated dignity respect people work deserve 5 star moderately delicious meal
2018-10-15,5,love panera love mac cheese get large want get small always great selection pastry one favorite one cherry filling everyone always friendly place always clean welcoming price affordable also reward point birthday get free pastry love place
2018-10-13,2,food decent customer service atmosphere terrible took 30 minute receive salad gave wrong order twice apology offer free dessert etc location slightly cleaner used trash still overflowing lot kid running around ok takeout allow extra time double check order
2018-10-07,1,place epitomizes everything wrong chain restaurant quality food poor overpriced especially quality quantity example mac cheese mushy gross sandwich far far better go number deli hoboken apple always bruised old people work n't care job obvious considering every time table dirty bug flying around everywhere done panera bread
2018-09-17,3,today order sandwich n't put bread menu crowded hungry ate sandwich good disappointed like cranberry walnut bread also order soup go got home one ordered going panera hoboken year think time retrain staff including management run first opened
2018-08-12,2,improved past two year service food inconsistent order often filled incorrectly requiring multiple visit service counter nevertheless quick go black bean soup summer salad bread bowl debating whether worth frustration
2018-06-24,1,guy preparing food angry swearing never heard worker angry angry loud made nervous eat food n't think back
2018-05-08,1,never go panera ordered catering go pick n't record eventually find order n't follow instruction order due inability run catering order properly 15 min late important business meeting hosting cost business lack organization
2018-04-30,1,waited 5 minute service quiet mid morning money hand three employee manager pointedly ignored finally went starbucks guess n't need business
2018-01-07,1,walked panera eat could n't find clean table entire place sit looked table cleaned day wall even food caked finally found barely clean table sit surrounded homeless people woman clearly drug guy sitting next eating anchovy yelling another homeless man different table liking anchovy employee preparing meal hair barely back one girl hair basically face preparing food disappointed like panera location disgusting
2017-12-03,3,lot seating location cinnamon scone delicious perfect paired cup coffee want place chill
2017-10-28,1,great spot want mingle hoboken homeless community eat processed food good cheese bread bagel ok never stay reason
2017-10-18,1,10 minute soup sandwich go combo busy catch 10 18 17ordered 2 pastry baguette time ready 8:50pm time 8:59 still order ng organization expected corrected prior visit 9:06 got order partially ran ordered would n't known n't demand order get closing shift act together
2017-09-30,3,friendly service order came correctly thought place could little bit cleaner patron dining interesting convenient location right middle everything washington st
2017-07-20,1,compassionate next person really right homeless people getting cup helping soda water ice tea one guy even took cup garbage get water another almost pout mouth spout hoboken homeless population control yet paying 8 see never hoboken go panera
2017-07-10,2,unfortunate literally never get order right saw girl take baggy hand put ledge pick spot move back plate gross everyone waiting including looked disgust said several time place sloppy let add unsanitary mix ever returning
2017-04-18,3,careful sitting management need something odd people come yell customer
2017-04-09,1,panera washington st hoboken full rough sketchy unclean-looking patron sure homeless even buy anything wonder management something see another yelp reviewer similar feedback notice problem getting worse today man rummaging garbage wandering table another woman talking touching straw drink top beverage center initially ordered food stay felt uncomfortable eating going around food arrived table mac cheese cold quickly ate anyway got to-go box salad dropped one box floor employee standing nearby looked looked went back convo friend never mind hand full little help would nice anyway bolted fast could get home realize fuji apple chicken salad missing chicken paid 12 cold mac cheese salad chix least got iced green tea bag chip price smh needle say place need clean clientele work food prep step customer service going back
2017-02-16,5,go wrong panera soupset took asiago roast beef sandwich menu one worker back overheard said n't worry make wow happy love panera
2017-01-30,2,saturday planning eat take food go food fine complaint eating area good noticed people seemed rough looking maybe homeless area smell would want trying eat sure controlled management disappointed
2016-12-18,1,visit panera bread cafe 1499 today springfield nj usually visit one clark nj twice week lunch order large order greek quinoa salad 10 01 worth price disappointed dissatisfied forgot add quinoa salad kale mainly lettuce iceberg 1 2 cup olive bread broke piece hand use knife sanitized
2016-11-03,2,sorry love panera death people work rude display wrong price baked good tell different price tax showed receipt said match display price lady said oh wrong label tell purchase lie say yeah charged tax rude rude
2016-11-02,3,employee helped u nice packed 11 bagel baker dozen order noticed home sorting bagel
2016-10-18,5,n't really panera fan went location gm manager panera staff always great treat customer smile remember everyone name location always clean food always great highly recommend location never disappointed
2016-10-14,4,spacious plenty room people work study outdoor seating summer month like panera noticed homeless people wandering inside last time stopped pick food
2016-09-23,3,guy morning take time order n't really patience sometimes need coffee mediterranean egg wrap woman make sandwich nice
2016-06-03,4,location clean spacious whether quick bite wifi comfy stool bench table go healthier alternative take-out 8 pick two deal love cheese lover side broccoli cheddar soup half grilled cheese sandwich disappoint food made fresh expect little wait
2016-05-20,2,go location often first time maybe 2 year unpleasant experience placing order person register told wanted salad pasta combo large salad said n't possible rude way like really mad saying confused cause always get said wanted pasta mac cheese got really angry said mac cheese n't pasta n't know come mac stand macaroni pasta cashier next register looked u shaking head looking feeling sorry situation realized person register manager store victor either terrible manager mad working cashier rude impatient n't feel like going back panera
2016-05-03,1,literally worst panera ever would give negative star rating possible management location terrible messed order completely multiple occasion third time completely messing order walked way home called manager said would get free meal next visit put name list well came location week happened told male manager working closing shift happened week basically told f one job customer service ca n't even get right place definition trash mention management also problem letting homeless sleep booth bother patron ask money avoid cost know returning
2016-05-03,1,problem squatting homeless distraction place sit eat take seat thing staff management ignores
2016-04-22,5,soup bread bear claw good free wifi charger convenient spend time enough space even peak hour
2016-02-09,5,absolutely enjoy salad soup amazing leave satisfied customer service also great
2016-02-07,2,let say love panera food particular location notorious two thing first never seat available people take space wifi usage second always messing order unless verify want bread order chip completely forgetting soup pick 2 already driven home apologize yes completely unacceptable happens
2016-01-30,4,first time year remembered college day husband went salad place like honeygrow closed due winter blizzard attacked city day prior panara shoveled full operation love new feature order food new-er touchscreen ipad type device made one like customize order user friendly happy customer impressed freshness salad thought chicken n't salty fast foodish style food avocado nice fresh great portion hubby got panini sandwich kind got confused customizable option touchscreen many choice bread selection etc understand new re-new menu item want classic version easy kid button classic way missed satisfying lunch good price
2016-01-24,1,seriously place really slumming panera kind dirty menu half varied paneras suburb new ordering system plain dumb double time get food skip panera visit others
2015-11-28,2,coffee hit miss almost never hot enough something true every panera ever temperature close okay fresh coffee brought seems happen around infrequently ca n't panera get coffee right hard seriously like coffee go somewhere else place always clean food mediocre yet pricey true panera location saving grace staff friendly helpful pleasant drinking lukewarm coffee yet write came starbuck next door full
2015-11-16,5,perfect perfect pit stop hoboken yes please remember hoboken come lunch hour school hour expect child kind age noise level also remember panera great food warm atmosphere mention really really good food college student dream healthy close pricy love savior cafeteria frozen buffet refreshing break pricy greasy place hoboken sell advert disappoint plate plastic basket etc also pretty well kept one key thing though service friendly arthur especially take time get know regular customer usually order without online preference n't cheat honestly put customer first always people work real people funny professional friendly without creepy good service good food damn restaurant
2015-07-09,1,wow wow never experienced witnessed much calamity panera bread food ask great however front house service left much desired n't know blame directed pb customer service training local school district total delicious meal came 10 99 gave cashier 20 bill found dollar said dollar get back 10 bill gadzooks da thought girl brain computing difficult linear problem earth called manager told situation followed saying give back 8 whoa nelly time manager also handling customer complaining iced green tea settling bill noticed cashier mistakenly rung customer order behind asking difference whole sandwich half sandwich actually asked another manager guy come hear customer saying n't want want ordered trying get purchase different 1 2 sandwich make whole strongly suggesting change manager guy could n't compute customer returned change customer said n't making sense decided order baked good exchange ongoing confusion meanwhile im eating first manager phone hear disputing order saying n't deliver order late called number gave u one picked horrible blame one full moon
2015-05-30,1,surprised see dirty place set design place table sticky floor dirty crumb everywhere agree seem many homeless people hanging around employee appeared bit unkept dirty nose chapped lip idk presentation n't best came dine decided take soup go upon eating half found straight black hair soup seemed someone beard mustache idk absolutely disgusting never
2015-04-18,2,abstract love panera location pretty ratchet worker food pretty standard fare worker always pleasant lot seating extraordinary lucky deaf could manage study main problem patron baby central young bougie parent shirking responsibility customer order try enjoy bread bowl perhaps hoboken open chuck e cheese parent treating restaurant baby scream top lung toddler sprint back forth restaurant parent try hard ignore child outburst general sure space wonderful business hour avoid looking evening weekend respite wo n't able hear partner conversation din unmanaged child
2015-03-20,3,place greattoo bad hoboken homeless shelter
2015-03-20,2,stopped lunch pretty disappointed meal decor panera surprise however note pretty large hoboken restaurant decent amount table bathroom standard well staff everyone nice food ready semi-quick manner busy food asian salad pretty pathetic consisted bottom 2 3rds head iceberg lettuce white light green yellow part nut sprinkled chicken fine lot given whole serving much dressing also pick 2 steak sandwich ceasar salad salad issue sandwich nothing write home value n't pay much would expect seems got paid even though n't set u back much still feel like got short end stick certainly coming back meal
2014-12-10,5,franchised coffee shop seem follow fast food model ushering many customer in-and-out possible employee panera bread washington however seem defy standard continually remember usual order go extra step ensure experience good one hanna danny whole team friendly warm group people week came coffee freezing rainy day noticed kid line ahead looking pocket enough money cup soup girl register told still dollar short gave kid buck manager on-duty noticed rang order informed coffee questioned simply said pay forward right truly touched many option washington street alone sure ambiance friendliness consideration keep coming back panera bread
2014-11-30,2,one worst paneras visited homeless people sleeping booth n't smell great kind dirty n't gone reason really wanted try chicken power bowl bowl supposed vegetable chicken cilantro hummus lemon ordered go got home hummus missing annoying
2014-11-03,4,typical panera big surprise positive usually expect friendly prompt service sandwich bagel demand plenty seating outlet
2014-09-27,1,wifi signal speed pretty terrible reason come coffee bad food ok bathroom comparable football stadium halftime bum also use place free coffee drug exchange
2014-07-17,2,heard much place visisted lunch disappointed maybe order worst thing menu sure n't impressive ordered vegeterian sandwich tomato soup bread bowl soup tasted pathetic sandwich average amount charged really find sandwich filling place would visit
2014-05-07,4,love panera go hoboken location month find staff always pleasant portion consistent always get half salad half sandwich bread sandwich sometimes 3 width sometimes 5 width know meat inside pre-measured portion regardless want feel like eating adult sized sandwich biggest complaint panera never feel clean maybe lighting furniture always feel like gotten food go probably doesnt help mom sitting chatting away kid climb top table chair would never let kid behave way home public ca n't wait panera open newport mall fall space look much bigger hoboken
2014-05-03,4,consistency panera best sometimes dream frontega chicken sandwich always great choice
