date,rating,review
2021-08-20,5,pier park one beautiful park amazing view manhattan skyline hudson river ambiance really cozy relaxing definitely one best spot hoboken huge well-maintained open grass field middle park perfect picnic gathering especially pandemic enjoyed time hanging visit neighborhood
2021-05-22,5,beautiful large park lot bench lot grass picnicing bos tossing great view new york city nice area stroll around enjoy nature breeze walking street hoboken close hoboken train station town worth quick quick stroll around enjoy calmness come nature
2020-09-11,5,large park phenomenal view ny skyline people surprisingly good adhering social distancing guideline super calm super beautiful beware get chilly water
2020-08-19,5,pier park first park right get path hoboken right waterfront beautiful water fountain path around decent size piece greenery lounging sunbathing name pier pretty large also go water decently far offer classic nyc skyline view even middle current pandemic feel place large enough get walk around even hang still maintaining good amount distance everyone else plenty open space bench go around must visit anyone city need get stretch leg get fresh air
2020-07-17,4,feel veer much toward covid-19 sociology may time click back button sunbather sociologist may find value pier park heard story city established one nation first coronavirus-related curfew partly bar fight month later became hot spot lake ozarks-esque merriment maskless reveler n't political muh freedom thing strictly avoiding tan line face word covid conservative want careful 65 degree partly cloudy better though n't consider walkway scary dare find superb view empire state building hudson yard expensive camera may get glimpse george washington bridge
2020-05-17,5,beautiful spacious clean park great view perfect lounging around reading book sunbathing strolling running picnic etc park peaceful offer fantastic view ny skyline across river plenty restaurant bar coffee shop surrounding area well
2020-04-19,5,pier perfect place lounge nice day big grass area walkway around made part running route year love view second none never disappoint pier go pretty far water pretty close nyc unobstructed view nice year ago concert sure n't anymore pretty fun time movie night summer wednesday believe get crowded summer come get spot usually fine space also 9 11 memorial people hoboken lost tragedy really nice tribute pier one place unique hoboken make city come check
2020-03-09,4,tl-dr one hoboken local retreat offer place morning run hang friend community event fish enjoy manhattan skyline fantastic picture stop area spend time waiting next nj transit train bus ferry path train overdue review yelp think stick around longer contribute much long break absence hoboken pier park one city many park one several lining hudson riverfront fairly easy get especially within mile square city short distance away hoboken terminal ferry port path station bike path lining river short distance away downtown area whole park slightly larger one hoboken city block definitely space everyone close hoboken transit hub wo n't run option get several nj transit train route path jsq-hob hob-33rd hob-wtc line several ferry going nyc local njtransit bus even local hudson bike share rental stop outside park offer spacious sprawling green field middle surrounded foot path gazebo east edge river tree late spring summer provide relief shade hot day since hour n't listed presumed park open 24 7 public exercise caution going late evening always pier park opinion maybe hoboken 2nd important park city sinatra park bit north best whereas park soccer field restaurant amphitheater pier almost minimum considered good park fortunately good enough local tourist visitor alike good place run family friend hang place photography see nyc skyline fish work even summer weather improves get people outside possibly event certain even bike opinion n't really see many bikers inside park since use dedicated bike path outside park winter spring see lot waterfowl goose seagull duck would around park premise grazing field rare see leaving grass keep mind step personally find going pier plenty time hoboken rather going sinatra park bit north sure would want park time le best place snap good photo even better dedicated camera relax get mingle local sometimes bide time waiting late nj transit train path train winter get grueling cold summer sometimes scorching hot place want raining lot gazebo n't help sometimes people aware want good view manhattan hoboken jersey city conclusion pier park fit typical city park vibe offer comfortable spacious environment relax fun close hudson river sure added feature would help stick great past year hope come back soon
2020-02-23,5,beautiful absolutely stunning especially night proposed ever park regret
2019-10-15,5,relaxing clean park get great skyline view downtown hoboken hanging downtown must stop
2019-06-26,5,best thing park cool fountain bench set around sweltering heat summer area around fountain nice cool
2018-11-21,5,aside freezing cold super fun park nice huge open grass space pleasant walking path beautiful tree plenty bench gondola end park several guy fishing bank got great shot tress changing color park also amazing view new york sky blue white fluffy cloud everything look like going alright bit wind tunnel day quite cold really great spot run exercise walk layout relax enjoy scenery
2018-07-04,5,beautiful park beautiful view enjoy skyline river scenery many people running laying easily catch ferry terminal step away
2018-07-03,5,love boardwalk pier walkway love able walk mile kid bay ocean breeze hitting u nice sunny day many walked frequented year moving back north last year one special born hoboken much kid beautiful sprawling walkway love numerous park separation excellent access kind food nearby along random street vendor perfect spot one greatest city view sit nice picnic lunch rendezvous well maintained still hint vagrancy cop usually top still pocket aggressive vagrant disturb peace rare day issue really opinion stem construction barge upcoming construction ongoing area kill ambiance noise pollution along diesel smell local usually good pet leaving behind little present need careful around edge walkway lesser responsible local end leaving behind pet waste overall beautiful park attaching larger pier walkway place recommend everyone come see
2018-05-01,5,pier park park hoboken great view manhattan one park along hudson river make good stroll along lot good place sit easy see manhattan hoboken park along river one closest hoboken terminal also lot green space hard find area majority park seem huddled along river hoboken walk along river easy get shop many place run sit
2017-11-05,4,view day stopped hoboken new jersey pier park one best view nyc skyline convenience hoboken across hudson river new york making prime location epic view big city visited weekday morning park visitor gazebo people congregate yet park plenty open space also conveniently located main business centre hoboken public transportation also open 24 hour visit night see city light overall nice park hoboken view worth checking
2017-10-21,5,came harvest festival completely family oriented parking n't great yet hoboken parking n't ever great find parking within 15 min looking sure long know experience great ca n't go farm brought farm free pumpkin picking free petting zoo free art craft free pony ride thing n't get horse hayride inflatable bounce sand art train ride line area moved rather quickly worker polite helpful safety good police officer site worker precautious great way bring positive atmosphere town people every town
2017-04-27,5,favorite place second reach grass best grass ever felt feel relaxed happy view amazing atmosphere like none miss terribly
2016-10-03,4,movie star great option exploring park though definitely open 24 hr like listing implies
2016-08-09,4,best place laying hot day watching movie outside big blow screen wednesday summer view amazing resident town 8 year still always mind blowing visiting hoboken head way edge picture friend jealous one thing wish fountain sprinkler system something get hot summer love place cool except leave
2016-08-09,5,frequently pier since little girl one best place relax fish hot summer day wish bathroom werent far away terminal
2016-07-14,5,summer concert park fitness park movie park yoga park happening right almost every week much fun get summer best part pier park right outside hoboken terminal walk get minute complete bliss sit bench watch world go bring blanket picnic gazing nyc skyline either way win-win
2016-07-10,5,morning noon night day anytime year one place never get bored rain shine park give exquisite view manhattan skyline rising hudson river much photography want enjoy riverfront park offer something everyone numerous restaurant washington street enjoy food take nice walk park tip prepared public restroom park riverfront visiting ny definitely plan half day visit hoboken place well connected ny hoboken terminal right corner park
2016-06-26,3,park along hudson sadly lived potential sitting sunday kiosk closed business wonder concession bathroom boathouse always closed good little beach area dirty closed
2016-03-11,4,instagram life probably best spot hoboken get selfie backdrop panorama manhattan plenty space spread still leaving enough room walker runner bikers loiterer etc thang
