date,rating,review
2021-05-22,4,like pier c little island cross bridge get lot smaller pier pier b offer slightly different still great view manhattan park seems better quick stroll around one may spend time sitting playground nice people kid also gate end way lock n't get looked seems corny also appealing look since close pier thus close hoboken terminal worth quick walk around see view smaller two park
2021-04-24,4,quite partner visited water front hoboken place seems pretty new kid playground center island grass section bench observation binoculars see manhattan surrounding area scenery still quite amazing whole panoramic view new york skyline situated midtown downtown manhattan want know position great place sit relax highly recommend
2021-01-06,5,love park beautiful view water nyc skyline pro tip boy perfect date-but-not-yet-a-serious-date spot favorite thing bring friend otherwise spot walk chat cool bev hand best conversation walking along something view put mind ease feel open usually go warmer weather today brutally cold water especially sundown beautiful nonetheless also child aesthetic af modern looking playground even adult appreciate really enjoy intentional design clearly thought every aspect park water bench landscaping structure housed honestly never get old lot pier walkway along edgewater hoboken jersey city one best forever secret spot bring certain people today share guess special p
2020-11-22,5,great park walking dog enjoying view nyc covid measure saw sign around park weekend read mask entry however n't people enforcing rule least oerspective however people generally maintained distance others n't feel worried situation facility besides pear river pier c park small playground island connected small bridge parent would probably love especially wanted bring kid around stroll environment environment around park relaxing definitely give residential vibe close park runner path lined tree seems popular local verdict park definitely worth visit especially looking get breath fresh air pandemic cheer
2020-07-29,5,pier c provided great area relax great weather hoboken enjoyed great view clean park
2019-07-15,5,came across area fourth july new area prefect place sit enjoy view city kid eat enjoy walk fresh breeze water peaceful quiet
2018-07-05,5,gorgeous little playground cute little island realize recently kid absolutely love ton police presence throughout area playground well tended food truck bar grille cafe nearby great spot family come allow kid enjoy time adult trade place every often grab food drink snack one food truck vendor need find yelp selling old school dipped ice cream cone absolutely fantastic made mistake one cone caught said ah worry mistake gave u extra cone tried pay would n't accept extra cone toddler happily accepted park wonderful food truck owner exceptional appropriately priced one truck amazing hotdog 2 still looking next neighborhood move still stuck deciding hoboken ny upper east side newport hoboken slowly edging simply amenity town available family date night ease access park icing top cake
2018-05-01,5,pier c park another park hoboken great view manhattan middle two park play area child also lot green space hard tell park apart hard see sign second park coming hoboken terminal kind blend frank sinatra park path park lot place sit several binoculars pier see manhattan view even better park hoboken need see probably best view manhattan new jersey side well even still great view
2016-11-28,5,love pier view nyc great never packed go weekend day get busier especially weather nice usually get solo picture front view space really easy navigate find also close many bar restaurant make great place take picture end start night
2016-09-16,5,really pretty easy path along hudson scenic view city lovely walk along definitely recommend break city
2016-07-25,5,nice place relax bit eat lunch sometimes look new york city skyline also hoboken skyline nearby newport exchange place skyline jersey city best n c new jersey plus watch people playing nearby soccer field nice place
2016-06-28,5,beautiful area great taking picture new york skyline plenty bench sitting taking break city
2016-06-26,5,place along river hoboken disappoint great place stroll run time day enjoyed walking dinner around 11pm beautiful view nyc skyline scary sketchy walk along plenty people enjoying beautiful summery night wish lived closer place every day love much def back
2016-05-10,4,literally come family walk every time come nj basically hangout spot perfect place hangout watch skyline nyc many restaurant around perfect view part clean place cute little park perfect romantic walk hangout friend partying hoboken
2016-04-17,5,nice place walk run relax normally went dinner sunday afternoon great view nyc skyline
2015-11-04,4,amazing park amazing view nyc love passing place run summer night clean well-designed space
2015-09-27,4,get great view midtown downtown manhattan along jersey city good place jog people watch view honestly better drive another 20 minute edgewater phenomenal especially view midtown manhattan
2015-09-19,5,location live hoboken view amazing park nice let kid play
2015-09-07,5,best view nyc location round new york beat gantry park brooklyn bridge view way midtown battery park
2015-08-22,4,really nice park clean great view city child play area small efficient never experienced child complain playground gripe guess would considered big kid side slide nice slide box stuff climb slide bit ridiculous mom super adventerous slide lovin toddler want go slide going tell wish alternate way getting slide like conventional stair otherwise slide steep fast fun
2015-07-11,5,great place walk dog get tan watch firework july 4th take stroll breathtaking view manhattan love
2015-07-02,5,absolutely obsessed pier surrounding park conveniently located near hoboken train station park stunning skyline view manhattan good eye see way george washington bridge park includes playground kiddy wonderful walkway lined bench path bike wonderful place spend time area
2015-06-17,5,great little area hoboken relax people watch lay simply hangout always pas weekly run always nice peaceful really romantic night view
2015-04-30,5,best park town view incredible multiple play area child wonderful great place relax picnic walk dog take kid
2015-02-15,4,park beautiful view new york city skyline although go small child would stay baby park structure might dangerous young child nice place jog stroll big grass area sit enjoy view would nice graffiti inside slide cleaned easier le harmful way go slide overall beautiful park nice place hang
2015-01-30,5,remember watching park built anticipation first owning much playground top notch seating river one romantic spot hoboken park n't 5 star 10 n't miss
2014-12-29,5,hand best effin park hoboken view amazing design clean simple nice walk around layout play kid walk dog except dog like mine 110lb great dane mix seems petrified wooden plank basically crawl belly around park used walk sad dark way kinda funny yea monster anywho great stop hoboken tourist local fun
2014-09-13,5,yay amazing park leaf deep deep impression nice spot witness skyline midtown manhattan iconic empire state building gorgeous night
2014-08-31,5,wow wow place beautiful boyfriend moved grove st area jc wanted explore nearby town already hoboken always night always drinking time decided check town sober eye soon got path saw beautiful sight gorgeous sky blue grass bright green tree everywhere serene lot people reading book tanning lawn play area little kid parent got enjoy beautiful view really perfect view city thing wish bar along pier great kick back beer admire surroundings
2014-07-31,5,amazing place 1 view breathtaking 2 light wonderful 3 location great 4 play area kid 5 grass green clean relax must visit hoboken
2014-07-13,5,incredible view city train terminal delightful park pier greenery n't huge great place picnic incredible view view new york unparalleled make great picture ambiance
2014-04-07,5,pier c one favorite pier nyc area got really interesting design plenty bench nice grass area perfect lounging large flat enough play sport playground kid much say pier great place relax nice summer day especially grab food many option washington st make afternoon picnic
2014-01-21,5,live step pier absolutely love day n't raining freezing walking around pier son one first place walked learned beautiful view nyc perfect watch sunrise lighting late night romantic walk
2013-10-15,4,good view nyc skyline west although prefer view side lovely area nice walk jog simply spend time get windy time
2013-10-08,5,recently completed restored sandy park basically pier fsd million dollar view playground look rather imaginative small lawn area relaxing public bathroom ton seating along walkway look cityscape make pier c standout great design michael van valkenburg associate wonderful building material used design naturalist modern different visual texture created landscaping material create organic environment modern design never overpowers great place detour run take stroll week night weekend much teaming people
2013-10-06,5,ah beautiful spot definitely must see location hobo view nyc skyline hudson river simply stunning magnifying scope getting closer look free lot place sit rest suggest get meal go enjoy taking view
2013-04-26,4,gorgeous sweeping west side view nyc please take advantage spot summertime popular many restaurant line pier inland people live view blessed ca n't even imagine like view sunset winning
