date,rating,review
2021-10-29,1,love food piki poke fresh healthy overall good bargain however experience simply unacceptable order grubhub delivery driver harasses threatens give tip money accuses tipping past despite completely unrecognizable nonsense choice delivery person control paying customer tipper love place business lost others delivery personal hostile like
2021-09-19,5,poke done pick take employee look like try work efficiently quickly possible get busy lunch dinner worth wait order done ipad make super easy also outdoor dining done variation two protein poke would definitely look menu ahead time get idea want many option add poke reasonable price fan kale noodle tuna salmon definitely wo n't leave hungry go sure hoboken poke
2021-09-12,5,tell owner absolutely obsessed delivering exceptional experience whether pickup delivery best poke including anywhere nyc
2021-09-09,5,finally found poke place hoboken good ton selection choose everything fresh built poke bf got yuzu salmon bowl loved different size choose mini reg large depends many protein want ahi tuna spicy tuna salmon fresh well went order ready 10 min everyone nice order n't missing anything ca n't wait go back highly recommend
2021-09-04,5,amazing restaurant everything good got mini chicken bowl quinoa cucumber carrot cilantro avocado wonton n't even need dressing flavor mini bowl perfect size everything absolutely delicious highly recommend
2021-09-02,4,stopped piki poke create custom one protein mini bowl perfect size light lunch would recommend larger two protein bowl substantial meal started spring mix salad base topped grilled eel incorporated three mix-ins organic kale added two crunchy item one lotus chip lastly got two sauce side ingredient fresh vibrant selection vast le creative time-strapped restaurant offered list chef-curated bowl well also sell acai bowl non-seafood eater lastly took meal to-go restaurant provided table inside outside alternative piki poke delicious affordable quick
2021-08-16,5,stopped daydreaming poke bowl since eaten two-protein bowl chose throw together salmon tuna avocado diced mango pickled ginger corn red cabbage sweet onion kale noodle topped spicy mayo eel sauce poke sauce every ingredient entirely delicious fresh literally wait eat exact dish also add two-protein bowl significantly bigger one-protein bowl paying bigger bowl addition one protein saw piki poke seems centered around to-go order sit-down dining plenty to-go order waiting inside popular place 100 ordering
2021-06-29,5,fresh ingredientslarge portion size great taste make healthy pretty low price
2021-06-13,5,hand best poke bowl ever tried life make bowl well detail
2021-06-10,5,love place fish topping always fresh order delivery come time right door truly contactless delivery people complain portion size idea im full small bowl one protein maybe people getting salad plan order soon
2021-06-08,4,ordered via grubhub order delivered late tried call restaurant check delivery status hung food good got 2 protein poke bowl tuna salmon large portion fairly cheap price likely return maybe pick restaurant dine
2021-05-01,4,boyfriend stopped order couple bowl miso soup go also ordered zucchini noodle side got custom large bowl go bag cute sticker ordered mine grilled eel salmon ahi tuna extra scallop mixed green base cabbage seaweed gf spicy mayo veggie double avocado love fresh mixed green bowl 25 bit expensive filling size nice would n't order eel coated kind sauce n't want said grilled eel menu selected n't know would sauce loved fresh avocado excellent presentation boyfriend bowl also nice size said miso better elsewhere would n't order zucchini noodle bland would n't order either sample four sauce side including aioli wasabi said delicious fav creamy wasabi sauce next visit get large custom bowl extra protein
2021-03-28,5,great poke bowl impressed covid precaution ordered ahead arrived easy contactless pickup system felt safe poke bowl tasty n't skimp portion
2021-03-26,5,come poke skeptical piki opened going several time afterwards piki became must ruined poke place choice freshness simple costumer service covid friendly way serving food give customer peace mind staff wearing mask glass minimize contact walk order tablet well making communication simplistic clear portion get full serve rather large amount bang buck regular piki poke
2021-03-10,5,go place hoboken poke great topping selection presentation amazing always build poke bowl worth every single time
2021-03-09,4,got poke bowl loved love kale spaghetti option base fish taste really fresh would definitely recommend
2021-03-08,5,trying find poke comparable hawaii place pretty good brown rice rly yummy fish always fresh really like rice ball favorite unagi also great job keeping clean covid-safe store
