date,rating,review
2021-10-25,4,delicious make salad sooo good kale fresh side additive fresh believe get 4 add ons included salad anything extra pay ordered:1 create salad 4 5 heavy caesar dressing base kale cucumber tomato chick pea cooked broccoli add avocado dried cranberry 2 max n cheese 4 5 3 spicy string bean 4 5 add salad delicious hot food option also look good many option quick hassle service fast food without fast quality food actually really good indoor outdoor seating option although sparse opinion complaint line confusing make line convenient line hot plate second line salad want order confusing customer
2021-10-19,1,place pretty dirty fly flying around salad area also one employee making salad accidentally spit salad bar asking wanted salad bowl yikes pretty grossed returning
2021-10-15,5,yummy great healthy option food super fresh give big portion everything packed seasoned well definitely recommend like dig
2021-10-11,2,great food great service came salad wanted add crunch chicken girl blonde hair extremely rude added scoop chicken overdid crunch asked nicely remove took huge chunk salad threw tossed salad landed table scooped salad bowl even table scooped n't say anything get gave salad came front whole conversation girl ringing snatched card asked receipt n't give walked away laughing terrible service
2021-09-30,2,ordering place ever since first opened love noticed portion keep getting smaller smaller get 4 small slice steak 16 bowl roast chicken 5 small slice without crispy skin like salmon way smaller side salad still good though
2021-09-01,5,great selection salad artisanal plate know food good thinking make taste bud jingle
2021-08-04,1,one favorite place eat order today last time ever got steak bowl rice piece steak undercooked bloody see white fat piece steak n't even chewable sorry serve even give customer without double checking one bite stomach hurt disappointing get people sick throw whole meal away lost since place already overpriced undercooked come unless like eat raw meat
2021-07-30,2,really excited try place hope would taste like similar spot called fresh kitchen fl unfortunately n't feel like flavor fresh may anticipated n't anything delicious cooked well feel need go back someone want go sure horrible wo n't go way unfortunately table inside outside maintained clean surprised
2021-07-24,2,ordered rosemary roasted chicken plate sauteed broccoli macaroni cheese food great chicken lacked flavor macaroni cheese dry cheesy broccoli little cooked liked lemon flavor
2021-07-01,3,definitely hoboken staple healthy food service little room improvement ordered tuesday lunch got roasted chicken delivered solid 2 slice chicken breast ordered dinner tonight decided switch get herb marinated steak got side rice steak found
2021-07-01,4,food well seasoned bit salty delicious portion size enough lunch dinner thing would suggest differently n't charge 0 10 bag carry pretty sure average transition close 15
2021-06-19,5,awesome high quality food chicken organic salmon sushi grade add topping took bowl salmon brussels fried carrot avocado kale tasty healthy
2021-06-07,5,food seasoned well tasty healthy food proportion pretty large mint lemonade good well wish price little lower would eat
2021-05-25,5,always order food always delicious healthy love sweet potato much get extra every time
2021-05-23,5,yes began eat proceeded take picture spot always good get chef plate steak time served sauteed broccoli half avacado healthy filling light walk-in set-up order breif
2021-05-18,5,n't typically right review service stood particular case walked run hoping apple pay since n't wallet one employee understanding instead apologizing letting walk offered comp meal exchange spreading word quality green kitchen could n't believe last thing would expected hear especially covid something said forgreat customer service tell everyone know story worth way meal personally think enough also went back next week bought another delicious meal paid comped one unfortunately ask name fault know greatly appreciated
2021-05-15,4,ordered umami crunch salad pick flexible let replace lot ingredient appreciated bit salty specifically chicken fresh dressing mixed well hit spot
2021-05-07,2,steak taste well smallest portion seen around bit 1 2 similar dish dig inn salad base get dig inn size chipotle bowl food comparable different style give idea size portion one star steak one star staff
2021-05-07,1,food taste alright place cheap paid 14 one bowl portion food way little like eating kid meal dig inn better term food taste portion healthiness n't make want go back
2021-04-13,3,solid healthy food delivery service lacking consistently forget drink order bummer call ask refund every time
2021-02-27,5,husband order lot food always really good really even remember happy difficult food consistently yet seem able deliver wow called restaurant say thank amazing food satma gracious really appreciate kindness happy voice end phone note salmon salmon eat unless prepare eat wild salmon crazy taste salmon time quality green salmon omg good thank quality green
2021-02-24,5,started bit frustrating situation ended rectified professionally handled much kindness way alyssa think name team handled confusion order perfect example great customer service food great people working tonight really made amazing impression
2021-01-06,4,decent spot salad healthy option taste ok customize additional item pretty much like dig innnot best price higher side portion size big enough fill one meal ordered ubereats nothing came soggy everything well packed attached promo code coupon order adding review feel free use
2020-12-21,5,one day want eat healthy ca n't bring cook thankfully quality green kitchen delivers fan dig inn love place actually like little better protein portion bigger give dressing side loved maple sriracha brussel sprout kale caesar side absolutely order bowl come two side ordered mac cheese side well share fiance agreed great plenty share complaint salmon little dry however added horseradish sauce much better definitely order know review mention quality inconsistency based experience fan
2020-12-11,5,ordered via uber eats food delicious hesitant upon ordering n't sure true quality food everything chicken maple sriracha brussel sprout whole bowl delicious perfect kick spice chicken delicious wellcooked dry mac cheesy goodness looking forward ordering soon picture give true justice
2020-12-06,4,recently given place another try seemed improved hope continue take necessary step ensure food quality
2020-12-03,3,got caesar salad bf got chicken brussel sprout sweet potato combo food good however giving 3 star ordered pickup 545 arrived 535 food cold sure food would tasted way better freshly made
2020-12-01,5,healthy wholesome sooo tasty new favorite spot shout kitchen delivery staff
2020-11-18,5,food amazing service match ordered salmon brussels sprout curry cauliflower friend ordered chicken brussels sprout sweet potato everything seriously tasty fresh tasting tell use fresh quality ingredient best delivery issue arrived 40 min late called restaurant everything power contact driver apparently n't use driver driver took many order anyway manager rich super nice another order sent immediately offered discount additional side super friendly highly recommend place
2020-11-10,4,giving quality green second chance appears previous review might one situation recently food quality pretty good portion size decent struggle sometimes finish one sitting good option want something healthy yet delicious friend feel way regular place would recommend
2020-11-10,5,ordered guy ton food amazing ever hiccup owner reach make sure taken care customer service good food highly recommend ordering make tremendous food care serve great aspect community
2020-11-07,5,get salad every day lunch complaint good selection fresh ingredient happy
2020-11-06,1,good food terrible service today wo n't coming back staff seem hate working n't even pretend customer around every time walk feel like interrupting conversation intruding space first second third time staff professional would back time talk openly dislike management want quit whilst ignoring customer passive aggressively serving food review ever written shame food good
2020-10-30,5,enjoyed meal number place hoboken like quality green kitchen diverse menu option particularly corporate catering used number time event even pickiest eater find something really enjoyed certainly n't think many restaurant catering client thinking lunch great spot
2020-10-17,1,value safety please order place first laura night time manager rude racist n't care customer food cold arrived daughter got sick convinced food poisoning place shut health department
2020-10-07,5,qgk like dig inn actually good unparalleled best ingredient staff friendly courteous fast delivery always best possible condition everything well frequently alternate order hard pick favorite everything good five star
2020-10-07,5,quality green fantastic experience food delicious customer service awesome highly recommend place anyone looking good fast casual spot hoboken
2020-09-10,5,alaways good always fresh tried numerous salad never disappointed got salmon dish delish like alot protein double order might enough leftover delivery weehawken usually around 50 minute non complaint
2020-09-09,1,loved salad ordered uber eats greatly disappointed one item ordered missing may problem uber eats end acceptable nail clipping top salad first bite nail mouth see photo nail color ordering
