date,rating,review
2021-11-01,5,fresh sushi atleast 30times never disappointed great portion good price highly recommend
2021-10-05,2,probably worst sushi ever seen tasted roll loose much could n't grab chopstick hand even one roll lobster tasted though lobster overcooked microwave service even worse server never took drink order gave u water never bothered check everything neither asked wanted anything else definitely going back
2021-09-19,2,really bad delivery rock shrimp inedible slop dumpling cooked sushi seemed old dry pretty gross wo n't eat
2021-09-13,5,highly recommend sushi place family fan place coming since forever 8 year nothing change taste fresh unique always james wow thousand start know like never say u best always recommend place friend family reallll best sushi ever thousand start robongi hoboken
2021-07-26,4,lunch special review lunch special great deal 3 roll choose soup salad salad huge simple salad asian ginger dressing complaint full baby carrot chop em get 3 basic roll nice rice cooked well fish tasted fine believe boston roll spicy tuna salmon 15 meal steal good service sat outside p byob
2021-07-15,2,place used great would go every month since covid food two week ago 2 3 u got sick next day sushi tasted bland service pleasant highly recommend ayame alternative
2021-07-07,3,came lunch break little disappointed gotten take always great dine decided give try sushi oddly warm even sushi normally cold tempura stale feel taste overall great experience
2021-06-08,1,placed order boston roll spider roll tempura roll flavorless poorly made waste money favor
2021-06-06,3,food amazing every single thing ordered delicious service though omg waiter seemed angry hurry literally threw menu table left came back 5 minute later expecting u order ready ordered appetizer served napkins-forks table asked could bring brought 3 party 5 brought 3 napkin crumpled ask rest u also never offered u drink bring bottle restaurant served u glass water never mentioned soda service worst experienced hoboken n't think ever back
2021-04-03,1,vegetarian never order place good customer service asked avocado peanut roll gave eel avocado tried reason n't give time choose kept cutting call called back waste money time
2021-03-22,3,robongi dinner time past weekend first time since covid-19 started nice thing take reservation call made reservation 7:30 friday hour advance wait arrived previously robongi used blast edm music weekend night rush throughout meal constantly checking ready order case time actually took long time someone came take order decided start wasabi shumai edamame wasabi shumai yummy great way clear sinus spice roll ordered 3 special roll mayflower sex beach bikini unfortunately roll came minute starter would n't ordered edamame known everything nearly coming 3 roll sex beach favorite mayflower roll mess eat every piece fell apart waiter blamed scallop wet soy paper would order roll overall meal fine nice rushed change
2021-03-15,5,great experience dinner love byob sushi roll great large portion goyza seaweed salad house salad enjoyed dinning experience busy take well definitely returning
2021-03-03,5,love place fresh sushi ordering robongi 6 7 year never messed order always delivered time fish always taste fresh pregnant happy make alternation certain roll sometimes may stray always come back robongi
2021-03-02,5,love robongi server always sweet price ok fish fresh easy staying hotel near want fresh air sit outside water hidden gem
2021-02-23,2,tofu soggy n't crispness supposed kind california roll n't cucumber
2021-02-18,5,spicy scallop roll best sushi roll ever ordered like big piece fresh scallop love yummmmmmmm
2021-01-25,5,great service despite covid 19 sat outside enjoyed sashimi two roll black yellowtail incredible boyfriend came time service always great quick love fresh fish option back price point
2020-12-22,5,one go-to lunch place hoboken bento box lunch great eleven buck one get protein rice 3 gyoza 3 piece sushi salad today ordered delivery covid messed everything liked go usually sat outside miso soup included three year old brandin loved soup told tofu cheese love service always top notch friendly delivery fine good good ever great favorite ca n't wait next summer sit sunshine eat great lunch
2020-11-11,4,ordered sushi boyfriend lot avocado one tuna avocado salmon avocado got shrimp tempura spicy tuna spider roll robongi roll usually weird ordering sushi want make sure popular place high turnover le chance old sushi sushi tasted fresh overall satisfying place love try perhaps covid robongi place go want good sushi good price
2020-10-09,1,terrible customer service one male waiter super rude business
