date,rating,review
2021-10-12,5,absolutely love place moved far order delivery everytime hoboken stop amazing food great staff wish could give 10 star
2021-09-14,1,guy rude first say secondly nothing ordered amazing basic impressed everyone call business guy answering phone always talk like bothering never even ask anything done food like cheese home fry well done disappointed wo n't going back
2021-08-04,5,delicious pasta vodka take special perfect never actual restaurant avid online ordered
2021-06-18,5,love love love place usually go-to takeout place whenever ca n't decide dinner lunch quick easy everything great good sandwich panini convenient walk pickup hidden gem washington seen people eating outside occasionally bottle wine
2021-06-07,5,first time dining gigi since covid boy miss service amazing got food quickly ordered sandwich saw instagram consisted eggplant mozzarella sun-dried tomato eggplant bomb thank gigis
2021-06-07,1,absolutely worst food mediocre best service hot garbage multiple time went pick uber order n't ready rude staff asks order number show app huddle tell order never came suddenly print order ticket tell wait ask cancel ca n't wait get really rude give place negative star could never food actually really good could possibly overlook service even michelin restarurant would n't expect treated like pure trash
2021-05-02,5,staff 10 10food-10 10everyone best work breakfast lunch dinner good huge portion caesar salad amazing salmon two side etc egg cheese also amazing dying try banana bread pudding
2021-04-24,5,tried lunch sandwich great pork brie favorite quick high quality food
2021-04-11,5,daughter first birthday party family catered rosticeria da gigi disappoint food delicious packed perfectly sandwich tray enormous good family loved food
2021-04-08,5,roast pork apple butter sandwich self-explanatory scrolling uber originally thinking overdue vegetable-only night saw item maybe tomorrow trust rosticeria da gigi even lower calorie bracket based fine repeat performance broccoli rabe
2021-04-05,4,chicken parm tasty portion size quite generous chicken breast fresh well-seasoned topped chewy layer cheese right amount marinara sauce chicken penne pasta breading pasta little mushy liked likely unavoidable ordering delivery standard everything really good
2021-03-30,5,amazing food great place lunch dinner simple clean quality food fresh catering party would go place keep good work
2021-03-28,4,place order uber eats always seem deal going bogo price reasonable food good portion okay usually get orange juice blueberry muffin type breakfast sandwich sandwich week
2021-03-06,4,get simple food spot nothing fancy quality food definitely many healthy option love option side dish also love broiled salmon roast chicken chickpea salad side favorite
2021-02-02,5,one favorite hoboken louie bomb guy make anything want even menu delicious great portion girl great friendly attentive highly recommend hearty good food thank guy
2021-01-08,4,rainy saturday night looking something quick takeout spot thankfully minute left open problem placing order despite plethora option kept simple chicken cutlet mozzarella sun dried tomato sandwich 11 food come within five minute massive hero aforementioned ingredient layered together leafy green overall sandwich hearty flavor come well cheese fresh tomato nice add-on chicken could thicker bread almost stale otherwise solid meal quick takeout place considering option would make another stop-by town
2020-11-22,5,ordered delivery well priced delicious home style food glad read place local facebook group ordered chicken parm meatball veal everything delicious generous portion definitely adding place rotation
2020-10-18,4,casual breakfast brunch food place open late friendly staff tasty eats sausage omelette home style potato perfectly satisfying buttermilk pancake gained local fame best area indoor outdoor dining available covid front end street parking enjoy
2020-10-10,3,guess matter opinion worst sausage could use breakfast sandwich barely n't matter took otherwise decent delivery fast food still hot bonus
2020-10-03,4,normally leave review one visit however place rocked turkey sandwich homemade mozzarella amazing sandwich guy superb wife one fish special seating limited service impeccable establishment care homeless offer great food back
2020-09-28,4,though ordered breakfast delivery rosticeria da gigi several year ago reengaged restaurant recently stopped lunch walking around town found perfect spot casual cafe warm inviting small dining area set-up sidewalk boyfriend started meal bowl chicken noodle soup contained strand spaghetti chunk white meat chicken fresh carrot found deliciously homemade tad salty followed course hamburger french fry fry well-seasoned could crispier enjoyed burger looked much substantial high quality would expected cute neighborhood cafe ordered daily special greek salad fancier version original one regular menu enhanced salad came ton topping like grilled seasoned chicken chickpea olive feta cheese tomato roasted red pepper since someone love topping salad much lettuce perfect however later realized supposed avocado included left dressing believe green goddess tangy delicious rosticeria da gigi delighted excellent food definitely offer standard coffeeshop neighbor luncheonette
2020-09-26,5,n't many place give 5 star sitting enjoying great lunch saw something got teary eyed watching waitress get burger coffee homeless man inviting sit enjoy meal one best thing seen long year chaos division sad news restaurant staff truly remarkable people hope survive pandemic bow server showed compassion taught lesson today everyone matter thank
2020-09-22,5,everything menu great eggplant sandwich fresh mutz arugula roasted red pepper pesto goat sandwich
2020-09-05,2,ordered breakfast place find messed order getting refund messed giving u sandwich wrong bread syrup hair food pretty average overall little disappointing
2020-08-22,5,got delivery tonight rice ball chicken parm hero garlic mashed potato broccoli rabe everything delicious fresh order also came record time definitely ordering
2020-07-08,1,first time trying place based positive review yelp unfortunately sorely disappointing experience since first time trying asked menu item popular amongst hot plate cold sandwich told roasted chicken two side chicken cutlet sandwich went ahead ordered two two issue 1 took quite time item ready waited good 20-25 minute mind go order delivery 2 roasted chicken chicken cutlet sandwich bone dry chicken n't seem fresh maybe made day ago reheated lead wonder took long prepare first place honestly chicken left desert five day would juicier one really wanted like place given review maybe happened go day extremely disappointed likely returning based experience another yelper described place hit miss clear miss
2020-07-07,5,place rated food freakin good authentic home style italian american type food honestly revamped menu decor look like cutesy little bistro would cleannnnn upppppp
2020-06-03,5,gigi best good dining byob take delivery seriously skimp portion quality everything delicious always cooked perfection eggplant parm best hoboken hand
2020-05-19,3,3 5 star got leg lamb entree polenta rice ball rice ball really good polenta good lamb extremely underwhelming expecting sliced lamb got something looked tasted like deli meat also got cannoli dessert def highlight meal
2020-02-21,5,one best italian sub ever ingredient fresh give large portion food fair price
2020-02-14,5,always great spot pickup quick sandwich great price highly recommend italian tuna fresh mozzarella
2020-01-23,4,hit miss place pasta great also bacon egg cheese sandwich bad considering many amazing bagel breakfast spot around kill breakfast sandwich game place pas also prosciutto sandwich almost edible prosciutto firm could n't chew however roommate went next day got sandwich said great meat nearly tough mine
2019-11-23,5,staff super friendly take ready like 10 minute got chicken cutlet sandwich fresh mozzarella highly recommend
2019-11-17,4,fyi never restaurant ordered delivery cheap filling delivers late hour night portion size excellent food n't blow mind definitely satisfies whatever craving cannolis delicious recommend getting roast beef leg lamb though
2019-10-30,2,got uber eats sat night everything utterly bland except chicken parm obviously anything cheese going flavor even sweet potato sweet n't like consistency either mushier mashed sweet potato ever least give good portion cost
2019-09-25,1,ordered 2 hamburger w fry came w topping small burger 2 huge bun literally 7 french fry always pleasant experience called arella answered first said sorry send new order called back said ca n't anything send lettuce tomato joke
2019-09-24,4,ordered delivery tonight delivery fast everything packed neatly order correct ordered iced coffee cappuccino pappardelle chicken alfredo sauce chicken cobb salad great portion size price alfredo good chicken sliced thin reminding chinese food chicken mushroom alfredo everything cooked perfectly pappardelle pasta filling soo worth alfredo little watery side flavor fine n't happy find broccoli piece pasta ca n't eat broccoli right picked pasta cappuccino arrived hot cappuccino tasty acidic liking would n't get order thing though yummm
