date,rating,review
2021-10-31,5,saku become second home right across street walk anywhere dinner hand best sushi hoboken best service restaurant bar hoboken karina jlo best make u feel like family whenever visit lychee martini fresh fish surrounded best people favorite restaurant hoboken
2021-10-29,5,want say karina host saved night reason ate dinner last night food amazing staff attentive 100 going back hope see karina every time
2021-10-22,5,wonderful atmosphere perfect date night service excellent food amazing fresh seafood ingredient special shout-out server karina wonderful service
2021-10-20,5,absolutely love saku always amazing meal atmosphere perfect cocktail great honestly best sushi town along great atmosphere cocktail never find regular sushi place love speciality roll sometimes change well make u try new one crispy rice gyoza always favorite apps always love recommending saku
2021-10-15,4,good sushi good drink japanese roulette roll lot fun try 2 8 roll hot pepper 4 5 star tried tuna appetizer tasted like canned tuna otherwise good experience
2021-10-14,5,amazing food great ambiance awesome andre fabulous waiter friendly attentive back
2021-10-12,3,sushi alittle gimmicky caters younger vibe restaurant beautifully decorated cute place date however place flavor flavor flavor bit much started garlic edamame good heat edamame cooked liking shared three roll drop like hot favorite spicy tuna salmon fresh jalapeno drunk crunch roll also good lot fish itsaku sweet mango drizzle fan gave little wasabi ginger like tiniest amount ask extra overall fine would like explore elsewhere coming back cute restaurant though
2021-10-10,1,came extremely high hope given positive feedback sorely disappointed start experience husband walked early friday evening little 5:00 pm hopeful would go-to sushi spot given proximity place requested outdoor seat one party seated otherwise entirely empty outdoor area checking hostess asked reservation doubtful undertone sounding could seat u without one upon informing hostess peeked outside empty table staring back whispered offered seat u warning would time limit given later reservation message understandable tone undeniably unwelcoming acquiesced seated swiftly waiter little stuffy continued theme not-too-welcoming yet attentive enough ordered highly-raved shrimp gyoza pan fried several roll sushi gyoza came looked delicious took bite raw shrimp dumpling skin hot practically burnt bottom inside totally cold shrimp filling clearly still translucent grey cooked-orange chopped raw shrimp mixed green onion promptly sent back apologized sent u another plate time inside cooked could preferred another minute bottom quite burnt indicates whoever cooking back steam gyoza long enough turning heat allow bottom overcook tried least edible sushi followed beautifully presented flower fishy taste could finish order especially raw gyoza experience feeling concerned food safety kitchen night going go luckily ended ok raw incident high price stuffiness service left reason return unfortunately even though practically downstairs u positive lovely presentation aesthetic pretty arrangement plateware fresh flower b creative menu authentic fusion smartly caters hoboken demographic clear menu concept visual presentation thoughtfully curated tragically however execution quality lacking especially unforgiving talking sushi
2021-10-02,5,always make reservation wait long walk great selection hot cold apps would highly recommend yellowtail jalapeno cold app shishito pepper hot app gluten free friendly modify menu item also gluten free soy sauce
2021-10-01,3,craving best sushi hoboken yelp led place ordered take-out thought menu looked great ordered two roll chicken fried rice whopping 45 expected roll great average price lacked taste fried rice ok 15 dollar expected sticking domodomo sushi
2021-09-30,2,food way overpriced best sushi also brought drink 18 expensive one ordered told one ordered charged
2021-09-21,3,ok best couple time wish better tbh food never really tasty hot food ok overall experience u ok would say
2021-09-14,5,best service ever staff always attentive best lobster egg-rolls hoboken
2021-09-01,4,quality sushi good drink great date night spot sushi always fresh interesting atmosphere super cute service great
2021-08-26,1,answered phone called earlier place highly recommended keep empty table hour reservation guise make reservation n't answer phone admit internet problem hate miss food sound good n't seem want business
