date,rating,review
2021-10-02,1,place ok bowl 0 consistency bought small large small weighed might well one size instead charging people nothing reason large slightly heavier added topping home disappointment every time order exact order bowl different need find consistent acai spot sure
2021-09-01,4,big island acai bowl really yummy little pricier end though self-order option make easy quick pickup
2021-08-27,1,ordered via uber eats placed order 710pm told delivery would made 750pm food showed 830pm missing bowl called store manager laughed said remember putting bowl bag excuse also knew exactly bowl missing ordered 2 sure could placed bowl bag finally said guess refund missing bowl yeah great considering never received absolutely horrific experience made worse manager spoke absolutely never order place
2021-08-09,5,n't get go shaka often live jersey city n't get hoboken often like remember waiting outside day shaka bowl opened back monroe st even offered delivery remember kiersten saying would n't offer delivery figured way ensure delivery process would n't impact wonderful quality food convert ever since quality ingredient care item made amazing flavor reason able open location washington st bomb duh pleasure trying avocado egg roll wow perfectly crispy outside creamy inside perfectly salted served heavenly dipping sauce obviously needed get poke bowl well layered super fresh green zucchini noodle topped load fresh ahi tuna load yummy fresh topping amazing house spicy shaka sauce hawaiian ponzu first bite audibly said oh god truly delicious fresh best contrast texture literally everything could possibly ask 5 hour ago stop thinking yummy love girl power owned business another win jersey girl love
2021-07-30,4,pretty good acai bowl par get back home nugget local supermarket chain really set apart unique topping vibe decor really nice staff excellent
2021-07-28,3,shaka bowl offer nice space inside outside especially like outdoor seating however sad food really fell short expectation got rock shrimp taco spicy salmon poke bowl along two smoothy let start shrimp taco shrimp cooked extremely rubbery difficult eat shrimp cooked better taco potential taste good poke bowl firstly let call bland salmon poke bowl since taste spice whatsoever either someone forgot add dressing bowl taste bland secondly entire bowl rice got 8 small cube salmon top counted smoothy bad 3 star ambience smoothy food plain old disappointing
2021-07-22,4,rock shrimp taco really good like 4-6 shrimp per taco lot super good thai chilli flavor fresh mango
2021-07-15,5,holy shaka spot delicious love poke bowl fresh ingredient good vibe supply fish fresh food prepared spot service accommodating fiance summer lava poke special loved every bit made poke bowl ahi tuna edamame green pickled onion etc every portion bowl delicious also shared lava rock shrimp taco bomb shrimp meaty perfectly battered sauce mango slaw absurd next time getting order finished meal lattes got turtle bay got shaka latte big coffee espresso people yum definite recommendation whether grabbing to-go eating shaka bowl great choice ca n't wait go back
2021-07-10,4,tostada delicious awesome put tostada life-changing thing little disappointed especially hype place lazy staff girl sitting one table phone hand girl cash register half asleep gentleman stepped nice come food place excellent fresh
2021-05-22,4,spot neat met friend taco poke bowl regret love ambient neatness food bit spicy n't care inhaled poke bowl couple taco complaint n't enough dessert try also ordered pina colada smoothie tropical sure n't much taste sour little coconut flavor wish n't drink could spend money buy taco good spot
2021-05-18,4,great atmosphere nice place lava rock shrimp taco really good well chicken tiki taco caulipua taco hand bland almost sour hence 4 presentation food really great wow taco loaded top see photo also amazed fast got prepared overall good place come grab healthy grub would go back lava rock shrimp taco
2021-03-29,5,fiancee love place food amazing feel great eating also keep full long time really love variety bowl available im especially addicted coconut granola always add fun get try something new time add different bowl fiancee love breakfast bowl buffalo sauce like split matcha shake keep u awake throughout day delivery always point relieved healthy delicious option thanks
