date,rating,review
2021-10-05,5,love place good healthy meal staff always friendly ingredient always fresh order always prepared quickly could never go wrong ordering
2021-09-10,1,wish could give good review place watching girl make food touching phone texting touching raw food ca n't even covid stuff dealt right
2021-06-08,4,quality food smoothy acai bowl complaint extremely priced 9 tax smoothie go smoothie hilo also like banananutty acai bowl
2021-05-22,4,excited try place hawaiian food common area location one block 9th st light rail station convenient whoever take light rail work first menu option fantastic many different thing type diet appreciate multiple vegan option well ordered jackfruit taco trio first great job food delicious also light fresh point noticed cutlery takeout item eco friendly usual plastic love saving planet initiative also noticed many healthy option plus located right next gym post gym poke anyone also think pricing reasonable well n't biggest fan bbq jackfruit taco meal pretty good overall looking forward going back trying thing menu
2021-04-22,4,spot tucked away monroe center food definitely speaks liked poke bowl whole bunch topping wo n't bore got rvery topping fresh important always prefer topping crunchy like wonton chip crispy onion edamame sauce also worked wish put sauce wife got chicken bowl since pregnant ca n't eat raw fish n't biggest fan would stick poke solid choice poke bowl seemed really taken last year place right check
2021-02-08,4,yum yum yum shaka bowl awesome whoever said ca n't eat healthy yummy grub time never tried place chronically addicted winter special sesame chicken taco lava rock shrimp taco spicy salmon poke bowl rock sock biggest fan acai pitaya oatmeal yogurt find rather sweeter like everything else especially taco damn good
2020-07-13,2,poke fanatic pretty much love poke anywhere pretty disappointed got bowl shaka bowl 12 dollar smallest size without additional costly topping bowl half size bowl poke place price fish taste fresh could n't bring finish bowl fearing could get sick hoboken place beautiful worker really great friendly
2020-06-22,5,smoothy awesome staff always really nice used work upstairs building would occasionally stop right opening never problem serving always really helpful answering question definitely asked lot usually cute sticker grab
2020-03-14,5,cute place nestled neighborhood business many dwelling plenty seating cool vibe personally love acai pitaya bowl addicted banana chic chip protein ball want try thing usually n't get past item n't smoothie twice good got choc chip cooky good wish nutrition information available asked n't gotten reply
2020-03-10,4,recently replied email owner shaka bowl response got original review former business partner replied almost immediately let know initial issue addressed person longer company happy give another chance believe supporting local hoboken business big supporter sb really grateful get reply gotten first place thanks kg
2020-03-05,2,picked two bowl taco unfortunately pork cold guacamole brown rotten staff nice friendly unfortunately management invest quality ingredient favor walk right
2020-02-16,5,best poke spot hoboken poke bowl always fresh filling delicious also tried acai bowl smoothy avocado toast fantastic service always quick love table outside summer
2019-11-05,5,excellent food choice second time consistently yummy healthy eating small chicken shaka bowl lot add in walked lunch crowd order online extra bowl bring home husband love decor
2019-09-29,4,trying find good poke bowl around area came across place prayer answered definitely recommend look small size poke bowl n't going enough decided go large could n't even finish small enough eat n't feel overstuffed gross eating bowl made happy large allowed unlimited side awesome get small limited 5 even right amount thing say need little flavor got teriyaki sauce seemed much like soy sauce regardless place good
2019-09-20,5,yooooo place make best acai bowl area delicious smoothy hilo favorite top-notch cold brew peanut-buttery nutella banana toast imaginable time parent come visit brunch spot choice
2019-09-16,1,high expectation place based review sadly enjoy food service staff friendly helpful explaining go bowl bowl got dry lacking flavor seemed used regular white rice instead sticky rice weird poke bowl place add ponzu make edible ugh definitely going back place even mean trek washington poke
2019-07-18,5,great food friendly people came corporate event food delicious restaurant great atmosphere would highly recommend
2019-07-02,5,amazing additional hoboken food scene utterly obsessed vegan funfetti cookie im far vegan poke bowl always fresh amazing salmon peanut bowl favorite havent lot smoothy arent thing ive sip also amazing def recommend going u want healthy filling meal snack bowl come two size convenient want small dinner
2019-05-31,5,friendly enthusiastic service every time visit go aloha smoothie salmon always incredibly fresh little sister obsessed pitaya bowl load nutella recently tried sweetberry jersey city compare finally got try funfetti vegan cooky might obsessed
2019-05-06,3,still expensive place get poke hoboken 14 bowl expect huge serving size great selection tasty mix-ins unfortunately bowl small mix-in list charge avocado guacamole seaweed salad hoboken poke restaurant offer free last two time ordered substitution made ran ingredient last time went completely forgot include protein 30 price n't even include well green also usually skimp sauce overall mood poke n't willing walk washington street place terrible choice
2019-05-04,5,really dig place ambiance self service course food really hip nonsense bowl joint get spicy tuna bowl full size pure heaven quite big like fact tv self serve hot sauce area one quick go-to place lunch
2019-04-28,5,shaka bowl quickly become one favorite spot hoboken thing upset n't around lived hoboken smoothy baked good wow delicious favorite smoothie hilo smoothie sweet love anything peanut butter really stand vegan funfetti chocolate chip cooky ca n't express delicious usually vegan cookie tell always fresh satisfy anyone sweet craving area looking something healthy fresh place variety extends well beyond smoothy smoothie bowl
2019-04-18,5,place great located main floor e building monroe center indoor seating would say 16 seat weather warms outdoor seating well quite enjoyable review actual location poke bowl thing buy offer two size option snack size limit 5 mixins including base protein also regular size give free range whole menu many mixins heart desire place first opened portion amazing started changing container felt like cheated back better sized container leave feeling satisfied worth money spent favorite poke build version truly customize bowl favorite flavor unsure however several predetermined choice equally delicious place great healthy lunch snack atmosphere chill islandeque give try wont disappointed
2019-04-03,5,went grab something munch boyfriend yesterday loved food especially excited pulled pork taco sure visit near future
2019-03-25,1,maybe stick bowl really craving taco thoroughly disappointing bottom fall three cold chicken completely bland could n't even eat fork
2019-03-14,3,food ok bit mushy expected freshness department pricey get step guy maybe visit fresh coast newark see done better sayin
2019-03-13,4,great quick stop light lunch stopped made bowl chicken 24oz bowl mixed salad zoodle base lot topping could add many like garlic lemon dressing also add nice amount chicken exactly wanted something delicious filling heavy
2019-02-24,5,place go poke hoboken end story smoothy awesome buffalo shrimp taco changed life
2019-02-19,3,3 star soley oatmeal soooo excited try oatmeal bowl went first thing morning 8am right opened waiting 15mins finally got bowl disappointed anticipating warm spoon full oatmeal surprise oatmeal cold maybe thought oatmeal meant nice warm breakfast n't happy outcome
2019-01-26,5,happy fine place right near studio client love shake yogurt parfait
2019-01-07,5,absolutely best food good many good combination small store front good takeaway well
2019-01-02,5,ugh love shaka much listen customer keep innovating making sure basic covered food high quality delicious best acai poke spot hoboken hand
2018-12-26,4,craving fruit bowl shaka bowl came rescue ordered usual bowl get place acai mango pineapple banana granola honey coconut good quite filling large serving friend ordered poke bowl full filling flavorful good return hard time deciding want fruit bowl poke complaint came small hot coffee staff clearly forgot ordered finally came inquiry coffee lukewarm told temperature issue said put cream per request still n't dropped temperature coffee much girl behind counter made le cream last time fine seating inside totally see place getting packed warmer month
2018-12-20,5,excellent place nice atmosphere really enjoyed poke bowl fish ingredient super fresh definitely back
2018-11-20,5,first trip shaka bowl n't disappoint butternut squash good could ordered another boyfriend chicken poke really good size fresh tasty loved menu look great ca n't wait head back asap try super impressed also get apple cinnamon oat muffin still dreaming
2018-11-09,3,come shaka bowl since beginning sad say business used come love acai bowl portion way le granola changed great tasting acai bowl spot used ill keep simple would n't come excepting delicious acai bowl especially price like 10 bit great bowl used come religiously anymore guy something win back customer know plenty people expressed concern place
2018-10-05,3,loved coming first began acai bowl amazing literally place use get idk fact recipe change way made n't taste anymore however staff always nice friendly
2018-09-26,2,really disappointed direction shaka bowl gone guess around year since last changed structure menu understand business perspective quality acai bowl quality food came acai bowl delicious smooth creamy texture also served wide bowl could mix topping acai transitioned gross ice mixture used shop hoboken like eating 25 freeze pop except freeze pop cost 10 served narrow bowl time get gross ice mixture eaten topping transition snow cone ice-pop worst sherbet life responsible reduction 5 2 star structure menu different size bowl charge extra premium topping understand move hard feeling since mentioned nice get unlimited topping last review thought update
2018-09-24,4,first time poke bowl last jan went back soon another one delicious came back around neighborhood ortho appointment stop going another bowl saw shrimp tiki taco went disappointed shrimp cabbage sweet pineapple tasty
2018-08-13,5,best poke bowl ever everything shaka bowl already fresh store delight walk poke bowl pre made menu delish always like make really taste freshness fruit fish put poke writing post thinking make crave one right
2018-08-09,4,definitely impressed decor place immediately greeted staff behind counter although n't get try food ate daughter wanted smoothie ordered happy hawaiian kid hand two minute fast delicious perfect blend fruit definitely come back try poke bowl acai bowl saw people poke bowl walking looked yummy
2018-08-04,4,love place recently saw employee playing possibly employee dog washing hand prior returning work
2018-07-18,5,delicious many choice create poke bowl lot topping sauce everything tasted super fresh new side great addition menu acai bowl huge great topping recently checked new location really liked ambiance decor used live pahoa big island shaka bowl comfort spot hoboken make feel like back big island service staff wonderful well kind friendly highly recommend check place go spot quick tasteful meal p kombucha tap die
2018-07-14,4,giving shaka bowl 4 star various reason n't good plenty topping bowl reason giving 4 star missing topping bowl mind n't busy time went also fan container harder get even proportion rice topping meat utensil also although good chicken option etc get ahi tuna seafood option guess got spoiled poke spot plan going back try acai bowl well see
2018-07-12,4,clean fast healthy eating shaka bowl one many spot around hoboken jc serving poke acai smoothie combo tried smoothy always fresh filling delicious recent trip ordered first wave mix coconut milk cold brew banana cocoa coconut super interesting way different traditional green fruit smoothie plus gave jolt energy thanks cold brew big fish person really like several poke option different protein order bowl chicken tofu shrimp steak pulled pork guess make le poke healthy bowl whatever really next time return definitely trying always long line surprising looking forward returning
2018-07-05,2,good review made seem expecting flavorful bowl instead acai watery fruit seemed canned gotten exact bowl elsewhere tasted 10x better shaka bowl hopefully poke better
2018-07-04,1,love acai bowl huge fan acai ya later washington st live 8th madison extremely excited discovered place 100 foot doorstep however going back continue make drive across town washington st acai ya later use fresh fruit acai mix watery take granola coconut flake nutella expected thing ruin bowl shaka bowl fact n't use fresh fruit canned pineapple chunk really ruin please love god use fresh fruit come back simply convenience location
