date,rating,review
2021-05-01,3,okay good price wide selection staff manager become obnoxious unprofessional close closing time like turn stone everyone n't 10 sharp hour yelp google wrong putting day crowded never n't large crate thing blocking aisle n't big problem customer service
2021-02-06,1,shopped decade gone hill slowly past year finally hit rock bottom never go back probably half employee year ago store wreck people ahead self check water belt used paper towel clean like heck one woman manning fifteen self check out yeah right left reusable bag car ok fault bought four paper bag paper bag literally see though would n't hold couple item ripping bother selling prodding useless old brown bag fine cutting cost corporate make money screw customer shopping cart wheel locked parking lot literally one working outside help left full cart entrance walking car end lot get car hope nobody took bag embarrassing taken jerk like throw food floor laugh scramble pick garbage offering u never going back store never ever
2021-01-29,5,hoboken shop rite excellent supermarket shopping consistently well stocked even popular on-sale item staff efficient helpful top bottom difficult time setting on-line shopping delivery account recently corporate website particularly user-friendly hoboken staff patiently helped middle busy day store clean well lit easy navigate produce meat dairy department product generally fresh bountiful organic specialty selection expanding time regret reduction cashier expansion self check hope n't continueand last least price sale great thanks sheilah scully
2020-12-19,4,shoprite pretty good busy sunday ordered birthday cake excellent usually n't run stock help self check good walk jc height exercise also
2020-07-06,1,hoboken shop rite part helping spread virus grocer enforcing mask rule distancing trader joes shop rite let employee flout rule seen employee especially stocking clerk mask around neck brushing within foot shopper caring shameful
2020-05-17,1,nothing like using pandemic ur employee treat customer like sh tb price gougec waste people time garbage online delivery lie sorry mean service offer cheaper product price previous higher quality product e bring back plastic bag kill nature
2020-05-11,3,used frequent location often hub lived height n't back year shoprite jc get super overcrowded acme really understocked needed really big food shop figured worth shot stop large parking lot always plus market n't crowded begin n't much need worry crowd control far le crowded shoprite jc unfortunately parking le crowd redeeming quality main two reason shop pick meat produce department incredibly understocked lackluster produce department picked barely selection lot produce looked okay packaging rotted two day later including strawberry cucumber pineapple meat n't picked selection n't shoprite jc also two product minimum chicken totally understandable sign near chicken wish sign known check-out would course corrected picked item place plastic bag ban bag extra ten cent also totally understandable case every supermarket hoboken jc however supermarket given thick sturdy reusable plastic bag gave u teeny tiny paper bag barely able hold grocery ripped car ride home unfortunately wo n't returning location
2020-04-25,5,want say thank incredible kind caring hard working employee shoprite kevin assistant grocery manager go beyond customer making u aware product availabilty know challenging time especially employee countless time customer asks looking empty shelf stock whatever item search kevin went beyond checking stock back truck coming see cleaning item looking avaialble appreciated positive energy kevin excellent example customer service kindness really especially difficult stressful time safe everyone
2020-03-30,1,coronavirus bakery alert bakery department today senior hour worker wrapping fresh bakery item glove mask work talking laughing food rubbing eye touching face horrifyingly dangerousness
2020-02-11,1,come shoprite often work area variety organic product like since trying eat healthier one product organic milk bottled glass container love milk natural even though bottle hard carry around great product milk go name oberweis purchase milk since bottled glass container get 2 deposit bring back empty bottle store spoken general manager shoprite owner mill company make sure yes bring back empty glass bottle get 2 next bottle buy like deposit milk great milk normally go 699 per half gallon milk every time bring milk cashier night problem cashier informed code need use brand milk get two dollar deposit return empty container cashier informed heavy set young girl blond hair work night shift literally walk away register told spoken manager two dollar return returning empty bottle milk told working year going take customer walked away register unprofessional disorderly shoprite asked general manager please inform cashier return deposit 2 brand milk sick tired going time explain cashier look like crazy last cashier walked away left register unprofessional never seen anything like supermarket hoping manager see post something done situation freakin organic milk
2020-02-02,2,long time customer finally giving delivery option systematically arrive hour late frozen item unfrozen call patient patient answer simply hang several time never reimbursed got item replaced usually nice love choice sunday night worst overall loosing money
2020-01-05,2,im giving benefit 2 star convenience delivery keep call store order consistently missing item delivery 2 hour late really convenient used pretty good last 6 month really shitty always ordered store brand water new private brand bowl basket awful tonight missing potato rather send someone pushed accept refund switching metro park ca n't get together switching company altogether
2019-12-14,2,let say going shoprite since opening decent place get food however today experience awful went 1:30 pm walked deli grabbed number like 5 people front waiting 3 people grabbed number 2 people working behind counter 2 customer chatting gone thru 2 numbered customer 20 min walk customer service tell 2 lady deli need help backed say ok nothing call help deli backed 7-9 customer starring customer service giggling watching people wait needle say put back minimal grocery left today experience piss poor management
2019-12-01,2,delivery option super convenient since n't car reliable 2 hour time frame basically mean nothing currently still waiting order hour window update order finally came 2 hour window forgot half item
2019-10-19,5,review rather short since stopped quick pick-up following mobile order say supermarket best thing since invention supermarket moment walked ambiance inviting warm music 80 mold happy everything place ready shopper like enjoy experience almost felt bad quick pick unaware go way felt care let walk bit feel place see boy stacked gill item shape size especially someone like prefers organic healthy must add plant store item halloween season deli wine liquor place many thanks dakwon lovely female colleague helped finalize order super friendly definitely coming back absolutely
2019-10-16,5,let start saying love shoprite however ordered order cake simple specific design nephew birthday made completely asked special birthday surprise someone u going stage 4 metastatic cancer excited see reaction perfect harry potter cake cake delicious solely based lack design simple design specific took photo design wanted said happee birthdae bright pink icing dark green writing n't feel spelling way wanted could done told u cake design got compared cake shown said could cake delicious special cake asked simple design specific design update upper management cake remade delicious time correctly designed perfectly family excited amazing district manager
2019-10-14,4,deli delicious perfect bad however bakery heavenly thank sweet baby jesus cheese danish best l ever life fat ish middle aged man know lot danish baked good great
2019-09-11,5,refugee weehawken acme closing started going shoprite idea shopped dump long meat actually fresh 1 day away expiration deli look appetizing good variety staple fun new niche product try club sized pack product making trip walmart unnecessary mention price way better acme well people work n't look like constant misery change
2019-08-14,2,really want customer use self check 30 people line 3 cashier register 10 empty self check register easier lay people replace machine
2019-05-06,5,nice shop rite grocery store city always look mess pm rush weekend rush really good job
2019-03-11,5,shop rite pretty great always well stocked big easy find item good selection fresh produce meat find lafrieda meat parking lot pretty big chaotic also shop rite liquor attached make nice one stop shop
2019-03-04,4,incredible selection product asked particular dairy free product asked code 2 week later store great price awesome selection different type check service fast important check expiration date article case definitely favourite grocery store hoboken
2018-11-30,4,usually go-to grocery store neat organized well stocked staff moderately helpful large parking lot great new self check lane life saver liquor section attached hour late 12am monday-friday ca n't go wrong
