date,rating,review
2021-11-13,5,n't tried place yet however first glance price seem expensive unless extremely good family style reserve final comment average dim sum dish chinatown 3 4 piece 3 5 place look doubleim always looking better chinese restaurant giving 5 star update actually try price bar high
2021-11-13,5,n't know area near stevens institute turned yelp help n't disappoint although n't serve dim sum dish advertise woman behind counter said hoping put men include nice otherwise food good quality fresh counter seating around one wall window maybe 6-8 seat total great quick bite n't difficult get seat people take great experience around needed said yelp list ton restaurant block
2021-11-12,2,place n't good n't know going review dim sum best place chinatown place n't compare even playing field ordered soup dumpling steamed rice noodle short rib sticky rice sui mai roast pork bun sticky rice lotus crispy taro dumpling sticky rice chinese sausage nothing tasty high quality recommend wo n't back
2021-10-18,4,fan place definitely one better dim sum place nj many nj dim sum place compete good dim sum place chinatown ny place love close live ordered place twice take many seating option take-out first time ordered dim sum including house special shrimp siu mai pan fried radish cake pork soup dumpling egg custard bun pork short rib minced garlic crispy taro dumpling pork chicken foot black bean sauce others none disappointed would order next time ordered ordered dinner two dim sum dish since available evening pork chop peking sauce sliced beef chow fun gravy house special golden fried rice egg drop soup egg custard bun pork siu mai staff also nice also huge plus deduct one star feel pricing high n't doubt price commercial rent high small plate price higher like maybe used paying price chinatown sure also cheap even place good close live n't feel like paying 15 toll affordable dim sum certainly come equally good dim sum
2021-10-16,3,south lion definitely good place know taking leap freshly-made dim sum hoboken ordered delivery four item three good sticky rice pork lotus leaf pork siu mai w mushroom shrimp chive dumpling one great steamed beef short rib south lion hoboken delivery takeout order four item plus delivery 40 price quantity ratio factor overall good food freshly made choice bit pricey average takeout pickup
2021-10-16,1,wow pan fried radish cake extremely sour tasting funky smelling hoping n't get food poisoning small bite completely inedible item ordered edible greatest either sticky rice pork wrapped lotus leaf dry salty without much filling skin shrimp dumpling tough thick dry found shrimp shell filling pork siu mai pork short rib okay slightly average thing kinda liked bean curd skin roll
2021-09-27,5,vegetable dumpling outstanding line excellent back one way another
2021-09-17,5,best soup dumpling jersey soup dumpling everything literally crave since finding place taken drive every week tried variety food always go back soup dumpling hot worth
2021-09-12,2,really excited try place since love dim sum n't greatest experience ordered pork siu mai bean curd skin roll told would take 15 minute ended waiting hour people order also larger order served woman next ordered right served food reasonable time kindly asked worker could reheat one meal since cold inside disappointing experience clearly disorganized food good overpriced ended refunding one order apparently chef kept forgetting make n't really recommend place anyone happy hear people yelp better experience
2021-08-31,5,chinese dim sum okay tbh hoboken nj deserves 5 star like want get dim sum without going city drive one food edible mostly pre-made frozen dim sum bit expensive side dim sum hoboken middle class double income family definitely afford local dim sum go guess
2021-08-18,5,best dim sum service always quick super friendly dumpling perfection tough pick favorite crispy pork dumpling soup dumpling tie first glad opened close ordering lot
2021-08-08,5,good finally good chinese spot hoboken dim sum good american chinese wish american chinese good everything delicious door dash ordering broken uber eats ordering n't everything certainly need fix delivery forced u get walk well worth sweet sour pork nice fresh soggy number delicious vegetable sweet sour sauce egg noddle wonton soup best dim sum pork bun good ca n't wait go back
2021-08-06,5,got take last night supposedly doordash n't working worth stroll delicious dumpling amazing wonton soup best sweet sour pork since moving hoboken bubble tea two bubble tea spot near definitely back
2021-07-30,5,tried regular menu dim sum menu far dish tried great regular menu portion huge like one american chinese restaurant menu missing order safe say best chinese restaurant tried hoboken
2021-07-23,5,fast casual dim sum chinese restaurant would say actually on-par fancier sit-down place far reason giving five star definitely back shrimp shumai favorite loaded shrimp flavorful
2021-07-22,5,place legit cantonese dim sum wish variety steam rice roll damn good hk pan fried bun perfect bbq pork pastry potstickers def go back
2021-07-21,3,mixed feeling one due unfortunate mishap found plastic wrap attached one dumpling safety questionable steam dim sum plastic wrap together seems like agree welcome addition hoboken dim sum trip nyc far food 3 5 5it best decent dim sum option area fill craving would stick shrimp dim sum nothing else honestly price 3 5definitely overpriced hard justify 12 3 4 basic dumpling chicken foot chive dumpling bad would stay away
2021-07-20,5,better dim sum ive outside chinatown sesame ball all-time favorite ordered takeout 2 night row waiting tea menu open
2021-07-19,5,great foodtried 5 dim sumwill back bare bone location definitely take delivery preferred
2021-07-16,5,first time ordering takeout place today food really good roasted duck flavorful crispy dim sum fresh yummy
2021-07-15,5,finally going chinatown pal park good dim sum online ordering system work great offer every typical dim sum dish fair pricing ordered shrimp dumpling shark fin dumpling sticky rice forgot order turnip cake fault ugh dumpling fantastic great tasting filling good chinatown better issue sticky rice either inside small seat 10 le hoboken tough park park several block away probably illegal spot lol south lion block away waterfront walking path nice go tasty meal ordered online 5 minute opened already order 5 place catching quick
2021-07-14,4,good dim sum prompt helpful person take order good value money dim sum quite good meatier side quite authentic
2021-07-08,1,absolutely horrible pricy dish extremely bland nothing compared almost dim sum restaurant nyc top found one two hair radish cake never
2021-06-26,5,welcomed addition hoboken longer need travel ft lee parsippany get high quality fresh dim sum served day next best alternative dintai fung tim ho wan
2021-06-21,5,excited see dim sum place hoboken food taste good price slightly higher portion given location prime understandable
2021-06-16,5,absolutely amazing best cantonese chinese food hoboken jc please well keep open forever
2021-06-13,4,actually randomly came across spot strolling hoboken one weekend pleasantly surprised see new chinese restaurant pop area definitely n't disappoint dim sum extremely fresh packed meat high quality highly recommend hot sauce come order thing price slightly higher equivalent spot city definitely back next dim sum fix
2021-06-04,4,hoboken sorely needed decent chinese place one dim dum place many usual dish including call americanized chinese food good piece duck bit inedible mostly bone fat meat tasty shrimp dumpling good fan mixed meat prefer peanut sauce instead peanut inside happily try dish
