date,rating,review
2021-11-06,5,first time trying ramen def let would def order good flavor happy truer something new
2021-10-05,1,fish fresh ca n't believe owner manager still put already colored raw fish front make poke bowl immediately returned poke bowl one bite told better put fish away otherwise customer get sick even asking money back remind use obviously un-fresh ingredient n't anything fish behind counter except thanking informing without asking refund already feel uncomfortable stomach walking shop
2021-09-04,1,ordered place twice first time delivered wrong address second time cancelled order 1 hour 30 min without informing unprofessional disrespectful customer
2021-09-01,5,south street really good poke ramen also pretty big portion nice
2021-08-26,1,whoever work thursday night 8 answered phone deferent restaurant asked time yoi close yelp say 9:30 responds 8:50 wtf remove completely turned never want try go
2021-08-26,5,love poke bowl always really fresh portion giant would ask sauce side sometimes little overwhelming
2021-07-24,5,super fresh fish ordered poke bowl ahi tuna spicy tuna whole bowl really good
2021-07-11,4,ordered fire chili miso ton men ramen average mediocre nyc standard nyc 3 5 perhaps hoboken 4 portion generous broth lacking depth flavor texture soft boiled egg good salty lacked flavor noodle average texture chewy topping generous nothing special pulled pork good charred flavor bit stringy n't juicy fatty craving ramen soup noodle day still hit spot also fast casual place may catering mass ramen enthusiast
2021-06-24,3,decent ramen spot eaten champion king men fire chili miso ton men champion ramen great pick rich seafood broth flavorful downfall egg served cold rest dish hot fire chili ramen okay quite frankly fancy environment quite chill though staff friendly
2021-05-29,3,could properly assessed food restaurant chose better leakproof container broth soup ramens got order grub hub poor driver even properly deliver food intact restaurant used paper bag leaking broth caused big hole bag pretty much forced eat ramens dry good thing called restaurant problem readily offered fix mistake without fuss
2021-05-26,5,got tokyo soy ramen enjoyed every bite flavorful well priced delivery also lightening fast
2021-04-30,5,place amazing area happened walk place knowing expect ordered ramen sorry forget one built poke bowl delicious ramen best ever pork amazing whole thing flavorful great good ramen poke bowl even better everything poke bowl amazing n't totally sure thing add bowl everything went together perfectly especially loved seaweed salad tuna salmon fresh sauce tasty seriously doubt ever eat poke bowl good one portion huge especially price left extremely full extremely happy ca n't wait come back nyc make stop hoboken relive experience also staff kind friendly helpful question
2021-03-01,2,anyone know good ramen would pleased plus service weird asked fir hot tea cashier looked like deer headlight literally said ummm n't think stuff
2021-02-16,1,ordering south street quite often year poke bowl good however past 5 order least 4 something wrong liked supporting local restaurant continued order regardless issue however tonight one item ordered several thing wrong missing item additional item specified made dish inedible called south street request correct dish delivered boyfriend could eat dinner team incredibly unhelpful delivery driver refused send one address correct dish correct mistake made employee said would cost much meanwhile live le 10 minute restaurant spent hundred dollar unable provide type discount future order anything either would continued spend money mean supporting local restaurant support restaurant south street terrible customer service nothing correct problem caused make thing right loyal customer
2021-01-21,5,order south street almost week day food delicious love poke
2020-12-01,4,bit salty chief hispanic authentic japanese ramen however generous topping seafood vegetable ordered southstreet chilled ramen decent choice quick meal hungry
2020-11-23,5,best poke bowl fresh food fish god straight belly n't know place n't packed everyday good foodie kid love thank
2020-11-19,4,ramen best though say service declining past year shouting screaming answer phone eating dinner break right behind counter helping fine wait felt unprofessional staff member sitting phone sealing container ramen broth leak bag break loyal continue get ramen ramen place opening management really improve service organization behind counter otherwise think people go elsewhere
2020-10-22,1,one star poke horrible service worst service received year person taking order plain rude would even answer one small question ordering person making poke rude got order wrong even though ordered person
2020-09-20,2,craving sushi burrito decided go build option 2 protein let slide cashier lady le enthusiastic asking question menu made order standing watching disappointed amount protein put little ordered tuna shrimp tempura put equivalent maybe table spoon tuna put one fresh shrimp tempura two tiny broken piece shrimp tempura looked like crumbly left over front simple put burrito came ingredient slapped generously n't really need seaweed burrito tiny helping protein proportion quite 13 dollar think burger would better
2020-08-02,4,poke ingredient aways fresh sauce tasty light usually spicy veg ramen come green noodle egg cherry tomato etc really good bit different authentic version delivery grubhub always timely doesnt take long even though live jc
