date,rating,review
2021-10-28,4,sri thai convenient accommodating super timely love pad thai thai iced tea ordered take brought cork city beer across street perfect combo
2021-09-15,4,faced 3 different thai restaurant option mile decided go sri obviously meant sri great service honestly best pad thai ever pleasure eating humble kitchen perfect cozy dinner spot catch couple close friend perfectly tucked away busy traffic offer outdoor seating dish great size sharing
2021-08-29,1,ordered delivery remember place good looking forward food incredibly incredibly disappointing ordered pad thai chicken bangkok shrimp pad thai pathetic absolutely flavor spiciness bangkok shrimp salty tough n't cooked right temperature flavored correctly word describe pathetic n't ordered food place year remember really good past n't know got bad batch cook bad day got stale food etc whatever reason embarrassing effort
2021-07-21,5,hoboken jersey city area n't try srithai n't complete full experience something wonderful food talented chef wonderful sweet staff
2021-06-30,4,service restaurant great staff friendly started steamed dumpling pork shrimp mixed together come yummy sauce see-ew entree shrimp flavor good noodle cooked perfectly shrimp seemed little maybe overcooked fresh ended eating around flavor great
2021-06-26,4,pad thai good flavor well cooked chicken soft noodle also got pineapple fried rice rice cooked perfectly tasty
2021-06-05,5,great thai food hoboken got 2 pad thai squid veggie see-ew delicious reasonably priced good food place nice inside comfy cushion booth service great filled water 4-5 time every time needed great thai place
2021-05-29,2,disappointing everything extremely salty hard eat one worst red curry ever also spicy describe food generous
2021-05-26,1,ordered 6 dish tonight 1 spicy noodle shrimp 2 see-ew beef 3 pad thai shrimp 4 larb moo 5 lang sup pa rod curry 6 tom kha kai soup tried 4 6 n't tried pad thai curry yet say protein fresh everything super salty spicy though ordered everything mild spicy used like restaurant saltiness unbearable use msg spiciness kill taste almost could n't tell apart kind meat texture either tough beef starchy chicken shrimp shrimp smelled badly seriously look quality food fresh n't let salt take freshness super disappointed today sad used love place
2021-04-22,2,food little bland sour tasting used better quality pandemic look like chef changed ingredient hacked huge piece thrown together location price bad quality gone
2021-03-15,5,favorite thai hoboken pad thai large portion good delivery pick quick staff friendly spring roll curry also amazing
2021-02-11,5,best thai food neighborhood food absolutely delicious staff friendly spaced dine available looking vegetarian option would highly recommend tofu gra praw kaw pad gra prow
2021-02-03,1,generally accommodating even passive individual sometimes one experience great poor take action unfortunately prompted action arguably worst take order recent memory chicken green curry massively salted simply inedible idea cooking place frankly danger society avoid cost multiple better thai establishment hoboken
2021-01-27,5,used live hoboken 90 ordered long time fan amazing thai food ive since moved hold thai food restaurant comparison
2021-01-06,1,high hope place chewing found staple food never good thing found
2021-01-04,4,ordered takeout friday night issue order ready arrived got thai iced tea pad thai jungle curry would definitely recommend pad thai think try different curry next time since n't favorite extensive menu
2021-01-03,5,came pick takeout good portion fair amount beef noodle ca n't see kept stuffed walk two large bottle hand sanitizer also two table available would like dine everyone inside establishment properly wearing mask
2020-12-28,3,known restaurant 30 year visited time time food back obviously better lol kinda disappointing last visit tom yum soup taste like chicken soup frog salty curry meh fried banana dessert sweet honey drip little
2020-12-26,5,pad thai amazing green curry amazing spring roll amazing chicken skewer amazing literally everything amazing never disappointed
2020-12-11,4,sri thai go take thai food curry puff appetizer pad thai favorite highly recommend thai food hit spot
2020-12-07,3,always good food thing put server ran guy sitting table next u ask leave tip agree left tip first place n't thought rude run ask
2020-10-04,3,ordered drunken noodle curry noodle clump together flavor wise spicy thai food average flavor best thai food hoboken saying much
2020-08-29,5,best thai food hoboken dining covid stress free would recommend papaya salad curry puff veggie pad thai spicy thai iced tea definitely back
2020-08-27,5,one mom favorite thai place see staff really friendly food come quicker expected always good always order pad thai thai iced tea sometimes try different fried rice variation love coming whenever nj
2020-07-31,1,worse place ever ordered n't give full order asked refund order n't give refunded le amount food rip called n't answer call fr daughter phne finally answered food good worth penny paid
2020-07-26,5,looking good healthy food good price strongly recommend sri thai thai restaurant reason restaurant existed corner decade food service make dining pleasant experience vegetarian pad thai glass noodle dish called sien friend tofu curry took taste good well also like sweet ice thai coffee ice thai tea havent around area decade came back happy old go-to still around especially thank sri thai thai keeping going providing decently priced food
2020-07-19,4,big thai food guy ordering place twice decided time leave review go determining thai restaurant good try pad thai confidently say sri thai best thai restaurant hoboken food delicious well balanced sweet savory service always excellent kind prompt hesitate order encourage thai food lover give hoboken spot try
2020-06-23,3,quarantine delivery review good thai restaurant slim pickin hoboken judging review seems like sri thai best one neighborhood decided order dinner thursday night via uber eats found actually ordered app recommended dish order clearly memorable second time around different ordered chicken wing actually pretty good loved sweet chili sauce came withpla mueg tod fried squid underwhelming bit soggy bland good thing also came sweet chili saucepad thai shrimp pretty basic noodle texture good could used flavor solved problem adding garlic chili sauce shrimp kind overcooked dry added extra noodle 2 enough leftover next daylamb pad ped something would normally order fiance said wanted try something new basically slice lamb eggplant curry-like sauce surprisingly n't bad lamb n't gamey taste sometimes however meat bit tough n't sliced thin probably would edible sure would order think next time thai food craving might drive somewhere else pick-up instead
2020-06-19,5,great flavor n't get order right asked minced pork still delicious
2020-05-08,5,ordered online food ready super quickly absolutely delicious pad thai massaman curry equally great
2020-04-28,5,ordered least 3 time since hoboken lock thought needed new improved 5 star review raving wonderful continue first order month ago birthday boyfriend forgo plan big dinner friend turned favorite hoboken restaurant make night special still got little feast amazing usual since go-to rare occasion neither u feel like cooking usually always get ginger chicken incredible much tender chicken veggie cooked perfectly sauce much flavor also make sure plenty sauce mix rice never even close dry lately trying new entree like sauteed shrimp veggie broccoli last order shrimp pad thai much loved loved loveddddd left feeling really full thing love stir fry usually get good feel cleaning plate never uncomfortably full heavy delicious pad thai probably stick stir fry give ordering process update coronavirus smooth order pay online usually right yelp page estimated wait time 20 minute average ready front table grab go also food delivered time get right say thank much sri thai continuing really n't want cook
2020-03-28,1,ordered restaurant many time take sit favorite ordered usual received container half full 20 kindly called restaurant condescending would help u never order complete rip wish 0 star option
2020-03-15,5,sri thai great usually order satisfy pad thai craving never disappoints noodle always cooked well peanut sauce delicious always load veggie stop hoboken
2020-02-29,5,small space n't matter food authentic delicious stopped first time cold friday night tried chicken curry basil fried rice delicious nice staff reasonable price definitely back
2020-02-17,5,inexpensive flavorful quality delicious spot food n't suffer delivery take
2020-02-14,2,average quality food need better thai restaurant hoboken hoboken deserves better quality thai food
2019-11-25,5,first delivery experience sri thai year ago honestly good occasion disappointed order pad see-ew finding greasy bland however year passed happy gave restaurant another chance frequent dining even often take-out yes reordered pad see-ew found possessed sweet savory balance cherish soy sauce-coated noodle dish however previously favorite thai cuisine option since branched discovered new beloved dish prik ped kai includes sauteed chicken spicy chili paste eggplant large portion enough blanket side rice included zesty sauce addicting sri thai provides delicious authentic-feeling cuisine enjoyed either cozy dining room quick preparation take-out delivery
2019-11-12,4,food pretty good curry tasted nice potato kind lackluster enjoy much think good place go craving thai food waitress really attentive music playing really good
2019-10-17,4,great lunch spot ordered pick lunch come soup salad great flavor good portion love chinese brocolli noodle order dish time everything right downside tom yum soup way salty soup came piece chicken order stay away soup
2019-10-03,4,eaten restaurant hand full time order delivery time year always good experience delivery usually 45-60min food always arrives hot fresh like shrimp pad thai ordered tom kha koong soup perfect amount spicy pla-mueg-tod calamari price reasonable serving last least 2 meal recommend spot tried 2 thai restaurant hoboken think popular spot consistent
2019-09-27,1,absolutely awful terrible service n't answer phone taking two hour food delivered delivery time sub par thai food
2019-09-14,4,tried thai place hoboken one top list small hole wall place look family run serf pretty decent thai food go choice hoboken although venture jersey city wanted spectacular thai
2019-09-13,4,menu little bit hit miss overall keep coming back crab fried rice fantastic real crab spoiled lived jackson height around corner famed ayada year place n't contender best thai restaurant tristate area thing reasonably well done staff always friendly welcoming basically solid pick neighborhood thai
2019-09-13,5,ordered crab fried rice let say extremely rare get real crab meat highly impressed rice delicious super fresh ordered postmates ca n't comment location would worth trip ca n't wait try another dish
2019-09-07,5,ordered lot past month food always hit every noodle dish pretty great plus got ta love restaurant organized way food package special instruction given nice touch looking forward trying menu
2019-08-17,4,place nicely decorated nice seating area window like throw pillow light gram-worthy food good ton option
2019-07-05,5,best pad thai hoboken delicious meal well service always quick friendly takeout fast
2019-06-24,1,hate leave bad review culinary disappointment green curry tofu plus extra vegetable tofu veggie overcooked eggplant curry good taste pleasant consistency green salad ok
2019-06-05,5,continues wonderful choice affordable delicious thai food area always great delivery service byob love
2019-05-10,5,awesome little thai restaurant food authentic fusion favorite shrimp pad thai soft shell crab chicken skewer much take family 4 time miss much moved central jersey wish one n't chinese claim thai food taste like chinese food smh please visit sri thai love
2019-05-07,2,came super high expectation made little end pad thai small amout u hungry n't order noddle hard sweet sweet like taste u know feeling two star service
2019-04-26,2,let start saying husband ordering sri thai year absolutely love food unfortunately tonight experience turned u place goodwe odered delivery around 9pm late know delayed getting son bed fully prepared eat 9:45-10pm9:45 called told food ready waiting delivery man come back asked long n't know give estimate n't know put first come back 10:15 called told delivery way arriving soon 10:35 called given n't know response followed way 12th might take awhile n't say first called hour ago asked delivery person number given non working number called back told delivery person called n't get answer left guess never heard ringing doorbell phone never rang 10:50 food finally arrived get hot confirming lied whole time left called back woman end phone laughed really final straw never order
2019-04-22,4,couple time boyfriend stopped today pretty small inside odd decor food good though service ordered chicken soup tofu appetizer yellow curry chicken red curry chicken chicken soup came super hot cooled delicious chicken soft cooked perfect nice blend flavor broth tofu appetizer cooked perfect cooked nice crispy outer layer soft center apricot peanut dip come yummy crunchy little bit sweetness like tofu better dipped red curry chicken perfectly cooked veggie basil chicken great flavor basil wilted heat yellow curry chicken best would like coconut milk flavor sauce right amount spice onion potato great would def order dish waitress right top everything great
2019-04-21,2,food came fast service ok place definitely overpriced paid 10 95 burnt rice complained waitress fried rice burned checked management told u could n't anything tofu cut properly cube green curry dish taste great vegetable including broccoli cooked hard would try place would go another thai option hoboken
2019-04-03,4,stopped lunch co-worker wednesday afternoon quiet restaurant located short walk drama washington street like hoboken parking difficult began steamed dumpling meat casing good thing menu packed traditional thai dish specialty ordered lunch special menu chicken pad thai co-worker shrimp pad thai choice soup salad lunch special dish good plenty shrimp chicken dish portion generous everything came fresh hot including dumpling service good restaurant quaint cozy price reasonable amount quality food lived hoboken would place would frequent
2019-02-21,1,great sadness would like report rather unsavory reaction thai thai treat consumed sri thai thai bad luck food poisoning recently stink love eat first obviously last time eating place unless course like drop weight body building competition
2019-02-21,5,place great coming since opened almost 26 year ago april 1993 food continues authentic consistent delicious
2019-02-12,3,hesitant go mediocre-below average review ended going one coldest night year food good could n't thoroughly enjoy cold inside ended wrapping food taking home enjoyed veg spring roll recommend nau prik sod beef scallion onion pepper kai broccoli chicken broccoli
2019-02-09,3,tom yum soup mediocre salty barely lemongrass free delivery right though call place order better thai food
2019-02-02,3,think pretty good job price reasonable reason three star put lot msg food husband chugging mug water hour eating food
2019-01-30,1,one disgusting thai food ever would hate leave bad review gave place two try make sure one time thing clearly missing flavor thai food spicy noodle also known kee mao bland barely spice crispy duck crunch crisp bad eating boiled duck price charge really need improve quality food
2018-12-28,5,5-stars based last minute decision order take big fan chicken pad thai killed loved spice level enough sauce one complaint live around corner thank
2018-11-19,4,came sunday afternoon authentic food fast service friendly wait staff everything ordered came fast cooked really well ambiance fine nothing spectacular food well worth anyway recommend pad see yew spring roll
2018-11-03,4,byob great staff friendly monster roll delicious fresh hot soup soup good much black pepper make harsh throat
2018-10-14,5,cute little spot friendly service pad see ew delicious lunch portion huge definitely try fried ice cream
2018-05-25,4,cute little thai place corner 3rd bloomfield employee super friendly service fast lunch special deal good get entree soup salad around 8 however everything tried lunch special soup tamarind chicken beef pad gra praw quite salty definitely thai restaurant
2018-05-20,5,go thai restaurant food made authentic wonderfully friendly sweet thai family highly recommend nom jeeb steamed dumpling
2018-05-05,1,terrible thai food got two curry ordered uber eats never eaten terrible thai food new jersey would worst
2018-04-02,4,pretty good friendly staff went early able choose seating yay interesting selection menu may change thing two overall pretty good plan return near future
2018-03-19,5,excellent go thai pad thai never fails husband always switch entree always satisfied delivery quick point come back
2018-03-02,4,sri thai unassuming byob best thai food hoboken j c decor kind lacking always cheesy pop music playing staff friendly service swift food really really tasty never disappointed eaten eating almost fifteen year find food fresh greasy pretty authentic well spiced thai food rather american thai salad appetizer always good tom yum soup world delicious bit body funk place love curry puff expensive lunch special great value money either 7 95 8 95 depending choice protein either soup salad generously sized portion selection entree overall srithai one hoboken best dining option like thai try
2018-02-25,4,good food incredibly fast order probably week picked never sat ate ca n't comment in-house service would nice gave little rice curry ratio way
2018-02-19,5,always great get green pork salad sweet sour delicious also spicy vegetable soup extra spicy always get sinus clear
2018-02-16,5,love place seat super comfortable staff warm friendly food delicious authentic pretty small intimate always set scene good relaxing meal
2018-01-14,4,n't actually eaten takeout since live around corner good solid thai food son skeptical pad thai tried except bean sprout liked
2018-01-12,2,disappointed ordered soup coconut milk got one lemon grass soup peculiar order odor restaurant shrimp skewer 2 skewer 4 skinny shrimp appetizer small lacking flavor although two accompanying sauce peanut cucumber tasty red curry coconut milk eggplant ok small price bayonne find comparable menu tastier food better portion price ratio
2017-12-28,5,lived hoboken 15 year go delivery carry place time creature habit get basil chicken 9 10 time hand best version dish anywhere used travel lot business would look thai place avoid national chain hell dot majority country usually try basil chicken place well creature habit version tried richness flavor sauce large slice vegetable careful though spice level varies sometimes get hot wife order asks non spicy version even little kick
2017-12-01,5,true lover thai cuisine place definitely no-frills type restaurant byob true foodie really appreciate food good consistent exceptionally underpriced
2017-11-18,4,best thai food area great value byo cork fee sure stop sparrow around corner best craft selection delivery n't best dine service good across street cork city plus ignore homeless soup kitchen side block
2017-10-16,5,gone five time pad thai green curry coconut sticky rice die would go broke lived close
2017-10-16,5,great thai food reasonably priced warned bit spicy eaten many time 12 year timespan frill thai food taste good served smiling staff go month cont lunch special m-f 9:00 amazing value go also byob like
2017-10-11,3,average food average service good place lunch want cheap food want quick bite
2017-10-10,2,according rating system yelp two star mean meh experienced better three star indicates a-ok based difference give sri thai thai restaurant two star came based friend recommendation best thai restaurant area called order ahead time pick arrived order ready waiting u sri thai empty customer except small handful table outside order completed quickly retrospect void clientele indication establishment order wanted papaya salad unfortunately good component fish sauce green papaya peanut carrot lettuce n't taste good fish sauce completely overpowered papaya salad instead crisp refreshing wilty fishy craftmanship standard thai dish indication food whole unfortunate fortunately staff friendly cordial would willing give sri thai thai restaurant another chance solely based professionalism friendly manner hopefully another opportunity visit place revise review
2017-10-09,1,disappointed place gone way downhill used order lot stopped try cook home ordered first time long time usual green curry absolutely disgusting almost inedible say rare clearly stopped using coconut milk base curry thai curry made n't know using oil lost flavorful spicy light texture plain gross received green curry rotten color enough broth base layer oil sitting top also sent brown rice wrapped saran wrap container btw way enough curry sauce even eat rice tasting zero flavor almost made gag amount oil never ordering
2017-09-29,5,best thai food hoboken everything authentic fresh price bad size done delivery n't work far staff nice food delicious
2017-09-15,4,quality thai middle hoboken lunch special great value tried chicken pai thai beef pad see ew take great flavor chicken pad thai could used little peanut nice beef pad see ew greasy like restaurant great option thai hoboken get take sure ask utensil otherwise included
2017-09-06,2,update visited restaurant recently totally different experience time place smelly n't food smell though totally different smell masamun curry sweet appetizer sate kai marinated chicken skewer tasteless expected however jungle curry delicious place smelly wonder kitchen going
2017-09-02,2,quality taken nose dive time food awful lately whatever order smell weird fish sauce seems common base curry sauce
2017-08-07,1,kind wish looked yelp going grab lunch positive review google also pouring starving hoboken suck general since office moved two year ago always looking something new try walked awful stench could spice plus getting takeout overlooked got back office opened bag food utensil going somewhere n't earth would eat food strike one opened soup chicken ick ordered dish without meat think maybe n't eat meat strike two opened actual lunch smell hot maybe taste better nope never tempted throw lunch hour-and-a-half barely touched despite fact starving barely protein either weird aftertaste almost like urine gross really hungry nothing really close office already wasted 9 57 garbage go ask money back doubt give n't want deal stench time strike three four five etc retire side also friendly girl register really need go back elementary school handed 9 75 total 9 57 change 18 cent really struggling use calculator le 4 time figure going say something time looked like nope stay far far away bring bleach
2017-06-04,2,ordered something simple red chicken curry could n't eat bite meat quality keep away
2017-04-27,4,one best place order thai food hoboken n't many place recommend one
2017-03-12,3,located sw corner 3rd bloomfield restaurant perfectly situated across street cork city great place come going bar came group 4 people service fantastic food okay experience thai restaurant hoboken bit hit miss would say place stand place would necessarily go way make mistake absolutely target audience quick reliable thai food time certainly place local town night
2017-03-06,4,pretty good standard thai food good service byob reasonable price nothing complain ordered basic basil fried rice chicken basil chicken chilly portion generous dish authentic absolutely delicious probably one better thai place area visit
2017-02-25,1,ordered shrimp pad thai shrimp garlic pepper entree chicken basil onion entree shrimp pad thai literally 3 piece shrimp 3 tiny shrimp lil portion egg yep noodle dry shrimp garlic entree like appetizer tasted fairly good chicken entree extremely dry top mediocre food give utensil napkin
2017-01-24,5,love thai food dish authentic absolutely delicious favorite chicken pad thai chicken fried rice chicken see-ew like somewhat spicey recommend lang sang coconut milk appetizer love garee puff steam dumpling spring roll delivery time bad usually order place every week
2016-11-19,2,waitress went order meticulously shrimp pork dish delivered instead duck sticky rice ordered regular rice served instead duck order arrived tomato despite order wrote clearly requesting tomato half-expected take something bill given mistake long wait corrected instead reverse double-charged u coke tried place thai closed night
2016-11-12,5,food always exceptional staff professional friendly go delivery place love coming dinner weekend night also one server amazing eyeliner love place
2016-10-05,5,curry soo good ca n't speak food aside pad see ew decent looking good curry hoboken spot ca n't understand terrible review give 5 star n't ever eat restaurant pick get delivery sure dining experience tiny place one ever really would recommend taking go drinking wine home used enjoy thai curry greasy inconsistent ordering
2016-07-24,2,thai food n't much flavor portion acceptable waitstaff friendly price reasonable
2016-06-12,5,one best thai restaurant drive 45 min eat worth drive fresh delicious
2016-06-02,2,got takeout placing order woman phone said computer resetting would call back couple minute 15 minute later called back acknowledgement happened clear forgotten poor customer service right bat difficult communicate placing order repeat thing several time sounded like busy restaurant n't getting full attention biggest peeve ordered bunch food requested couple item like yellow curry mild kid food delivered incredibly spicy fact could barely tell difference two curry yellow red looked color spicy level frustrating kid ended eating plain rice another annoyance asked brown rice rather substituting white rice brown added 2 order brown rice white rice come curry ended 4 carton rice made sense meal ordered could overlooked food amazing mediocre forgettable
