date,rating,review
2021-11-03,4,stingray lounge good spot date night cute romantic heard drink great ordered take okay ordered jackpot pick 165 oyster delicious since variety n't like shrimp crab meat good would say would go person ordered take still hungry since shared someone
2021-10-09,5,pleasure going tonight last min great last min choice nice placeon one side bar side dine cozy love art work wall lobster mac cheese disappoint spicy garlic shrimp good boyfriend little neck clam scallop said good saw quite cocktail came looked yummy however sparkling rose good actually would purchased bottle option staff good well loved everything definitely back soon
2021-09-22,4,place definitely alright cocktail menu rather extensive amazed bartender remember 30 craft cocktail recipe two drink marvelous oyster variety excellent super fresh crab cake arrived deep fried send back ask prepared told pan seared scallop tasted cooked wood plank tasty service attentive warm professional
2021-09-21,5,pleasant dinner stingray lounge saturday evening ambiance restaurant really nice perfect small group seafood platter really fresh calamari key lime pie delicious would definitely recommend stopping drink raw bar appetizer
2021-09-20,4,finally able check place went around 6:30 pm thursday friend sat table faced street inside pimms cup phenomenal drink friend ended ordering one n't even like gin got tuna tartare oyster rockefeller shrimp cocktail amazing great vibe music looking forward returning bit pricey nothing norm
2021-09-13,5,best cocktail hoboken spicy shrimp incredible spicy blue crab salad also amazing great music playlist well
2021-09-03,5,bartender extremely knowledgeable help navigate robust cocktail menu give great recommendation let know kind drink great variety classic cocktail well tiki inspired drink wide array old fashion variation food ambience great date night handful time le great experience highly recommend
2021-07-29,5,best seafood drink hoboken several time never disappointed
2021-07-25,5,delicious oyster great happy hour special husband went saturday afternoon 9 house cocktail wild child definitely recommend love pisco
2021-07-25,5,really awesome lounge great bartender like vibe great location
2021-07-25,5,great cocktail excuse west coast oyster selection delicious octopus cooked perfection
2021-07-03,5,old bay fry spicy garlic shrimp crab cake great food drink definitely come back
2021-07-03,4,great food cocktail service decent selection fresh oyster crab cocktail must ordered variety appetizer mussel cooked thai curry sauce accompanied flaky bread dipping lobster mac cheese delicious ton lobster best spicy shrimp
2021-07-01,4,food drink amazing know still covid time sure staffing issue normally service n't great could tell two guy running around take care everything probably understaffed rightly stressed reservation host situation weird awkwardly stand front finally call n't seated 20 min reservation took age get service asked silverware literally dropped table loud clatter wrapped napkin request napkin separately worker kind could tell overworked would n't say go place still worth warn give two hour even drink oyster least staff zucchini fry best ever oyster delicious fresh ground horseradish perfection octopus crispy outside chewy inside cocktail also really good old fashioned one best ever simple syrup used sweet complemented drink nicely green tea whiskey drink unique however orange blossom water think would better paired orange bitter orange garnish instead lemon bitter lemon garnish curious see could better orange accent instead however still quite delicious nonetheless overall really enjoyed time weird service quirk sum covid bounce back definitely visit highly recommend
2021-06-29,4,place small bar restaurant nestled washington easy miss one place either know n't came early dinner drink great experience establishment small pretty decent sized bar inside otherwise small dining space sat outside server helpful friendly really dope cocktail menu particularly interested fact whole page dedicated different type old fashioned drink kind place friend loved cocktail got food ordered oyster seemed staple good amount oyster choose server helpful choosing also zucchini fry thick cut zucchini breaded good also crab cake crab salad risotto lobster roll lobster roll special overall pleased tasty food nightly happy hour special good get early hardto find place sell good seafood place great seafood drink
2021-06-27,5,great neighborhood spot owner always around pleasant love cocktail staff awesome well done
2021-06-22,5,stingray lounge lovely light snack dinner option want treat lavish service quick helpful afternoon quiet 4pm chose indoor seating since hit heat outdoors distracting patio dozen oyster oyster happy hour memorable light creamy like sugar shack beau soleil kumamoto unfortunately also went brinier wellfleets main meal ordered crab cobb good portion chunk crab bacon made stunning combo crisp vegetable lobster mac deceptive looked small bowl realized dense rich buttery went home leftover overall great yes expensive experience restaurant clean followed covid protocol hand sanitizer super scented like perfume gripe lovely hip date hoboken outdoor option definitely recommend
2021-06-20,1,booked outdoor seating father day dinner showed staff kept insisting booked indoor apology rudely kept saying made mistake record two year old vaccinated never ever book indoor seating reason give place miss many restaurant trying hard time covid polite accommodative one deserving business
2021-06-13,5,food phenomenal great happy hour menu loved lobster roll especially fresh blue point oyster great ambiance great service good food
2021-05-26,5,could give 10 star would first time hoboken let tell immediately wanted move area wanted find good seafood place visiting stingray lounge popped suggestion nice small super intimate best seafood set outside lovely cool evening ordered dozen assorted oyster crab meat crab cake let tell everything delicious oyster outstanding drink ordered classic cosmo tell one best cosmos ive lying ever area must give place go amazing food lovely ambiance awesome drink super great staff
2021-05-23,5,stingray lounge bourbon lover paradise 40 bourbon great old fashioned option food delicious lobster roll one best ever ton buttery lobster nicely toasted bun clam chowder delicious creamy lot tender clam nice addition bacon never go wrong bacon old bay fry zucchini fry delicious dipping sauce tasty gf bacon cheeseburger bun loved definitely need check stingray cocktail food
