date,rating,review
2021-10-17,2,going sweet year birthday coming wanted order custom cake thought would simple request bakery streamlined process taking order email bakery get auto reply telling call directly phone rang rang answer option leave voice mail eager finalize order became close cutoff date submit one sent 3 email course week requesting call back week still n't receive call back called bakery several time throughout day finally got live person phone point told could n't fulfil custom cake request ok fine wish could told week ago point late go anywhere else buy generic supermarket cake b-day custom cake rather expensive purchase sent sweet email letting know thrilled handled request since frequented bakery year vowed wrote back response would post negative review yelp ala ignored email complaining yelp
2021-09-18,5,hidden gem hoboken always fresh wonderful flavor decadent perfect snack small part pick dozen every party getogether go always hit love mini
2021-07-17,4,shop super cute corner hoboken cup cake best ever try red velvet world
2021-06-27,5,cupcake absolutely delicious great flavor overly sweet super moist loved top three fluffanutter raspberry carrot cake definitely recommend also lemonade good slightly sweet tart refreshing
2021-04-26,3,came dinner craving something sweet love eating something sweet always mood cake quaint bakeshop located near park due covid limiting amount people store ordered red velvet 3 75 fluffernutter 3 75 cupcake tasty felt bit small regular sized personally thought taste presentation okay n't see anything made noteworthy visit bakery ton interesting flavor sure would return maybe area one thing n't like cupcake placed paper bag careful transporting home goody customer service okay person n't really seem one way another another fly wall cared
2021-03-28,4,passed sweet many time never saturday afternoon good variety choose got 6 different cupcake lemon chocolate coconut chocolate chip cheesecake banana vanilla vanilla fluffer nutter choose favorite would banana cupcake 4-star rating cupcake n't seem super fresh n't much size difference mini 2 regular 3 75 got regular anyway since shop n't ton room covid protocol limit 3 customer inside appreciated
2021-03-28,5,ordered cake daughter christening absolutely gorgeous delicious definitely order another cake sweet
2021-03-25,2,disappointed used love cookie brownie want support small business price increased product got smaller
2021-03-05,5,usually designer cake look good n't taste great case cake decorated beautifully inside equally good cake moist icing sweet overpowering gave idea design nailed loved cake pop especially vanilla one well also easy work nothing worry pay premium nice product nothing astronomical awesome job passion work love
2021-02-28,2,disappointed love cupcake saw positive review ate day n't good price tag excellent cupcake required
2021-02-13,5,tasty cupcake solid around love mini cupcake flavor super helpful want able taste different flavor n't want commit full size one request please start making cupcake pupcakes dog right dog park half people hobo dog anyhow dog deserve cupcake
2021-02-06,1,staff rude left without ordering cupcake looked good tho high hope
2021-02-02,4,stopped bakery sunday around noon pretty good selection full size mini size cupcake 2 mini 3 75 regular tried 6 regular cupcake good peanut butter one flavorful also tried carrot cake cheesecake vanilla vanilla buttercream chocolate vanilla buttercream fluffernutter chocolate cake moist felt vanilla cake little overdone carrot cake good n't intense carrot cake flavor personally liked cause typically flavor enjoy
2021-02-01,5,love love love love love place come 3 time month least every single cupcake rice crispy treat cupcake good last overnight last car ride favs smores cheesecake topped best one carrot red velvet marshmallow lemon also good actually love employee fake overtly chatty bakery get like also quick know menu met owner time sweet lady originally ca hope place stay open forever imma need smores wedding cake
2021-01-24,1,cupcake look great staff friendly bought six cupcake various flavor decided try within hour purchase six stale crown cake hard enjoy
2020-12-23,4,place pretty decent vanilla red velvet cupcake pretty good however real show stopper black bottom cupcake decide come black bottom must try
2020-12-01,5,love sweet mini cupcake favorite fan favs peanut butter pumpkin lemon really ca n't go wrong choice
2020-11-11,5,need delicious cupcake know always stop sweet great selection regular mini size cupcake flavor fun tasty also great cooky even buy dough make home great personalized order cupcake cake highly recommend definitely find eating 1
2020-08-12,4,looking place near jersey city hoboken quick fix cupcake sweet didnot disappoint pleasantly surprised offered cupcake mini regular size made easy try multiple got chocolate vanilla red velvet strawberry mocha lemon suggested person behind counter chocolate red velvet favorite mocha good lemon strawberry least favorite seemed use artificial flavor didnot enjoy taste
2020-07-07,5,cupcake many time absolutely loved amazing job surprise baby shower cake totally nailed woodland creature theme
2020-05-03,5,ordered cake birthday hand one best cake ever thank staying open quarantine
2020-02-15,5,cute simple no-frills shop deserve appreciation delicious good quality product courteous staff reasonably priced
2020-02-10,3,digging delicious yelp photo ventured sweet baby cousin hour park right next bakery popped grab cupcake oddly enough staff member extremely aloof borderline rude ended ordering chocolate marshmallow chocolate coconut chocolate peanut butter lemon vanilla vanilla vanilla peanut butter vanilla cupcake delicious n't service location would 4 star material
2020-01-26,5,sweet make best coffee espresso drink anybody hoboken great selection ookies lucky rice crispy treat marshmallow celebrate wedding birthday anniversary sure make cake coffee confectionery place ever go
